4039_184265_000002_000000	Fit the Third	Fit the Third
4039_184265_000003_000000	THE BAKER'S TALE	THE BAKER'S TALE
4039_184265_000004_000000	They roused him with muffins--they roused him with ice-- They roused him with mustard and cress-- They roused him with jam and judicious advice-- They set him conundrums to guess.	They roused him with muffins-they roused him with ice- They roused him with mustard and cress- They roused him with jam and judicious advice- They set him conundrums to guess.
4039_184265_000005_000000	When at length he sat up and was able to speak, His sad story he offered to tell; And the Bellman cried "Silence!	When at length he sat up and was able to speak, His sad story he offered to tell; And the Bellman cried "Silence!
4039_184265_000005_000001	Not even a shriek!" And excitedly tingled his bell.	Not even a shriek!" And excitedly tingled his bell.
4039_184265_000006_000000	There was silence supreme!	There was silence supreme!
4039_184265_000006_000001	Not a shriek, not a scream, Scarcely even a howl or a groan, As the man they called "Ho!" told his story of woe In an antediluvian tone.	Not a shriek, not a scream, Scarcely even a howl or a groan, As the man they called "Ho!" told his story of woe In an antediluvian tone.
4039_184265_000007_000000	"My father and mother were honest, though poor--" "Skip all that!" cried the Bellman in haste. "If it once becomes dark, there's no chance of a Snark-- We have hardly a minute to waste!"	"My father and mother were honest, though poor-" "Skip all that!" cried the Bellman in haste. "If it once becomes dark, there's no chance of a Snark- We have hardly a minute to waste!"
4039_184265_000008_000000	"I skip forty years," said the Baker, in tears, "And proceed without further remark To the day when you took me aboard of your ship To help you in hunting the Snark.	"I skip forty years," said the Baker, in tears, "And proceed without further remark To the day when you took me aboard of your ship To help you in hunting the Snark.
4039_184265_000009_000000	"A dear uncle of mine (after whom I was named) Remarked, when I bade him farewell--" "Oh, skip your dear uncle!" the Bellman exclaimed, As he angrily tingled his bell.	"A dear uncle of mine (after whom I was named) Remarked, when I bade him farewell-" "Oh, skip your dear uncle!" the Bellman exclaimed, As he angrily tingled his bell.
4039_184265_000010_000000	"He remarked to me then," said that mildest of men, "'If your Snark be a Snark, that is right: Fetch it home by all means--you may serve it with greens, And it's handy for striking a light.	"He remarked to me then," said that mildest of men, "'If your Snark be a Snark, that is right: Fetch it home by all means-you may serve it with greens, And it's handy for striking a light.
4039_184265_000011_000000	"'You may seek it with thimbles--and seek it with care; You may hunt it with forks and hope; You may threaten its life with a railway-share; You may charm it with smiles and soap--'"	"'You may seek it with thimbles-and seek it with care; You may hunt it with forks and hope; You may threaten its life with a railway share; You may charm it with smiles and soap-'"
4039_184265_000012_000000	("That's exactly the method," the Bellman bold In a hasty parenthesis cried, "That's exactly the way I have always been told That the capture of Snarks should be tried!")	("That's exactly the method," the Bellman bold In a hasty parenthesis cried, "That's exactly the way I have always been told That the capture of Snarks should be tried!")
