2256_137628_000000_000000	CHAPTER XL	CHAPTER forty	false	0	0.78	8.285356
2256_137628_000001_000000	How after that Sir Tristram, Sir Palomides, and Sir Dinadan had been long in prison they were delivered.	How after that Sir Tristram, Sir Palomides, and Sir Dinadan had been long in prison they were delivered.	false	0.78	24.135	21.800552
2256_137628_000002_000000	NOW leave we off this tale, and speak we of sir Dinas that had within the castle a paramour, and she loved another knight better than him.	NOW leave we off this tale, and speak we of sir Dinas that had within the castle a paramour, and she loved another knight better than him.	true	24.135	33.52	16
2256_137628_000002_000001	And so when sir Dinas went out a-hunting she slipped down by a towel, and took with her two brachets, and so she yede to the knight that she loved, and he her again.	And so when sir Dinas went out a hunting she slipped down by a towel, and took with her two brachets, and so she yede to the knight that she loved, and he her again.	false	34.13	45.27	19
2256_137628_000002_000002	And when sir Dinas came home and missed his paramour and his brachets, then was he the more wrother for his brachets than for the lady.	And when sir Dinas came home and missed his paramour and his brachets, then was he the more wrother for his brachets than for the lady.	false	45.27	54.31	18.218042
2256_137628_000002_000003	So then he rode after the knight that had his paramour, and bade him turn and joust.	So then he rode after the knight that had his paramour, and bade him turn and joust.	true	54.8	60.28	18
2256_137628_000002_000004	So sir Dinas smote him down, that with the fall he brake his leg and his arm.	So sir Dinas smote him down, that with the fall he brake his leg and his arm.	true	60.8	67.06	21.020111
2256_137628_000002_000005	And then his lady and paramour cried sir Dinas mercy, and said she would love him better than ever she did.	And then his lady and paramour cried sir Dinas mercy, and said she would love him better than ever she did.	true	67.25	74.83	16
2256_137628_000002_000006	Nay, said sir Dinas, I shall never trust them that once betrayed me, and therefore, as ye have begun, so end, for I will never meddle with you.	Nay, said sir Dinas, I shall never trust them that once betrayed me, and therefore, as ye have begun, so end, for I will never meddle with you.	true	75.29	86.74	20.213911
2256_137628_000002_000007	And so sir Dinas departed, and took his brachets with him, and so rode to his castle.	And so sir Dinas departed, and took his brachets with him, and so rode to his castle.	false	87.17	93.7	21.103874
2256_137628_000003_000000	Now will we turn unto sir Launcelot, that was right heavy that he could never hear no tidings of sir Tristram, for all this while he was in prison with sir Darras, Palomides, and Dinadan.	Now will we turn unto sir Launcelot, that was right heavy that he could never hear no tidings of sir Tristram, for all this while he was in prison with sir Darras, Palomides, and Dinadan.	true	94.13	106.03	19
