2256_137628_000002_000004	So sir Dinas smote him down, that with the fall he brake his leg and his arm.	So sir Dinas smote him down, that with the fall he brake his leg and his arm.
2256_137628_000002_000006	Nay, said sir Dinas, I shall never trust them that once betrayed me, and therefore, as ye have begun, so end, for I will never meddle with you.	Nay, said sir Dinas, I shall never trust them that once betrayed me, and therefore, as ye have begun, so end, for I will never meddle with you.
2256_137628_000004_000005	Right so came in a damosel and said: Knights, be of good cheer, for ye are sure of your lives, and that I heard say my lord, Sir Darras.	Right so came in a damosel and said: Knights, be of good cheer, for ye are sure of your lives, and that I heard say my lord, Sir Darras.
2256_137628_000004_000006	Then were they glad all three, for daily they weened they should have died.	Then were they glad all three, for daily they weened they should have died.
2256_137628_000005_000006	He said: Sir knight, me repenteth of thy sickness for thou art called a full noble knight, and so it seemeth by thee; and wit ye well it shall never be said that Sir Darras shall destroy such a noble knight as thou art in prison, howbeit that thou hast slain three of my sons whereby I was greatly aggrieved.	He said: Sir knight, me repenteth of thy sickness for thou art called a full noble knight, and so it seemeth by thee; and wit ye well it shall never be said that Sir Darras shall destroy such a noble knight as thou art in prison, howbeit that thou hast slain three of my sons whereby I was greatly aggrieved.
2256_137628_000005_000010	And if I had slain them by treason or treachery I had been worthy to have died.	And if I had slain them by treason or treachery I had been worthy to have died.
2256_137628_000005_000014	Then Sir Tristram reposed him there till that he was amended of his sickness; and when he was big and strong they took their leave, and every knight took their horses, and so departed and rode together till they came to a cross way. Now fellows, said Sir Tristram, here will we depart in sundry ways.	Then Sir Tristram reposed him there till that he was amended of his sickness; and when he was big and strong they took their leave, and every knight took their horses, and so departed and rode together till they came to a cross way. Now fellows, said Sir Tristram, here will we depart in sundry ways.
2256_137628_000005_000015	And because Sir Dinadan had the first adventure of him I will begin.	And because Sir Dinadan had the first adventure of him I will begin.
2256_137628_000006_000000	CHAPTER XLI.	CHAPTER forty one.
2256_137628_000007_000000	SO as Sir Dinadan rode by a well he found a lady making great dole. What aileth you? said Sir Dinadan.	SO as Sir Dinadan rode by a well he found a lady making great dole. What aileth you? said Sir Dinadan.
2256_137628_000007_000002	Let him come, said Sir Dinadan, and because of honour of all women I will do my part.	Let him come, said Sir Dinadan, and because of honour of all women I will do my part.
2256_137628_000007_000003	With this came Sir Breuse, and when he saw a knight with his lady he was wood wroth.	With this came Sir Breuse, and when he saw a knight with his lady he was wood wroth.
2256_137628_000007_000004	And then he said: Sir knight, keep thee from me.	And then he said: Sir knight, keep thee from me.
2256_137628_000008_000002	Jesu defend! said Sir Tristram, for I was but late a prisoner.	Jesu defend! said Sir Tristram, for I was but late a prisoner.
2256_137628_000008_000015	Who is that knight?	Who is that knight?
2256_137628_000008_000018	And because she deemed that Sir Launcelot loved Queen Guenever paramour, and she him again, therefore Queen Morgan le Fay ordained that shield to put Sir Launcelot to a rebuke, to that intent that King Arthur might understand the love between them.	And because she deemed that Sir Launcelot loved Queen Guenever paramour, and she him again, therefore Queen Morgan le Fay ordained that shield to put Sir Launcelot to a rebuke, to that intent that King Arthur might understand the love between them.
2256_137628_000010_000005	Alas, my fair friend, ye shall find him the best knight that ever ye met withal, for I know him better than ye do.	Alas, my fair friend, ye shall find him the best knight that ever ye met withal, for I know him better than ye do.
2256_137628_000010_000010	And when he came nigh to Sir Tristram he cried on high: Sir knight, keep thee from me.	And when he came nigh to Sir Tristram he cried on high: Sir knight, keep thee from me.
2256_137628_000010_000011	Then they rushed together as it had been thunder, and Sir Hemison brised his spear upon Sir Tristram, but his harness was so good that he might not hurt him.	Then they rushed together as it had been thunder, and Sir Hemison brised his spear upon Sir Tristram, but his harness was so good that he might not hurt him.
2256_137628_000010_000012	And Sir Tristram smote him harder, and bare him through the body, and he fell over his horse's croup.	And Sir Tristram smote him harder, and bare him through the body, and he fell over his horse's croup.
2256_137628_000010_000013	Then Sir Tristram turned to have done more with his sword, but he saw so much blood go from him that him seemed he was likely to die, and so he departed from him and came to a fair manor to an old knight, and there Sir Tristram lodged.	Then Sir Tristram turned to have done more with his sword, but he saw so much blood go from him that him seemed he was likely to die, and so he departed from him and came to a fair manor to an old knight, and there Sir Tristram lodged.
2256_137628_000012_000000	NOW leave to speak of Sir Tristram, and speak we of the knight that was wounded to the death.	NOW leave to speak of Sir Tristram, and speak we of the knight that was wounded to the death.
2256_137628_000012_000001	Then his varlet alighted, and took off his helm, and then he asked his lord whether there were any life in him.	Then his varlet alighted, and took off his helm, and then he asked his lord whether there were any life in him.
2256_137628_000012_000003	When Morgan le Fay saw him dead she made great sorrow out of reason; and then she let despoil him unto his shirt, and so she let him put into a tomb.	When Morgan le Fay saw him dead she made great sorrow out of reason; and then she let despoil him unto his shirt, and so she let him put into a tomb.
2256_137628_000012_000004	And about the tomb she let write: Here lieth Sir Hemison, slain by the hands of Sir Tristram de Liones.	And about the tomb she let write: Here lieth Sir Hemison, slain by the hands of Sir Tristram de Liones.
2256_137628_000013_000000	Now turn we unto Sir Tristram, that asked the knight his host if he saw late any knights adventurous.	Now turn we unto Sir Tristram, that asked the knight his host if he saw late any knights adventurous.
2256_137628_000013_000001	Sir, he said, the last night here lodged with me Ector de Maris and a damosel with him, and that damosel told me that he was one of the best knights of the world.	Sir, he said, the last night here lodged with me Ector de Maris and a damosel with him, and that damosel told me that he was one of the best knights of the world.
2256_137628_000013_000005	Why name ye not Sir Tristram? said his host, for I account him as good as any of them.	Why name ye not Sir Tristram? said his host, for I account him as good as any of them.
2256_137628_000013_000007	Thus they talked and bourded as long as them list, and then went to rest.	Thus they talked and bourded as long as them list, and then went to rest.
2256_137628_000015_000004	Then was there a damosel of Queen Morgan in a chamber by King Arthur, and when she heard King Arthur speak of that shield, then she spake openly unto King Arthur.	Then was there a damosel of Queen Morgan in a chamber by King Arthur, and when she heard King Arthur speak of that shield, then she spake openly unto King Arthur.
2256_137628_000015_000005	Sir King, wit ye well this shield was ordained for you, to warn you of your shame and dishonour, and that longeth to you and your queen.	Sir King, wit ye well this shield was ordained for you, to warn you of your shame and dishonour, and that longeth to you and your queen.
2256_137628_000015_000006	And then anon that damosel picked her away privily, that no man wist where she was become.	And then anon that damosel picked her away privily, that no man wist where she was become.
2256_137628_000015_000009	Then Queen Guenever called to her Sir Ector de Maris, and there she made her complaint to him, and said: I wot well this shield was made by Morgan le Fay in despite of me and of Sir Launcelot, wherefore I dread me sore lest I should be destroyed.	Then Queen Guenever called to her Sir Ector de Maris, and there she made her complaint to him, and said: I wot well this shield was made by Morgan le Fay in despite of me and of Sir Launcelot, wherefore I dread me sore lest I should be destroyed.
2256_137628_000016_000000	Then ever Sir Tristram smote down knights wonderly to behold, what upon the right hand and upon the left hand, that unnethe no knight might withstand him.	Then ever Sir Tristram smote down knights wonderly to behold, what upon the right hand and upon the left hand, that unnethe no knight might withstand him.
2256_137628_000016_000001	And the King of Scots and the King of Ireland began to withdraw them.	And the King of Scots and the King of Ireland began to withdraw them.
