225_131276_000001_000000	"But Dr. Carver--aren't you afraid of Dr. Carver?	"But dr Carver-aren't you afraid of dr Carver?
225_131276_000001_000001	I hear he's been staying with you at the Blenkers'."	I hear he's been staying with you at the Blenkers'."
225_131276_000002_000000	She smiled.	She smiled.
225_131276_000002_000001	"Oh, the Carver danger is over.	"Oh, the Carver danger is over.
225_131276_000002_000002	Dr. Carver is a very clever man.	dr Carver is a very clever man.
225_131276_000002_000003	He wants a rich wife to finance his plans, and Medora is simply a good advertisement as a convert."	He wants a rich wife to finance his plans, and Medora is simply a good advertisement as a convert."
225_131276_000003_000000	"A convert to what?"	"A convert to what?"
225_131276_000004_000000	"To all sorts of new and crazy social schemes.	"To all sorts of new and crazy social schemes.
225_131276_000004_000001	But, do you know, they interest me more than the blind conformity to tradition--somebody else's tradition--that I see among our own friends.	But, do you know, they interest me more than the blind conformity to tradition-somebody else's tradition-that I see among our own friends.
225_131276_000004_000002	It seems stupid to have discovered America only to make it into a copy of another country." She smiled across the table.	It seems stupid to have discovered America only to make it into a copy of another country." She smiled across the table.
225_131276_000004_000003	"Do you suppose Christopher Columbus would have taken all that trouble just to go to the Opera with the Selfridge Merrys?"	"Do you suppose Christopher Columbus would have taken all that trouble just to go to the Opera with the Selfridge Merrys?"
225_131276_000005_000000	Archer changed colour.	Archer changed colour.
225_131276_000005_000001	"And Beaufort--do you say these things to Beaufort?" he asked abruptly.	"And Beaufort-do you say these things to Beaufort?" he asked abruptly.
225_131276_000006_000001	But I used to; and he understands."	But I used to; and he understands."
225_131276_000007_000001	And you like Beaufort because he's so unlike us." He looked about the bare room and out at the bare beach and the row of stark white village houses strung along the shore.	And you like Beaufort because he's so unlike us." He looked about the bare room and out at the bare beach and the row of stark white village houses strung along the shore.
225_131276_000007_000002	"We're damnably dull.	"We're damnably dull.
225_131276_000007_000003	We've no character, no colour, no variety.--I wonder," he broke out, "why you don't go back?"	We've no character, no colour, no variety.--I wonder," he broke out, "why you don't go back?"
225_131276_000008_000000	Her eyes darkened, and he expected an indignant rejoinder.	Her eyes darkened, and he expected an indignant rejoinder.
225_131276_000008_000001	But she sat silent, as if thinking over what he had said, and he grew frightened lest she should answer that she wondered too.	But she sat silent, as if thinking over what he had said, and he grew frightened lest she should answer that she wondered too.
225_131276_000009_000000	At length she said: "I believe it's because of you."	At length she said: "I believe it's because of you."
225_131276_000010_000000	It was impossible to make the confession more dispassionately, or in a tone less encouraging to the vanity of the person addressed.	It was impossible to make the confession more dispassionately, or in a tone less encouraging to the vanity of the person addressed.
