175_129587_000006_000000	I looked round for some weapon.	I looked round for some weapon.
175_129587_000006_000001	Nothing.	Nothing.
175_129587_000006_000002	Then with an inspiration I turned over the deck chair, put my foot on the side of it, and tore away the side rail.	Then with an inspiration I turned over the deck chair, put my foot on the side of it, and tore away the side rail.
175_129587_000006_000004	He meant to lock the outer door! I raised this nailed stick of mine and cut at his face; but he sprang back.	He meant to lock the outer door! I raised this nailed stick of mine and cut at his face; but he sprang back.
175_129587_000006_000005	I hesitated a moment, then turned and fled, round the corner of the house.	I hesitated a moment, then turned and fled, round the corner of the house.
175_129587_000006_000006	"Prendick, man!" I heard his astonished cry, "don't be a silly ass, man!"	"Prendick, man!" I heard his astonished cry, "don't be a silly ass, man!"
175_129587_000007_000000	Another minute, thought I, and he would have had me locked in, and as ready as a hospital rabbit for my fate.	Another minute, thought I, and he would have had me locked in, and as ready as a hospital rabbit for my fate.
175_129587_000007_000001	He emerged behind the corner, for I heard him shout, "Prendick!"	He emerged behind the corner, for I heard him shout, "Prendick!"
175_129587_000007_000002	Then he began to run after me, shouting things as he ran.	Then he began to run after me, shouting things as he ran.
175_129587_000007_000003	This time running blindly, I went northeastward in a direction at right angles to my previous expedition.	This time running blindly, I went northeastward in a direction at right angles to my previous expedition.
175_129587_000007_000005	The wild scene about me lay sleeping silently under the sun, and the only sound near me was the thin hum of some small gnats that had discovered me.	The wild scene about me lay sleeping silently under the sun, and the only sound near me was the thin hum of some small gnats that had discovered me.
175_129587_000008_000000	After about an hour I heard Montgomery shouting my name, far away to the north.	After about an hour I heard Montgomery shouting my name, far away to the north.
175_129587_000008_000001	That set me thinking of my plan of action. As I interpreted it then, this island was inhabited only by these two vivisectors and their animalised victims.	That set me thinking of my plan of action. As I interpreted it then, this island was inhabited only by these two vivisectors and their animalised victims.
175_129587_000008_000002	Some of these no doubt they could press into their service against me if need arose. I knew both Moreau and Montgomery carried revolvers; and, save for a feeble bar of deal spiked with a small nail, the merest mockery of a mace, I was unarmed.	Some of these no doubt they could press into their service against me if need arose. I knew both Moreau and Montgomery carried revolvers; and, save for a feeble bar of deal spiked with a small nail, the merest mockery of a mace, I was unarmed.
175_129587_000009_000002	At last in the desperation of my position, my mind turned to the animal men I had encountered.	At last in the desperation of my position, my mind turned to the animal men I had encountered.
175_129587_000009_000003	I tried to find some hope in what I remembered of them. In turn I recalled each one I had seen, and tried to draw some augury of assistance from my memory.	I tried to find some hope in what I remembered of them. In turn I recalled each one I had seen, and tried to draw some augury of assistance from my memory.
175_129587_000010_000000	Then suddenly I heard a staghound bay, and at that realised a new danger. I took little time to think, or they would have caught me then, but snatching up my nailed stick, rushed headlong from my hiding-place towards the sound of the sea.	Then suddenly I heard a staghound bay, and at that realised a new danger. I took little time to think, or they would have caught me then, but snatching up my nailed stick, rushed headlong from my hiding place towards the sound of the sea.
175_129587_000010_000001	I remember a growth of thorny plants, with spines that stabbed like pen-knives.	I remember a growth of thorny plants, with spines that stabbed like pen knives.
175_129587_000010_000003	Then I heard no more, and presently began to think I had escaped.	Then I heard no more, and presently began to think I had escaped.
175_129587_000011_000003	I saw that it was the simian creature who had met the launch upon the beach.	I saw that it was the simian creature who had met the launch upon the beach.
175_129587_000011_000004	He was clinging to the oblique stem of a palm-tree.	He was clinging to the oblique stem of a palm tree.
175_129587_000011_000005	I gripped my stick, and stood up facing him. He began chattering.	I gripped my stick, and stood up facing him. He began chattering.
175_129587_000011_000006	"You, you, you," was all I could distinguish at first.	"You, you, you," was all I could distinguish at first.
175_129587_000011_000007	Suddenly he dropped from the tree, and in another moment was holding the fronds apart and staring curiously at me.	Suddenly he dropped from the tree, and in another moment was holding the fronds apart and staring curiously at me.
175_129587_000013_000000	"Yes," I said, "I came in the boat.	"Yes," I said, "I came in the boat.
175_129587_000013_000001	From the ship."	From the ship."
175_129587_000014_000000	"Oh!" he said, and his bright, restless eyes travelled over me, to my hands, to the stick I carried, to my feet, to the tattered places in my coat, and the cuts and scratches I had received from the thorns. He seemed puzzled at something.	"Oh!" he said, and his bright, restless eyes travelled over me, to my hands, to the stick I carried, to my feet, to the tattered places in my coat, and the cuts and scratches I had received from the thorns. He seemed puzzled at something.
175_129587_000015_000000	I did not grasp his meaning then; afterwards I was to find that a great proportion of these Beast People had malformed hands, lacking sometimes even three digits.	I did not grasp his meaning then; afterwards I was to find that a great proportion of these Beast People had malformed hands, lacking sometimes even three digits.
175_129587_000015_000001	But guessing this was in some way a greeting, I did the same thing by way of reply. He grinned with immense satisfaction.	But guessing this was in some way a greeting, I did the same thing by way of reply. He grinned with immense satisfaction.
175_129587_000016_000000	I pushed out of the brake after him, and was astonished to find him swinging cheerfully by one lank arm from a rope of creepers that looped down from the foliage overhead.	I pushed out of the brake after him, and was astonished to find him swinging cheerfully by one lank arm from a rope of creepers that looped down from the foliage overhead.
175_129587_000016_000001	His back was to me.	His back was to me.
175_129587_000018_000000	He came down with a twisting jump, and stood facing me.	He came down with a twisting jump, and stood facing me.
175_129587_000020_000000	"Eat!" he said.	"Eat!" he said.
175_129587_000020_000002	"At the huts."	"At the huts."
175_129587_000021_000000	"But where are the huts?"	"But where are the huts?"
175_129587_000022_000000	"Oh!"	"Oh!"
175_129587_000024_000000	At that he swung round, and set off at a quick walk. All his motions were curiously rapid.	At that he swung round, and set off at a quick walk. All his motions were curiously rapid.
175_129587_000025_000000	I went with him to see the adventure out.	I went with him to see the adventure out.
175_129587_000025_000001	I guessed the huts were some rough shelter where he and some more of these Beast People lived. I might perhaps find them friendly, find some handle in their minds to take hold of.	I guessed the huts were some rough shelter where he and some more of these Beast People lived. I might perhaps find them friendly, find some handle in their minds to take hold of.
175_129587_000026_000000	My ape-like companion trotted along by my side, with his hands hanging down and his jaw thrust forward.	My ape like companion trotted along by my side, with his hands hanging down and his jaw thrust forward.
175_129587_000026_000001	I wondered what memory he might have in him.	I wondered what memory he might have in him.
175_129587_000028_000000	The creature was little better than an idiot.	The creature was little better than an idiot.
175_129587_000029_000000	I was so intent upon these peculiarities that I scarcely noticed the path we followed.	I was so intent upon these peculiarities that I scarcely noticed the path we followed.
175_129587_000029_000002	On our right, over a shoulder of bare rock, I saw the level blue of the sea.	On our right, over a shoulder of bare rock, I saw the level blue of the sea.
175_129587_000029_000003	The path coiled down abruptly into a narrow ravine between two tumbled and knotty masses of blackish scoriae. Into this we plunged.	The path coiled down abruptly into a narrow ravine between two tumbled and knotty masses of blackish scoriae. Into this we plunged.
175_129587_000030_000000	It was extremely dark, this passage, after the blinding sunlight reflected from the sulphurous ground.	It was extremely dark, this passage, after the blinding sunlight reflected from the sulphurous ground.
175_129587_000030_000002	Blotches of green and crimson drifted across my eyes. My conductor stopped suddenly.	Blotches of green and crimson drifted across my eyes. My conductor stopped suddenly.
