175_129587_000000_000000	"Ruin the work of a lifetime," I heard Moreau say.	"Ruin the work of a lifetime," I heard Moreau say.	false	0	3.66	20.235086
175_129587_000001_000000	"He does not understand," said Montgomery. and other things that were inaudible.	"He does not understand," said Montgomery. and other things that were inaudible.	false	3.66	6.21	21.42978
175_129587_000002_000000	"I can't spare the time yet," said Moreau.	"I can't spare the time yet," said Moreau.	false	6.21	6.42	-4
175_129587_000003_000000	The rest I did not hear.	The rest I did not hear.	false	6.42	6.42	
175_129587_000003_000001	I picked myself up and stood trembling, my mind a chaos of the most horrible misgivings.	I picked myself up and stood trembling, my mind a chaos of the most horrible misgivings.	false	6.42	7.59	22
175_129587_000003_000002	Could it be possible, I thought, that such a thing as the vivisection of men was carried on here?	Could it be possible, I thought, that such a thing as the vivisection of men was carried on here?	false	7.59	14.61	21.787346
175_129587_000003_000003	The question shot like lightning across a tumultuous sky; and suddenly the clouded horror of my mind condensed into a vivid realisation of my own danger.	The question shot like lightning across a tumultuous sky; and suddenly the clouded horror of my mind condensed into a vivid realisation of my own danger.	false	14.61	28.65	21.682606
175_129587_000004_000000	XI.	XI.	false	28.65	29.4	-20
175_129587_000004_000001	THE HUNTING OF THE MAN.	THE HUNTING OF THE MAN.	true	29.4	30.78	16
175_129587_000005_000000	IT came before my mind with an unreasonable hope of escape that the outer door of my room was still open to me.	i t came before my mind with an unreasonable hope of escape that the outer door of my room was still open to me.	false	30.78	39.94	19.760569
175_129587_000005_000001	I was convinced now, absolutely assured, that Moreau had been vivisecting a human being. All the time since I had heard his name, I had been trying to link in my mind in some way the grotesque animalism of the islanders with his abominations; and now I thought I saw it all. The memory of his work on the transfusion of blood recurred to me. These creatures I had seen were the victims of some hideous experiment. These sickening scoundrels had merely intended to keep me back, to fool me with their display of confidence, and presently to fall upon me with a fate more horrible than death,--with torture; and after torture the most hideous degradation it is possible to conceive,--to send me off a lost soul, a beast, to the rest of their Comus rout.	I was convinced now, absolutely assured, that Moreau had been vivisecting a human being. All the time since I had heard his name, I had been trying to link in my mind in some way the grotesque animalism of the islanders with his abominations; and now I thought I saw it all. The memory of his work on the transfusion of blood recurred to me. These creatures I had seen were the victims of some hideous experiment. These sickening scoundrels had merely intended to keep me back, to fool me with their display of confidence, and presently to fall upon me with a fate more horrible than death,--with torture; and after torture the most hideous degradation it is possible to conceive,--to send me off a lost soul, a beast, to the rest of their Comus rout.	false	40.85	89.89	21.830706
