1513_140222_000000_000000	ION	ION	false	0.63	17.535	19.287653
1513_140222_000001_000000	PERSONS OF THE DIALOGUE: Socrates, Ion.	PERSONS OF THE DIALOGUE: Socrates, Ion.	true	17.535	21.19	20.139683
1513_140222_000002_000000	SOCRATES: Welcome, Ion.	SOCRATES: Welcome, Ion.	true	21.65	24.22	16.67116
1513_140222_000002_000001	Are you from your native city of Ephesus?	Are you from your native city of Ephesus?	true	24.59	27.07	18.505342
1513_140222_000003_000000	ION: No, Socrates; but from Epidaurus, where I attended the festival of Asclepius.	ION: No, Socrates; but from Epidaurus, where I attended the festival of Asclepius.	true	27.47	34.155	20.631508
1513_140222_000004_000000	SOCRATES: And do the Epidaurians have contests of rhapsodes at the festival?	SOCRATES: And do the Epidaurians have contests of rhapsodes at the festival?	true	34.155	39.88	18.59712
1513_140222_000005_000000	ION: O yes; and of all sorts of musical performers.	ION: O yes; and of all sorts of musical performers.	true	39.89	44.56	19.977274
1513_140222_000006_000000	SOCRATES: And were you one of the competitors--and did you succeed?	SOCRATES: And were you one of the competitors-and did you succeed?	true	45.35	50.47	18.56527
1513_140222_000007_000000	ION: I obtained the first prize of all, Socrates.	ION: I obtained the first prize of all, Socrates.	true	50.87	54.97	19.480501
1513_140222_000008_000000	SOCRATES: Well done; and I hope that you will do the same for us at the Panathenaea.	SOCRATES: Well done; and I hope that you will do the same for us at the Panathenaea.	true	55.67	61.54	20.651197
1513_140222_000009_000000	ION: And I will, please heaven.	ION: And I will, please heaven.	true	61.85	64.96	19.05861
1513_140222_000010_000000	SOCRATES: I often envy the profession of a rhapsode, Ion; for you have always to wear fine clothes, and to look as beautiful as you can is a part of your art.	SOCRATES: I often envy the profession of a rhapsode, Ion; for you have always to wear fine clothes, and to look as beautiful as you can is a part of your art.	true	66.2	79.54	19.467712
1513_140222_000010_000001	Then, again, you are obliged to be continually in the company of many good poets; and especially of Homer, who is the best and most divine of them; and to understand him, and not merely learn his words by rote, is a thing greatly to be envied.	Then, again, you are obliged to be continually in the company of many good poets; and especially of Homer, who is the best and most divine of them; and to understand him, and not merely learn his words by rote, is a thing greatly to be envied.	false	80.06	99.82	18.572485
1513_140222_000010_000002	And no man can be a rhapsode who does not understand the meaning of the poet.	And no man can be a rhapsode who does not understand the meaning of the poet.	true	100.85	105.94	18.829803
1513_140222_000010_000003	For the rhapsode ought to interpret the mind of the poet to his hearers, but how can he interpret him well unless he knows what he means?	For the rhapsode ought to interpret the mind of the poet to his hearers, but how can he interpret him well unless he knows what he means?	true	106.82	117.04	19.860691
1513_140222_000010_000004	All this is greatly to be envied.	All this is greatly to be envied.	true	117.62	120.01	17.712444
1513_140222_000011_000000	ION: Very true, Socrates; interpretation has certainly been the most laborious part of my art; and I believe myself able to speak about Homer better than any man; and that neither Metrodorus of Lampsacus, nor Stesimbrotus of Thasos, nor Glaucon, nor any one else who ever was, had as good ideas about Homer as I have, or as many.	ION: Very true, Socrates; interpretation has certainly been the most laborious part of my art; and I believe myself able to speak about Homer better than any man; and that neither Metrodorus of Lampsacus, nor Stesimbrotus of Thasos, nor Glaucon, nor any one else who ever was, had as good ideas about Homer as I have, or as many.	true	121.25	151.09	19.446108
1513_140222_000012_000000	SOCRATES: I am glad to hear you say so, Ion; I see that you will not refuse to acquaint me with them.	SOCRATES: I am glad to hear you say so, Ion; I see that you will not refuse to acquaint me with them.	true	151.91	159.85	18.610605
1513_140222_000013_000000	ION: Certainly, Socrates; and you really ought to hear how exquisitely I render Homer.	ION: Certainly, Socrates; and you really ought to hear how exquisitely I render Homer.	true	160.31	166.99	18.773773
1513_140222_000013_000001	I think that the Homeridae should give me a golden crown.	I think that the Homeridae should give me a golden crown.	false	167.33	170.65	14
1513_140222_000014_000000	SOCRATES: I shall take an opportunity of hearing your embellishments of him at some other time.	SOCRATES: I shall take an opportunity of hearing your embellishments of him at some other time.	false	171.5	178.14	19.185598
1513_140222_000014_000001	But just now I should like to ask you a question: Does your art extend to Hesiod and Archilochus, or to Homer only?	But just now I should like to ask you a question: Does your art extend to Hesiod and Archilochus, or to Homer only?	false	178.14	187.78	19.383018
1513_140222_000015_000000	ION: To Homer only; he is in himself quite enough.	ION: To Homer only; he is in himself quite enough.	false	188.54	193.995	18.560703
1513_140222_000016_000000	SOCRATES: Are there any things about which Homer and Hesiod agree?	SOCRATES: Are there any things about which Homer and Hesiod agree?	false	193.995	199	19.3101
1513_140222_000017_000000	ION: Yes; in my opinion there are a good many.	ION: Yes; in my opinion there are a good many.	false	199.1	202.84	19.980112
1513_140222_000018_000000	SOCRATES: And can you interpret better what Homer says, or what Hesiod says, about these matters in which they agree?	SOCRATES: And can you interpret better what Homer says, or what Hesiod says, about these matters in which they agree?	false	203.33	212.88	19.173466
1513_140222_000019_000000	ION: I can interpret them equally well, Socrates, where they agree.	ION: I can interpret them equally well, Socrates, where they agree.	false	212.88	217.99	19.639374
1513_140222_000020_000000	SOCRATES: But what about matters in which they do not agree?--for example, about divination, of which both Homer and Hesiod have something to say,--	SOCRATES: But what about matters in which they do not agree?--for example, about divination, of which both Homer and Hesiod have something to say,--	true	219.14	230.08	18.234606
1513_140222_000021_000000	ION: Very true:	ION: Very true:	true	230.51	232.51	20.520256
1513_140222_000022_000000	SOCRATES: Would you or a good prophet be a better interpreter of what these two poets say about divination, not only when they agree, but when they disagree?	SOCRATES: Would you or a good prophet be a better interpreter of what these two poets say about divination, not only when they agree, but when they disagree?	true	233.54	246.37	19.162046
1513_140222_000023_000000	ION: A prophet.	ION: A prophet.	true	247.25	249.31	20.893599
1513_140222_000024_000000	SOCRATES: And if you were a prophet, would you not be able to interpret them when they disagree as well as when they agree?	SOCRATES: And if you were a prophet, would you not be able to interpret them when they disagree as well as when they agree?	true	250.1	259.15	19.718287
1513_140222_000025_000000	ION: Clearly.	ION: Clearly.	true	259.67	261.43	21.02493
1513_140222_000026_000000	SOCRATES: But how did you come to have this skill about Homer only, and not about Hesiod or the other poets?	SOCRATES: But how did you come to have this skill about Homer only, and not about Hesiod or the other poets?	true	262.28	271.81	17.766392
1513_140222_000026_000001	Does not Homer speak of the same themes which all other poets handle?	Does not Homer speak of the same themes which all other poets handle?	false	272.96	278.11	20.577127
1513_140222_000026_000002	Is not war his great argument?	Is not war his great argument?	true	278.69	281.44	18.825102
1513_140222_000026_000003	and does he not speak of human society and of intercourse of men, good and bad, skilled and unskilled, and of the gods conversing with one another and with mankind, and about what happens in heaven and in the world below, and the generations of gods and heroes?	and does he not speak of human society and of intercourse of men, good and bad, skilled and unskilled, and of the gods conversing with one another and with mankind, and about what happens in heaven and in the world below, and the generations of gods and heroes?	false	282.08	303.88	19.044182
1513_140222_000026_000004	Are not these the themes of which Homer sings?	Are not these the themes of which Homer sings?	false	304.31	308.1	18.493689
1513_140222_000027_000000	ION: Very true, Socrates.	ION: Very true, Socrates.	true	308.1	310.87	18.934933
1513_140222_000028_000000	SOCRATES: And do not the other poets sing of the same?	SOCRATES: And do not the other poets sing of the same?	false	311.63	316.42	18.302486
1513_140222_000029_000000	ION: Yes, Socrates; but not in the same way as Homer.	ION: Yes, Socrates; but not in the same way as Homer.	true	316.58	321.34	20.060247
1513_140222_000030_000000	SOCRATES: What, in a worse way?	SOCRATES: What, in a worse way?	true	321.71	324.79	20.811764
1513_140222_000031_000000	ION: Yes, in a far worse.	ION: Yes, in a far worse.	true	325.07	328.48	21.1492
1513_140222_000032_000000	SOCRATES: And Homer in a better way?	SOCRATES: And Homer in a better way?	true	329	332.44	18.213566
1513_140222_000033_000000	ION: He is incomparably better.	ION: He is incomparably better.	false	332.6	336.07	18.288054
1513_140222_000034_000000	SOCRATES: And yet surely, my dear friend Ion, in a discussion about arithmetic, where many people are speaking, and one speaks better than the rest, there is somebody who can judge which of them is the good speaker?	SOCRATES: And yet surely, my dear friend Ion, in a discussion about arithmetic, where many people are speaking, and one speaks better than the rest, there is somebody who can judge which of them is the good speaker?	true	337.13	354.1	18.401628
1513_140222_000035_000000	ION: Yes.	ION: Yes.	true	354.5	355.9	20.092445
1513_140222_000036_000000	SOCRATES: And he who judges of the good will be the same as he who judges of the bad speakers?	SOCRATES: And he who judges of the good will be the same as he who judges of the bad speakers?	false	356.87	363.4	18.30565
1513_140222_000037_000000	ION: The same.	ION: The same.	true	363.8	365.47	17.978088
1513_140222_000038_000000	SOCRATES: And he will be the arithmetician?	SOCRATES: And he will be the arithmetician?	false	365.69	369.46	18.17845
1513_140222_000039_000000	ION: Yes.	ION: Yes.	true	370.07	371.56	18.486582
1513_140222_000040_000000	SOCRATES: Well, and in discussions about the wholesomeness of food, when many persons are speaking, and one speaks better than the rest, will he who recognizes the better speaker be a different person from him who recognizes the worse, or the same?	SOCRATES: Well, and in discussions about the wholesomeness of food, when many persons are speaking, and one speaks better than the rest, will he who recognizes the better speaker be a different person from him who recognizes the worse, or the same?	false	372.05	392.655	18.992874
1513_140222_000041_000000	ION: Clearly the same.	ION: Clearly the same.	true	392.655	394.9	20.023695
1513_140222_000042_000000	SOCRATES: And who is he, and what is his name?	SOCRATES: And who is he, and what is his name?	true	395.39	399.46	18.369501
1513_140222_000043_000000	ION: The physician.	ION: The physician.	true	399.8	401.98	19.365986
1513_140222_000044_000000	SOCRATES: And speaking generally, in all discussions in which the subject is the same and many men are speaking, will not he who knows the good know the bad speaker also?	SOCRATES: And speaking generally, in all discussions in which the subject is the same and many men are speaking, will not he who knows the good know the bad speaker also?	true	402.74	416.5	19.803965
1513_140222_000044_000001	For if he does not know the bad, neither will he know the good when the same topic is being discussed.	For if he does not know the bad, neither will he know the good when the same topic is being discussed.	true	417.71	424.27	19.1368
1513_140222_000045_000000	ION: True.	ION: True.	true	425.12	426.7	19.50997
1513_140222_000046_000000	SOCRATES: Is not the same person skilful in both?	SOCRATES: Is not the same person skilful in both?	true	428.27	433	18.738745
1513_140222_000047_000000	ION: Yes.	ION: Yes.	true	433.46	434.83	20.117634
1513_140222_000048_000000	SOCRATES: And you say that Homer and the other poets, such as Hesiod and Archilochus, speak of the same things, although not in the same way; but the one speaks well and the other not so well?	SOCRATES: And you say that Homer and the other poets, such as Hesiod and Archilochus, speak of the same things, although not in the same way; but the one speaks well and the other not so well?	true	435.38	450.85	18.825531
1513_140222_000049_000000	ION: Yes; and I am right in saying so.	ION: Yes; and I am right in saying so.	true	451.37	455.2	20.907547
1513_140222_000050_000000	SOCRATES: And if you knew the good speaker, you would also know the inferior speakers to be inferior?	SOCRATES: And if you knew the good speaker, you would also know the inferior speakers to be inferior?	true	455.87	463.96	17.819101
1513_140222_000051_000000	ION: That is true.	ION: That is true.	true	464.09	466.42	21.168444
