8677_291953_000000_000000	A. PHILIPS.	A. PHILIPS.	false	6.96	26.385	22.21882
8677_291953_000001_000000	122.	one hundred twenty two.	false	26.385	28.44	22.612864
8677_291953_000001_000001	RULE BRITANNIA.	RULE BRITANNIA.	false	28.44	30.75	24.382055
8677_291953_000002_000000	When Britain first at Heaven's command Arose from out the azure main, This was the charter of her land, And guardian angels sung the strain: Rule Brittania!	When Britain first at Heaven's command Arose from out the azure main, This was the charter of her land, And guardian angels sung the strain: Rule Brittania!	true	30.75	41.805	19
8677_291953_000002_000001	Brittania rules the waves! Britons never shall be slaves.	Brittania rules the waves! Britons never shall be slaves.	false	41.805	46.06	21.951822
8677_291953_000003_000000	The nations not so blest as thee Must in their turn to tyrants fall, Whilst thou shalt flourish great and free The dread and envy of them all.	The nations not so blest as thee Must in their turn to tyrants fall, Whilst thou shalt flourish great and free The dread and envy of them all.	false	46.55	55.99	21
8677_291953_000004_000000	Still more majestic shalt thou rise, More dreadful from each foreign stroke; As the loud blast that tears the skies Serves but to root thy native oak.	Still more majestic shalt thou rise, More dreadful from each foreign stroke; As the loud blast that tears the skies Serves but to root thy native oak.	true	56.3	66.75	23
8677_291953_000005_000000	Thee haughty tyrants ne'er shall tame; All their attempts to bend thee down Will but arouse thy generous flame, And work their woe and thy renown.	Thee haughty tyrants ne'er shall tame; All their attempts to bend thee down Will but arouse thy generous flame, And work their woe and thy renown.	false	66.75	75.91	20
8677_291953_000006_000000	To thee belongs the rural reign; Thy cities shall with commerce shine; All thine shall be the subject main, And every shore it circles thine!	To thee belongs the rural reign; Thy cities shall with commerce shine; All thine shall be the subject main, And every shore it circles thine!	true	76.4	85.27	19.123962
8677_291953_000007_000000	The Muses, still with Freedom found, Shall to thy happy coast repair; Blest Isle, with matchless beauty crown'd, And manly hearts to guard the fair:-- Rule Britannia!	The Muses, still with Freedom found, Shall to thy happy coast repair; Blest Isle, with matchless beauty crown'd, And manly hearts to guard the fair:-- Rule Britannia!	false	85.73	98.16	21.948875
8677_291953_000007_000001	Brittania rules the waves! Britons never shall be slaves!	Brittania rules the waves! Britons never shall be slaves!	true	98.16	102.76	21.998419
8677_291953_000008_000000	J. THOMSON.	J. THOMSON.	true	103.1	104.92	23.131592
8677_291953_000009_000000	123.	one hundred twenty three.	true	106.16	107.71	22.459753
8677_291953_000009_000001	THE BARD.	THE BARD.	true	107.78	108.78	23.232994
8677_291953_000010_000000	_Pindaric Ode._	underscore Pindaric Ode.underscore	false	108.78	111.75	28.269484
8677_291953_000011_000000	"Ruin seize thee, ruthless King! Confusion on thy banners wait! Tho' fann'd by Conquest's crimson wing They mock the air with idle state. Helm, nor hauberk's twisted mail Nor e'en thy virtues, tyrant, shall avail To save thy secret soul from nightly fears, From Cambria's curse, from Cambria's tears!" --Such were the sounds that o'er the crested pride Of the first Edward scatter'd wild dismay, As down the steep of Snowdon's shaggy side He wound with toilsome march his long array:-- Stout Glo'ster stood aghast in speechless trance; "To arms!" cried Mortimer, and couch'd quivering lance.	"Ruin seize thee, ruthless King! Confusion on thy banners wait! Tho' fann'd by Conquest's crimson wing They mock the air with idle state. Helm, nor hauberk's twisted mail Nor e'en thy virtues, tyrant, shall avail To save thy secret soul from nightly fears, From Cambria's curse, from Cambria's tears!" --Such were the sounds that o'er the crested pride Of the first Edward scatter'd wild dismay, As down the steep of Snowdon's shaggy side He wound with toilsome march his long array:-- Stout Glo'ster stood aghast in speechless trance; "To arms!" cried Mortimer, and couch'd quivering lance.	false	111.75	155.02	21.751713
8677_291953_000012_000000	On a rock, whose haughty brow Frowns o'er old Conway's foaming flood, Robed in the sable garb of woe With haggard eyes the Poet stood; (Loose his beard and hoary hair Stream'd like a meteor to the troubled air) And with a master's hand and prophet's fire Struck the deep sorrows of his lyre: "Hark, how each giant oak and desert-cave Sighs to the torrent's awful voice beneath! O'er thee, O King! their hundred arms they wave, Revenge on thee in hoarser murmurs breathe; Vocal no more, since Cambria's fatal day, To high-born Hoel's harp, or soft Llewellyn's lay.	On a rock, whose haughty brow Frowns o'er old Conway's foaming flood, Robed in the sable garb of woe With haggard eyes the Poet stood; (Loose his beard and hoary hair Stream'd like a meteor to the troubled air) And with a master's hand and prophet's fire Struck the deep sorrows of his lyre: "Hark, how each giant oak and desert cave Sighs to the torrent's awful voice beneath! O'er thee, O King! their hundred arms they wave, Revenge on thee in hoarser murmurs breathe; Vocal no more, since Cambria's fatal day, To high born Hoel's harp, or soft Llewellyn's lay.	false	155.18	196.48	21.58002
8677_291953_000013_000000	"Cold is Cadwallo's tongue That hush'd the stormy main; Brave Urien sleeps upon his craggy bed: Mountains, ye mourn in vain Modred, whose magic song Made huge Plinlimmon bow his cloud-topt head. On dreary Arvon's shore they lie Smear'd with gore and ghastly pale: Far, far aloof the affrighted ravens sail; The famish'd eagle screams, and passes by. Dear lost companions of my tuneful art, Dear as the light that visits these sad eyes, Dear as the ruddy drops that warm my heart, Ye died amidst your dying country's cries-- No more I weep; They do not sleep; On yonder cliffs, a griesly band, I see them sit; They linger yet, Avengers of their native land: With me in dreadful harmony they join, And weave with bloody hands the tissue of thy line.	"Cold is Cadwallo's tongue That hush'd the stormy main; Brave Urien sleeps upon his craggy bed: Mountains, ye mourn in vain Modred, whose magic song Made huge Plinlimmon bow his cloud topt head. On dreary Arvon's shore they lie Smear'd with gore and ghastly pale: Far, far aloof the affrighted ravens sail; The famish'd eagle screams, and passes by. Dear lost companions of my tuneful art, Dear as the light that visits these sad eyes, Dear as the ruddy drops that warm my heart, Ye died amidst your dying country's cries- No more I weep; They do not sleep; On yonder cliffs, a griesly band, I see them sit; They linger yet, Avengers of their native land: With me in dreadful harmony they join, And weave with bloody hands the tissue of thy line.	false	197.27	251.32	21.461842
8677_291953_000014_000000	"Weave the warp and weave the woof The winding-sheet of Edward's race: Give ample room and verge enough The characters of hell to trace. Mark the year and mark the night When Severn shall re-echo with affright The shrieks of death thro' Berkley's roof that ring, Shrieks of an agonising king! She-wolf of France, with unrelenting fangs That tear'st the bowels of thy mangled mate, From thee be born, who o'er thy country hangs The scourge of Heaven!	"Weave the warp and weave the woof The winding sheet of Edward's race: Give ample room and verge enough The characters of hell to trace. Mark the year and mark the night When Severn shall re echo with affright The shrieks of death thro' Berkley's roof that ring, Shrieks of an agonising king! She wolf of France, with unrelenting fangs That tear'st the bowels of thy mangled mate, From thee be born, who o'er thy country hangs The scourge of Heaven!	false	251.81	281.89	21
8677_291953_000014_000001	What terrors round him wait! Amazement in his van, with Flight combined, And Sorrow's faded form, and Solitude behind.	What terrors round him wait! Amazement in his van, with Flight combined, And Sorrow's faded form, and Solitude behind.	true	281.99	290.59	21.156248
