6371_63713_000001_000000	CHAPTER II	CHAPTER two
6371_63713_000002_000000	KING'S DAGGER	KING'S DAGGER
6371_63713_000004_000000	Mrs. Darcy, who was sixty-five years of age, had carried on the jewelry business of her husband, Mortimer Darcy, after his death, which preceded her more tragic one by about seven years.	mrs Darcy, who was sixty five years of age, had carried on the jewelry business of her husband, Mortimer Darcy, after his death, which preceded her more tragic one by about seven years.
6371_63713_000004_000001	Mortimer Darcy had been a diamond salesman for a large New York house in his younger days, and had come to be an expert in precious stones.	Mortimer Darcy had been a diamond salesman for a large New York house in his younger days, and had come to be an expert in precious stones.
6371_63713_000004_000002	Many good wishes, and not a little trade, had gone to him from his former employers, and some of their customers bought of him when he went into business for himself in the thriving city of Colchester.	Many good wishes, and not a little trade, had gone to him from his former employers, and some of their customers bought of him when he went into business for himself in the thriving city of Colchester.
6371_63713_000005_000001	This man--Harrison Van Doren by name--had what was termed the best jewelry trade in Colchester.	This man-Harrison Van Doren by name-had what was termed the best jewelry trade in Colchester.
6371_63713_000005_000002	The "old" families--not that any of them could trace their ancestry back very far--liked to say that "we get all our stuff at Van Doren's."	The "old" families-not that any of them could trace their ancestry back very far-liked to say that "we get all our stuff at Van Doren's."
6371_63713_000006_000000	This name, on little white plush-lined boxes, containing pins or sparkling rings, came to mean almost as much as some of the more expensive names in New York.	This name, on little white plush lined boxes, containing pins or sparkling rings, came to mean almost as much as some of the more expensive names in New York.
6371_63713_000006_000001	Young ladies counted it a point in the favor of their lovers if the engagement circlet came from Van Doren's. And Mortimer Darcy, knowing the value of that class of trade, had, when he purchased Mr. Van Doren's business fostered that spirit.	Young ladies counted it a point in the favor of their lovers if the engagement circlet came from Van Doren's. And Mortimer Darcy, knowing the value of that class of trade, had, when he purchased mr Van Doren's business fostered that spirit.
6371_63713_000007_000000	That is to say, those, aside from a casual trade with people who dropped in as they might have done to a grocery, to get what they really needed in the way of jewelry, came in gasolene or electric cars where their ancestors had come with horses and carriage.	That is to say, those, aside from a casual trade with people who dropped in as they might have done to a grocery, to get what they really needed in the way of jewelry, came in gasolene or electric cars where their ancestors had come with horses and carriage.
6371_63713_000008_000000	So Darcy's jewelry store was known, and though a bit old-fashioned in a way, was favorably known, not only to the older members of the rich families of the place, but to the younger set as well.	So Darcy's jewelry store was known, and though a bit old-fashioned in a way, was favorably known, not only to the older members of the rich families of the place, but to the younger set as well.
6371_63713_000008_000001	The pretty girls and their well-groomed companions of the "Assembly Ball" set liked to stop in there for their rings, brooches, scarf pins or cuff links, and very frequent were the rather languid orders:	The pretty girls and their well groomed companions of the "Assembly Ball" set liked to stop in there for their rings, brooches, scarf pins or cuff links, and very frequent were the rather languid orders:
6371_63713_000009_000000	"You may send it, charge."	"You may send it, charge."
6371_63713_000010_000000	It was to that class of trade that Mrs. Darcy catered.	It was to that class of trade that mrs Darcy catered.
6371_63713_000010_000001	She understood it, and it understood her.	She understood it, and it understood her.
6371_63713_000010_000002	That was enough.	That was enough.
6371_63713_000011_000001	This was the easier for her, since she owned the building in which her display was kept, and lived in a quiet and tastefully furnished apartment over the store.	This was the easier for her, since she owned the building in which her display was kept, and lived in a quiet and tastefully furnished apartment over the store.
6371_63713_000012_000000	On the death of her husband, she had sent for his second cousin, who at that time was in the employ of a well-known New York jewelry house, and he agreed to come to her.	On the death of her husband, she had sent for his second cousin, who at that time was in the employ of a well-known New York jewelry house, and he agreed to come to her.
6371_63713_000013_000000	Rather more than a repair man and clerk was James Darcy.	Rather more than a repair man and clerk was james Darcy.
6371_63713_000013_000001	He was an expert jewelry designer and a setter of precious stones; and often, when some fastidious customer did not seem to care for what was shown from the glittering trays in the showcases, Mrs. Darcy or one of her clerks would say:	He was an expert jewelry designer and a setter of precious stones; and often, when some fastidious customer did not seem to care for what was shown from the glittering trays in the showcases, mrs Darcy or one of her clerks would say:
6371_63713_000014_000000	"We will have Mr. Darcy design something different for you."	"We will have mr Darcy design something different for you."
6371_63713_000015_000000	"That's what I want," the customer would say--"something different--something you don't see everywhere."	"That's what I want," the customer would say-"something different-something you don't see everywhere."
6371_63713_000016_000000	And so the Darcy trade had grown and prospered.	And so the Darcy trade had grown and prospered.
6371_63713_000017_000000	"Well, let's hear what you have to say," said Carroll, after James Darcy had given what the detectives considered was, for the time, a sufficient history of himself and his relative, and had hastily gone over such of the stock as was kept outside the safe.	"Well, let's hear what you have to say," said Carroll, after james Darcy had given what the detectives considered was, for the time, a sufficient history of himself and his relative, and had hastily gone over such of the stock as was kept outside the safe.
6371_63713_000017_000001	The latter had not been forced open--it did not take long to ascertain that.	The latter had not been forced open-it did not take long to ascertain that.
6371_63713_000017_000002	"Is anything gone?"	"Is anything gone?"
6371_63713_000018_000000	"I can't say for sure," answered the young man--he was this side of thirty.	"I can't say for sure," answered the young man-he was this side of thirty.
6371_63713_000018_000001	His long, artistic fingers were trembling, and he felt weak and faint.	His long, artistic fingers were trembling, and he felt weak and faint.
6371_63713_000018_000002	"But if there has been a robbery they didn't get much.	"But if there has been a robbery they didn't get much.
6371_63713_000018_000003	The safe hasn't been opened, and the best of the goods--all the diamonds and other stones--are in that.	The safe hasn't been opened, and the best of the goods-all the diamonds and other stones-are in that.
6371_63713_000018_000004	Nothing seems to be gone from the cases, though I'd have to make a better search, and go over the inventory, to make certain."	Nothing seems to be gone from the cases, though I'd have to make a better search, and go over the inventory, to make certain."
6371_63713_000019_000000	"Well, let that go for the time.	"Well, let that go for the time.
6371_63713_000019_000001	How'd you find things when you came downstairs?	How'd you find things when you came downstairs?
6371_63713_000019_000002	What happened during the night?	What happened during the night?
6371_63713_000019_000003	Any of the doors or windows forced?" and the detective fairly shot these questions at Darcy,	Any of the doors or windows forced?" and the detective fairly shot these questions at Darcy,
6371_63713_000020_000000	"I think not.	"I think not.
6371_63713_000020_000001	The front door was locked, just as it is now.	The front door was locked, just as it is now.
6371_63713_000020_000002	I went out the side one.	I went out the side one.
6371_63713_000020_000003	That was locked with the spring catch from the inside."	That was locked with the spring catch from the inside."
6371_63713_000021_000000	"Wasn't it bolted?" came sharply from Thong.	"Wasn't it bolted?" came sharply from Thong.
6371_63713_000022_000001	You see, I was all excited like--"	You see, I was all excited like-"
6371_63713_000023_000000	"Yes," assented Thong.	"Yes," assented Thong.
6371_63713_000024_000000	"There's a bolt on the door!" Carroll snapped.	"There's a bolt on the door!" Carroll snapped.
6371_63713_000025_000000	"Yes, but Mrs. Darcy may have slipped it back herself.	"Yes, but mrs Darcy may have slipped it back herself.
6371_63713_000025_000001	She was down first, though why, I can't say.	She was down first, though why, I can't say.
6371_63713_000025_000002	She seldom came down ahead of me, especially of late years.	She seldom came down ahead of me, especially of late years.
6371_63713_000025_000003	I generally opened the store.	I generally opened the store.
6371_63713_000026_000000	More knockings had sounded on the front door, and the faces of two young men peered in through the misty glass, the crowd having made a lane for them on learning that they worked in the place of death.	More knockings had sounded on the front door, and the faces of two young men peered in through the misty glass, the crowd having made a lane for them on learning that they worked in the place of death.
6371_63713_000028_000000	Darcy did so, Mulligan helping him keep back the crowd of curious ones.	Darcy did so, Mulligan helping him keep back the crowd of curious ones.
6371_63713_000029_000001	"What's the matter?	"What's the matter?
6371_63713_000030_000000	"Dead!	"Dead!
6371_63713_000030_000001	Killed, I'm afraid!	Killed, I'm afraid!
6371_63713_000030_000002	The store won't open to-day, but the police want to see every one.	The store won't open to day, but the police want to see every one.
6371_63713_000030_000003	Oh, Miss Brill, come in!" and he held out his hand to the one young woman clerk, who drew back in horrified fright as she saw the silent figure on the floor.	Oh, Miss Brill, come in!" and he held out his hand to the one young woman clerk, who drew back in horrified fright as she saw the silent figure on the floor.
6371_63713_000032_000000	But when Miss Brill had been carried to a rear room and quieted, and when the shades had been drawn to keep the curious ones from peering in, the questioning of Darcy was resumed.	But when Miss Brill had been carried to a rear room and quieted, and when the shades had been drawn to keep the curious ones from peering in, the questioning of Darcy was resumed.
6371_63713_000033_000000	"Did you come directly down to the store from your room?" asked Thong.	"Did you come directly down to the store from your room?" asked Thong.
6371_63713_000034_000000	"Yes.	"Yes.
6371_63713_000034_000001	As soon as I awakened."	As soon as I awakened."
6371_63713_000035_000000	"Where is your room?"	"Where is your room?"
6371_63713_000036_000000	"In the rear, on the second floor--the one next above.	"In the rear, on the second floor-the one next above.
6371_63713_000036_000001	Mrs. Darcy has her rooms in front.	mrs Darcy has her rooms in front.
6371_63713_000036_000002	Then come those of her maid, Jane Metson.	Then come those of her maid, Jane Metson.
6371_63713_000036_000003	Sallie Page sleeps on the top floor where the janitor's family lives, and he, of course, sleeps up there also."	Sallie Page sleeps on the top floor where the janitor's family lives, and he, of course, sleeps up there also."
6371_63713_000037_000000	"I see," murmured Carroll.	"I see," murmured Carroll.
6371_63713_000037_000001	"Then you came downstairs and found Mrs. Darcy lying here--dead?"	"Then you came downstairs and found mrs Darcy lying here-dead?"
6371_63713_000039_000001	"No question about that.	"No question about that.
6371_63713_000039_000002	Did you hear anything?"	Did you hear anything?"
6371_63713_000040_000000	"Only the watch ticking in her hand.	"Only the watch ticking in her hand.
6371_63713_000040_000001	First I thought it was her heart beating."	First I thought it was her heart beating."
6371_63713_000041_000002	But of course she might have heard a noise if you didn't, and she might have come down to find out what it was about.	But of course she might have heard a noise if you didn't, and she might have come down to find out what it was about.
6371_63713_000041_000004	But if it was a burglar it's funny you didn't hear any noise--like a fall, or something.	But if it was a burglar it's funny you didn't hear any noise-like a fall, or something.
6371_63713_000041_000005	How about that, Mr. Darcy?"	How about that, mr Darcy?"
6371_63713_000042_000001	I went to bed about half past ten, after working at my table down here awhile."	I went to bed about half past ten, after working at my table down here awhile."
6371_63713_000044_000000	"I couldn't say.	"I couldn't say.
6371_63713_000044_000001	She had gone to her apartment, but I don't have to pass near that to get to my room.	She had gone to her apartment, but I don't have to pass near that to get to my room.
6371_63713_000044_000002	I came straight up and went to bed."	I came straight up and went to bed."
6371_63713_000045_000000	"At ten o'clock, you say?"	"At ten o'clock, you say?"
6371_63713_000046_000000	"A little after.	"A little after.
6371_63713_000046_000001	It may have been a quarter to eleven."	It may have been a quarter to eleven."
6371_63713_000047_000000	"And you didn't hear anything all night?" Carroll shot this question at Darcy suddenly.	"And you didn't hear anything all night?" Carroll shot this question at Darcy suddenly.
6371_63713_000049_000000	"What kind of talk is that?" demanded Thong roughly.	"What kind of talk is that?" demanded Thong roughly.
6371_63713_000049_000002	Now which was it?"	Now which was it?"
6371_63713_000050_000000	"Well, if you call a clock striking a noise, then it was one."	"Well, if you call a clock striking a noise, then it was one."
6371_63713_000051_000000	"Oh, a clock struck!" and Thong settled back in his chair more at his ease.	"Oh, a clock struck!" and Thong settled back in his chair more at his ease.
6371_63713_000051_000001	His manner seemed to indicate that he was on the track of something.	His manner seemed to indicate that he was on the track of something.
6371_63713_000052_000000	"Yes, a clock struck.	"Yes, a clock struck.
6371_63713_000052_000001	It was either three or four, I can't be sure which," Darcy replied.	It was either three or four, I can't be sure which," Darcy replied.
6371_63713_000052_000002	"You know when you awaken in the night, and hear the strokes, you can't be sure you haven't missed some of the first ones.	"You know when you awaken in the night, and hear the strokes, you can't be sure you haven't missed some of the first ones.
6371_63713_000052_000003	I heard three, anyhow, I'm sure of that."	I heard three, anyhow, I'm sure of that."
6371_63713_000053_000000	"Well, put it down as three," suggested Thong.	"Well, put it down as three," suggested Thong.
6371_63713_000053_000001	"Was it the striking of the clock that awakened you?"	"Was it the striking of the clock that awakened you?"
6371_63713_000054_000000	"No, not exactly.	"No, not exactly.
6371_63713_000055_000001	They were questioning Darcy in the living-room of Mrs. Darcy's suite, the clerks being detained downstairs by Mulligan.	They were questioning Darcy in the living room of mrs Darcy's suite, the clerks being detained downstairs by Mulligan.
6371_63713_000055_000002	The county physician, who was also the coroner, had not yet arrived.	The county physician, who was also the coroner, had not yet arrived.
6371_63713_000056_000000	"Yes, at first I thought some one had been in my room, and then, after I thought about it, I wasn't quite sure.	"Yes, at first I thought some one had been in my room, and then, after I thought about it, I wasn't quite sure.
6371_63713_000056_000001	All I know is I slept quite soundly--sounder than usual in fact, and, all at once, I heard a clock strike."	All I know is I slept quite soundly-sounder than usual in fact, and, all at once, I heard a clock strike."
6371_63713_000057_000000	"Three or four," murmured Thong.	"Three or four," murmured Thong.
6371_63713_000058_000000	"Yes; three anyhow--maybe four.	"Yes; three anyhow-maybe four.
6371_63713_000058_000001	Something awakened me suddenly; but what, I can't say.	Something awakened me suddenly; but what, I can't say.
6371_63713_000058_000002	I remember, at the time, it felt as though something had passed over my face."	I remember, at the time, it felt as though something had passed over my face."
6371_63713_000059_000000	"Like a hand?" suggested Carroll.	"Like a hand?" suggested Carroll.
