2137_131751_000002_000000	XVIII.	eighteen.
2137_131751_000002_000001	EDISON'S NEW STORAGE BATTERY	EDISON'S NEW STORAGE BATTERY
2137_131751_000003_000000	GENERICALLY considered, a "battery" is a device which generates electric current.	GENERICALLY considered, a "battery" is a device which generates electric current.
2137_131751_000003_000002	On closing the circuit of a primary battery an electric current is generated by reason of the chemical action which is set up between the electrolyte and the elements. This involves a gradual consumption of one of the elements and a corresponding exhaustion of the active properties of the electrolyte.	On closing the circuit of a primary battery an electric current is generated by reason of the chemical action which is set up between the electrolyte and the elements. This involves a gradual consumption of one of the elements and a corresponding exhaustion of the active properties of the electrolyte.
2137_131751_000003_000003	By reason of this, both the element and the electrolyte that have been used up must be renewed from time to time, in order to obtain a continued supply of electric current.	By reason of this, both the element and the electrolyte that have been used up must be renewed from time to time, in order to obtain a continued supply of electric current.
2137_131751_000004_000001	To the lay mind a "storage" battery presents itself in the aspect of a device in which electric energy is STORED, just as compressed air is stored or accumulated in a tank.	To the lay mind a "storage" battery presents itself in the aspect of a device in which electric energy is STORED, just as compressed air is stored or accumulated in a tank.
2137_131751_000004_000002	This view, however, is not in accordance with facts.	This view, however, is not in accordance with facts.
2137_131751_000004_000003	It is exactly like the primary battery in the fundamental circumstance that its ability for generating electric current depends upon chemical action.	It is exactly like the primary battery in the fundamental circumstance that its ability for generating electric current depends upon chemical action.
2137_131751_000004_000004	In strict terminology it is a "reversible" battery, as will be quite obvious if we glance briefly at its philosophy.	In strict terminology it is a "reversible" battery, as will be quite obvious if we glance briefly at its philosophy.
2137_131751_000004_000006	Thus, the positive plate becomes oxidized, and the negative plate reduced.	Thus, the positive plate becomes oxidized, and the negative plate reduced.
2137_131751_000004_000007	After the charging operation is concluded the battery is ready for use, and upon its circuit being closed through a translating device, such as a lamp or motor, a reversion ("discharge") takes place, the positive plate giving up its oxygen, and the negative plate being oxidized.	After the charging operation is concluded the battery is ready for use, and upon its circuit being closed through a translating device, such as a lamp or motor, a reversion ("discharge") takes place, the positive plate giving up its oxygen, and the negative plate being oxidized.
2137_131751_000005_000000	The storage battery, as a commercial article, was introduced into the market in the year 1881.	The storage battery, as a commercial article, was introduced into the market in the year eighteen eighty one.
2137_131751_000005_000001	At that time, and all through the succeeding years, until about 1905, there was only one type that was recognized as commercially practicable--namely, that known as the lead-sulphuric-acid cell, consisting of lead plates immersed in an electrolyte of dilute sulphuric acid.	At that time, and all through the succeeding years, until about nineteen o five, there was only one type that was recognized as commercially practicable-namely, that known as the lead sulphuric acid cell, consisting of lead plates immersed in an electrolyte of dilute sulphuric acid.
2137_131751_000005_000002	In the year last named Edison first brought out his new form of nickel-iron cell with alkaline electrolyte, as we have related in the preceding narrative.	In the year last named Edison first brought out his new form of nickel iron cell with alkaline electrolyte, as we have related in the preceding narrative.
2137_131751_000005_000003	Early in the eighties, at Menlo Park, he had given much thought to the lead type of storage battery, and during the course of three years had made a prodigious number of experiments in the direction of improving it, probably performing more experiments in that time than the aggregate of those of all other investigators.	Early in the eighties, at Menlo Park, he had given much thought to the lead type of storage battery, and during the course of three years had made a prodigious number of experiments in the direction of improving it, probably performing more experiments in that time than the aggregate of those of all other investigators.
2137_131751_000005_000004	Even in those early days he arrived at the conclusion that the lead-sulphuric-acid combination was intrinsically wrong, and did not embrace the elements of a permanent commercial device.	Even in those early days he arrived at the conclusion that the lead sulphuric acid combination was intrinsically wrong, and did not embrace the elements of a permanent commercial device.
2137_131751_000005_000005	He did not at that time, however, engage in a serious search for another form of storage battery, being tremendously occupied with his lighting system and other matters.	He did not at that time, however, engage in a serious search for another form of storage battery, being tremendously occupied with his lighting system and other matters.
2137_131751_000006_000001	This type of cell, however, has many serious disadvantages inherent to its very nature.	This type of cell, however, has many serious disadvantages inherent to its very nature.
2137_131751_000006_000003	The tremendously complex nature of the chemical reactions which take place in the lead-acid storage battery also renders it an easy prey to many troublesome diseases.	The tremendously complex nature of the chemical reactions which take place in the lead acid storage battery also renders it an easy prey to many troublesome diseases.
2137_131751_000007_000001	He said that the intimate and continued companionship of an acid and a metal was unnatural, and incompatible with the idea of durability and simplicity.	He said that the intimate and continued companionship of an acid and a metal was unnatural, and incompatible with the idea of durability and simplicity.
2137_131751_000007_000003	The soundness of his reasoning is amply justified by the perfection of results obtained in the new type of storage battery bearing his name, and now to be described.	The soundness of his reasoning is amply justified by the perfection of results obtained in the new type of storage battery bearing his name, and now to be described.
2137_131751_000008_000000	The essential technical details of this battery are fully described in an article written by one of Edison's laboratory staff, Walter E. Holland, who for many years has been closely identified with the inventor's work on this cell The article was published in the Electrical World, New York, April 28, 1910; and the following extracts therefrom will afford an intelligent comprehension of this invention:	The essential technical details of this battery are fully described in an article written by one of Edison's laboratory staff, Walter e Holland, who for many years has been closely identified with the inventor's work on this cell The article was published in the Electrical World, New York, april twenty eighth nineteen ten; and the following extracts therefrom will afford an intelligent comprehension of this invention:
2137_131751_000009_000000	"The 'A' type Edison cell is the outcome of nine years of costly experimentation and persistent toil on the part of its inventor and his associates....	"The 'A' type Edison cell is the outcome of nine years of costly experimentation and persistent toil on the part of its inventor and his associates....
2137_131751_000010_000000	"The Edison invention involves the use of an entirely new voltaic combination in an alkaline electrolyte, in place of the lead-lead-peroxide combination and acid electrolyte, characteristic of all other commercial storage batteries.	"The Edison invention involves the use of an entirely new voltaic combination in an alkaline electrolyte, in place of the lead lead peroxide combination and acid electrolyte, characteristic of all other commercial storage batteries.
2137_131751_000010_000001	Experience has proven that this not only secures durability and greater output per unit-weight of battery, but in addition there is eliminated a long list of troubles and diseases inherent in the lead-acid combination....	Experience has proven that this not only secures durability and greater output per unit weight of battery, but in addition there is eliminated a long list of troubles and diseases inherent in the lead acid combination....
