2204_131732_000000_000000	THE title of this chapter might imply that there is an unsocial side to Edison.	THE title of this chapter might imply that there is an unsocial side to Edison.	true	33.24	38.14	17
2204_131732_000000_000001	In a sense this is true, for no one is more impatient or intolerant of interruption when deeply engaged in some line of experiment.	In a sense this is true, for no one is more impatient or intolerant of interruption when deeply engaged in some line of experiment.	true	38.57	48.13	22.778976
2204_131732_000000_000002	Then the caller, no matter how important or what his mission, is likely to realize his utter insignificance and be sent away without accomplishing his object.	Then the caller, no matter how important or what his mission, is likely to realize his utter insignificance and be sent away without accomplishing his object.	true	48.71	58.21	20.955421
2204_131732_000000_000003	But, generally speaking, Edison is easy tolerance itself, with a peculiar weakness toward those who have the least right to make any demands on his time.	But, generally speaking, Edison is easy tolerance itself, with a peculiar weakness toward those who have the least right to make any demands on his time.	false	58.61	68.29	23.478037
2204_131732_000000_000004	Man is a social animal, and that describes Edison; but it does not describe accurately the inventor asking to be let alone.	Man is a social animal, and that describes Edison; but it does not describe accurately the inventor asking to be let alone.	true	68.63	76.84	21.77324
2204_131732_000001_000000	Edison never sought Society; but "Society" has never ceased to seek him, and to-day, as ever, the pressure upon him to give up his work and receive honors, meet distinguished people, or attend public functions, is intense.	Edison never sought Society; but "Society" has never ceased to seek him, and to day, as ever, the pressure upon him to give up his work and receive honors, meet distinguished people, or attend public functions, is intense.	true	77.96	93.34	22.145157
2204_131732_000001_000001	Only two or three years ago, a flattering invitation came from one of the great English universities to receive a degree, but at that moment he was deep in experiments on his new storage battery, and nothing could budge him.	Only two or three years ago, a flattering invitation came from one of the great English universities to receive a degree, but at that moment he was deep in experiments on his new storage battery, and nothing could budge him.	true	93.74	105.7	19
2204_131732_000001_000002	He would not drop the work, and while highly appreciative of the proposed honor, let it go by rather than quit for a week or two the stern drudgery of probing for the fact and the truth. Whether one approves or not, it is at least admirable stoicism, of which the world has too little.	He would not drop the work, and while highly appreciative of the proposed honor, let it go by rather than quit for a week or two the stern drudgery of probing for the fact and the truth. Whether one approves or not, it is at least admirable stoicism, of which the world has too little.	false	106.07	123.31	23.27536
2204_131732_000001_000003	A similar instance is that of a visit paid to the laboratory by some one bringing a gold medal from a foreign society. It was a very hot day in summer, the visitor was in full social regalia of silk hat and frock-coat, and insisted that he could deliver the medal only into Edison's hands.	A similar instance is that of a visit paid to the laboratory by some one bringing a gold medal from a foreign society. It was a very hot day in summer, the visitor was in full social regalia of silk hat and frock coat, and insisted that he could deliver the medal only into Edison's hands.	false	123.92	141.49	21.172117
2204_131732_000001_000004	At that moment Edison, stripped pretty nearly down to the buff, was at the very crisis of an important experiment, and refused absolutely to be interrupted.	At that moment Edison, stripped pretty nearly down to the buff, was at the very crisis of an important experiment, and refused absolutely to be interrupted.	true	142.16	151.66	23.501822
2204_131732_000001_000005	He had neither sought nor expected the medal; and if the delegate didn't care to leave it he could take it away.	He had neither sought nor expected the medal; and if the delegate didn't care to leave it he could take it away.	true	152.15	157.63	21.766151
