3446_144019_000000_000000	CHAPTER XVI BÊCHE DE MER ENGLISH	CHAPTER sixteen BÊCHE DE MER ENGLISH	false	0.51	22.08	22.40532
3446_144019_000001_000000	GIVEN a number of white traders, a wide area of land, and scores of savage languages and dialects, the result will be that the traders will manufacture a totally new, unscientific, but perfectly adequate, language.	GIVEN a number of white traders, a wide area of land, and scores of savage languages and dialects, the result will be that the traders will manufacture a totally new, unscientific, but perfectly adequate, language.	true	22.08	36.1	19
3446_144019_000001_000001	This the traders did when they invented the Chinook lingo for use over British Columbia, Alaska, and the Northwest Territory.	This the traders did when they invented the Chinook lingo for use over British Columbia, Alaska, and the Northwest Territory.	true	36.62	44.05	15
3446_144019_000001_000002	So with the lingo of the Kroo-boys of Africa, the pigeon English of the Far East, and the bêche de mer of the westerly portion of the South Seas.	So with the lingo of the Kroo boys of Africa, the pigeon English of the Far East, and the bêche de mer of the westerly portion of the South Seas.	true	44.63	53.41	18
3446_144019_000001_000003	This latter is often called pigeon English, but pigeon English it certainly is not.	This latter is often called pigeon English, but pigeon English it certainly is not.	true	53.45	58.09	17
3446_144019_000001_000004	To show how totally different it is, mention need be made only of the fact that the classic piecee of China has no place in it.	To show how totally different it is, mention need be made only of the fact that the classic piecee of China has no place in it.	true	58.52	67.15	17.682304
3446_144019_000002_000000	There was once a sea captain who needed a dusky potentate down in his cabin.	There was once a sea captain who needed a dusky potentate down in his cabin.	true	67.94	72.52	17
3446_144019_000002_000001	The potentate was on deck.	The potentate was on deck.	true	72.71	74.415	20.42915
3446_144019_000002_000002	The captain’s command to the Chinese steward was “Hey, boy, you go top-side catchee one piecee king.” Had the steward been a New Hibridean or a Solomon islander, the command would have been: “Hey, you fella boy, go look ’m eye belong you along deck, bring ’m me fella one big fella marster belong black man.”	The captain's command to the Chinese steward was "Hey, boy, you go top side catchee one piecee king." Had the steward been a New Hibridean or a Solomon islander, the command would have been: "Hey, you fella boy, go look 'm eye belong you along deck, bring 'm me fella one big fella marster belong black man."	false	74.415	98.14	21.309174
3446_144019_000003_000000	It was the first white men who ventured through Melanesia after the early explorers, who developed bêche de mer English—men such as the bêche de mer fishermen, the sandalwood traders, the pearl hunters, and the labour recruiters.	It was the first white men who ventured through Melanesia after the early explorers, who developed bêche de mer English—men such as the bêche de mer fishermen, the sandalwood traders, the pearl hunters, and the labour recruiters.	false	99.62	114.85	20
3446_144019_000003_000001	In the Solomons, for instance, scores of languages and dialects are spoken.	In the Solomons, for instance, scores of languages and dialects are spoken.	true	115.16	119.65	17.852036
3446_144019_000003_000002	Unhappy the trader who tried to learn them all; for in the next group to which he might wander he would find scores of additional tongues.	Unhappy the trader who tried to learn them all; for in the next group to which he might wander he would find scores of additional tongues.	true	119.93	127.3	18
3446_144019_000003_000003	A common language was necessary—a language so simple that a child could learn it, with a vocabulary as limited as the intelligence of the savages upon whom it was to be used.	A common language was necessary—a language so simple that a child could learn it, with a vocabulary as limited as the intelligence of the savages upon whom it was to be used.	true	127.82	138.22	18
3446_144019_000003_000004	The traders did not reason this out.	The traders did not reason this out.	true	138.26	140.37	19
3446_144019_000003_000005	Bêche do mer English was the product of conditions and circumstances.	Bêche do mer English was the product of conditions and circumstances.	false	140.37	145.3	21
3446_144019_000003_000006	Function precedes organ; and the need for a universal Melanesian lingo preceded bêche de mer English.	Function precedes organ; and the need for a universal Melanesian lingo preceded bêche de mer English.	true	145.43	152.2	18
3446_144019_000003_000007	Bêche de mer was purely fortuitous, but it was fortuitous in the deterministic way.	Bêche de mer was purely fortuitous, but it was fortuitous in the deterministic way.	true	152.21	157.78	21.730738
3446_144019_000003_000008	Also, from the fact that out of the need the lingo arose, bêche de mer English is a splendid argument for the Esperanto enthusiasts.	Also, from the fact that out of the need the lingo arose, bêche de mer English is a splendid argument for the Esperanto enthusiasts.	true	158.06	165.85	17
3446_144019_000004_000000	A limited vocabulary means that each word shall be overworked.	A limited vocabulary means that each word shall be overworked.	false	166.64	170.46	15
