8619_291384_000000_000000	XXXIX	thirty nine	true	18.705	19.96	26.284071
8619_291384_000001_000000	"THE bloody swath of Swedes and Geats and the storm of their strife, were seen afar, how folk against folk the fight had wakened. The ancient king with his atheling band sought his citadel, sorrowing much: Ongentheow earl went up to his burg. He had tested Hygelac's hardihood, the proud one's prowess, would prove it no longer, defied no more those fighting-wanderers nor hoped from the seamen to save his hoard, his bairn and his bride: so he bent him again, old, to his earth-walls.	"THE bloody swath of Swedes and Geats and the storm of their strife, were seen afar, how folk against folk the fight had wakened. The ancient king with his atheling band sought his citadel, sorrowing much: Ongentheow earl went up to his burg. He had tested Hygelac's hardihood, the proud one's prowess, would prove it no longer, defied no more those fighting wanderers nor hoped from the seamen to save his hoard, his bairn and his bride: so he bent him again, old, to his earth walls.	false	20.57	55.99	22.559898
8619_291384_000001_000001	Yet after him came with slaughter for Swedes the standards of Hygelac o'er peaceful plains in pride advancing, till Hrethelings fought in the fenced town.	Yet after him came with slaughter for Swedes the standards of Hygelac o'er peaceful plains in pride advancing, till Hrethelings fought in the fenced town.	false	56	66.66	23.407036
8619_291384_000001_000002	{39a} Then Ongentheow with edge of sword, the hoary-bearded, was held at bay, and the folk-king there was forced to suffer Eofor's anger.	{thirty nine a} Then Ongentheow with edge of sword, the hoary bearded, was held at bay, and the folk king there was forced to suffer Eofor's anger.	false	66.66	77.26	22.039762
8619_291384_000001_000003	In ire, at the king Wulf Wonreding with weapon struck; and the chieftain's blood, for that blow, in streams flowed 'neath his hair.	In ire, at the king Wulf Wonreding with weapon struck; and the chieftain's blood, for that blow, in streams flowed 'neath his hair.	false	77.48	86.92	25.589376
8619_291384_000001_000004	No fear felt he, stout old Scylfing, but straightway repaid in better bargain that bitter stroke and faced his foe with fell intent. Nor swift enough was the son of Wonred answer to render the aged chief; too soon on his head the helm was cloven; blood-bedecked he bowed to earth, and fell adown; not doomed was he yet, and well he waxed, though the wound was sore. Then the hardy Hygelac-thane, {39b} when his brother fell, with broad brand smote, giants' sword crashing through giants'-helm across the shield-wall: sank the king, his folk's old herdsman, fatally hurt. There were many to bind the brother's wounds and lift him, fast as fate allowed his people to wield the place-of-war. But Eofor took from Ongentheow, earl from other, the iron-breastplate, hard sword hilted, and helmet too, and the hoar-chief's harness to Hygelac carried, who took the trappings, and truly promised rich fee 'mid folk, -- and fulfilled it so. For that grim strife gave the Geatish lord, Hrethel's offspring, when home he came, to Eofor and Wulf a wealth of treasure, Each of them had a hundred thousand {39c} in land and linked rings; nor at less price reckoned mid-earth men such mighty deeds! And to Eofor he gave his only daughter in pledge of grace, the pride of his home.	No fear felt he, stout old Scylfing, but straightway repaid in better bargain that bitter stroke and faced his foe with fell intent. Nor swift enough was the son of Wonred answer to render the aged chief; too soon on his head the helm was cloven; blood bedecked he bowed to earth, and fell adown; not doomed was he yet, and well he waxed, though the wound was sore. Then the hardy Hygelac thane, {thirty nine b} when his brother fell, with broad brand smote, giants' sword crashing through giants'-helm across the shield wall: sank the king, his folk's old herdsman, fatally hurt. There were many to bind the brother's wounds and lift him, fast as fate allowed his people to wield the place of war. But Eofor took from Ongentheow, earl from other, the iron breastplate, hard sword hilted, and helmet too, and the hoar chief's harness to Hygelac carried, who took the trappings, and truly promised rich fee 'mid folk, -- and fulfilled it so. For that grim strife gave the Geatish lord, Hrethel's offspring, when home he came, to Eofor and Wulf a wealth of treasure, Each of them had a hundred thousand {thirty nine c} in land and linked rings; nor at less price reckoned mid earth men such mighty deeds! And to Eofor he gave his only daughter in pledge of grace, the pride of his home.	false	87.17	182.77	22.505585
8619_291384_000002_000000	"Such is the feud, the foeman's rage, death-hate of men: so I deem it sure that the Swedish folk will seek us home for this fall of their friends, the fighting-Scylfings, when once they learn that our warrior leader lifeless lies, who land and hoard ever defended from all his foes, furthered his folk's weal, finished his course a hardy hero.	"Such is the feud, the foeman's rage, death hate of men: so I deem it sure that the Swedish folk will seek us home for this fall of their friends, the fighting Scylfings, when once they learn that our warrior leader lifeless lies, who land and hoard ever defended from all his foes, furthered his folk's weal, finished his course a hardy hero.	false	183.23	209.59	21.346088
8619_291384_000002_000001	-- Now haste is best, that we go to gaze on our Geatish lord, and bear the bountiful breaker-of-rings to the funeral pyre.	-- Now haste is best, that we go to gaze on our Geatish lord, and bear the bountiful breaker of rings to the funeral pyre.	true	209.75	218.53	24
8619_291384_000002_000002	No fragments merely shall burn with the warrior.	No fragments merely shall burn with the warrior.	true	218.87	222.1	20
8619_291384_000002_000003	Wealth of jewels, gold untold and gained in terror, treasure at last with his life obtained, all of that booty the brands shall take, fire shall eat it.	Wealth of jewels, gold untold and gained in terror, treasure at last with his life obtained, all of that booty the brands shall take, fire shall eat it.	true	222.35	233.95	23.51956
8619_291384_000002_000004	No earl must carry memorial jewel.	No earl must carry memorial jewel.	true	234.17	236.86	21.072052
