6378_61781_000000_000000	CHAPTER SEVENTY SEVEN.	CHAPTER SEVENTY SEVEN.	false	0.33	21.255	23.514246
6378_61781_000001_000000	ANOTHER LINK.	ANOTHER LINK.	true	21.255	22.3	25.120556
6378_61781_000002_000000	It was less surprise, than gratification, that showed itself on the countenance of Zeb Stump, as he deciphered the writing on the paper.	It was less surprise, than gratification, that showed itself on the countenance of Zeb Stump, as he deciphered the writing on the paper.	true	22.94	29.56	19
6378_61781_000003_000000	"That ere's the backin' o' a letter," muttered he.	"That ere's the backin' o' a letter," muttered he.	true	30.11	32.5	22.598078
6378_61781_000003_000001	"Tells a goodish grist o' story; more'n war wrote inside, I reck'n.	"Tells a goodish grist o' story; more'n war wrote inside, I reck'n.	true	32.51	36.37	24
6378_61781_000003_000002	Been used for the wad' o' a gun!	Been used for the wad' o' a gun!	true	36.47	38.25	18.299824
6378_61781_000003_000003	Wal; sarves the cuss right, for rammin' down a rifle ball wi' a patchin' o' scurvy paper, i'stead o' the proper an bessest thing, which air a bit o' greased buckskin."	Wal; sarves the cuss right, for rammin' down a rifle ball wi' a patchin' o' scurvy paper, i'stead o' the proper an bessest thing, which air a bit o' greased buckskin."	false	38.25	46.93	22
6378_61781_000004_000000	"The writin' air in a sheemale hand," he continued, looking anew at the piece of paper.	"The writin' air in a sheemale hand," he continued, looking anew at the piece of paper.	true	47.48	52.12	23.39052
6378_61781_000004_000001	"Don't signerfy for thet.	"Don't signerfy for thet.	false	52.46	54.24	24.916368
6378_61781_000004_000002	It's been sent to _him_ all the same; an he's hed it in purzeshun.	It's been sent to underscore him underscore all the same; an he's hed it in purzeshun.	false	54.24	57.82	21.122412
6378_61781_000004_000003	It air somethin' to be tuk care o'."	It air somethin' to be tuk care o'."	true	58.01	60.04	22.481848
6378_61781_000005_000000	So saying, he drew out a small skin wallet, which contained his tinder of "punk," along with his flint and steel; and, after carefully stowing away the scrap of paper, he returned the sack to his pocket.	So saying, he drew out a small skin wallet, which contained his tinder of "punk," along with his flint and steel; and, after carefully stowing away the scrap of paper, he returned the sack to his pocket.	true	60.59	70.95	23.503279
6378_61781_000006_000000	"Wal!" he went on in soliloquy, as he stood silently considering, "I kalkerlate as how this ole coon 'll be able to unwind a good grist o' this clue o' mystery, tho' thur be a bit o' the thread broken hyur an thur, an a bit o' a puzzle I can't clurly understan'.	"Wal!" he went on in soliloquy, as he stood silently considering, "I kalkerlate as how this ole coon 'l l be able to unwind a good grist o' this clue o' mystery, tho' thur be a bit o' the thread broken hyur an thur, an a bit o' a puzzle I can't clurly understan'.	false	70.95	85.3	20
6378_61781_000006_000001	The man who hev been murdered, whosomdiver _he_ may be, war out thur by thet puddle o' blood, an the man as did the deed, whosomdiver _he_ be, war a stannin' behint this locust-tree.	The man who h e v been murdered, whosomdiver underscore he underscore may be, war out thur by thet puddle o' blood, an the man as did the deed, whosomdiver underscore he underscore be, war a stannin' behint this locust tree.	false	85.52	95.89	22.300566
6378_61781_000006_000002	But for them greenhorns, I mout a got more out o' the sign.	But for them greenhorns, I mout a got more out o' the sign.	false	96.11	99.34	18
6378_61781_000006_000003	Now thur ain't the ghost o' a chance.	Now thur ain't the ghost o' a chance.	true	99.62	101.47	24.932995
6378_61781_000006_000004	They've tramped the hul place into a durnationed mess, cuvortin' and caperin' abeout.	They've tramped the h u l place into a durnationed mess, cuvortin' and caperin' abeout.	false	101.57	106.08	21.798239
6378_61781_000007_000000	"Wal, 'tair no use goin' furrer thet way.	"Wal, 'tair no use goin' furrer thet way.	false	106.08	108.855	21.4636
6378_61781_000007_000001	The bessest thing now air to take the back track, if it air possable, an diskiver whar the hoss wi' the broke shoe toted his rider arter he went back from this leetle bit o' still-huntin'.	The bessest thing now air to take the back track, if it air possable, an diskiver whar the hoss wi' the broke shoe toted his rider arter he went back from this leetle bit o' still huntin'.	false	108.855	117.66	19
6378_61781_000007_000002	Thurfor, ole Zeb'lon Stump, back ye go on the boot tracks!"	Thurfor, ole Zeb'lon Stump, back ye go on the boot tracks!"	false	117.66	121.84	23.307976
6378_61781_000008_000000	With this grotesque apostrophe to himself, he commenced retracing the footmarks that had guided him to the edge of the opening.	With this grotesque apostrophe to himself, he commenced retracing the footmarks that had guided him to the edge of the opening.	true	122.39	128.23	21
6378_61781_000008_000001	Only in one or two places were the footprints at all distinct.	Only in one or two places were the footprints at all distinct.	true	128.54	131.68	25.705309
6378_61781_000008_000002	But Zeb scarce cared for their guidance.	But Zeb scarce cared for their guidance.	true	131.72	133.99	23.766874
