1212_75242_000000_000000	All this time Polly had been screeching, "Help!	All this time Polly had been screeching, "Help!	false	0	1.23	36.498043
1212_75242_000000_000001	Help!	Help!	false	1.23	1.38	100
1212_75242_000000_000002	Naughty Peter-Kinks! Spank!	Naughty Peter Kinks! Spank!	false	1.38	1.98	35.962364
1212_75242_000000_000003	Spank!"	Spank!"	false	1.98	2.16	2
1212_75242_000001_000000	Zip held on the monkey's tail until the rake appeared over his head, then he let go quickly, giving an extra bite to the tip, which came off in his mouth.	Zip held on the monkey's tail until the rake appeared over his head, then he let go quickly, giving an extra bite to the tip, which came off in his mouth.	false	2.16	3.6	17.43196
1212_75242_000001_000001	He jumped back just in time to save himself from being hit on the head, for the rake came down with such force that it laid both the turkey and Peter-Kins out flat on their backs, where they lay kicking as if in the throes of death.	He jumped back just in time to save himself from being hit on the head, for the rake came down with such force that it laid both the turkey and Peter Kins out flat on their backs, where they lay kicking as if in the throes of death.	false	3.6	4.35	18
1212_75242_000002_000000	Miss Belinda thought she had killed her pets, and began to cry as she picked them up.	Miss Belinda thought she had killed her pets, and began to cry as she picked them up.	false	4.35	6	29
1212_75242_000003_000000	As for Zip, he slunk away and ran back to the doctor's buggy just in time to jump in as the doctor started for home.	As for Zip, he slunk away and ran back to the doctor's buggy just in time to jump in as the doctor started for home.	false	6	6.21	-20
1212_75242_000003_000001	So by the time Miss Belinda had gathered up Peter-Kins and saw that the turkey was more frightened than hurt, Zip was blocks away, laughing to himself at the whack the monkey and turkey had gotten instead of him, and at the funny spectacle the three of them must have made as they ran around and around the yard.	So by the time Miss Belinda had gathered up Peter Kins and saw that the turkey was more frightened than hurt, Zip was blocks away, laughing to himself at the whack the monkey and turkey had gotten instead of him, and at the funny spectacle the three of them must have made as they ran around and around the yard.	false	6.21	15	23.274483
1212_75242_000004_000000	"And won't Tabby laugh when I tell her about it?" he thought.	"And won't Tabby laugh when I tell her about it?" he thought.	false	15	16.35	36.83475
1212_75242_000005_000000	CHAPTER VIII	CHAPTER eight	false	16.35	17.07	-20
1212_75242_000006_000000	ZIP AT THE CANDY PULL	ZIP AT THE CANDY PULL	true	17.07	19.54	40.616966
1212_75242_000007_000000	That evening the doctor had no calls to make, so Zip was left to amuse himself as best he could.	That evening the doctor had no calls to make, so Zip was left to amuse himself as best he could.	true	20.15	26.55	24.728273
1212_75242_000007_000001	He had finished telling Tabby about the monkey and the turkey and was wondering what to do with himself when he heard children laughing in the back yard of the house opposite.	He had finished telling Tabby about the monkey and the turkey and was wondering what to do with himself when he heard children laughing in the back yard of the house opposite.	false	26.55	36.49	26.378162
1212_75242_000007_000002	Looking up, he saw that the house was lighted more than was usual, and he knew right away that they must be having a little dance or a children's party of some kind.	Looking up, he saw that the house was lighted more than was usual, and he knew right away that they must be having a little dance or a children's party of some kind.	true	36.86	46.87	21.64293
1212_75242_000007_000003	Just then he thought he got a whiff of boiling molasses.	Just then he thought he got a whiff of boiling molasses.	true	47.36	51.25	22.323992
1212_75242_000007_000004	He stuck his nose up in the air and gave a long sniff.	He stuck his nose up in the air and gave a long sniff.	true	51.41	54.85	24.42484
1212_75242_000007_000005	Yes, it was molasses he smelled!	Yes, it was molasses he smelled!	true	55.43	58.84	22.570908
1212_75242_000008_000000	"They are having a candy pull.	"They are having a candy pull.	true	59.9	62.25	20.899223
1212_75242_000008_000001	That's what is going on!	That's what is going on!	true	62.25	63.97	29.700583
1212_75242_000008_000002	I'll just go over and stick around until they have refreshments, and then perhaps I can sneak into the kitchen and steal a piece of cake," thought Zip.	I'll just go over and stick around until they have refreshments, and then perhaps I can sneak into the kitchen and steal a piece of cake," thought Zip.	false	64.1	73.51	24.036266
1212_75242_000009_000000	But alas!	But alas!	true	74.3	75.52	22.223692
1212_75242_000009_000001	He was so busy gazing up at the lighted windows to see what was going on inside the house, that he neglected to look where he was stepping, and the first thing he knew, he was standing with all four feet in a pan of hot molasses candy.	He was so busy gazing up at the lighted windows to see what was going on inside the house, that he neglected to look where he was stepping, and the first thing he knew, he was standing with all four feet in a pan of hot molasses candy.	true	75.65	90.55	23.720585
1212_75242_000009_000002	And he found himself sticking fast in an entirely different way than he had meant when he left home.	And he found himself sticking fast in an entirely different way than he had meant when he left home.	false	90.8	97.18	20.374321
1212_75242_000009_000003	The candy was just in that state of cooling when the top is a little hard and the bottom is soft and sticky.	The candy was just in that state of cooling when the top is a little hard and the bottom is soft and sticky.	true	97.79	104.74	24.547962
1212_75242_000009_000004	So when he tried to lift his feet, the candy pulled up from the bottom of the pan and made long, stringy ends, but did not leave his feet.	So when he tried to lift his feet, the candy pulled up from the bottom of the pan and made long, stringy ends, but did not leave his feet.	true	104.84	114.01	22.132248
1212_75242_000009_000005	Instead it got between his toes and held him still faster.	Instead it got between his toes and held him still faster.	true	114.32	118.33	21.553038
