1212_75242_000006_000000	ZIP AT THE CANDY PULL	ZIP AT THE CANDY PULL
1212_75242_000007_000000	That evening the doctor had no calls to make, so Zip was left to amuse himself as best he could.	That evening the doctor had no calls to make, so Zip was left to amuse himself as best he could.
1212_75242_000007_000002	Looking up, he saw that the house was lighted more than was usual, and he knew right away that they must be having a little dance or a children's party of some kind.	Looking up, he saw that the house was lighted more than was usual, and he knew right away that they must be having a little dance or a children's party of some kind.
1212_75242_000007_000003	Just then he thought he got a whiff of boiling molasses.	Just then he thought he got a whiff of boiling molasses.
1212_75242_000007_000004	He stuck his nose up in the air and gave a long sniff.	He stuck his nose up in the air and gave a long sniff.
1212_75242_000007_000005	Yes, it was molasses he smelled!	Yes, it was molasses he smelled!
1212_75242_000008_000000	"They are having a candy pull.	"They are having a candy pull.
1212_75242_000008_000001	That's what is going on!	That's what is going on!
1212_75242_000009_000000	But alas!	But alas!
1212_75242_000009_000001	He was so busy gazing up at the lighted windows to see what was going on inside the house, that he neglected to look where he was stepping, and the first thing he knew, he was standing with all four feet in a pan of hot molasses candy.	He was so busy gazing up at the lighted windows to see what was going on inside the house, that he neglected to look where he was stepping, and the first thing he knew, he was standing with all four feet in a pan of hot molasses candy.
1212_75242_000009_000003	The candy was just in that state of cooling when the top is a little hard and the bottom is soft and sticky.	The candy was just in that state of cooling when the top is a little hard and the bottom is soft and sticky.
1212_75242_000009_000004	So when he tried to lift his feet, the candy pulled up from the bottom of the pan and made long, stringy ends, but did not leave his feet.	So when he tried to lift his feet, the candy pulled up from the bottom of the pan and made long, stringy ends, but did not leave his feet.
1212_75242_000009_000005	Instead it got between his toes and held him still faster.	Instead it got between his toes and held him still faster.
1212_75242_000009_000006	He tried to bite it off, but instead of coming off, it only stuck to his teeth and he found himself sticking to the pan with his mouth as well as his feet.	He tried to bite it off, but instead of coming off, it only stuck to his teeth and he found himself sticking to the pan with his mouth as well as his feet.
1212_75242_000009_000007	Indeed, he was held securely by the sticky, stringy candy.	Indeed, he was held securely by the sticky, stringy candy.
1212_75242_000009_000008	Just then he thought he heard the children coming to see if their sweets were cool.	Just then he thought he heard the children coming to see if their sweets were cool.
1212_75242_000011_000000	Yes, they were surely coming!	Yes, they were surely coming!
1212_75242_000011_000001	He could not stand it to have these children he saw every day find him in such a fix.	He could not stand it to have these children he saw every day find him in such a fix.
1212_75242_000011_000002	He would never hear the last of it.	He would never hear the last of it.
1212_75242_000011_000003	So he made a frantic effort to loosen himself.	So he made a frantic effort to loosen himself.
1212_75242_000011_000004	In doing this he pulled backwards so far that his feet slipped somehow, and he sat down in the candy.	In doing this he pulled backwards so far that his feet slipped somehow, and he sat down in the candy.
1212_75242_000011_000006	For his four feet, mouth, one ear and tail were all sticking to the pan of candy.	For his four feet, mouth, one ear and tail were all sticking to the pan of candy.
1212_75242_000011_000007	As the children began to come down the back steps, he gave one yelp, doubled himself up and began to roll, so that what the children saw was a big ball of molasses candy rolling down the sloping walk.	As the children began to come down the back steps, he gave one yelp, doubled himself up and began to roll, so that what the children saw was a big ball of molasses candy rolling down the sloping walk.
1212_75242_000011_000008	All they could see in the semi-darkness was the candy, for Zip was too balled up to show a bit of dog sticking out of the soft mess.	All they could see in the semi darkness was the candy, for Zip was too balled up to show a bit of dog sticking out of the soft mess.
1212_75242_000012_000000	The children ran after it, screaming with laughter, but when they caught up to the rolling ball and discovered their well-known, mischievous Zip rolled up so tight he was helpless, they clapped their hands with delight. He looked so crestfallen and funny that they forgave him on the spot for the loss of their candy.	The children ran after it, screaming with laughter, but when they caught up to the rolling ball and discovered their well-known, mischievous Zip rolled up so tight he was helpless, they clapped their hands with delight. He looked so crestfallen and funny that they forgave him on the spot for the loss of their candy.
1212_75242_000013_000000	"I know the best way to get the sticky stuff off," said Helen Hardway, the little girl who was giving the party.	"I know the best way to get the sticky stuff off," said Helen Hardway, the little girl who was giving the party.
1212_75242_000013_000001	"Let's put him in the bath tub and soak it off."	"Let's put him in the bath tub and soak it off."
1212_75242_000014_000000	"Just the very thing!" one of the boys replied.	"Just the very thing!" one of the boys replied.
1212_75242_000014_000001	"Wait till I get something to wrap him in so I won't get all stuck up with the candy."	"Wait till I get something to wrap him in so I won't get all stuck up with the candy."
1212_75242_000015_000000	On hearing this, Zip began to struggle and squirm, for he had visions of hot water and soapsuds in his eyes, with each one of the children feeling it was their duty to give him an extra scrub.	On hearing this, Zip began to struggle and squirm, for he had visions of hot water and soapsuds in his eyes, with each one of the children feeling it was their duty to give him an extra scrub.
1212_75242_000016_000000	"Here, you Zip, keep still, or you'll slip out of the apron you're wrapped in and get my best suit all sticky," called the little boy who held him in his arms and was carrying him up to the bathroom.	"Here, you Zip, keep still, or you'll slip out of the apron you're wrapped in and get my best suit all sticky," called the little boy who held him in his arms and was carrying him up to the bathroom.
