2149_8912_000002_000000	CHAPTER XXXII.	CHAPTER thirty two.
2149_8912_000003_000000	At nine o'clock the next morning Melbury dressed himself up in shining broadcloth, creased with folding and smelling of camphor, and started for Hintock House.	At nine o'clock the next morning Melbury dressed himself up in shining broadcloth, creased with folding and smelling of camphor, and started for Hintock House.
2149_8912_000003_000002	He said nothing of his destination either to his wife or to Grace, fearing that they might entreat him to abandon so risky a project, and went out unobserved.	He said nothing of his destination either to his wife or to Grace, fearing that they might entreat him to abandon so risky a project, and went out unobserved.
2149_8912_000003_000003	He had chosen his time with a view, as he supposed, of conveniently catching Mrs. Charmond when she had just finished her breakfast, before any other business people should be about, if any came.	He had chosen his time with a view, as he supposed, of conveniently catching mrs Charmond when she had just finished her breakfast, before any other business people should be about, if any came.
2149_8912_000003_000004	Plodding thoughtfully onward, he crossed a glade lying between Little Hintock Woods and the plantation which abutted on the park; and the spot being open, he was discerned there by Winterborne from the copse on the next hill, where he and his men were working.	Plodding thoughtfully onward, he crossed a glade lying between Little Hintock Woods and the plantation which abutted on the park; and the spot being open, he was discerned there by Winterborne from the copse on the next hill, where he and his men were working.
2149_8912_000003_000005	Knowing his mission, the younger man hastened down from the copse and managed to intercept the timber-merchant.	Knowing his mission, the younger man hastened down from the copse and managed to intercept the timber merchant.
2149_8912_000004_000000	"I have been thinking of this, sir," he said, "and I am of opinion that it would be best to put off your visit for the present."	"I have been thinking of this, sir," he said, "and I am of opinion that it would be best to put off your visit for the present."
2149_8912_000005_000000	But Melbury would not even stop to hear him.	But Melbury would not even stop to hear him.
2149_8912_000005_000001	His mind was made up, the appeal was to be made; and Winterborne stood and watched him sadly till he entered the second plantation and disappeared.	His mind was made up, the appeal was to be made; and Winterborne stood and watched him sadly till he entered the second plantation and disappeared.
2149_8912_000006_000000	Melbury rang at the tradesmen's door of the manor-house, and was at once informed that the lady was not yet visible, as indeed he might have guessed had he been anybody but the man he was.	Melbury rang at the tradesmen's door of the manor house, and was at once informed that the lady was not yet visible, as indeed he might have guessed had he been anybody but the man he was.
2149_8912_000007_000000	"Never mind," said Melbury, retreating into the court, "I'll stand about here." Charged so fully with his mission, he shrank from contact with anybody.	"Never mind," said Melbury, retreating into the court, "I'll stand about here." Charged so fully with his mission, he shrank from contact with anybody.
2149_8912_000008_000000	But he walked about the paved court till he was tired, and still nobody came to him.	But he walked about the paved court till he was tired, and still nobody came to him.
2149_8912_000008_000002	They had heard of his arrival, but had not seen him enter, and, imagining him still in the court, discussed freely the possible reason of his calling.	They had heard of his arrival, but had not seen him enter, and, imagining him still in the court, discussed freely the possible reason of his calling.
2149_8912_000009_000000	Melbury sat with his hands resting on the familiar knobbed thorn walking-stick, whose growing he had seen before he enjoyed its use. The scene to him was not the material environment of his person, but a tragic vision that travelled with him like an envelope.	Melbury sat with his hands resting on the familiar knobbed thorn walking stick, whose growing he had seen before he enjoyed its use. The scene to him was not the material environment of his person, but a tragic vision that travelled with him like an envelope.
2149_8912_000009_000002	He waited thus an hour, an hour and a half, two hours. He began to look pale and ill, whereupon the butler, who came in, asked him to have a glass of wine.	He waited thus an hour, an hour and a half, two hours. He began to look pale and ill, whereupon the butler, who came in, asked him to have a glass of wine.
2149_8912_000009_000003	Melbury roused himself and said, "No, no. Is she almost ready?"	Melbury roused himself and said, "No, no Is she almost ready?"
2149_8912_000010_000002	I am just going up to tell her you are here."	I am just going up to tell her you are here."
