2149_8912_000000_000000	"She is said to be generous," he answered.	"She is said to be generous," he answered.	false	0	2.82	20.241692
2149_8912_000000_000001	"You might not appeal to her in vain."	"You might not appeal to her in vain."	false	2.82	5.64	22.343168
2149_8912_000001_000000	"It shall be done," said Melbury, rising.	"It shall be done," said Melbury, rising.	false	5.64	9.165	21.835508
2149_8912_000001_000001	"For good or for evil, to Mrs. Charmond I'll go."	"For good or for evil, to mrs Charmond I'll go."	false	9.165	21.18	20.23451
2149_8912_000002_000000	CHAPTER XXXII.	CHAPTER thirty two.	true	21.18	22.93	23.249582
2149_8912_000003_000000	At nine o'clock the next morning Melbury dressed himself up in shining broadcloth, creased with folding and smelling of camphor, and started for Hintock House.	At nine o'clock the next morning Melbury dressed himself up in shining broadcloth, creased with folding and smelling of camphor, and started for Hintock House.	true	24.26	32.86	22
2149_8912_000003_000001	He was the more impelled to go at once by the absence of his son-in-law in London for a few days, to attend, really or ostensibly, some professional meetings.	He was the more impelled to go at once by the absence of his son in law in London for a few days, to attend, really or ostensibly, some professional meetings.	true	32.99	42.7	19
2149_8912_000003_000002	He said nothing of his destination either to his wife or to Grace, fearing that they might entreat him to abandon so risky a project, and went out unobserved.	He said nothing of his destination either to his wife or to Grace, fearing that they might entreat him to abandon so risky a project, and went out unobserved.	true	42.89	52.48	21.0484
2149_8912_000003_000003	He had chosen his time with a view, as he supposed, of conveniently catching Mrs. Charmond when she had just finished her breakfast, before any other business people should be about, if any came.	He had chosen his time with a view, as he supposed, of conveniently catching mrs Charmond when she had just finished her breakfast, before any other business people should be about, if any came.	true	52.61	63.49	20
2149_8912_000003_000004	Plodding thoughtfully onward, he crossed a glade lying between Little Hintock Woods and the plantation which abutted on the park; and the spot being open, he was discerned there by Winterborne from the copse on the next hill, where he and his men were working.	Plodding thoughtfully onward, he crossed a glade lying between Little Hintock Woods and the plantation which abutted on the park; and the spot being open, he was discerned there by Winterborne from the copse on the next hill, where he and his men were working.	true	63.89	77.83	21
2149_8912_000003_000005	Knowing his mission, the younger man hastened down from the copse and managed to intercept the timber-merchant.	Knowing his mission, the younger man hastened down from the copse and managed to intercept the timber merchant.	true	78.11	84.04	21
2149_8912_000004_000000	"I have been thinking of this, sir," he said, "and I am of opinion that it would be best to put off your visit for the present."	"I have been thinking of this, sir," he said, "and I am of opinion that it would be best to put off your visit for the present."	true	84.41	90.88	23.808357
2149_8912_000005_000000	But Melbury would not even stop to hear him.	But Melbury would not even stop to hear him.	true	91.19	93.975	21.173157
2149_8912_000005_000001	His mind was made up, the appeal was to be made; and Winterborne stood and watched him sadly till he entered the second plantation and disappeared.	His mind was made up, the appeal was to be made; and Winterborne stood and watched him sadly till he entered the second plantation and disappeared.	true	93.975	102.76	21.298174
2149_8912_000006_000000	Melbury rang at the tradesmen's door of the manor-house, and was at once informed that the lady was not yet visible, as indeed he might have guessed had he been anybody but the man he was.	Melbury rang at the tradesmen's door of the manor house, and was at once informed that the lady was not yet visible, as indeed he might have guessed had he been anybody but the man he was.	true	103.16	113.44	20
2149_8912_000006_000001	Melbury said he would wait, whereupon the young man informed him in a neighborly way that, between themselves, she was in bed and asleep.	Melbury said he would wait, whereupon the young man informed him in a neighborly way that, between themselves, she was in bed and asleep.	true	113.63	122.14	19.19214
2149_8912_000007_000000	"Never mind," said Melbury, retreating into the court, "I'll stand about here." Charged so fully with his mission, he shrank from contact with anybody.	"Never mind," said Melbury, retreating into the court, "I'll stand about here." Charged so fully with his mission, he shrank from contact with anybody.	true	122.21	132.3	21.62787
2149_8912_000008_000000	But he walked about the paved court till he was tired, and still nobody came to him.	But he walked about the paved court till he was tired, and still nobody came to him.	true	132.3	137.29	23.960165
2149_8912_000008_000001	At last he entered the house and sat down in a small waiting-room, from which he got glimpses of the kitchen corridor, and of the white-capped maids flitting jauntily hither and thither.	At last he entered the house and sat down in a small waiting room, from which he got glimpses of the kitchen corridor, and of the white capped maids flitting jauntily hither and thither.	false	137.39	146.95	18
2149_8912_000008_000002	They had heard of his arrival, but had not seen him enter, and, imagining him still in the court, discussed freely the possible reason of his calling.	They had heard of his arrival, but had not seen him enter, and, imagining him still in the court, discussed freely the possible reason of his calling.	true	147.02	155.53	21.984268
2149_8912_000008_000003	They marvelled at his temerity; for though most of the tongues which had been let loose attributed the chief blame-worthiness to Fitzpiers, these of her household preferred to regard their mistress as the deeper sinner.	They marvelled at his temerity; for though most of the tongues which had been let loose attributed the chief blame worthiness to Fitzpiers, these of her household preferred to regard their mistress as the deeper sinner.	false	155.72	167.02	20
2149_8912_000009_000000	Melbury sat with his hands resting on the familiar knobbed thorn walking-stick, whose growing he had seen before he enjoyed its use. The scene to him was not the material environment of his person, but a tragic vision that travelled with him like an envelope.	Melbury sat with his hands resting on the familiar knobbed thorn walking stick, whose growing he had seen before he enjoyed its use. The scene to him was not the material environment of his person, but a tragic vision that travelled with him like an envelope.	true	167.24	181.9	20.717255
