5883_59268_000001_000001	LONGSTREET	LONGSTREET
5883_59268_000002_000001	They are still common throughout the Southern States, though they are not as common as they were twenty-five or thirty years ago. Chance led me to one about a year ago.	They are still common throughout the Southern States, though they are not as common as they were twenty five or thirty years ago. Chance led me to one about a year ago.
5883_59268_000004_000000	"How goes it, stranger?" said he, with a tone of independence and self-confidence that awakened my curiosity to know a little of his character.	"How goes it, stranger?" said he, with a tone of independence and self confidence that awakened my curiosity to know a little of his character.
5883_59268_000005_000000	"Going driving?" inquired I.	"Going driving?" inquired i
5883_59268_000009_000001	It seems to me I ought to know you."	It seems to me I ought to know you."
5883_59268_000015_000000	"Pretty digging!" said he.	"Pretty digging!" said he.
5883_59268_000015_000001	"I find you're not the fool I took you to be; so here's to a better acquaintance with you."	"I find you're not the fool I took you to be; so here's to a better acquaintance with you."
5883_59268_000016_000000	"With all my heart," returned I; "but you must be as clever as I've been, and give me your name."	"With all my heart," returned I; "but you must be as clever as I've been, and give me your name."
5883_59268_000017_000000	"To be sure I will, my old coon; take it, take it, and welcome.	"To be sure I will, my old coon; take it, take it, and welcome.
5883_59268_000017_000001	Anything else about me you'd like to have?"	Anything else about me you'd like to have?"
5883_59268_000019_000000	"Oh, yes there is, stranger!	"Oh, yes there is, stranger!
5883_59268_000021_000000	"Well," said I, "if the shooting-match is not too far out of my way, I'll go to it with pleasure."	"Well," said I, "if the shooting match is not too far out of my way, I'll go to it with pleasure."
5883_59268_000022_000000	"Unless your way lies through the woods from here," said Billy, "it'll not be much out of your way; for it's only a mile ahead of us, and there is no other road for you to take till you get there; and as that thing you're riding in ain't well suited to fast traveling among brushy knobs, I reckon you won't lose much by going by.	"Unless your way lies through the woods from here," said Billy, "it'll not be much out of your way; for it's only a mile ahead of us, and there is no other road for you to take till you get there; and as that thing you're riding in ain't well suited to fast traveling among brushy knobs, I reckon you won't lose much by going by.
5883_59268_000022_000001	I reckon you hardly ever was at a shooting-match, stranger, from the cut of your coat?"	I reckon you hardly ever was at a shooting match, stranger, from the cut of your coat?"
5883_59268_000023_000000	"Oh, yes," returned I, "many a time.	"Oh, yes," returned I, "many a time.
5883_59268_000024_000002	He was born a shooting, and killed squirrels before he was weaned."	He was born a shooting, and killed squirrels before he was weaned."
5883_59268_000028_000000	"Why, stop, stranger, let me look at you good!	"Why, stop, stranger, let me look at you good!
5883_59268_000030_000001	I was too young to recollect you myself; but I've heard daddy talk about you many a time.	I was too young to recollect you myself; but I've heard daddy talk about you many a time.
