8152_258974_000000_000000	[Sidenote: Conclusion]	[Sidenote: Conclusion]	false	0	0.63	-20
8152_258974_000001_000000	Population should increase more slowly than wealth and resources if progress is to go on.	Population should increase more slowly than wealth and resources if progress is to go on.	false	0.63	5.04	21
8152_258974_000001_000001	It has done so in the past century, and there is no probability of a too rapid increase in Christendom in the near future.	It has done so in the past century, and there is no probability of a too rapid increase in Christendom in the near future.	false	5.04	10.95	22.636955
8152_258974_000001_000002	A stationary or declining population, while not desirable, is not an impossibility.	A stationary or declining population, while not desirable, is not an impossibility.	false	10.95	14.91	23.737158
8152_258974_000001_000003	But this does not destroy the significance of the fact that there is inherent in humanity a great potential power of increase, the realization of which would be disastrous, the control of which is an important and ever-present condition of the social welfare.	But this does not destroy the significance of the fact that there is inherent in humanity a great potential power of increase, the realization of which would be disastrous, the control of which is an important and ever present condition of the social welfare.	false	14.91	24.585	22.048882
8152_258974_000002_000000	CHAPTER 22	CHAPTER twenty two	true	24.585	25.9	23.774632
8152_258974_000003_000000	CONDITIONS FOR EFFICIENT LABOR	CONDITIONS FOR EFFICIENT LABOR	true	26.24	28.29	22.322165
8152_258974_000004_000000	Sec. I. OBJECTIVE PHYSICAL CONDITIONS	Sec. i OBJECTIVE PHYSICAL CONDITIONS	false	28.29	32.34	21.901886
8152_258974_000005_000000	[Sidenote: Subjective and objective factors of efficiency]	[Sidenote: Subjective and objective factors of efficiency]	false	32.34	33.39	10
8152_258974_000006_000000	1.	one.	true	33.39	33.96	23.223879
8152_258974_000006_000001	_The efficiency of labor, in its broadest sense, is its ability to render services or produce things that minister to welfare._ The efficiency of labor is a resultant of many influences.	underscore The efficiency of labor, in its broadest sense, is its ability to render services or produce things that minister to welfare.underscore The efficiency of labor is a resultant of many influences.	false	33.96	45.88	22.388418
8152_258974_000006_000002	In part it depends on the physical and mental powers of men; in part on things outside of the worker that either stimulate and strengthen him, or give him more favorable conditions in which to work.	In part it depends on the physical and mental powers of men; in part on things outside of the worker that either stimulate and strengthen him, or give him more favorable conditions in which to work.	true	45.95	57.49	21.936995
8152_258974_000006_000003	These are respectively the subjective and the objective factors of efficiency.	These are respectively the subjective and the objective factors of efficiency.	true	57.56	62.44	22.645512
8152_258974_000006_000004	In its broader sense, therefore, the phrase "efficiency of labor" implies any and every influence that makes for a larger and better supply of goods.	In its broader sense, therefore, the phrase "efficiency of labor" implies any and every influence that makes for a larger and better supply of goods.	true	63.11	73.38	21.177975
8152_258974_000007_000000	[Sidenote: Bounty and goodness of productive agents affect the output of labor]	[Sidenote: Bounty and goodness of productive agents affect the output of labor]	false	73.38	75.36	22.658863
8152_258974_000008_000000	2.	two.	false	75.36	75.36	
8152_258974_000008_000001	_The efficiency of labor is limited objectively by the abundance and quality of material resources._ Material resources include both those called natural (as the field and its fertile qualities), and those called artificial (as improvements and machinery).	underscore The efficiency of labor is limited objectively by the abundance and quality of material resources.underscore Material resources include both those called natural (as the field and its fertile qualities), and those called artificial (as improvements and machinery).	false	75.36	91.9	22.033989
8152_258974_000008_000002	According as these resources are more or less developed, as labor is employed in a fertile or a barren field, with a sharp tool or a dull one, with a highly developed machine or a poor one, the product is more or less.	According as these resources are more or less developed, as labor is employed in a fertile or a barren field, with a sharp tool or a dull one, with a highly developed machine or a poor one, the product is more or less.	false	92.24	107.02	21.863874
8152_258974_000008_000003	If resources were much more abundant than at present, many goods now scarce would become almost, or quite, free.	If resources were much more abundant than at present, many goods now scarce would become almost, or quite, free.	true	107.12	115.21	23.619448
8152_258974_000008_000004	In the last chapter it was shown that an increase of the labor in a limited area or with a limited supply of indirect agents results in a decline in the relative bounty of the environment.	In the last chapter it was shown that an increase of the labor in a limited area or with a limited supply of indirect agents results in a decline in the relative bounty of the environment.	true	115.76	126.88	21.328989
8152_258974_000008_000005	A certain part of the result is thought of as due to material agents, a certain part to labor.	A certain part of the result is thought of as due to material agents, a certain part to labor.	true	127.04	134.02	22.430206
8152_258974_000008_000006	"Efficiency of labor" is thought of in the narrower sense as the part of the product that is logically attributable to labor,--the laborer's contribution to the value of the product,--as apart from rent, the part attributable to material resources.	"Efficiency of labor" is thought of in the narrower sense as the part of the product that is logically attributable to labor,--the laborer's contribution to the value of the product,--as apart from rent, the part attributable to material resources.	true	134.39	150.48	20.722788
