8152_258974_000002_000000	CHAPTER 22	CHAPTER twenty two
8152_258974_000003_000000	CONDITIONS FOR EFFICIENT LABOR	CONDITIONS FOR EFFICIENT LABOR
8152_258974_000006_000000	1.	one.
8152_258974_000006_000002	In part it depends on the physical and mental powers of men; in part on things outside of the worker that either stimulate and strengthen him, or give him more favorable conditions in which to work.	In part it depends on the physical and mental powers of men; in part on things outside of the worker that either stimulate and strengthen him, or give him more favorable conditions in which to work.
8152_258974_000006_000003	These are respectively the subjective and the objective factors of efficiency.	These are respectively the subjective and the objective factors of efficiency.
8152_258974_000006_000004	In its broader sense, therefore, the phrase "efficiency of labor" implies any and every influence that makes for a larger and better supply of goods.	In its broader sense, therefore, the phrase "efficiency of labor" implies any and every influence that makes for a larger and better supply of goods.
8152_258974_000008_000003	If resources were much more abundant than at present, many goods now scarce would become almost, or quite, free.	If resources were much more abundant than at present, many goods now scarce would become almost, or quite, free.
8152_258974_000008_000004	In the last chapter it was shown that an increase of the labor in a limited area or with a limited supply of indirect agents results in a decline in the relative bounty of the environment.	In the last chapter it was shown that an increase of the labor in a limited area or with a limited supply of indirect agents results in a decline in the relative bounty of the environment.
8152_258974_000008_000005	A certain part of the result is thought of as due to material agents, a certain part to labor.	A certain part of the result is thought of as due to material agents, a certain part to labor.
8152_258974_000008_000006	"Efficiency of labor" is thought of in the narrower sense as the part of the product that is logically attributable to labor,--the laborer's contribution to the value of the product,--as apart from rent, the part attributable to material resources.	"Efficiency of labor" is thought of in the narrower sense as the part of the product that is logically attributable to labor,--the laborer's contribution to the value of the product,--as apart from rent, the part attributable to material resources.
8152_258974_000010_000000	3.	three.
8152_258974_000010_000002	The question arises: which is cause, which effect?	The question arises: which is cause, which effect?
8152_258974_000010_000003	Some maintain that all that is needed to make workmen more efficient is to feed them well.	Some maintain that all that is needed to make workmen more efficient is to feed them well.
8152_258974_000010_000004	In some cases this is probably true.	In some cases this is probably true.
8152_258974_000010_000005	The Porto Ricans enlisted in the American regular army are reported to have increased at once in strength, weight, and vigor; the Filipino recruits, thanks to the American army rations, soon outgrew their uniforms.	The Porto Ricans enlisted in the American regular army are reported to have increased at once in strength, weight, and vigor; the Filipino recruits, thanks to the American army rations, soon outgrew their uniforms.
8152_258974_000010_000006	Some employers in Europe pay their workmen an extra sum on condition that it is spent for meat.	Some employers in Europe pay their workmen an extra sum on condition that it is spent for meat.
8152_258974_000010_000007	But if wages increase, it is by no means certain that more or better food will be bought or if it is that the workmen's powers will be increased.	But if wages increase, it is by no means certain that more or better food will be bought or if it is that the workmen's powers will be increased.
8152_258974_000010_000009	There is some reason to believe that in America great numbers of our people, perhaps even many manual laborers, would be better off if they bought simpler and less costly food.	There is some reason to believe that in America great numbers of our people, perhaps even many manual laborers, would be better off if they bought simpler and less costly food.
8152_258974_000010_000010	The maximum of health and vigor may be attained with moderate outlay, and beyond that point richer food doubtless does more harm than good.	The maximum of health and vigor may be attained with moderate outlay, and beyond that point richer food doubtless does more harm than good.
8152_258974_000010_000011	Poor judgment in the selection of food is shown in many workers' families, and there is no appreciation of its influence on health.	Poor judgment in the selection of food is shown in many workers' families, and there is no appreciation of its influence on health.
8152_258974_000012_000000	A few years ago an experiment in the feeding of pigs was tried on the Cornell farm.	A few years ago an experiment in the feeding of pigs was tried on the Cornell farm.
8152_258974_000012_000001	Four groups of six pigs each were put in four different pens and fed four different rations.	Four groups of six pigs each were put in four different pens and fed four different rations.
8152_258974_000012_000003	One group squealed more; another scratched more; another waxed fat faster.	One group squealed more; another scratched more; another waxed fat faster.
8152_258974_000012_000006	They were given daily baths, special physical exercises, and were fed on a specially bountiful diet. Scientific philanthropy stopped there, but photographs "before and after," reproduced in the printed reports, show the great physical improvement that resulted, and a marked change occurred likewise in disposition and intelligence.	They were given daily baths, special physical exercises, and were fed on a specially bountiful diet. Scientific philanthropy stopped there, but photographs "before and after," reproduced in the printed reports, show the great physical improvement that resulted, and a marked change occurred likewise in disposition and intelligence.
8152_258974_000012_000007	Many laboratory experiments have been made of late to test the chemical nature and the physiological effects of foods.	Many laboratory experiments have been made of late to test the chemical nature and the physiological effects of foods.
8152_258974_000012_000008	It is becoming more fully recognized that the quality and quantity of food, and the cooking of it, have a great influence on the economic quality of the worker.	It is becoming more fully recognized that the quality and quantity of food, and the cooking of it, have a great influence on the economic quality of the worker.
8152_258974_000014_000001	The cost of clothing enough for comfort is, however, comparatively small, the amount spent for ornament is comparatively high.	The cost of clothing enough for comfort is, however, comparatively small, the amount spent for ornament is comparatively high.
8152_258974_000014_000002	Even more important in its effects on efficiency is housing.	Even more important in its effects on efficiency is housing.
8152_258974_000016_000002	As population grows more dense, these things become more difficult to secure; men are brought into unnatural conditions, the evils of slum and factory life develop, and the housing problem appears.	As population grows more dense, these things become more difficult to secure; men are brought into unnatural conditions, the evils of slum and factory life develop, and the housing problem appears.
8152_258974_000017_000002	When the unsanitary conditions about each family are visited upon its neighbors, society must deal with them.	When the unsanitary conditions about each family are visited upon its neighbors, society must deal with them.
8152_258974_000020_000000	1.	one.
8152_258974_000020_000003	There must be a close relation between work and the fruits of work.	There must be a close relation between work and the fruits of work.
8152_258974_000022_000002	We are accustomed to the thought that in an Asiatic despotism a worker beginning a task is uncertain whether he will reap the reward, as public officials may at any moment seize upon the fruits of his labor.	We are accustomed to the thought that in an Asiatic despotism a worker beginning a task is uncertain whether he will reap the reward, as public officials may at any moment seize upon the fruits of his labor.
8152_258974_000022_000003	But in our own country similar evils are not entirely lacking.	But in our own country similar evils are not entirely lacking.
8152_258974_000022_000004	Assessments often are unfair, and justice sometimes is bought. Men in high executive positions are able to make or mar the fortunes of their followers.	Assessments often are unfair, and justice sometimes is bought. Men in high executive positions are able to make or mar the fortunes of their followers.
8152_258974_000022_000005	Sometimes a legislator from a country town goes to the state capital poor and returns rich.	Sometimes a legislator from a country town goes to the state capital poor and returns rich.
8152_258974_000022_000006	Such things becoming generally known tend to break down the motives to industry.	Such things becoming generally known tend to break down the motives to industry.
8152_258974_000022_000008	Dishonesty in private business means the use of energy not to produce wealth, not to add to the sum for all to enjoy, but to get it from some one else.	Dishonesty in private business means the use of energy not to produce wealth, not to add to the sum for all to enjoy, but to get it from some one else.
8152_258974_000022_000009	Public corruption and commercial dishonesty alike entail on the industrious not only the immediate loss, but the far greater cost of weakened character, relaxed energy, and decreased efficiency of labor.	Public corruption and commercial dishonesty alike entail on the industrious not only the immediate loss, but the far greater cost of weakened character, relaxed energy, and decreased efficiency of labor.
8152_258974_000024_000000	3.	three.
8152_258974_000024_000002	It exists in some form throughout the world, and where it is not called by that name, the same caste spirit is at work.	It exists in some form throughout the world, and where it is not called by that name, the same caste spirit is at work.
8152_258974_000024_000004	Where slavery exists the master class at times feels its hardships.	Where slavery exists the master class at times feels its hardships.
8152_258974_000024_000005	"It is not so hard to live," says the hungry Creole daughter in "The Grandissimes," "but it is hard to be ladies....	"It is not so hard to live," says the hungry Creole daughter in "The Grandissimes," "but it is hard to be ladies....
8152_258974_000024_000006	We are compelled not to make a living.	We are compelled not to make a living.
8152_258974_000024_000007	Look at me: I can cook, but I must not cook; I am skilful with the needle, but I must not take in sewing; I could keep accounts; I could nurse the sick; but I must not." Nowhere in the world is there less caste than in America, but it is here.	Look at me: I can cook, but I must not cook; I am skilful with the needle, but I must not take in sewing; I could keep accounts; I could nurse the sick; but I must not." Nowhere in the world is there less caste than in America, but it is here.
