7720_105168_000001_000000	Chapter XIII	Chapter thirteen
7720_105168_000002_000000	Usanga's Reward	Usanga's Reward
7720_105168_000003_000000	For two days Tarzan of the Apes had been hunting leisurely to the north, and swinging in a wide circle, he had returned to within a short distance of the clearing where he had left Bertha Kircher and the young lieutenant.	For two days Tarzan of the Apes had been hunting leisurely to the north, and swinging in a wide circle, he had returned to within a short distance of the clearing where he had left Bertha Kircher and the young lieutenant.
7720_105168_000003_000001	He had spent the night in a large tree that overhung the river only a short distance from the clearing, and now in the early morning hours he was crouching at the water's edge waiting for an opportunity to capture Pisah, the fish, thinking that he would take it back with him to the hut where the girl could cook it for herself and her companion.	He had spent the night in a large tree that overhung the river only a short distance from the clearing, and now in the early morning hours he was crouching at the water's edge waiting for an opportunity to capture Pisah, the fish, thinking that he would take it back with him to the hut where the girl could cook it for herself and her companion.
7720_105168_000004_000000	Motionless as a bronze statue was the wily ape-man, for well he knew how wary is Pisah, the fish.	Motionless as a bronze statue was the wily ape man, for well he knew how wary is Pisah, the fish.
7720_105168_000004_000001	The slightest movement would frighten him away and only by infinite patience might he be captured at all.	The slightest movement would frighten him away and only by infinite patience might he be captured at all.
7720_105168_000004_000002	Tarzan depended upon his own quickness and the suddenness of his attack, for he had no bait or hook.	Tarzan depended upon his own quickness and the suddenness of his attack, for he had no bait or hook.
7720_105168_000004_000003	His knowledge of the ways of the denizens of the water told him where to wait for Pisah.	His knowledge of the ways of the denizens of the water told him where to wait for Pisah.
7720_105168_000004_000004	It might be a minute or it might be an hour before the fish would swim into the little pool above which he crouched, but sooner or later one would come.	It might be a minute or it might be an hour before the fish would swim into the little pool above which he crouched, but sooner or later one would come.
7720_105168_000005_000003	The moment that he turned he saw that the author of the disturbance was Zu-tag.	The moment that he turned he saw that the author of the disturbance was Zu tag.
7720_105168_000006_000000	"What does Zu-tag want?" asked the ape-man.	"What does Zu tag want?" asked the ape man.
7720_105168_000007_000000	"Zu-tag comes to the water to drink," replied the ape.	"Zu tag comes to the water to drink," replied the ape.
7720_105168_000008_000000	"Where is the tribe?" asked Tarzan.	"Where is the tribe?" asked Tarzan.
7720_105168_000009_000000	"They are hunting for pisangs and scimatines farther back in the forest," replied Zu-tag.	"They are hunting for pisangs and scimatines farther back in the forest," replied Zu tag.
7720_105168_000010_000000	"And the Tarmangani she and bull--" asked Tarzan, "are they safe?"	"And the Tarmangani she and bull-" asked Tarzan, "are they safe?"
7720_105168_000011_000000	"They have gone away," replied Zu-tag.	"They have gone away," replied Zu tag.
7720_105168_000011_000001	"Kudu has come out of his lair twice since they left."	"Kudu has come out of his lair twice since they left."
7720_105168_000012_000000	"Did the tribe chase them away?" asked Tarzan.	"Did the tribe chase them away?" asked Tarzan.
7720_105168_000013_000000	"No," replied the ape.	"No," replied the ape.
7720_105168_000013_000001	"We did not see them go.	"We did not see them go.
7720_105168_000013_000002	We do not know why they left."	We do not know why they left."
7720_105168_000014_000000	Tarzan swung quickly through the trees toward the clearing.	Tarzan swung quickly through the trees toward the clearing.
7720_105168_000014_000001	The hut and boma were as he had left them, but there was no sign of either the man or the woman.	The hut and boma were as he had left them, but there was no sign of either the man or the woman.
7720_105168_000014_000002	Crossing the clearing, he entered the boma and then the hut.	Crossing the clearing, he entered the boma and then the hut.
7720_105168_000014_000003	Both were empty, and his trained nostrils told him that they had been gone for at least two days.	Both were empty, and his trained nostrils told him that they had been gone for at least two days.
7720_105168_000014_000004	As he was about to leave the hut he saw a paper pinned upon the wall with a sliver of wood and taking it down, he read:	As he was about to leave the hut he saw a paper pinned upon the wall with a sliver of wood and taking it down, he read:
7720_105168_000015_000000	After what you told me about Miss Kircher, and knowing that you dislike her, I feel that it is not fair to her and to you that we should impose longer upon you.	After what you told me about Miss Kircher, and knowing that you dislike her, I feel that it is not fair to her and to you that we should impose longer upon you.
7720_105168_000015_000001	I know that our presence is keeping you from continuing your journey to the west coast, and so I have decided that it is better for us to try and reach the white settlements immediately without imposing further upon you.	I know that our presence is keeping you from continuing your journey to the west coast, and so I have decided that it is better for us to try and reach the white settlements immediately without imposing further upon you.
7720_105168_000015_000002	We both thank you for your kindness and protection.	We both thank you for your kindness and protection.
7720_105168_000015_000003	If there was any way that I might repay the obligation I feel, I should be only too glad to do so.	If there was any way that I might repay the obligation I feel, I should be only too glad to do so.
7720_105168_000017_000000	Tarzan shrugged his shoulders, crumpled the note in his hand and tossed it aside.	Tarzan shrugged his shoulders, crumpled the note in his hand and tossed it aside.
7720_105168_000017_000001	He felt a certain sense of relief from responsibility and was glad that they had taken the matter out of his hands.	He felt a certain sense of relief from responsibility and was glad that they had taken the matter out of his hands.
7720_105168_000017_000002	They were gone and would forget, but somehow he could not forget.	They were gone and would forget, but somehow he could not forget.
7720_105168_000017_000003	He walked out across the boma and into the clearing.	He walked out across the boma and into the clearing.
7720_105168_000017_000004	He felt uneasy and restless.	He felt uneasy and restless.
7720_105168_000017_000005	Once he started toward the north in response to a sudden determination to continue his way to the west coast.	Once he started toward the north in response to a sudden determination to continue his way to the west coast.
7720_105168_000017_000007	Upon the other side of the range he would search for a stream running downward toward the west coast, and thus following the rivers he would be sure of game and water in plenty.	Upon the other side of the range he would search for a stream running downward toward the west coast, and thus following the rivers he would be sure of game and water in plenty.
7720_105168_000018_000000	But he did not go far.	But he did not go far.
7720_105168_000018_000001	A dozen steps, perhaps, and he came to a sudden stop.	A dozen steps, perhaps, and he came to a sudden stop.
7720_105168_000018_000005	"Tarzan of the Apes is a fool and a weak, old woman," and he turned back toward the south.	"Tarzan of the Apes is a fool and a weak, old woman," and he turned back toward the south.
7720_105168_000019_000000	Manu, the monkey, had seen the two Tarmangani pass two days before. Chattering and scolding, he told Tarzan all about it.	Manu, the monkey, had seen the two Tarmangani pass two days before. Chattering and scolding, he told Tarzan all about it.
7720_105168_000020_000000	An inexplicable urge spurred Tarzan to increasing, speed.	An inexplicable urge spurred Tarzan to increasing, speed.
7720_105168_000020_000002	Tarzan's conscience was troubling him, which accounted for the fact that he compared himself to a weak, old woman, for the ape-man, reared in savagery and inured to hardships and cruelty, disliked to admit any of the gentler traits that in reality were his birthright.	Tarzan's conscience was troubling him, which accounted for the fact that he compared himself to a weak, old woman, for the ape man, reared in savagery and inured to hardships and cruelty, disliked to admit any of the gentler traits that in reality were his birthright.
7720_105168_000021_000001	At last there came to the ears of the ape-man a peculiar whirring, throbbing sound.	At last there came to the ears of the ape man a peculiar whirring, throbbing sound.
7720_105168_000021_000002	For an instant he paused, listening intently, "An aeroplane!" he muttered, and hastened forward at greatly increased speed.	For an instant he paused, listening intently, "An aeroplane!" he muttered, and hastened forward at greatly increased speed.
7720_105168_000022_000000	When Tarzan of the Apes finally reached the edge of the meadowland where Smith-Oldwick's plane had landed, he took in the entire scene in one quick glance and grasped the situation, although he could scarce give credence to the things he saw.	When Tarzan of the Apes finally reached the edge of the meadowland where Smith Oldwick's plane had landed, he took in the entire scene in one quick glance and grasped the situation, although he could scarce give credence to the things he saw.
7720_105168_000022_000001	Bound and helpless, the English officer lay upon the ground at one side of the meadow, while around him stood a number of the black deserters from the German command.	Bound and helpless, the English officer lay upon the ground at one side of the meadow, while around him stood a number of the black deserters from the German command.
7720_105168_000022_000002	Tarzan had seen these men before and knew who they were.	Tarzan had seen these men before and knew who they were.
7720_105168_000022_000003	Coming toward him down the meadow was an aeroplane piloted by the black Usanga and in the seat behind the pilot was the white girl, Bertha Kircher.	Coming toward him down the meadow was an aeroplane piloted by the black Usanga and in the seat behind the pilot was the white girl, Bertha Kircher.
7720_105168_000022_000005	His knowledge of Usanga, together with the position of the white man, told him that the black sergeant was attempting to carry off the white girl.	His knowledge of Usanga, together with the position of the white man, told him that the black sergeant was attempting to carry off the white girl.
7720_105168_000022_000008	He had told them that he would take the captive to a sultan of the north and there obtain a great price for her and that when he returned they should have some of the spoils.	He had told them that he would take the captive to a sultan of the north and there obtain a great price for her and that when he returned they should have some of the spoils.
7720_105168_000023_000000	These things Tarzan did not know.	These things Tarzan did not know.
7720_105168_000023_000002	Already the machine was slowly leaving the ground.	Already the machine was slowly leaving the ground.
7720_105168_000023_000003	In a moment more it would rise swiftly out of reach.	In a moment more it would rise swiftly out of reach.
