1212_185485_000000_000000	The "humbug" in this transaction, of course consisted solely in the manner of advertising.	The "humbug" in this transaction, of course consisted solely in the manner of advertising.	false	2.37	10.92	16
1212_185485_000000_000001	There was no humbug or deception about the article manufactured.	There was no humbug or deception about the article manufactured.	false	10.92	25.005	20
1212_185485_000001_000000	CHAPTER VIII.	CHAPTER eight.	true	25.005	26.17	20
1212_185485_000002_000000	BRANDRETH'S PILLS.--MAGNIFICENT ADVERTISING.--POWER OF IMAGINATION.	BRANDRETH'S PILLS.--MAGNIFICENT ADVERTISING.--POWER OF IMAGINATION.	true	27.89	33.55	16
1212_185485_000003_000000	In the year 1834, Dr. Benjamin Brandreth commenced advertising in the city of New York, "Brandreth's Pills specially recommended to purify the blood." His office consisted of a room about ten feet square, located in what was then known as the Sun building, an edifice ten by forty feet, situated at the corner of Spruce and Nassau streets, where the Tribune is now published.	In the year eighteen thirty four, dr Benjamin Brandreth commenced advertising in the city of New York, "Brandreth's Pills specially recommended to purify the blood." His office consisted of a room about ten feet square, located in what was then known as the Sun building, an edifice ten by forty feet, situated at the corner of Spruce and Nassau streets, where the Tribune is now published.	true	35.6	61.72	18
1212_185485_000003_000001	His "factory" was at his residence in Hudson street. He put up a large gilt sign over the Sun office, five or six feet wide by the length of the building, which attracted much attention, as at that time it was probably the largest sign in New York.	His "factory" was at his residence in Hudson street. He put up a large gilt sign over the Sun office, five or six feet wide by the length of the building, which attracted much attention, as at that time it was probably the largest sign in New York.	true	62.21	78.07	17
1212_185485_000003_000002	Dr. Brandreth had great faith in his pills, and I believe not without reason; for multitudes of persons soon became convinced of the truth of his assertions, that "all diseases arise from impurity or imperfect circulation of the blood, and by purgation with Brandreth's Pills all disease may be cured."	dr Brandreth had great faith in his pills, and I believe not without reason; for multitudes of persons soon became convinced of the truth of his assertions, that "all diseases arise from impurity or imperfect circulation of the blood, and by purgation with Brandreth's Pills all disease may be cured."	false	78.53	98.59	17
1212_185485_000004_000000	But great and reasonable as might have been the faith of Dr. Brandreth in the efficacy of his pills, his faith in the potency of advertising them was equally strong.	But great and reasonable as might have been the faith of dr Brandreth in the efficacy of his pills, his faith in the potency of advertising them was equally strong.	false	99.77	109.15	19
1212_185485_000004_000001	Hence he commenced advertising largely in the Sun newspaper--paying at least $5,000 to that paper alone, for his first year's advertisements.	Hence he commenced advertising largely in the Sun newspaper-paying at least five thousand dollars to that paper alone, for his first year's advertisements.	true	109.49	118.81	15
1212_185485_000004_000002	That may not seem a large sum in these days, when parties have been known to pay more than five thousand dollar for a single day's advertising in the leading journals; but, at the time Brandreth started, his was considered the most liberal newspaper-advertising of the day.	That may not seem a large sum in these days, when parties have been known to pay more than five thousand dollar for a single day's advertising in the leading journals; but, at the time Brandreth started, his was considered the most liberal newspaper advertising of the day.	false	119.39	134.65	14
1212_185485_000005_000000	Advertising is to a genuine article what manure is to land,--it largely increases the product.	Advertising is to a genuine article what manure is to land,--it largely increases the product.	true	135.35	142.21	19
1212_185485_000005_000001	Thousands of persons may be reading your advertisement while you are eating, or sleeping, or attending to your business; hence public attention is attracted, new customers come to you, and, if you render them a satisfactory equivalent for their money, they continue to patronize you and recommend you to their friends.	Thousands of persons may be reading your advertisement while you are eating, or sleeping, or attending to your business; hence public attention is attracted, new customers come to you, and, if you render them a satisfactory equivalent for their money, they continue to patronize you and recommend you to their friends.	true	142.34	160.45	17
1212_185485_000006_000000	At the commencement of his career, Dr. Brandreth was indebted to Mr. Moses Y. Beach, proprietor of the New York Sun, for encouragement and means of advertising.	At the commencement of his career, dr Brandreth was indebted to mr Moses y Beach, proprietor of the New York Sun, for encouragement and means of advertising.	true	161.27	171.85	18
1212_185485_000006_000001	But this very advertising soon caused his receipts to be enormous.	But this very advertising soon caused his receipts to be enormous.	true	172.04	176.26	15
1212_185485_000006_000002	Although the pills were but twenty-five cents per box, they were soon sold to such a great extent, that tons of huge cases filled with the "purely vegetable pill" were sent from the new and extensive manufactory every week.	Although the pills were but twenty five cents per box, they were soon sold to such a great extent, that tons of huge cases filled with the "purely vegetable pill" were sent from the new and extensive manufactory every week.	true	176.48	190.54	20
1212_185485_000006_000003	As his business increased, so in the same ratio did he extend his advertising.	As his business increased, so in the same ratio did he extend his advertising.	true	191	196	16
1212_185485_000006_000004	The doctor engaged at one time a literary gentleman to attend, under the supervision of himself, solely to the advertising department.	The doctor engaged at one time a literary gentleman to attend, under the supervision of himself, solely to the advertising department.	true	196.34	204.61	19.42914
1212_185485_000006_000005	Column upon column of advertisements appeared in the newspapers, in the shape of learned and scientific pathological dissertations, the very reading of which would tempt a poor mortal to rush for a box of Brandreth's Pills; so evident was it (according to the advertisement) that nobody ever had or ever would have "pure blood," until from one to a dozen boxes of the pills had been taken as "purifiers." The ingenuity displayed in concocting these advertisements was superb, and was probably hardly equaled by that required to concoct the pills.	Column upon column of advertisements appeared in the newspapers, in the shape of learned and scientific pathological dissertations, the very reading of which would tempt a poor mortal to rush for a box of Brandreth's Pills; so evident was it (according to the advertisement) that nobody ever had or ever would have "pure blood," until from one to a dozen boxes of the pills had been taken as "purifiers." The ingenuity displayed in concocting these advertisements was superb, and was probably hardly equaled by that required to concoct the pills.	true	204.77	238.63	18
1212_185485_000007_000000	No pain, ache, twinge, or other sensation, good, bad, or indifferent, ever experienced by a member of the human family, but was a most irrefragable evidence of the impurity of the blood; and it would have been blasphemy to have denied the "self-evident" theory, that "all diseases arise from impurity or imperfect circulation of the blood, and that by purgation with Brandreth's Pills all disease may be cured."	No pain, ache, twinge, or other sensation, good, bad, or indifferent, ever experienced by a member of the human family, but was a most irrefragable evidence of the impurity of the blood; and it would have been blasphemy to have denied the "self evident" theory, that "all diseases arise from impurity or imperfect circulation of the blood, and that by purgation with Brandreth's Pills all disease may be cured."	true	239.48	265.63	17
1212_185485_000008_000000	The doctor claims that his grandfather first manufactured the pills in 1751.	The doctor claims that his grandfather first manufactured the pills in seventeen fifty one.	true	266.87	272.08	14
1212_185485_000008_000001	I suppose this may be true; at all events, no _living_ man will be apt to testify to the contrary.	I suppose this may be true; at all events, no underscore living underscore man will be apt to testify to the contrary.	false	272.33	279.1	17.740017
1212_185485_000008_000002	Here is an extract from one of Dr. Brandreth's early advertisements, which will give an idea of his style:	Here is an extract from one of dr Brandreth's early advertisements, which will give an idea of his style:	true	279.44	285.67	17
1212_185485_000009_000000	"'What has been longest known has been most considered, and what has been most considered is best understood.	"'What has been longest known has been most considered, and what has been most considered is best understood.	true	287.18	293.44	17
1212_185485_000010_000000	"'The life of the flesh is in the blood.'--Lev. xxii, 2.	"'The life of the flesh is in the blood.'--Lev. x x i i, two.	false	294.74	300.96	20.706764
1212_185485_000011_000000	"Bleeding reduces the vital powers; Brandreth's Pills increase them.	"Bleeding reduces the vital powers; Brandreth's Pills increase them.	true	300.96	305.56	18
1212_185485_000011_000001	So in sickness never be bled, especially in Dizziness and Apoplexy, but always use Brandreth's Pills.	So in sickness never be bled, especially in Dizziness and Apoplexy, but always use Brandreth's Pills.	true	305.72	313.27	18.1398
1212_185485_000012_000000	"The laws of life are written upon the face of Nature.	"The laws of life are written upon the face of Nature.	true	314.27	317.38	20
1212_185485_000012_000001	The Tempest, Whirlwind, and Thunder-storm bring health from the Solitudes of God.	The Tempest, Whirlwind, and Thunder storm bring health from the Solitudes of God.	true	317.51	322.48	17
1212_185485_000012_000002	The Tides are the daily agitators and purifiers of the Mighty World of Waters.	The Tides are the daily agitators and purifiers of the Mighty World of Waters.	true	322.76	327.67	13
1212_185485_000013_000000	"What these Providential means are as purifiers of the Atmosphere or Air, Brandreth's Pills are to man."	"What these Providential means are as purifiers of the Atmosphere or Air, Brandreth's Pills are to man."	true	328.73	335.71	17
1212_185485_000014_000000	This splendid system of advertising, and the almost reckless outlay which was required to keep it up, challenged the admiration of the business community.	This splendid system of advertising, and the almost reckless outlay which was required to keep it up, challenged the admiration of the business community.	true	337.16	345.82	17
1212_185485_000014_000001	In the course of a few years, his office was enlarged; and still being too small, he took the store 241 Broadway, and also opened a branch at 187 Hudson street.	In the course of a few years, his office was enlarged; and still being too small, he took the store two hundred forty one Broadway, and also opened a branch at one hundred eighty seven Hudson street.	false	346.22	357.97	18
1212_185485_000014_000002	The doctor continued to let his advertising keep pace with his patronage; and he was finally, in the year 1836, compelled to remove his manufactory to Sing Sing, where such perfectly incredible quantities of Brandreth's Pills have been manufactured and sold that it would hardly be safe to give the statistics.	The doctor continued to let his advertising keep pace with his patronage; and he was finally, in the year eighteen thirty six, compelled to remove his manufactory to Sing Sing, where such perfectly incredible quantities of Brandreth's Pills have been manufactured and sold that it would hardly be safe to give the statistics.	true	358.22	377.2	19
