8118_268287_000001_000000	CHAPTER II.	CHAPTER two.
8118_268287_000002_000000	Although I find a sad pleasure in lingering over these times, with such a history still impending, I cannot afford the indulgence.	Although I find a sad pleasure in lingering over these times, with such a history still impending, I cannot afford the indulgence.
8118_268287_000003_000000	Dear mother's simple funeral took me once more to my native place.	Dear mother's simple funeral took me once more to my native place.
8118_268287_000003_000002	But difficulties, sore to encounter at such a time, would have met me on every side.	But difficulties, sore to encounter at such a time, would have met me on every side.
8118_268287_000003_000003	Moreover the kind act cheered and led me through despondency, like the hand and face of God.	Moreover the kind act cheered and led me through despondency, like the hand and face of God.
8118_268287_000004_000000	Caring little what people might say or think, I could not stay at a distance.	Caring little what people might say or think, I could not stay at a distance.
8118_268287_000004_000001	Nature told me that it was my duty to go, and duty or not, I could not stay away.	Nature told me that it was my duty to go, and duty or not, I could not stay away.
8118_268287_000005_000001	So far away now, so hopelessly far away!	So far away now, so hopelessly far away!
8118_268287_000005_000002	There it lies indeed, I can touch it, kiss it, and embrace it; but oh how small a part of mother! and even that part is not mine.	There it lies indeed, I can touch it, kiss it, and embrace it; but oh how small a part of mother! and even that part is not mine.
8118_268287_000005_000004	I can see it, but it never will know me again; I may die beside it, and it cannot weep.	I can see it, but it never will know me again; I may die beside it, and it cannot weep.
8118_268287_000005_000005	The last last look of all on earth--they must have carried me away.	The last last look of all on earth-they must have carried me away.
8118_268287_000006_000003	One of them brought me a bunch, then stared, and was afraid to offer them.	One of them brought me a bunch, then stared, and was afraid to offer them.
8118_268287_000007_000001	Some one from time to time gave out the words of a verse and then it was sung to a simple impressive tune. That ancient hymn, which has drowned so many sobs, I did not hear, but felt it.	Some one from time to time gave out the words of a verse and then it was sung to a simple impressive tune. That ancient hymn, which has drowned so many sobs, I did not hear, but felt it.
8118_268287_000008_000000	We arrived at Vaughan St. Mary late in the afternoon of the second day. The whole of the journey was to me a long and tearful dream.	We arrived at Vaughan saint Mary late in the afternoon of the second day. The whole of the journey was to me a long and tearful dream.
8118_268287_000008_000001	Mr. Huxtable came with us.	mr Huxtable came with us.
8118_268287_000008_000002	He had never before been further from home than Exeter; and his single visit to that city had formed the landmark of his life.	He had never before been further from home than Exeter; and his single visit to that city had formed the landmark of his life.
8118_268287_000008_000003	He never tried to comfort me as the others did.	He never tried to comfort me as the others did.
8118_268287_000008_000004	The ignorant man knew better.	The ignorant man knew better.
8118_268287_000009_000000	Alone I sat by my father's grave, with my mother's ready before my feet. They had cast the mould on the other side, so as not to move my father's coverlet.	Alone I sat by my father's grave, with my mother's ready before my feet. They had cast the mould on the other side, so as not to move my father's coverlet.
8118_268287_000009_000001	The poor old pensioner had been true to her promise, and man's last garden was blooming like his first flower-bed.	The poor old pensioner had been true to her promise, and man's last garden was blooming like his first flower bed.
8118_268287_000010_000000	My mind (if any I had) seemed to have undergone some change.	My mind (if any I had) seemed to have undergone some change.
8118_268287_000010_000001	Defiance, and pride, and savage delight in misery, were entirely gone; and depression had taken the place of dejection.	Defiance, and pride, and savage delight in misery, were entirely gone; and depression had taken the place of dejection.
8118_268287_000010_000002	Death now seemed to me the usual and proper condition of things, and I felt it an impertinence that I should still be alive.	Death now seemed to me the usual and proper condition of things, and I felt it an impertinence that I should still be alive.
