5029_31091_000003_000000	AT THE PLACE OF THE OAKS	AT THE PLACE OF THE OAKS
5029_31091_000004_000002	"Do you know what the oak says?" it repeated.	"Do you know what the oak says?" it repeated.
5029_31091_000004_000003	"Do you hear it?	"Do you hear it?
5029_31091_000004_000004	Do you hear the talking of the leaves?...	Do you hear the talking of the leaves?...
5029_31091_000005_000001	"When the wind is soft, the oak says: 'Peace!	"When the wind is soft, the oak says: 'Peace!
5029_31091_000005_000002	Peace!' When the breeze is sharp it sighs and says: 'Pity!	Peace!' When the breeze is sharp it sighs and says: 'Pity!
5029_31091_000006_000000	"Do you see the oaks?" asked the Singing Mouse.	"Do you see the oaks?" asked the Singing Mouse.
5029_31091_000006_000001	"Do you see the little lake?	"Do you see the little lake?
5029_31091_000006_000002	Do you know this place of the oaks?	Do you know this place of the oaks?
5029_31091_000006_000003	Behold it now!" It waved a tiny hand.	Behold it now!" It waved a tiny hand.
5029_31091_000007_000000	I gazed at the naked, cheerless wall, seamed and rent with cracks along its sallow width.	I gazed at the naked, cheerless wall, seamed and rent with cracks along its sallow width.
5029_31091_000007_000002	And as I gazed more intently the map took on color, and narrowed its semblance to that of a certain region.	And as I gazed more intently the map took on color, and narrowed its semblance to that of a certain region.
5029_31091_000007_000003	And as I gazed yet more eagerly the map faded quite away, and there lay in its stead the smiling face of an enchanted land.	And as I gazed yet more eagerly the map faded quite away, and there lay in its stead the smiling face of an enchanted land.
5029_31091_000008_000005	And there were the oaks. At the water's edge, near the lesser spring, the wild apple trees twisted, but upon the hills and over the great glades stood the reserved, mysterious oaks, tall and strong.	And there were the oaks. At the water's edge, near the lesser spring, the wild apple trees twisted, but upon the hills and over the great glades stood the reserved, mysterious oaks, tall and strong.
5029_31091_000010_000000	One oak, a mighty one, now resolved itself more prominently forth.	One oak, a mighty one, now resolved itself more prominently forth.
5029_31091_000010_000001	Did I not know it well?	Did I not know it well?
5029_31091_000010_000002	Could one forget the tortured but noble soul of this oak?	Could one forget the tortured but noble soul of this oak?
5029_31091_000010_000004	One must suffer before one may comfort.	One must suffer before one may comfort.
5029_31091_000010_000005	The oak had suffered somewhere.	The oak had suffered somewhere.
5029_31091_000012_000001	Those who built this fire here, so many times, so many years, each time first craved pardon of the green grass of that happy glade, for they would not harm the grass.	Those who built this fire here, so many times, so many years, each time first craved pardon of the green grass of that happy glade, for they would not harm the grass.
5029_31091_000012_000003	And each year the oak dropped down food enough for the little fire.	And each year the oak dropped down food enough for the little fire.
5029_31091_000012_000004	The oak took pay in the vast shadows the fire made for it.	The oak took pay in the vast shadows the fire made for it.
5029_31091_000012_000005	That was the way the oak saw the spirits of the Past, and when it saw them it sighed; but still it welcomed the shadows of the Past.	That was the way the oak saw the spirits of the Past, and when it saw them it sighed; but still it welcomed the shadows of the Past.
5029_31091_000012_000006	So the fire, and the grass, and the oak, and the shadows of the Past were friends, and each year they met here.	So the fire, and the grass, and the oak, and the shadows of the Past were friends, and each year they met here.
5029_31091_000012_000007	It had been thus for many years.	It had been thus for many years.
5029_31091_000012_000008	Each year, for many years, the same hand had laid the little fire, in the same place, and so given back to the oak its Past.	Each year, for many years, the same hand had laid the little fire, in the same place, and so given back to the oak its Past.
5029_31091_000012_000009	Now, the Past is a very sad but tender thing.	Now, the Past is a very sad but tender thing.
5029_31091_000013_000000	Near by the little fire I saw a small table formed of straight-laid boughs, and at either side of this were seats made cunningly in the workshop of the woods.	Near by the little fire I saw a small table formed of straight laid boughs, and at either side of this were seats made cunningly in the workshop of the woods.
5029_31091_000013_000001	There were two forms at this small table.	There were two forms at this small table.
5029_31091_000013_000002	I saw them both.	I saw them both.
5029_31091_000013_000003	One was gray and bowed somewhat, stooped as the oaks are, silvered as the oaks are in the winter days.	One was gray and bowed somewhat, stooped as the oaks are, silvered as the oaks are in the winter days.
5029_31091_000013_000004	The other was younger and more erect.	The other was younger and more erect.
5029_31091_000013_000005	Once the younger looked to the older for counsel, but now it seemed to me the bowed figure turned to the one that had become more strong.	Once the younger looked to the older for counsel, but now it seemed to me the bowed figure turned to the one that had become more strong.
5029_31091_000014_000001	Even, it seemed to me, I could note a faint, clear odor of innocent potency.	Even, it seemed to me, I could note a faint, clear odor of innocent potency.
5029_31091_000014_000002	I saw the table laid, not with gleam of snow and silver, but with plain vessels which, nevertheless, seemed now to have a radiance of their own. I knew all this.	I saw the table laid, not with gleam of snow and silver, but with plain vessels which, nevertheless, seemed now to have a radiance of their own. I knew all this.
5029_31091_000015_000000	Now as I looked, the gray figure bowed its head, there, under the arm of the oak, and asked on the humble board the blessing of the God who made the oak, and gave the fire and spread the pleasant waters on the land.	Now as I looked, the gray figure bowed its head, there, under the arm of the oak, and asked on the humble board the blessing of the God who made the oak, and gave the fire and spread the pleasant waters on the land.
5029_31091_000015_000001	Every mealtime, every year, for many years, it had been thus.	Every mealtime, every year, for many years, it had been thus.
5029_31091_000015_000002	Ever, the oak knew, the gray figure would first bow and ask the blessing of God.	Ever, the oak knew, the gray figure would first bow and ask the blessing of God.
5029_31091_000015_000003	And each time at the close the oak with rustling leaves pronounced distinct Amen!	And each time at the close the oak with rustling leaves pronounced distinct Amen!
5029_31091_000015_000004	Let those jest who will.	Let those jest who will.
5029_31091_000015_000006	I think perhaps the oak knows or it would not thus for years have whispered reverently its distinct Amen!	I think perhaps the oak knows or it would not thus for years have whispered reverently its distinct Amen!
5029_31091_000015_000007	I will not scoff.	I will not scoff.
5029_31091_000015_000008	It is perhaps we who are ignorant.	It is perhaps we who are ignorant.
5029_31091_000015_000009	We do not know all things.	We do not know all things.
5029_31091_000017_000000	I ask not what nor who were these two who had come each year to this place of the oaks, but surely they were friends.	I ask not what nor who were these two who had come each year to this place of the oaks, but surely they were friends.
5029_31091_000017_000001	In shadow, I could hear them talk.	In shadow, I could hear them talk.
5029_31091_000017_000002	In shadow, I could see them smile.	In shadow, I could see them smile.
5029_31091_000018_000000	These friends sat by the little fire a time before they went to rest in the tiny house of white.	These friends sat by the little fire a time before they went to rest in the tiny house of white.
5029_31091_000018_000001	After they had gone, the fire did strange things.	After they had gone, the fire did strange things.
