8050_110238_000000_000000	"You think that he was waiting for someone?"	"You think that he was waiting for someone?"	false	0	1.83	23.830511
8050_110238_000001_000000	"The man was elderly and infirm.	"The man was elderly and infirm.	false	1.83	2.1	29
8050_110238_000001_000001	We can understand his taking an evening stroll, but the ground was damp and the night inclement.	We can understand his taking an evening stroll, but the ground was damp and the night inclement.	false	2.1	4.275	22.596668
8050_110238_000001_000002	Is it natural that he should stand for five or ten minutes, as Dr. Mortimer, with more practical sense than I should have given him credit for, deduced from the cigar ash?"	Is it natural that he should stand for five or ten minutes, as dr Mortimer, with more practical sense than I should have given him credit for, deduced from the cigar ash?"	false	4.275	8.04	26.861195
8050_110238_000002_000000	"But he went out every evening."	"But he went out every evening."	false	8.04	8.22	21.492685
8050_110238_000003_000000	"I think it unlikely that he waited at the moor-gate every evening.	"I think it unlikely that he waited at the moor gate every evening.	false	8.22	8.64	27
8050_110238_000003_000001	On the contrary, the evidence is that he avoided the moor.	On the contrary, the evidence is that he avoided the moor.	false	8.64	9	19
8050_110238_000003_000002	That night he waited there.	That night he waited there.	false	9	9.18	6
8050_110238_000003_000003	It was the night before he made his departure for London. The thing takes shape, Watson.	It was the night before he made his departure for London. The thing takes shape, Watson.	false	9.18	10.23	23.853437
8050_110238_000003_000004	It becomes coherent.	It becomes coherent.	false	10.23	10.5	1
8050_110238_000003_000005	Might I ask you to hand me my violin, and we will postpone all further thought upon this business until we have had the advantage of meeting Dr. Mortimer and Sir Henry Baskerville in the morning."	Might I ask you to hand me my violin, and we will postpone all further thought upon this business until we have had the advantage of meeting dr Mortimer and Sir Henry Baskerville in the morning."	false	10.5	21.525	24.722597
8050_110238_000004_000000	Chapter 4.	Chapter four.	true	21.525	22.72	25.096685
8050_110238_000004_000001	Sir Henry Baskerville	Sir Henry Baskerville	true	22.94	24.85	23.605005
8050_110238_000005_000000	Our breakfast table was cleared early, and Holmes waited in his dressing-gown for the promised interview.	Our breakfast table was cleared early, and Holmes waited in his dressing gown for the promised interview.	true	25.88	32.41	20.901978
8050_110238_000005_000001	Our clients were punctual to their appointment, for the clock had just struck ten when Dr. Mortimer was shown up, followed by the young baronet.	Our clients were punctual to their appointment, for the clock had just struck ten when dr Mortimer was shown up, followed by the young baronet.	true	33.26	42.1	24.260601
8050_110238_000005_000002	The latter was a small, alert, dark-eyed man about thirty years of age, very sturdily built, with thick black eyebrows and a strong, pugnacious face.	The latter was a small, alert, dark eyed man about thirty years of age, very sturdily built, with thick black eyebrows and a strong, pugnacious face.	true	42.5	52.84	23.811121
