8050_110238_000004_000000	Chapter 4.	Chapter four.
8050_110238_000004_000001	Sir Henry Baskerville	Sir Henry Baskerville
8050_110238_000005_000000	Our breakfast table was cleared early, and Holmes waited in his dressing-gown for the promised interview.	Our breakfast table was cleared early, and Holmes waited in his dressing gown for the promised interview.
8050_110238_000005_000001	Our clients were punctual to their appointment, for the clock had just struck ten when Dr. Mortimer was shown up, followed by the young baronet.	Our clients were punctual to their appointment, for the clock had just struck ten when dr Mortimer was shown up, followed by the young baronet.
8050_110238_000005_000002	The latter was a small, alert, dark-eyed man about thirty years of age, very sturdily built, with thick black eyebrows and a strong, pugnacious face.	The latter was a small, alert, dark eyed man about thirty years of age, very sturdily built, with thick black eyebrows and a strong, pugnacious face.
8050_110238_000006_000000	"This is Sir Henry Baskerville," said Dr. Mortimer.	"This is Sir Henry Baskerville," said dr Mortimer.
8050_110238_000008_000000	"Pray take a seat, Sir Henry.	"Pray take a seat, Sir Henry.
8050_110238_000009_000000	"Nothing of much importance, Mr. Holmes.	"Nothing of much importance, mr Holmes.
8050_110238_000010_000000	He laid an envelope upon the table, and we all bent over it.	He laid an envelope upon the table, and we all bent over it.
8050_110238_000010_000001	It was of common quality, grayish in colour.	It was of common quality, grayish in colour.
8050_110238_000010_000002	The address, "Sir Henry Baskerville, Northumberland Hotel," was printed in rough characters; the post-mark "Charing Cross," and the date of posting the preceding evening.	The address, "Sir Henry Baskerville, Northumberland Hotel," was printed in rough characters; the post mark "Charing Cross," and the date of posting the preceding evening.
8050_110238_000012_000000	"No one could have known.	"No one could have known.
8050_110238_000012_000001	We only decided after I met Dr. Mortimer."	We only decided after I met dr Mortimer."
8050_110238_000013_000000	"But Dr. Mortimer was no doubt already stopping there?"	"But dr Mortimer was no doubt already stopping there?"
8050_110238_000014_000000	"No, I had been staying with a friend," said the doctor.	"No, I had been staying with a friend," said the doctor.
8050_110238_000015_000000	"There was no possible indication that we intended to go to this hotel."	"There was no possible indication that we intended to go to this hotel."
