7140_72205_000000_000000	"No, no, you are not; you must not," both answered in a breath.	"No, no, you are not; you must not," both answered in a breath.	false	0	4.62	19.67891
7140_72205_000000_000001	"Aunt Dinah and Aunt Chloe will do it all tenderly and lovingly as if she had been of their own flesh and blood," added Mr. Travilla, in trembling tones.	"Aunt Dinah and Aunt Chloe will do it all tenderly and lovingly as if she had been of their own flesh and blood," added mr Travilla, in trembling tones.	false	4.62	18.57	21.497112
7140_72205_000001_000000	CHAPTER TWENTIETH.	CHAPTER TWENTIETH.	true	18.57	19.72	25.060663
7140_72205_000002_000000	"There are smiles and tears in the mother's eyes For her new-born babe beside her lies; Oh, heaven of bliss! when the heart o'erflows With the rapture a _mother_ only knows!" --HENRY WARE, JR.	"There are smiles and tears in the mother's eyes For her new born babe beside her lies; Oh, heaven of bliss! when the heart o'erflows With the rapture a underscore mother underscore only knows!" --HENRY WARE, jr	false	20	33.03	20
7140_72205_000003_000000	Mrs. Travilla was laid to rest in their own family burial-ground, her dust sleeping beside that of her husband, and children who had died in infancy; and daily her surviving son carried his little daughter thither to scatter flowers upon "dear grandma's grave."	mrs Travilla was laid to rest in their own family burial ground, her dust sleeping beside that of her husband, and children who had died in infancy; and daily her surviving son carried his little daughter thither to scatter flowers upon "dear grandma's grave."	false	33.03	48.82	15
7140_72205_000004_000000	It was not easy to learn to live without the dear mother; they missed her constantly.	It was not easy to learn to live without the dear mother; they missed her constantly.	true	48.89	53.41	24
7140_72205_000004_000001	Yet was their sorrow nearly swallowed up in joy for her--the blessed dead who had departed to be with Christ in glory and to go no more out forever from that blissful presence.	Yet was their sorrow nearly swallowed up in joy for her-the blessed dead who had departed to be with Christ in glory and to go no more out forever from that blissful presence.	true	53.51	64.065	19
7140_72205_000005_000000	Their house was not made dark and gloomy, the sunlight and sweet spring air entered freely as of yore.	Their house was not made dark and gloomy, the sunlight and sweet spring air entered freely as of yore.	true	64.065	70.75	17
7140_72205_000005_000001	Nor did they suffer gloom to gather in their hearts or cloud their faces.	Nor did they suffer gloom to gather in their hearts or cloud their faces.	true	70.91	75.01	20.376629
7140_72205_000005_000002	Each was filled with thankfulness for the spared life of the other, and of their darling little daughter.	Each was filled with thankfulness for the spared life of the other, and of their darling little daughter.	true	75.17	80.5	18
7140_72205_000006_000000	And scarce a week had passed away since heaven's portals opened wide to the ransomed soul, when a new voice--that of a son and heir--was heard in the old home, and many hearts rejoiced in the birth of the beautiful boy.	And scarce a week had passed away since heaven's portals opened wide to the ransomed soul, when a new voice-that of a son and heir-was heard in the old home, and many hearts rejoiced in the birth of the beautiful boy.	true	80.69	94	16
