2269_165387_000000_000000	CHAP.	CHAP.	true	0.54	0.81	23.332895
2269_165387_000000_000001	VI.	VI.	false	0.81	0.93	25
2269_165387_000001_000000	_The dismal Transmigration of Master_ TOMMY FILCH _into the Body of a Wolf._	underscore The dismal Transmigration of Master underscore TOMMY FILCH underscore into the Body of a Wolf.underscore	false	0.93	5.28	21.396614
2269_165387_000002_000000	As soon as we had lifted up the latch to enter into the next apartment, we were immediately alarmed by a horrid howling; which upon opening the door we discovered to be the savage musick of a lusty young wolf, who looked as fierce as if he would have torn every one of us to pieces. But a strong chain confined his fury to one corner of the room; so that we could venture pretty near him without any danger of feeling the strength of his jaws.	As soon as we had lifted up the latch to enter into the next apartment, we were immediately alarmed by a horrid howling; which upon opening the door we discovered to be the savage musick of a lusty young wolf, who looked as fierce as if he would have torn every one of us to pieces. But a strong chain confined his fury to one corner of the room; so that we could venture pretty near him without any danger of feeling the strength of his jaws.	false	5.28	43.77	21.817425
2269_165387_000002_000001	"This plundering and voracious animal, said the Bramin, who has been accustomed to gratify his appetite at the expense of all the farmers in the neighbourhood, is inhabited by the soul of the late Master _Filch_, who, as you will find by the sequel of the story, is now placed in a station which is perfectly suitable to his character.	"This plundering and voracious animal, said the Bramin, who has been accustomed to gratify his appetite at the expense of all the farmers in the neighbourhood, is inhabited by the soul of the late Master underscore Filch underscore, who, as you will find by the sequel of the story, is now placed in a station which is perfectly suitable to his character.	false	43.77	69	22.375015
2269_165387_000002_000002	His very infancy was disgraced by a natural propensity to fraud and rapine; for as soon as he could talk plain enough to be understood, the chief employment of his tongue was to tell as many stories as his little head was capable of inventing; and that his hands might come in for their share of mischief, he never failed to make a property of all the sugar, fruit, tarts, &c. which the carelessness of the servants had left within his reach.	His very infancy was disgraced by a natural propensity to fraud and rapine; for as soon as he could talk plain enough to be understood, the chief employment of his tongue was to tell as many stories as his little head was capable of inventing; and that his hands might come in for their share of mischief, he never failed to make a property of all the sugar, fruit, tarts, and c. which the carelessness of the servants had left within his reach.	false	69	101.1	22.930979
2269_165387_000002_000003	If his parents had been wise enough to chastise him for his little roguery, they might have nipped it in the bud; but they were so imprudently fond, that they not only neglected to administer the discipline of the rod, but made his falsehood and pilferings the constant subject of their merriment.	If his parents had been wise enough to chastise him for his little roguery, they might have nipped it in the bud; but they were so imprudently fond, that they not only neglected to administer the discipline of the rod, but made his falsehood and pilferings the constant subject of their merriment.	false	101.1	119.1	22.170176
2269_165387_000002_000004	They considered his faults as trivial, because they were the faults of a child; not reflecting that if the seeds of vice are suffered to grow, they will in a shorter time than is commonly imagined, take such deep root in the heart, that it will be scarcely possible to eradicate them. Experience, however, soon undeceived them; for when little _Filch_ was eight or nine years old, though he had plenty of fruit at home, they had the mortification to be informed that he was making daily incursions into every poor man's garden in the neighbourhood.	They considered his faults as trivial, because they were the faults of a child; not reflecting that if the seeds of vice are suffered to grow, they will in a shorter time than is commonly imagined, take such deep root in the heart, that it will be scarcely possible to eradicate them. Experience, however, soon undeceived them; for when little underscore Filch underscore was eight or nine years old, though he had plenty of fruit at home, they had the mortification to be informed that he was making daily incursions into every poor man's garden in the neighbourhood.	false	119.1	161.37	21.947468
2269_165387_000002_000005	The consequence of these repeated complaints was sometimes a severe reprimand, and sometimes as severe a flogging; but neither the one nor the other were able to produce a reformation, though it is very probable, that if they had been applied in time, they might have been applied to better purpose.	The consequence of these repeated complaints was sometimes a severe reprimand, and sometimes as severe a flogging; but neither the one nor the other were able to produce a reformation, though it is very probable, that if they had been applied in time, they might have been applied to better purpose.	false	161.37	177.48	22.95262
2269_165387_000002_000006	From robbing orchards he soon proceeded to the raising private contributions on his school fellows.	From robbing orchards he soon proceeded to the raising private contributions on his school fellows.	false	177.48	182.31	23.20438
2269_165387_000002_000007	Sometimes he defrauded them at play: sometimes he picked their pockets; and very frequently he stole their books, or money, out of their desks and boxes: and, as it is the study of every wicked boy to maintain the appearance of honesty as long as he is able, as soon as the robbery was discovered he was the first person to exclaim against it, which he did in the bitterest terms, and to prevent a long and circumstantial inquiry after the author of it (which he suspected would not terminate in his favour) he impudently pretended to have been an eye witness of the fact, and then boldly charged it upon one or another of his school mates, who he knew had neither skill nor spirit enough to contradict his evidence in a satisfactory manner.	Sometimes he defrauded them at play: sometimes he picked their pockets; and very frequently he stole their books, or money, out of their desks and boxes: and, as it is the study of every wicked boy to maintain the appearance of honesty as long as he is able, as soon as the robbery was discovered he was the first person to exclaim against it, which he did in the bitterest terms, and to prevent a long and circumstantial inquiry after the author of it (which he suspected would not terminate in his favour) he impudently pretended to have been an eye witness of the fact, and then boldly charged it upon one or another of his school mates, who he knew had neither skill nor spirit enough to contradict his evidence in a satisfactory manner.	false	182.31	243.93	21.436958
