4064_77779_000000_000000	"And why, pray?" asked the Doctor.	"And why, pray?" asked the Doctor.	false	3.18	5.97	23.452854
4064_77779_000000_000001	"Because there are no more drugs, must the physician walk?"	"Because there are no more drugs, must the physician walk?"	false	5.97	7.71	11
4064_77779_000001_000000	"Not at all," said the Idiot.	"Not at all," said the Idiot.	false	7.71	9.6	16
4064_77779_000001_000001	"But he'd be better equipped if he drove about in a piano-organ or, if he preferred, an auto on a steam-calliope."	"But he'd be better equipped if he drove about in a piano organ or, if he preferred, an auto on a steam calliope."	false	9.6	17.85	22.978506
4064_77779_000002_000000	XIV	fourteen	true	17.85	18.97	23.692448
4064_77779_000003_000000	HE DEFENDS CAMPAIGN METHODS	HE DEFENDS CAMPAIGN METHODS	true	19.73	22.42	22.879158
4064_77779_000004_000000	"Good-morning, gentlemen," said the Idiot, cheerily, as he entered the breakfast-room.	"Good morning, gentlemen," said the Idiot, cheerily, as he entered the breakfast room.	true	23.27	28.24	18.895727
4064_77779_000004_000001	"This is a fine Sunday morning in spite of the gloom into which the approaching death of the campaign should plunge us all."	"This is a fine Sunday morning in spite of the gloom into which the approaching death of the campaign should plunge us all."	true	28.43	35.68	21.9942
4064_77779_000005_000000	"You think that, do you?" observed the Bibliomaniac.	"You think that, do you?" observed the Bibliomaniac.	true	36.23	39.58	23.688843
4064_77779_000005_000001	"Well, I don't agree with you.	"Well, I don't agree with you.	true	39.68	41.5	27.065866
4064_77779_000005_000002	I for one am sick and tired of politics, and it will be a great relief to me when it is all over."	I for one am sick and tired of politics, and it will be a great relief to me when it is all over."	true	41.66	48.49	23.555399
4064_77779_000006_000000	"Dear me, what a blase old customer you are, Mr. Bib," returned the Idiot.	"Dear me, what a blase old customer you are, mr Bib," returned the Idiot.	false	49.19	54.22	21.587008
4064_77779_000006_000001	"Do you mean to say that a Presidential campaign does not keep your nerve-centres in a constant state of pleasurable titillation?	"Do you mean to say that a Presidential campaign does not keep your nerve centres in a constant state of pleasurable titillation?	true	54.44	63.13	21
4064_77779_000006_000002	Why, to me it is what a bag full of nuts must be to a squirrel.	Why, to me it is what a bag full of nuts must be to a squirrel.	true	63.44	68.05	26.400127
4064_77779_000006_000003	I fairly gloat over these quadrennial political campaigns of ours.	I fairly gloat over these quadrennial political campaigns of ours.	true	68.39	73.09	23.66759
4064_77779_000006_000004	They are to me among the most exhilarating institutions of modern life.	They are to me among the most exhilarating institutions of modern life.	true	73.67	78.7	21.414768
4064_77779_000006_000005	They satisfy all one's zest for warfare without the distressing shedding of blood which attends real war, and regarded from the standpoint of humor, I know of nothing that, to the eye of an ordinarily keen observer, is more provocative of good, honest, wholesome mirth."	They satisfy all one's zest for warfare without the distressing shedding of blood which attends real war, and regarded from the standpoint of humor, I know of nothing that, to the eye of an ordinarily keen observer, is more provocative of good, honest, wholesome mirth."	true	78.77	97.18	22.359808
4064_77779_000007_000000	"I don't see it," said Mr. Bib.	"I don't see it," said mr Bib.	true	97.85	100.18	24.68091
4064_77779_000007_000001	"To my mind, the average political campaign is just a vulgar scrap in which men who ought to know better descend to all sorts of despicable trickery merely to gain the emoluments of office.	"To my mind, the average political campaign is just a vulgar scrap in which men who ought to know better descend to all sorts of despicable trickery merely to gain the emoluments of office.	true	100.22	113.32	21.676027
4064_77779_000007_000002	This quest for the flesh-pots of politics, so far from being diverting, is, to my notion, one of the most deplorable exhibitions of human weakness that modern civilization, so called, has produced.	This quest for the flesh pots of politics, so far from being diverting, is, to my notion, one of the most deplorable exhibitions of human weakness that modern civilization, so called, has produced.	true	113.66	128.775	23.29895
4064_77779_000007_000003	A couple of men are put up for the most dignified office known to the world--both are gentlemen by birth and education, men of honor, men who, you would think, would scorn baseness as they hate poison--and then what happens?	A couple of men are put up for the most dignified office known to the world-both are gentlemen by birth and education, men of honor, men who, you would think, would scorn baseness as they hate poison-and then what happens?	true	128.775	145.81	23.072615
4064_77779_000007_000004	For three weary months the followers of each attack the character and intelligence of the other until, if you really believed what was said of either, neither in your estimation would have a shred of reputation left.	For three weary months the followers of each attack the character and intelligence of the other until, if you really believed what was said of either, neither in your estimation would have a shred of reputation left.	true	146.03	159.76	21.908861
4064_77779_000007_000005	Is that either diverting or elevating or educational or, indeed, anything but deplorable?"	Is that either diverting or elevating or educational or, indeed, anything but deplorable?"	true	160.07	167.71	24.822132
4064_77779_000008_000000	"It's perfectly fine," said the Idiot, "to think that we have men in the country whose characters are such that they can stand four months of such a test.	"It's perfectly fine," said the Idiot, "to think that we have men in the country whose characters are such that they can stand four months of such a test.	true	168.5	177.4	22.8706
4064_77779_000008_000001	That's what I find elevating in it.	That's what I find elevating in it.	true	177.71	179.92	22.548857
4064_77779_000008_000002	When a man who is nominated for the Presidency in June or July can emerge in November unscathed in spite of the minute scrutiny to which himself and his record and the record of his sisters and his cousins and his aunts have been subjected, it's time for the American rooster to get upon his hind legs and give three cheers for himself and the people to whom he belongs.	When a man who is nominated for the Presidency in June or July can emerge in November unscathed in spite of the minute scrutiny to which himself and his record and the record of his sisters and his cousins and his aunts have been subjected, it's time for the American rooster to get upon his hind legs and give three cheers for himself and the people to whom he belongs.	false	180.17	205.36	22.700655
4064_77779_000008_000003	Even old Diogenes, who spent his life looking for an honest man, would have to admit every four years that he could spot him instantly by merely coming to this country and taking his choice from among the several candidates."	Even old Diogenes, who spent his life looking for an honest man, would have to admit every four years that he could spot him instantly by merely coming to this country and taking his choice from among the several candidates."	true	205.82	221.08	23.46029
