8635_295756_000000_000000	CHAPTER II.	CHAPTER two.
8635_295756_000001_000000	YOUTH.	YOUTH.
8635_295756_000002_000002	He spoke to George a-bout it, and the boy was wild with joy.	He spoke to George a bout it, and the boy was wild with joy.
8635_295756_000002_000004	But as the time drew near, her heart, which had been so strong and brave and full of pride, gave way and she felt that she could not part with her dear boy.	But as the time drew near, her heart, which had been so strong and brave and full of pride, gave way and she felt that she could not part with her dear boy.
8635_295756_000004_000000	So they gave up the scheme, and George was sent back to school.	So they gave up the scheme, and George was sent back to school.
8635_295756_000006_000000	These neat ways, formed in his youth, were kept up through all his life, and what seems strange is that day-books, and such books as you will find in great use now-a-days were not known at that time.	These neat ways, formed in his youth, were kept up through all his life, and what seems strange is that day books, and such books as you will find in great use now a days were not known at that time.
8635_295756_000008_000003	In fact he did not know their size or shape, but he had heard that men had sought out some of the best spots, and had built homes there, and laid out farms for which they paid no rent, and he thought it quite time to put a stop to such things.	In fact he did not know their size or shape, but he had heard that men had sought out some of the best spots, and had built homes there, and laid out farms for which they paid no rent, and he thought it quite time to put a stop to such things.
8635_295756_000009_000001	He wrote down what was done from day to day, and by these notes we learn that he had quite a rough time of it, and yet found much that was to his taste.	He wrote down what was done from day to day, and by these notes we learn that he had quite a rough time of it, and yet found much that was to his taste.
8635_295756_000011_000000	One night, writes George, when they had been hard at work all day, they came to the house where they were to be fed and lodged.	One night, writes George, when they had been hard at work all day, they came to the house where they were to be fed and lodged.
8635_295756_000012_000002	They made up their minds to stay there for a day or two; went to see the Warm Springs, and at night camped out in the field.	They made up their minds to stay there for a day or two; went to see the Warm Springs, and at night camped out in the field.
8635_295756_000012_000004	The men crossed in birch-bark boats, and rode all the next day in a rain storm to a place two-score miles from where they had set out that morn.	The men crossed in birch bark boats, and rode all the next day in a rain storm to a place two score miles from where they had set out that morn.
8635_295756_000013_000000	On March 23, they fell in with a score or two of red-men who had been off to war and brought home but one scalp, and they had a chance to see a war-dance.	On march twenty third, they fell in with a score or two of red men who had been off to war and brought home but one scalp, and they had a chance to see a war dance.
8635_295756_000013_000001	The red-men cleared a large space, and built a fire in the midst of it, round which they all sat.	The red men cleared a large space, and built a fire in the midst of it, round which they all sat
8635_295756_000013_000002	One of the men then made a grand speech in which he told them how they were to dance.	One of the men then made a grand speech in which he told them how they were to dance.
8635_295756_000014_000000	When he had done, the one who could dance the best sprang up as if he had just been roused from sleep, and ran and jumped round the ring in a queer kind of way.	When he had done, the one who could dance the best sprang up as if he had just been roused from sleep, and ran and jumped round the ring in a queer kind of way.
8635_295756_000014_000001	The rest soon joined him, and did just as he did. By this time the band made it-self heard, and I shall have to tell you what a fine band it was.	The rest soon joined him, and did just as he did. By this time the band made it self heard, and I shall have to tell you what a fine band it was.
