1195_130164_000000_000000	CHAPTER TWENTY-TWO	CHAPTER TWENTY TWO	false	0.96	21.22	21.468904
1195_130164_000001_000000	PLEASANT MEADOWS	PLEASANT MEADOWS	true	21.38	22.69	22.855753
1195_130164_000002_000000	Like sunshine after a storm were the peaceful weeks which followed. The invalids improved rapidly, and Mr. March began to talk of returning early in the new year.	Like sunshine after a storm were the peaceful weeks which followed. The invalids improved rapidly, and mr March began to talk of returning early in the new year.	false	26.96	37.45	21.320213
1195_130164_000002_000001	Beth was soon able to lie on the study sofa all day, amusing herself with the well-beloved cats at first, and in time with doll's sewing, which had fallen sadly behind-hand.	Beth was soon able to lie on the study sofa all day, amusing herself with the well beloved cats at first, and in time with doll's sewing, which had fallen sadly behind hand.	true	38.03	49.15	20.884363
1195_130164_000002_000002	Her once active limbs were so stiff and feeble that Jo took her for a daily airing about the house in her strong arms.	Her once active limbs were so stiff and feeble that Jo took her for a daily airing about the house in her strong arms.	false	49.64	56.89	19
1195_130164_000002_000003	Meg cheerfully blackened and burned her white hands cooking delicate messes for 'the dear', while Amy, a loyal slave of the ring, celebrated her return by giving away as many of her treasures as she could prevail on her sisters to accept.	Meg cheerfully blackened and burned her white hands cooking delicate messes for 'the dear', while Amy, a loyal slave of the ring, celebrated her return by giving away as many of her treasures as she could prevail on her sisters to accept.	true	57.17	72.13	19
1195_130164_000003_000000	As Christmas approached, the usual mysteries began to haunt the house, and Jo frequently convulsed the family by proposing utterly impossible or magnificently absurd ceremonies, in honor of this unusually merry Christmas.	As Christmas approached, the usual mysteries began to haunt the house, and Jo frequently convulsed the family by proposing utterly impossible or magnificently absurd ceremonies, in honor of this unusually merry Christmas.	true	73.07	87.73	21.609884
1195_130164_000003_000001	Laurie was equally impracticable, and would have had bonfires, skyrockets, and triumphal arches, if he had had his own way. After many skirmishes and snubbings, the ambitious pair were considered effectually quenched and went about with forlorn faces, which were rather belied by explosions of laughter when the two got together.	Laurie was equally impracticable, and would have had bonfires, skyrockets, and triumphal arches, if he had had his own way. After many skirmishes and snubbings, the ambitious pair were considered effectually quenched and went about with forlorn faces, which were rather belied by explosions of laughter when the two got together.	false	88.1	108.19	21.153736
1195_130164_000004_000000	Several days of unusually mild weather fitly ushered in a splendid Christmas Day.	Several days of unusually mild weather fitly ushered in a splendid Christmas Day.	true	109.34	114.52	16
1195_130164_000004_000001	Hannah 'felt in her bones' that it was going to be an unusually fine day, and she proved herself a true prophetess, for everybody and everything seemed bound to produce a grand success.	Hannah 'felt in her bones' that it was going to be an unusually fine day, and she proved herself a true prophetess, for everybody and everything seemed bound to produce a grand success.	true	115.25	126.49	18
1195_130164_000004_000002	To begin with, Mr. March wrote that he should soon be with them, then Beth felt uncommonly well that morning, and, being dressed in her mother's gift, a soft crimson merino wrapper, was borne in high triumph to the window to behold the offering of Jo and Laurie.	To begin with, mr March wrote that he should soon be with them, then Beth felt uncommonly well that morning, and, being dressed in her mother's gift, a soft crimson merino wrapper, was borne in high triumph to the window to behold the offering of Jo and Laurie.	false	127.04	142.75	19.80126
