1195_130164_000001_000000	PLEASANT MEADOWS	PLEASANT MEADOWS
1195_130164_000002_000001	Beth was soon able to lie on the study sofa all day, amusing herself with the well-beloved cats at first, and in time with doll's sewing, which had fallen sadly behind-hand.	Beth was soon able to lie on the study sofa all day, amusing herself with the well beloved cats at first, and in time with doll's sewing, which had fallen sadly behind hand.
1195_130164_000003_000000	As Christmas approached, the usual mysteries began to haunt the house, and Jo frequently convulsed the family by proposing utterly impossible or magnificently absurd ceremonies, in honor of this unusually merry Christmas.	As Christmas approached, the usual mysteries began to haunt the house, and Jo frequently convulsed the family by proposing utterly impossible or magnificently absurd ceremonies, in honor of this unusually merry Christmas.
1195_130164_000004_000003	The Unquenchables had done their best to be worthy of the name, for like elves they had worked by night and conjured up a comical surprise.	The Unquenchables had done their best to be worthy of the name, for like elves they had worked by night and conjured up a comical surprise.
1195_130164_000004_000004	Out in the garden stood a stately snow maiden, crowned with holly, bearing a basket of fruit and flowers in one hand, a great roll of music in the other, a perfect rainbow of an Afghan round her chilly shoulders, and a Christmas carol issuing from her lips on a pink paper streamer.	Out in the garden stood a stately snow maiden, crowned with holly, bearing a basket of fruit and flowers in one hand, a great roll of music in the other, a perfect rainbow of an Afghan round her chilly shoulders, and a Christmas carol issuing from her lips on a pink paper streamer.
1195_130164_000005_000000	THE JUNGFRAU TO BETH	THE JUNGFRAU TO BETH
1195_130164_000009_000000	Accept a ribbon red, I beg, For Madam Purrer's tail, And ice cream made by lovely Peg, A Mont Blanc in a pail.	Accept a ribbon red, I beg, For Madam Purrer's tail, And ice cream made by lovely Peg, A Mont Blanc in a pail.
1195_130164_000010_000000	Their dearest love my makers laid Within my breast of snow. Accept it, and the Alpine maid, From Laurie and from Jo.	Their dearest love my makers laid Within my breast of snow. Accept it, and the Alpine maid, From Laurie and from Jo.
1195_130164_000011_000000	How Beth laughed when she saw it, how Laurie ran up and down to bring in the gifts, and what ridiculous speeches Jo made as she presented them.	How Beth laughed when she saw it, how Laurie ran up and down to bring in the gifts, and what ridiculous speeches Jo made as she presented them.
1195_130164_000012_000000	"I'm so full of happiness, that if Father was only here, I couldn't hold one drop more," said Beth, quite sighing with contentment as Jo carried her off to the study to rest after the excitement, and to refresh herself with some of the delicious grapes the 'Jungfrau' had sent her.	"I'm so full of happiness, that if Father was only here, I couldn't hold one drop more," said Beth, quite sighing with contentment as Jo carried her off to the study to rest after the excitement, and to refresh herself with some of the delicious grapes the 'Jungfrau' had sent her.
1195_130164_000014_000000	"I'm sure I am," echoed Amy, poring over the engraved copy of the Madonna and Child, which her mother had given her in a pretty frame.	"I'm sure I am," echoed Amy, poring over the engraved copy of the Madonna and Child, which her mother had given her in a pretty frame.
