8011_291458_000000_000000	CHAPTER IX.	CHAPTER nine.	true	32.475	33.76	23.564207
8011_291458_000001_000000	There is something exceedingly delusive in thus looking back, through the long vista of departed years, and catching a glimpse of the fairy realms of antiquity.	There is something exceedingly delusive in thus looking back, through the long vista of departed years, and catching a glimpse of the fairy realms of antiquity.	true	34.4	44.86	23.260605
8011_291458_000001_000001	Like a landscape melting into distance, they receive a thousand charms from their very obscurity, and the fancy delights to fill up their outlines with graces and excellences of its own creation.	Like a landscape melting into distance, they receive a thousand charms from their very obscurity, and the fancy delights to fill up their outlines with graces and excellences of its own creation.	true	45.08	58.24	25.977686
8011_291458_000001_000002	Thus loom on my imagination those happier days of our city, when as yet New Amsterdam was a mere pastoral town, shrouded in groves of sycamores and willows, and surrounded by trackless forests and wide-spreading waters, that seemed to shut out all the cares and vanities of a wicked world.	Thus loom on my imagination those happier days of our city, when as yet New Amsterdam was a mere pastoral town, shrouded in groves of sycamores and willows, and surrounded by trackless forests and wide spreading waters, that seemed to shut out all the cares and vanities of a wicked world.	true	58.55	78.03	25.434807
8011_291458_000002_000000	In those days did this embryo city present the rare and noble spectacle of a community governed without laws; and thus being left to its own course, and the fostering care of Providence, increased as rapidly as though it had been burdened with a dozen panniers full of those sage laws usually heaped on the backs of young cities--in order to make them grow.	In those days did this embryo city present the rare and noble spectacle of a community governed without laws; and thus being left to its own course, and the fostering care of Providence, increased as rapidly as though it had been burdened with a dozen panniers full of those sage laws usually heaped on the backs of young cities-in order to make them grow.	false	78.03	101.08	25.361397
8011_291458_000002_000001	And in this particular I greatly admire the wisdom and sound knowledge of human nature displayed by the sage Oloffe the Dreamer and his fellow legislators.	And in this particular I greatly admire the wisdom and sound knowledge of human nature displayed by the sage Oloffe the Dreamer and his fellow legislators.	true	101.24	111.4	25.661041
8011_291458_000002_000002	For my part, I have not so bad an opinion of mankind as many of my brother philosophers.	For my part, I have not so bad an opinion of mankind as many of my brother philosophers.	true	111.62	117.7	26.465328
8011_291458_000002_000003	I do not think poor human nature so sorry a piece of workmanship as they would make it out to be; and as far as I have observed, I am fully satisfied that man, if left to himself, would about as readily go right as wrong.	I do not think poor human nature so sorry a piece of workmanship as they would make it out to be; and as far as I have observed, I am fully satisfied that man, if left to himself, would about as readily go right as wrong.	true	117.8	132.28	25.146992
8011_291458_000002_000004	It is only this eternally sounding in his ears that it is his duty to go right which makes him go the very reverse. The noble independence of his nature revolts at this intolerable tyranny of law, and the perpetual interference of officious morality, which are ever besetting his path with finger-posts and directions to "keep to the right, as the law directs;" and like a spirited urchin, he turns directly contrary, and gallops through mud and mire, over hedges and ditches, merely to show that he is a lad of spirit, and out of his leading-strings. And these opinions are amply substantiated by what I have above said of our worthy ancestors; who never being be-preached and be-lectured, and guided and governed by statutes and laws and by-laws, as are their more enlightened descendants, did one and all demean themselves honestly and peaceably, out of pure ignorance, or, in other words--because they knew no better.	It is only this eternally sounding in his ears that it is his duty to go right which makes him go the very reverse. The noble independence of his nature revolts at this intolerable tyranny of law, and the perpetual interference of officious morality, which are ever besetting his path with finger posts and directions to "keep to the right, as the law directs;" and like a spirited urchin, he turns directly contrary, and gallops through mud and mire, over hedges and ditches, merely to show that he is a lad of spirit, and out of his leading strings. And these opinions are amply substantiated by what I have above said of our worthy ancestors; who never being be preached and be lectured, and guided and governed by statutes and laws and by laws, as are their more enlightened descendants, did one and all demean themselves honestly and peaceably, out of pure ignorance, or, in other words-because they knew no better.	false	132.71	192.82	25.38377
8011_291458_000003_000000	Nor must I omit to record one of the earliest measures of this infant settlement, inasmuch as it shows the piety of our forefathers, and that, like good Christians, they were always ready to serve God, after they had first served themselves.	Nor must I omit to record one of the earliest measures of this infant settlement, inasmuch as it shows the piety of our forefathers, and that, like good Christians, they were always ready to serve God, after they had first served themselves.	false	193.01	208.21	27.789923
8011_291458_000003_000001	Thus, having quietly settled themselves down, and provided for their own comfort, they bethought themselves of testifying their gratitude to the great and good St. Nicholas, for his protecting care in guiding them to this delectable abode.	Thus, having quietly settled themselves down, and provided for their own comfort, they bethought themselves of testifying their gratitude to the great and good saint Nicholas, for his protecting care in guiding them to this delectable abode.	true	208.25	223.18	24.559376
8011_291458_000003_000002	To this end they built a fair and goodly chapel within the fort, which they consecrated to his name; whereupon he immediately took the town of New Amsterdam under his peculiar patronage, and he has even since been, and I devoutly hope will ever be, the tutelar saint of this excellent city.	To this end they built a fair and goodly chapel within the fort, which they consecrated to his name; whereupon he immediately took the town of New Amsterdam under his peculiar patronage, and he has even since been, and I devoutly hope will ever be, the tutelar saint of this excellent city.	true	223.34	240.91	25.048529
