8011_291458_000000_000000	CHAPTER IX.	CHAPTER nine.
8011_291458_000001_000000	There is something exceedingly delusive in thus looking back, through the long vista of departed years, and catching a glimpse of the fairy realms of antiquity.	There is something exceedingly delusive in thus looking back, through the long vista of departed years, and catching a glimpse of the fairy realms of antiquity.
8011_291458_000001_000001	Like a landscape melting into distance, they receive a thousand charms from their very obscurity, and the fancy delights to fill up their outlines with graces and excellences of its own creation.	Like a landscape melting into distance, they receive a thousand charms from their very obscurity, and the fancy delights to fill up their outlines with graces and excellences of its own creation.
8011_291458_000001_000002	Thus loom on my imagination those happier days of our city, when as yet New Amsterdam was a mere pastoral town, shrouded in groves of sycamores and willows, and surrounded by trackless forests and wide-spreading waters, that seemed to shut out all the cares and vanities of a wicked world.	Thus loom on my imagination those happier days of our city, when as yet New Amsterdam was a mere pastoral town, shrouded in groves of sycamores and willows, and surrounded by trackless forests and wide spreading waters, that seemed to shut out all the cares and vanities of a wicked world.
8011_291458_000002_000001	And in this particular I greatly admire the wisdom and sound knowledge of human nature displayed by the sage Oloffe the Dreamer and his fellow legislators.	And in this particular I greatly admire the wisdom and sound knowledge of human nature displayed by the sage Oloffe the Dreamer and his fellow legislators.
8011_291458_000002_000002	For my part, I have not so bad an opinion of mankind as many of my brother philosophers.	For my part, I have not so bad an opinion of mankind as many of my brother philosophers.
8011_291458_000002_000003	I do not think poor human nature so sorry a piece of workmanship as they would make it out to be; and as far as I have observed, I am fully satisfied that man, if left to himself, would about as readily go right as wrong.	I do not think poor human nature so sorry a piece of workmanship as they would make it out to be; and as far as I have observed, I am fully satisfied that man, if left to himself, would about as readily go right as wrong.
8011_291458_000003_000001	Thus, having quietly settled themselves down, and provided for their own comfort, they bethought themselves of testifying their gratitude to the great and good St. Nicholas, for his protecting care in guiding them to this delectable abode.	Thus, having quietly settled themselves down, and provided for their own comfort, they bethought themselves of testifying their gratitude to the great and good saint Nicholas, for his protecting care in guiding them to this delectable abode.
8011_291458_000003_000002	To this end they built a fair and goodly chapel within the fort, which they consecrated to his name; whereupon he immediately took the town of New Amsterdam under his peculiar patronage, and he has even since been, and I devoutly hope will ever be, the tutelar saint of this excellent city.	To this end they built a fair and goodly chapel within the fort, which they consecrated to his name; whereupon he immediately took the town of New Amsterdam under his peculiar patronage, and he has even since been, and I devoutly hope will ever be, the tutelar saint of this excellent city.
8011_291458_000004_000000	At this early period was instituted that pious ceremony, still religiously observed in all our ancient families of the right breed, of hanging up a stocking in the chimney on St. Nicholas Eve; which stocking is always found in the morning miraculously filled; for the good St. Nicholas has ever been a great giver of gifts, particularly to children.	At this early period was instituted that pious ceremony, still religiously observed in all our ancient families of the right breed, of hanging up a stocking in the chimney on saint Nicholas Eve; which stocking is always found in the morning miraculously filled; for the good saint Nicholas has ever been a great giver of gifts, particularly to children.
8011_291458_000005_000002	As however, in spite of the most diligent search, I cannot lay my hands upon this little book, I must confess that I entertain considerable doubt on the subject.	As however, in spite of the most diligent search, I cannot lay my hands upon this little book, I must confess that I entertain considerable doubt on the subject.
8011_291458_000006_000000	Thus benignly fostered by the good St. Nicholas, the infant city thrived apace.	Thus benignly fostered by the good saint Nicholas, the infant city thrived apace.
8011_291458_000006_000001	Hordes of painted savages, it is true, still lurked about the unsettled parts of the island.	Hordes of painted savages, it is true, still lurked about the unsettled parts of the island.
8011_291458_000006_000002	The hunter still pitched his bower of skins and bark beside the rills that ran through the cool and shady glens, while here and there might be seen, on some sunny knoll, a group of Indian wigwams whose smoke arose above the neighboring trees, and floated in the transparent atmosphere.	The hunter still pitched his bower of skins and bark beside the rills that ran through the cool and shady glens, while here and there might be seen, on some sunny knoll, a group of Indian wigwams whose smoke arose above the neighboring trees, and floated in the transparent atmosphere.
8011_291458_000006_000003	A mutual good-will, however, existed between these wandering beings and the burghers of New Amsterdam.	A mutual good will, however, existed between these wandering beings and the burghers of New Amsterdam.
8011_291458_000009_000000	The legend of this sylvan war was long current among the nurses, old wives, and other ancient chroniclers of the place; but time and improvement have almost obliterated both the tradition and the scene of battle; for what was once the blood-stained valley is now in the center of this populous city, and known by the name of Dey Street.	The legend of this sylvan war was long current among the nurses, old wives, and other ancient chroniclers of the place; but time and improvement have almost obliterated both the tradition and the scene of battle; for what was once the blood stained valley is now in the center of this populous city, and known by the name of Dey Street.
8011_291458_000010_000000	I know not whether it was to this "Peach War," and the acquisitions of Indian land which may have grown out of it, that we may ascribe the first seeds of the spirit of "annexation" which now began to manifest themselves.	I know not whether it was to this "Peach War," and the acquisitions of Indian land which may have grown out of it, that we may ascribe the first seeds of the spirit of "annexation" which now began to manifest themselves.
8011_291458_000010_000002	Shortly after the Peach War however, a restless spirit was observed among the New Amsterdammers, who began to cast wistful looks upon the wild lands of their Indian neighbors; for somehow or other wild Indian land always looks greener in the eyes of settlers than the land they occupy.	Shortly after the Peach War however, a restless spirit was observed among the New Amsterdammers, who began to cast wistful looks upon the wild lands of their Indian neighbors; for somehow or other wild Indian land always looks greener in the eyes of settlers than the land they occupy.
8011_291458_000010_000003	It is hinted that Oloffe the Dreamer encouraged these notions; having, as has been shown, the inherent spirit of a land speculator, which had been wonderfully quickened and expanded since he had become a landholder.	It is hinted that Oloffe the Dreamer encouraged these notions; having, as has been shown, the inherent spirit of a land speculator, which had been wonderfully quickened and expanded since he had become a landholder.
8011_291458_000011_000000	The result of these dreams were certain exploring expeditions sent forth in various directions to "sow the seeds of empire," as it was said.	The result of these dreams were certain exploring expeditions sent forth in various directions to "sow the seeds of empire," as it was said.
8011_291458_000011_000002	He was accompanied by Mynheer Ten Breeches, as land measurer, in case of any dispute with the Indians.	He was accompanied by Mynheer Ten Breeches, as land measurer, in case of any dispute with the Indians.
8011_291458_000012_000000	What was the consequence of these exploring expeditions?	What was the consequence of these exploring expeditions?
8011_291458_000014_000000	But as this opens a new era in the fortunes of New Amsterdam I will here put an end to this second book of my history, and will treat of the maternal policy of the mother country in my next.	But as this opens a new era in the fortunes of New Amsterdam I will here put an end to this second book of my history, and will treat of the maternal policy of the mother country in my next.
