6828_64738_000002_000000	There was once a very rich merchant, who had six children, three boys and three girls.	There was once a very rich merchant, who had six children, three boys and three girls.
6828_64738_000002_000001	As he was himself a man of great sense, he spared no expense for their education, but provided them with all sorts of masters for their improvement.	As he was himself a man of great sense, he spared no expense for their education, but provided them with all sorts of masters for their improvement.
6828_64738_000002_000002	The three daughters were all handsome, but particularly the youngest: indeed she was so very beautiful that in her childhood every one called her the Little Beauty, and being still the same when she was grown up, nobody called her by any other name, which made her sisters very jealous of her.	The three daughters were all handsome, but particularly the youngest: indeed she was so very beautiful that in her childhood every one called her the Little Beauty, and being still the same when she was grown up, nobody called her by any other name, which made her sisters very jealous of her.
6828_64738_000002_000003	This youngest daughter was not only more handsome than her sisters, but was also better tempered.	This youngest daughter was not only more handsome than her sisters, but was also better tempered.
6828_64738_000002_000004	The two eldest were vain of being rich, and spoke with pride to those they thought below them.	The two eldest were vain of being rich, and spoke with pride to those they thought below them.
6828_64738_000002_000006	They went every day to balls, plays, and public walks, and always made game of their youngest sister for spending her time in reading, or other useful employments.	They went every day to balls, plays, and public walks, and always made game of their youngest sister for spending her time in reading, or other useful employments.
6828_64738_000002_000008	Beauty had quite as many offers as her sisters, but she always answered with the greatest civility, that she was much obliged to her lovers, but would rather live some years longer with her father, as she thought herself too young to marry.	Beauty had quite as many offers as her sisters, but she always answered with the greatest civility, that she was much obliged to her lovers, but would rather live some years longer with her father, as she thought herself too young to marry.
6828_64738_000003_000002	At first Beauty could not help sometimes crying in secret for the hardships she was now obliged to suffer; but in a very short time she said to herself, "All the crying in the world will do me no good, so I will try to be happy without a fortune."	At first Beauty could not help sometimes crying in secret for the hardships she was now obliged to suffer; but in a very short time she said to herself, "All the crying in the world will do me no good, so I will try to be happy without a fortune."
6828_64738_000004_000000	When they had removed to their cottage, the merchant and his three sons employed themselves in ploughing and sowing the fields, and working in the garden.	When they had removed to their cottage, the merchant and his three sons employed themselves in ploughing and sowing the fields, and working in the garden.
6828_64738_000004_000001	Beauty also did her part, for she got up by four o'clock every morning, lighted the fires, cleaned the house, and got the breakfast for the whole family.	Beauty also did her part, for she got up by four o'clock every morning, lighted the fires, cleaned the house, and got the breakfast for the whole family.
6828_64738_000004_000004	But her two sisters were at a loss what to do to pass the time away: they had their breakfast in bed, and did not rise till ten o'clock.	But her two sisters were at a loss what to do to pass the time away: they had their breakfast in bed, and did not rise till ten o'clock.
6828_64738_000005_000000	After they had lived in this manner about a year, the merchant received a letter, which informed him that one of the richest ships, which he thought was lost, had just come into port.	After they had lived in this manner about a year, the merchant received a letter, which informed him that one of the richest ships, which he thought was lost, had just come into port.
6828_64738_000005_000001	This news made the two eldest sisters almost mad with joy; for they thought they should now leave the cottage, and have all their finery again.	This news made the two eldest sisters almost mad with joy; for they thought they should now leave the cottage, and have all their finery again.
6828_64738_000005_000002	When they found that their father must take a journey to the ship, the two eldest begged he would not fail to bring them back some new gowns, caps, rings, and all sorts of trinkets.	When they found that their father must take a journey to the ship, the two eldest begged he would not fail to bring them back some new gowns, caps, rings, and all sorts of trinkets.
6828_64738_000005_000008	All at once, he now cast his eyes towards a long row of trees, and saw a light at the end of them, but it seemed a great way off.	All at once, he now cast his eyes towards a long row of trees, and saw a light at the end of them, but it seemed a great way off.
6828_64738_000005_000009	He made the best of his way towards it, and found that it came from a fine palace, lighted all over.	He made the best of his way towards it, and found that it came from a fine palace, lighted all over.
6828_64738_000005_000010	He walked faster, and soon reached the gates, which he opened, and was very much surprised that he did not see a single person or creature in any of the yards.	He walked faster, and soon reached the gates, which he opened, and was very much surprised that he did not see a single person or creature in any of the yards.
6828_64738_000005_000011	His horse had followed him, and finding a stable with the door open, went into it at once; and here the poor beast, being nearly starved, helped himself to a good meal of oats and hay.	His horse had followed him, and finding a stable with the door open, went into it at once; and here the poor beast, being nearly starved, helped himself to a good meal of oats and hay.
6828_64738_000005_000012	His master then tied him up, and walked towards the house, which he entered, but still without seeing a living creature.	His master then tied him up, and walked towards the house, which he entered, but still without seeing a living creature.
