1874_165701_000005_000000	THE LINCOLN STORY BOOK	THE LINCOLN STORY BOOK
1874_165701_000006_000000	A Judicious Collection of the Best Stories and Anecdotes of the Great President, Many Appearing Here for the First Time in Book Form	A Judicious Collection of the Best Stories and Anecdotes of the Great President, Many Appearing Here for the First Time in Book Form
1874_165701_000007_000000	COMPILED BY	COMPILED BY
1874_165701_000009_000000	PREFACE.	PREFACE.
1874_165701_000010_000000	The Abraham Lincoln Statue at Chicago is accepted as the typical Westerner of the forum, the rostrum, and the tribune, as he stood to be inaugurated under the war-cloud in 1861.	The Abraham Lincoln Statue at Chicago is accepted as the typical Westerner of the forum, the rostrum, and the tribune, as he stood to be inaugurated under the war cloud in eighteen sixty one.
1874_165701_000010_000001	But there is another Lincoln as dear to the common people--the Lincoln of happy quotations, the speaker of household words.	But there is another Lincoln as dear to the common people-the Lincoln of happy quotations, the speaker of household words.
1874_165701_000010_000002	Instead of the erect, impressive, penetrative platform orator we see a long, gaunt figure, divided between two chairs for comfort, the head bent forward, smiling broadly, the lips curved in laughter, the deep eyes irradiating their caves of wisdom; the story-telling Lincoln, enjoying the enjoyment he gave to others.	Instead of the erect, impressive, penetrative platform orator we see a long, gaunt figure, divided between two chairs for comfort, the head bent forward, smiling broadly, the lips curved in laughter, the deep eyes irradiating their caves of wisdom; the story telling Lincoln, enjoying the enjoyment he gave to others.
1874_165701_000011_000000	This talkativeness, as Lincoln himself realized, was a very valuable asset.	This talkativeness, as Lincoln himself realized, was a very valuable asset.
1874_165701_000011_000001	Leaving home, he found, in a venture at "Yankee notion-pedling," that glibness meant three hundred per cent, in disposing of flimsy wares.	Leaving home, he found, in a venture at "Yankee notion pedling," that glibness meant three hundred per cent, in disposing of flimsy wares.
1874_165701_000011_000002	In the camp of the lumber-jacks and of the Indian rangers he was regarded as the pride of the mess and the inspirator of the tent. From these stages he rose to be a graduate of the "college" of the yarn-spinner--the village store, where he became clerk.	In the camp of the lumber jacks and of the Indian rangers he was regarded as the pride of the mess and the inspirator of the tent. From these stages he rose to be a graduate of the "college" of the yarn spinner-the village store, where he became clerk.
1874_165701_000012_000000	The store we know is the township vortex where all assemble to "swap stories" and deal out the news.	The store we know is the township vortex where all assemble to "swap stories" and deal out the news.
1874_165701_000012_000001	Lincoln, from behind the counter--his pulpit--not merely repeated items of information which he had heard, but also recited doggerel satire of his own concoction, punning and emitting sparks of wit.	Lincoln, from behind the counter-his pulpit-not merely repeated items of information which he had heard, but also recited doggerel satire of his own concoction, punning and emitting sparks of wit.
1874_165701_000012_000002	Lincoln was hailed as the "capper" of any "good things on the rounds."	Lincoln was hailed as the "capper" of any "good things on the rounds."
1874_165701_000013_000000	Even then his friends saw the germs of the statesman in the lank, homely, crack-voiced hobbledehoy.	Even then his friends saw the germs of the statesman in the lank, homely, crack voiced hobbledehoy.
1874_165701_000013_000001	Their praise emboldened him to stand forward as the spokesman at schoolhouse meetings, lectures, log-rollings, huskings auctions, fairs, and so on--the folk-meets of our people.	Their praise emboldened him to stand forward as the spokesman at schoolhouse meetings, lectures, log rollings, huskings auctions, fairs, and so on-the folk meets of our people.
1874_165701_000013_000002	One watching him in 1830 said foresightedly: "Lincoln has touched land at last."	One watching him in eighteen thirty said foresightedly: "Lincoln has touched land at last."
1874_165701_000014_000000	In commencing electioneering, he cultivated the farming population and their ways and diction.	In commencing electioneering, he cultivated the farming population and their ways and diction.
1874_165701_000014_000001	He learned by their parlance and Bible phrases to construct "short sentences of small words," but he had all along the idea that "the plain people are more easily influenced by a broad and humorous illustration than in any other way."	He learned by their parlance and Bible phrases to construct "short sentences of small words," but he had all along the idea that "the plain people are more easily influenced by a broad and humorous illustration than in any other way."
1874_165701_000014_000002	It is the Anglo-Saxon trait, distinguishing all great preachers, actors, and authors of that breed.	It is the Anglo Saxon trait, distinguishing all great preachers, actors, and authors of that breed.
1874_165701_000016_000001	He stood upon his "imperfect education," his not belonging "to the first families, but the seconds"; and his shunning society as debarring him from the study he required.	He stood upon his "imperfect education," his not belonging "to the first families, but the seconds"; and his shunning society as debarring him from the study he required.
1874_165701_000017_000000	Repulsed at the polls, he turned to the law as another channel, supplementing forensic failings by his artful story-telling.	Repulsed at the polls, he turned to the law as another channel, supplementing forensic failings by his artful story telling.
1874_165701_000018_000000	Mrs. Lincoln, the first to weigh this man justly, said proudly, that "Lincoln was the great favorite everywhere."	mrs Lincoln, the first to weigh this man justly, said proudly, that "Lincoln was the great favorite everywhere."
1874_165701_000020_000000	Such loquacious witchery fitted him for the Congress.	Such loquacious witchery fitted him for the Congress.
1874_165701_000020_000002	These formed the rapt ring around Lincoln in his own chair in the snug corner of the congressional chat-room.	These formed the rapt ring around Lincoln in his own chair in the snug corner of the congressional chat room.
1874_165701_000020_000003	Here he perceived that his rusticity and shallow skimmings placed him under the trained politicians.	Here he perceived that his rusticity and shallow skimmings placed him under the trained politicians.
1874_165701_000020_000004	It was here, too, that his stereotyped prologue to his digressions--"That reminds me"--became popular, and even reached England, where a publisher so entitled a joke-book.	It was here, too, that his stereotyped prologue to his digressions-"That reminds me"--became popular, and even reached England, where a publisher so entitled a joke book.
1874_165701_000020_000005	Lincoln displaced "Sam Slick," and opened the way to Artemus Ward and Mark Twain.	Lincoln displaced "Sam Slick," and opened the way to Artemus Ward and Mark Twain.
1874_165701_000020_000006	The longing for elevation was fanned by the association with the notables--Buchanan, to be his predecessor as President; Andrew Johnson, to be his vice and successor; Jefferson Davis and Alex.	The longing for elevation was fanned by the association with the notables-Buchanan, to be his predecessor as President; Andrew Johnson, to be his vice and successor; Jefferson Davis and Alex.
1874_165701_000020_000007	H. Stephens, President and Vice-President of the C. S. A.; Adams, Winthrop, Sumner, and the galaxy over whom his solitary star was to shine dazzlingly.	H. Stephens, President and Vice President of the c s a; Adams, Winthrop, Sumner, and the galaxy over whom his solitary star was to shine dazzlingly.
1874_165701_000021_000000	A sound authority who knew him of old pronounced him "as good at telling an anecdote as in the '30's." But the fluent chatterer reined in and became a good listener.	A sound authority who knew him of old pronounced him "as good at telling an anecdote as in the thirties." But the fluent chatterer reined in and became a good listener.
1874_165701_000021_000001	He imbibed all the political ruses, and returned home with his quiver full of new and victorious arrows for the Presidential campaign, for his bosom friends urged him to try to gratify that ambition, preposterous when he first felt it attack him. He had grown out of the sensitiveness that once made him beg the critics not to put him out by laughing at his appearance.	He imbibed all the political ruses, and returned home with his quiver full of new and victorious arrows for the Presidential campaign, for his bosom friends urged him to try to gratify that ambition, preposterous when he first felt it attack him. He had grown out of the sensitiveness that once made him beg the critics not to put him out by laughing at his appearance.
1874_165701_000021_000003	He worked out Euclid to brace his fantasies, as the steel bar in a cement fence-post makes it irresistibly firm.	He worked out Euclid to brace his fantasies, as the steel bar in a cement fence post makes it irresistibly firm.
1874_165701_000021_000004	But he allowed his vehement fervor to carry him into such flights as left the reporters unable to accompany his sentences throughout.	But he allowed his vehement fervor to carry him into such flights as left the reporters unable to accompany his sentences throughout.
1874_165701_000022_000001	He was not of the universities, but of the universe; the Mississippi of Eloquence, uncultivated, stupendous, enriched by sweeping into the innumerable side bayous and creeks.	He was not of the universities, but of the universe; the Mississippi of Eloquence, uncultivated, stupendous, enriched by sweeping into the innumerable side bayous and creeks.
1874_165701_000023_000000	Elected and re-elected President, he continued to be a surprise to those who shrank from levity.	Elected and re-elected President, he continued to be a surprise to those who shrank from levity.
1874_165701_000023_000001	Lincoln was their puzzle; for he had a sweet sauce for every "roast," and showed the smile of invigoration to every croaking prophet.	Lincoln was their puzzle; for he had a sweet sauce for every "roast," and showed the smile of invigoration to every croaking prophet.
1874_165701_000023_000002	His state papers suited the war tragedies, but still he delighted the people with those tales, tagging all the events of what may be called the Lincoln era.	His state papers suited the war tragedies, but still he delighted the people with those tales, tagging all the events of what may be called the Lincoln era.
1874_165701_000023_000003	The camp and the press echoed them though the Cabinet frowned--secretaries said that they exposed the illustrious speaker to charges of "clownishness and buffoonery."	The camp and the press echoed them though the Cabinet frowned-secretaries said that they exposed the illustrious speaker to charges of "clownishness and buffoonery."
1874_165701_000025_000000	Even his official letters were in the same vein.	Even his official letters were in the same vein.
1874_165701_000026_000000	Time has refuted the purblind purists, the chilly "wet-blankets"; and the Lincoln stories, bright, penetrative, piquant, and pertinent are our classics.	Time has refuted the purblind purists, the chilly "wet blankets"; and the Lincoln stories, bright, penetrative, piquant, and pertinent are our classics.
