1849_138063_000001_000000	CHAPTER LXIX.	CHAPTER sixty nine.
1849_138063_000003_000001	In the middle of the court was a catafalque, raised about two yards above the ground and covered completely by an immense canopy of black velvet, and on the steps all round it white wax tapers burned in more than a hundred silver candlesticks.	In the middle of the court was a catafalque, raised about two yards above the ground and covered completely by an immense canopy of black velvet, and on the steps all round it white wax tapers burned in more than a hundred silver candlesticks.
1849_138063_000003_000002	Upon the catafalque was seen the dead body of a damsel so lovely that by her beauty she made death itself look beautiful.	Upon the catafalque was seen the dead body of a damsel so lovely that by her beauty she made death itself look beautiful.
1849_138063_000003_000003	She lay with her head resting upon a cushion of brocade and crowned with a garland of sweet-smelling flowers of divers sorts, her hands crossed upon her bosom, and between them a branch of yellow palm of victory.	She lay with her head resting upon a cushion of brocade and crowned with a garland of sweet smelling flowers of divers sorts, her hands crossed upon her bosom, and between them a branch of yellow palm of victory.
1849_138063_000003_000008	Nor was this all, for Don Quixote had perceived that the dead body on the catafalque was that of the fair Altisidora.	Nor was this all, for Don Quixote had perceived that the dead body on the catafalque was that of the fair Altisidora.
1849_138063_000003_000009	As the duke and duchess mounted the stage Don Quixote and Sancho rose and made them a profound obeisance, which they returned by bowing their heads slightly.	As the duke and duchess mounted the stage Don Quixote and Sancho rose and made them a profound obeisance, which they returned by bowing their heads slightly.
1849_138063_000003_000010	At this moment an official crossed over, and approaching Sancho threw over him a robe of black buckram painted all over with flames of fire, and taking off his cap put upon his head a mitre such as those undergoing the sentence of the Holy Office wear; and whispered in his ear that he must not open his lips, or they would put a gag upon him, or take his life.	At this moment an official crossed over, and approaching Sancho threw over him a robe of black buckram painted all over with flames of fire, and taking off his cap put upon his head a mitre such as those undergoing the sentence of the Holy Office wear; and whispered in his ear that he must not open his lips, or they would put a gag upon him, or take his life.
1849_138063_000003_000011	Sancho surveyed himself from head to foot and saw himself all ablaze with flames; but as they did not burn him, he did not care two farthings for them.	Sancho surveyed himself from head to foot and saw himself all ablaze with flames; but as they did not burn him, he did not care two farthings for them.
1849_138063_000006_000000	At this point one of the two that looked like kings exclaimed, "Enough, enough, divine singer!	At this point one of the two that looked like kings exclaimed, "Enough, enough, divine singer!
1849_138063_000007_000000	No sooner had Minos the fellow judge of Rhadamanthus said this, than Rhadamanthus rising up said:	No sooner had Minos the fellow judge of Rhadamanthus said this, than Rhadamanthus rising up said:
1849_138063_000009_000000	On hearing this Sancho broke silence and cried out, "By all that's good, I'll as soon let my face be smacked or handled as turn Moor.	On hearing this Sancho broke silence and cried out, "By all that's good, I'll as soon let my face be smacked or handled as turn Moor.
1849_138063_000009_000002	Try those jokes on a brother-in-law; 'I'm an old dog, and "tus, tus" is no use with me.'"	Try those jokes on a brother in law; 'I'm an old dog, and "tus, tus" is no use with me.'"
1849_138063_000010_000000	"Thou shalt die," said Rhadamanthus in a loud voice; "relent, thou tiger; humble thyself, proud Nimrod; suffer and be silent, for no impossibilities are asked of thee; it is not for thee to inquire into the difficulties in this matter; smacked thou must be, pricked thou shalt see thyself, and with pinches thou must be made to howl.	"Thou shalt die," said Rhadamanthus in a loud voice; "relent, thou tiger; humble thyself, proud Nimrod; suffer and be silent, for no impossibilities are asked of thee; it is not for thee to inquire into the difficulties in this matter; smacked thou must be, pricked thou shalt see thyself, and with pinches thou must be made to howl.
1849_138063_000010_000001	Ho, I say, officials, obey my orders; or by the word of an honest man, ye shall see what ye were born for."	Ho, I say, officials, obey my orders; or by the word of an honest man, ye shall see what ye were born for."
