2156_25563_000002_000000	CHAPTER XXXII.	CHAPTER thirty two.
2156_25563_000003_000000	IN WHICH BLUFF IS TRUMPS.	IN WHICH BLUFF IS TRUMPS.
2156_25563_000004_000000	Having disposed of the girl for the moment, Travers Gladwin decided it was time to call Michael Phelan to his assistance.	Having disposed of the girl for the moment, Travers Gladwin decided it was time to call Michael Phelan to his assistance.
2156_25563_000004_000001	There was no telling what this amazing crook might do now.	There was no telling what this amazing crook might do now.
2156_25563_000004_000002	He was too much for him. That a thief and impostor could possess such superhuman nerve had never occurred to his untutored mind.	He was too much for him. That a thief and impostor could possess such superhuman nerve had never occurred to his untutored mind.
2156_25563_000004_000003	He was a perfect dub to have let the situation reach such a stage of complexity, though the one thought uppermost in his mind was to save Helen from public ridicule and contempt.	He was a perfect dub to have let the situation reach such a stage of complexity, though the one thought uppermost in his mind was to save Helen from public ridicule and contempt.
2156_25563_000005_000001	He had almost counted on the thief taking one craven look at his constabulary disguise and then leaping through the window--fleeing like a wolf in the night--he, Travers Gladwin, remaining a veritable hero of romance to sooth and console Helen and gently break the news to her that she had been the dupe of an unscrupulous criminal.	He had almost counted on the thief taking one craven look at his constabulary disguise and then leaping through the window-fleeing like a wolf in the night-he, Travers Gladwin, remaining a veritable hero of romance to sooth and console Helen and gently break the news to her that she had been the dupe of an unscrupulous criminal.
2156_25563_000005_000002	Instead of which--he ground his teeth, went to the little panel door and shouted Phelan's name.	Instead of which-he ground his teeth, went to the little panel door and shouted Phelan's name.
2156_25563_000007_000000	He had been on his way.	He had been on his way.
2156_25563_000008_000000	He had been on the point of bursting through the window and somehow scrambling aloft to the rescue of that helpless being who was being ground and wrenched and pounded by that porcine monster, when the monster suddenly rose to view again with a dumb-bell in each hand.	He had been on the point of bursting through the window and somehow scrambling aloft to the rescue of that helpless being who was being ground and wrenched and pounded by that porcine monster, when the monster suddenly rose to view again with a dumb bell in each hand.
2156_25563_000009_000001	There was no passion in the stodgy movements of the great paddy arms.	There was no passion in the stodgy movements of the great paddy arms.
2156_25563_000009_000002	Even so far away as he was Phelan could see that the man puffed and blew and that his vigor was slowly waning.	Even so far away as he was Phelan could see that the man puffed and blew and that his vigor was slowly waning.
2156_25563_000009_000003	Then suddenly the huge man stooped and held up in plain view a dangling wrestling dummy.	Then suddenly the huge man stooped and held up in plain view a dangling wrestling dummy.
2156_25563_000010_000000	The lone watcher swallowed a savage oath.	The lone watcher swallowed a savage oath.
2156_25563_000012_000000	His anger was white hot.	His anger was white hot.
2156_25563_000012_000001	Again he had been the victim of delusion and had wasted heroic emotions on a stuffed dummy that served merely as an inanimate instrument in a course of anti-fat calisthenics.	Again he had been the victim of delusion and had wasted heroic emotions on a stuffed dummy that served merely as an inanimate instrument in a course of anti fat calisthenics.
2156_25563_000015_000000	"Here's your uniform; I've had enough of it," replied Gladwin, throwing him the coat and cap, "and get into it quick.	"Here's your uniform; I've had enough of it," replied Gladwin, throwing him the coat and cap, "and get into it quick.
2156_25563_000015_000001	There's work for you right in this house."	There's work for you right in this house."
2156_25563_000016_000000	"There is not, nor play neither," snapped Phelan.	"There is not, nor play neither," snapped Phelan.
2156_25563_000016_000002	I'm an hour overdue at the station."	I'm an hour overdue at the station."
2156_25563_000017_000000	"You'll square yourself with the captain all right if you just do what I tell you," said Gladwin eagerly, helping him on with his coat and pushing him toward the window recess.	"You'll square yourself with the captain all right if you just do what I tell you," said Gladwin eagerly, helping him on with his coat and pushing him toward the window recess.
2156_25563_000018_000000	Phelan took one look at the young man's face and muttered as he obeyed.	Phelan took one look at the young man's face and muttered as he obeyed.
2156_25563_000018_000001	"This must be a hell of a joke."	"This must be a hell of a joke."
2156_25563_000019_000001	But a glance at that young man meant volumes and there was no limit to his spontaneous resources.	But a glance at that young man meant volumes and there was no limit to his spontaneous resources.
2156_25563_000019_000002	He summoned a laugh and jerked out:	He summoned a laugh and jerked out:
2156_25563_000020_000000	"Oh, so you've resigned from the force?"	"Oh, so you've resigned from the force?"
2156_25563_000021_000000	"Yes," retorted Gladwin, "and let me tell you that this little excursion of yours has gone far enough.	"Yes," retorted Gladwin, "and let me tell you that this little excursion of yours has gone far enough.
