1182_133396_000007_000000	"And what good would that do?" said Fritz, the swineherd.	"And what good would that do?" said Fritz, the swineherd.
1182_133396_000009_000001	"How shall I find the Baron Conrad to bear a message to him, when our Baron has been looking for him in vain for two days past?"	"How shall I find the Baron Conrad to bear a message to him, when our Baron has been looking for him in vain for two days past?"
1182_133396_000011_000000	"I will have nothing to do with it!" said Fritz, and he got up from the wooden block whereon he was sitting and stumped out of the house.	"I will have nothing to do with it!" said Fritz, and he got up from the wooden block whereon he was sitting and stumped out of the house.
1182_133396_000011_000001	But, then, Katherine had heard him talk in that way before, and knew, in spite of his saying "no," that, sooner or later, he would do as she wished.	But, then, Katherine had heard him talk in that way before, and knew, in spite of his saying "no," that, sooner or later, he would do as she wished.
1182_133396_000013_000000	Rap-tap-tap!	Rap tap tap!
1182_133396_000014_000000	Presently, with a click, a little square wicket that pierced the door was opened, and a woman's face peered out through the iron bars.	Presently, with a click, a little square wicket that pierced the door was opened, and a woman's face peered out through the iron bars.
1182_133396_000015_000000	The one-eyed Hans whipped off his leathern cap.	The one eyed Hans whipped off his leathern cap.
1182_133396_000020_000000	Hans held up a necklace of blue and white beads that glistened like jewels in the sun, and from them hung a gorgeous filigree cross.	Hans held up a necklace of blue and white beads that glistened like jewels in the sun, and from them hung a gorgeous filigree cross.
1182_133396_000026_000000	"The necklace," said the girl, in a frightened whisper.	"The necklace," said the girl, in a frightened whisper.
1182_133396_000027_000001	"It's thine," said he, "and now wilt thou not help me to a trade?"	"It's thine," said he, "and now wilt thou not help me to a trade?"
1182_133396_000030_000004	Thou hussy!	Thou hussy!
1182_133396_000032_000000	He settled the cap more firmly upon his head, spat upon his hands, and once more stooping in the fireplace, gave a leap, and up the chimney he went with a rattle of loose mortar and a black trickle of soot.	He settled the cap more firmly upon his head, spat upon his hands, and once more stooping in the fireplace, gave a leap, and up the chimney he went with a rattle of loose mortar and a black trickle of soot.
1182_133396_000033_000000	By and by footsteps sounded outside the door.	By and by footsteps sounded outside the door.
1182_133396_000037_000000	Suddenly a shower of mortar came rattling down the chimney.	Suddenly a shower of mortar came rattling down the chimney.
1182_133396_000037_000002	Bang! the door was clapped to and away they scurried like a flock of frightened rabbits.	Bang! the door was clapped to and away they scurried like a flock of frightened rabbits.
