119_129514_000001_000000	CHAPTER II	CHAPTER two
119_129514_000002_000000	PRESIDENT BARBICANE'S COMMUNICATION	PRESIDENT BARBICANE'S COMMUNICATION
119_129514_000003_000002	They overflowed into the adjoining rooms, down the narrow passages, into the outer courtyards.	They overflowed into the adjoining rooms, down the narrow passages, into the outer courtyards.
119_129514_000003_000003	There they ran against the vulgar herd who pressed up to the doors, each struggling to reach the front ranks, all eager to learn the nature of the important communication of President Barbicane; all pushing, squeezing, crushing with that perfect freedom of action which is so peculiar to the masses when educated in ideas of "self-government."	There they ran against the vulgar herd who pressed up to the doors, each struggling to reach the front ranks, all eager to learn the nature of the important communication of President Barbicane; all pushing, squeezing, crushing with that perfect freedom of action which is so peculiar to the masses when educated in ideas of "self government."
119_129514_000004_000000	On that evening a stranger who might have chanced to be in Baltimore could not have gained admission for love or money into the great hall.	On that evening a stranger who might have chanced to be in Baltimore could not have gained admission for love or money into the great hall.
119_129514_000004_000001	That was reserved exclusively for resident or corresponding members; no one else could possibly have obtained a place; and the city magnates, municipal councilors, and "select men" were compelled to mingle with the mere townspeople in order to catch stray bits of news from the interior.	That was reserved exclusively for resident or corresponding members; no one else could possibly have obtained a place; and the city magnates, municipal councilors, and "select men" were compelled to mingle with the mere townspeople in order to catch stray bits of news from the interior.
119_129514_000005_000000	Nevertheless the vast hall presented a curious spectacle. Its immense area was singularly adapted to the purpose. Lofty pillars formed of cannon, superposed upon huge mortars as a base, supported the fine ironwork of the arches, a perfect piece of cast-iron lacework.	Nevertheless the vast hall presented a curious spectacle. Its immense area was singularly adapted to the purpose. Lofty pillars formed of cannon, superposed upon huge mortars as a base, supported the fine ironwork of the arches, a perfect piece of cast iron lacework.
119_129514_000005_000003	Models of cannon, bronze castings, sights covered with dents, plates battered by the shots of the Gun Club, assortments of rammers and sponges, chaplets of shells, wreaths of projectiles, garlands of howitzers-- in short, all the apparatus of the artillerist, enchanted the eye by this wonderful arrangement and induced a kind of belief that their real purpose was ornamental rather than deadly.	Models of cannon, bronze castings, sights covered with dents, plates battered by the shots of the Gun Club, assortments of rammers and sponges, chaplets of shells, wreaths of projectiles, garlands of howitzers- in short, all the apparatus of the artillerist, enchanted the eye by this wonderful arrangement and induced a kind of belief that their real purpose was ornamental rather than deadly.
119_129514_000006_000000	At the further end of the saloon the president, assisted by four secretaries, occupied a large platform.	At the further end of the saloon the president, assisted by four secretaries, occupied a large platform.
119_129514_000006_000001	His chair, supported by a carved gun-carriage, was modeled upon the ponderous proportions of a 32-inch mortar.	His chair, supported by a carved gun carriage, was modeled upon the ponderous proportions of a thirty two-inch mortar.
119_129514_000006_000002	It was pointed at an angle of ninety degrees, and suspended upon truncheons, so that the president could balance himself upon it as upon a rocking-chair, a very agreeable fact in the very hot weather.	It was pointed at an angle of ninety degrees, and suspended upon truncheons, so that the president could balance himself upon it as upon a rocking chair, a very agreeable fact in the very hot weather.
