296_141721_000000_000000	CHAP. XVIII.	CHAP. eighteen.	false	1.11	6.54	23.77793
296_141721_000001_000000	_The_ AENIGMAS, or RIDDLES.	underscore The underscore a e n i g m a s, or RIDDLES.	false	6.54	24.93	22.834528
296_141721_000002_000000	_Zadig_, as one beside himself, and perfectly thunder-struck, beat his March at random.	underscore Zadig underscore, as one beside himself, and perfectly thunder struck, beat his March at random.	false	24.93	34.42	23.334183
296_141721_000002_000001	He entred, however, into the City of _Babylon_, on that very Day, when those Combatants who had been before engag'd in the List or Circus, were already assembled in the spacious Outer-Court of the Palace, in order to solve the AEnigmas, and give the wisest Answers they could to such Questions, as the _Grand Magus_ should propose.	He entred, however, into the City of underscore Babylon underscore, on that very Day, when those Combatants who had been before engag'd in the List or Circus, were already assembled in the spacious Outer Court of the Palace, in order to solve the AEnigmas, and give the wisest Answers they could to such Questions, as the underscore Grand Magus underscore should propose.	false	34.79	55.33	22.486217
296_141721_000002_000002	All the Parties concern'd were present, except the Knight of the Green Armour.	All the Parties concern'd were present, except the Knight of the Green Armour.	false	55.85	60.13	24.383223
296_141721_000002_000003	No sooner had _Zadig_ made his Appearance in the City, but the Populace flock'd round about him: No Eye was satisfied with gazing at him: All in general were lavish of their Praises, and in their Hearts wish'd him their Sovereign, except the envious Man, who as he pass'd by, fetch'd a deep Sigh, and turn'd his Head aside.	No sooner had underscore Zadig underscore made his Appearance in the City, but the Populace flock'd round about him: No Eye was satisfied with gazing at him: All in general were lavish of their Praises, and in their Hearts wish'd him their Sovereign, except the envious Man, who as he pass'd by, fetch'd a deep Sigh, and turn'd his Head aside.	false	60.53	82.42	21.149843
296_141721_000002_000004	The Populace with loud Acclamations attended him to the Palace-Gate.	The Populace with loud Acclamations attended him to the Palace Gate.	true	82.76	87.67	24.29657
296_141721_000002_000005	The Queen, who had heard of his Arrival, was in the utmost Agony, between Hope and Despair.	The Queen, who had heard of his Arrival, was in the utmost Agony, between Hope and Despair.	true	88.1	93.94	23.088047
296_141721_000002_000006	Her Vexation had almost brought her to Death's Door; she couldn't conceive why _Zadig_ should appear without his Accoutrements, nor imagine which Way _Itobad_ could procure the snow-white Armour.	Her Vexation had almost brought her to Death's Door; she couldn't conceive why underscore Zadig underscore should appear without his Accoutrements, nor imagine which Way underscore Itobad underscore could procure the snow white Armour.	false	94.28	106.63	22.965286
296_141721_000002_000007	At the Sight of _Zadig_ a confus'd Murmur ran thro' the whole Place.	At the Sight of underscore Zadig underscore a confus'd Murmur ran thro' the whole Place.	false	107.42	111.61	25.51638
296_141721_000002_000008	Every Eye was surpriz'd, tho' charm'd at the same Time to see him again: But then none were to be admitted into the Assembly-Room except the Knights.	Every Eye was surpriz'd, tho' charm'd at the same Time to see him again: But then none were to be admitted into the Assembly Room except the Knights.	true	112.01	121.54	21.13675
296_141721_000003_000000	I have fought as successfully as any one of them all, said _Zadig_, tho' another appears clad in my Armour; but in the mean Time, before I can possibly prove my Assertion, I insist upon being admitted into Court, in order to give my Solutions to such AEnigmas as shall be propos'd. 'Twas put to the Vote.	I have fought as successfully as any one of them all, said underscore Zadig underscore, tho' another appears clad in my Armour; but in the mean Time, before I can possibly prove my Assertion, I insist upon being admitted into Court, in order to give my Solutions to such AEnigmas as shall be propos'd. 'twas put to the Vote.	false	123.08	142.93	22.046734
296_141721_000003_000001	As the Reputation of his being a Man of the strictest Honour and Veracity was so strongly imprinted on their Minds, the Motion of his Admittance was carried in the Affirmative, without the least Opposition.	As the Reputation of his being a Man of the strictest Honour and Veracity was so strongly imprinted on their Minds, the Motion of his Admittance was carried in the Affirmative, without the least Opposition.	true	143.63	155.23	20.8462
296_141721_000004_000000	The first Question the _Grand Magus_ propos'd was this: What is the longest and yet the shortest Thing in the World; the most swift and the most slow; the most divisible, and the most extended; the least valu'd, and the most regretted; And without which nothing can possibly be done: Which, in a Word, devours every Thing how minute soever, and yet gives Life and Spirit to every Object or Being, however Great?	The first Question the underscore Grand Magus underscore propos'd was this: What is the longest and yet the shortest Thing in the World; the most swift and the most slow; the most divisible, and the most extended; the least valu'd, and the most regretted; And without which nothing can possibly be done: Which, in a Word, devours every Thing how minute soever, and yet gives Life and Spirit to every Object or Being, however Great?	false	155.99	185.49	24.034817
296_141721_000005_000000	_Itobad_ had the Honour to answer first.	underscore Itobad underscore had the Honour to answer first.	false	185.49	189.52	22.365158
296_141721_000005_000001	His reply was, that a Man of his Merit had something else to think on, than idle Riddles; 'twas enough for him, that he was acknowledg'd the Hero of the Circus.	His reply was, that a Man of his Merit had something else to think on, than idle Riddles; 'twas enough for him, that he was acknowledg'd the Hero of the Circus.	true	189.86	199.57	22.135681
296_141721_000005_000002	One said, the Solution of the AEnigma propos'd was _Fortune_; others said the _Earth_; and others again the _Light_: But _Zadig_ pronounced it to be _Time_.	One said, the Solution of the AEnigma propos'd was underscore Fortune underscore; others said the underscore Earth underscore; and others again the underscore Light underscore: But underscore Zadig underscore pronounced it to be underscore Time underscore.	false	200.3	211.71	22.680355
