5007_31609_000000_000000	CHAPTER IX.	CHAPTER nine.
5007_31609_000001_000000	Disaster Spreads Over the Golden State	Disaster Spreads Over the Golden State
5007_31609_000002_000000	The first news that the world received of the earthquake came direct from San Francisco and was confined largely to descriptions of the disaster which had overwhelmed that city.	The first news that the world received of the earthquake came direct from San Francisco and was confined largely to descriptions of the disaster which had overwhelmed that city.
5007_31609_000002_000001	It was so sudden, so appalling, so tragic in its nature, that for the time being it quite overshadowed the havoc and misery wrought in a number of other California towns of lesser note.	It was so sudden, so appalling, so tragic in its nature, that for the time being it quite overshadowed the havoc and misery wrought in a number of other California towns of lesser note.
5007_31609_000004_000000	THE DESTRUCTION OF SANTA ROSA.	THE DESTRUCTION OF SANTA ROSA.
5007_31609_000005_000000	In Santa Rosa, sixty miles to the north of San Francisco, and one of the most beautiful towns of California, practically every building was destroyed or badly damaged.	In Santa Rosa, sixty miles to the north of San Francisco, and one of the most beautiful towns of California, practically every building was destroyed or badly damaged.
5007_31609_000005_000001	The brick and stone business blocks, together with the public buildings, were thrown down.	The brick and stone business blocks, together with the public buildings, were thrown down.
5007_31609_000005_000002	The Court House, Hall of Records, the Occidental and Santa Rosa Hotels, the Athenaeum Theatre, the new Masonic Temple, Odd Fellows' Block, all the banks, everything went, and in all the city not one brick or stone building was left standing, except the California Northwestern Depot.	The Court House, Hall of Records, the Occidental and Santa Rosa Hotels, the Athenaeum Theatre, the new Masonic Temple, Odd Fellows' Block, all the banks, everything went, and in all the city not one brick or stone building was left standing, except the California Northwestern Depot.
5007_31609_000006_000001	From the ruins of the fallen houses fifty-eight bodies were taken out and interred during the first few days, and the total of dead and injured was close to a hundred.	From the ruins of the fallen houses fifty eight bodies were taken out and interred during the first few days, and the total of dead and injured was close to a hundred.
5007_31609_000006_000002	The money loss at this small city is estimated at $3,000,000.	The money loss at this small city is estimated at three million dollars.
5007_31609_000007_000000	The destruction of Santa Rosa gave rise to general sorrow among the residents of the interior of the State.	The destruction of Santa Rosa gave rise to general sorrow among the residents of the interior of the State.
