5007_31609_000000_000000	CHAPTER IX.	CHAPTER nine.	true	24.075	25.39	24.678501
5007_31609_000001_000000	Disaster Spreads Over the Golden State	Disaster Spreads Over the Golden State	true	25.58	28.69	25.557169
5007_31609_000002_000000	The first news that the world received of the earthquake came direct from San Francisco and was confined largely to descriptions of the disaster which had overwhelmed that city.	The first news that the world received of the earthquake came direct from San Francisco and was confined largely to descriptions of the disaster which had overwhelmed that city.	true	29.99	41.11	22
5007_31609_000002_000001	It was so sudden, so appalling, so tragic in its nature, that for the time being it quite overshadowed the havoc and misery wrought in a number of other California towns of lesser note.	It was so sudden, so appalling, so tragic in its nature, that for the time being it quite overshadowed the havoc and misery wrought in a number of other California towns of lesser note.	true	41.54	55.3	23.975826
5007_31609_000003_000000	As the truth, however, became gradually sifted out of the tangle of rumors, the horror, instead of being diminished, was vastly increased. It became evident that instead of this being a local catastrophe, the full force of the seismic waves had travelled from Ukiah in the north to Monterey in the south, a distance of about 180 miles, and had made itself felt for a considerable distance from the Pacific westward, wrecking the larger buildings of every town in its path, rending and ruining as it went, and doing millions of dollars worth of damage.	As the truth, however, became gradually sifted out of the tangle of rumors, the horror, instead of being diminished, was vastly increased. It became evident that instead of this being a local catastrophe, the full force of the seismic waves had travelled from Ukiah in the north to Monterey in the south, a distance of about one hundred eighty miles, and had made itself felt for a considerable distance from the Pacific westward, wrecking the larger buildings of every town in its path, rending and ruining as it went, and doing millions of dollars worth of damage.	false	55.7	95.32	23.899628
5007_31609_000004_000000	THE DESTRUCTION OF SANTA ROSA.	THE DESTRUCTION OF SANTA ROSA.	true	96.17	98.53	22.781427
5007_31609_000005_000000	In Santa Rosa, sixty miles to the north of San Francisco, and one of the most beautiful towns of California, practically every building was destroyed or badly damaged.	In Santa Rosa, sixty miles to the north of San Francisco, and one of the most beautiful towns of California, practically every building was destroyed or badly damaged.	true	98.84	110.62	24.847698
5007_31609_000005_000001	The brick and stone business blocks, together with the public buildings, were thrown down.	The brick and stone business blocks, together with the public buildings, were thrown down.	true	110.72	116.2	27.150084
5007_31609_000005_000002	The Court House, Hall of Records, the Occidental and Santa Rosa Hotels, the Athenaeum Theatre, the new Masonic Temple, Odd Fellows' Block, all the banks, everything went, and in all the city not one brick or stone building was left standing, except the California Northwestern Depot.	The Court House, Hall of Records, the Occidental and Santa Rosa Hotels, the Athenaeum Theatre, the new Masonic Temple, Odd Fellows' Block, all the banks, everything went, and in all the city not one brick or stone building was left standing, except the California Northwestern Depot.	true	116.45	137.92	24.334759
5007_31609_000006_000000	In the residential portion of the city the foundations receded from under the houses, badly wrecking about twenty of the largest and damaging every one more or less; and here, as in San Francisco, flames followed the earthquake, breaking out in a dozen different places at once and completing the work of devastation.	In the residential portion of the city the foundations receded from under the houses, badly wrecking about twenty of the largest and damaging every one more or less; and here, as in San Francisco, flames followed the earthquake, breaking out in a dozen different places at once and completing the work of devastation.	false	138.05	160.15	23
5007_31609_000006_000001	From the ruins of the fallen houses fifty-eight bodies were taken out and interred during the first few days, and the total of dead and injured was close to a hundred.	From the ruins of the fallen houses fifty eight bodies were taken out and interred during the first few days, and the total of dead and injured was close to a hundred.	true	160.58	171.31	22.918139
5007_31609_000006_000002	The money loss at this small city is estimated at $3,000,000.	The money loss at this small city is estimated at three million dollars.	true	171.71	176.5	22.112194
5007_31609_000007_000000	The destruction of Santa Rosa gave rise to general sorrow among the residents of the interior of the State.	The destruction of Santa Rosa gave rise to general sorrow among the residents of the interior of the State.	true	177.17	184.15	21
5007_31609_000007_000001	It was one of the show towns of California, and not only one of the most prosperous cities in the fine county of Sonoma, but one of the most picturesque in the State. Surrounding it there were miles of orchards, vineyards and corn fields. The beautiful drives of the city were adorned with bowers of roses, which everywhere were seen growing about the homes of the people.	It was one of the show towns of California, and not only one of the most prosperous cities in the fine county of Sonoma, but one of the most picturesque in the State. Surrounding it there were miles of orchards, vineyards and corn fields. The beautiful drives of the city were adorned with bowers of roses, which everywhere were seen growing about the homes of the people.	true	184.31	209.02	22.567732
5007_31609_000007_000002	In its vicinity are the famous gardens of Luther Burbank, the "California wizard," but these fortunately escaped injury.	In its vicinity are the famous gardens of Luther Burbank, the "California wizard," but these fortunately escaped injury.	true	209.51	218.35	23.48157
5007_31609_000008_000000	At San Jose, another very beautiful city of over 20,000 population, not a single brick or stone building of two stories or over was left standing.	At San Jose, another very beautiful city of over twenty thousand population, not a single brick or stone building of two stories or over was left standing.	true	218.99	230.77	21.88312
5007_31609_000008_000001	Among those wrecked were the Hall of justice, just completed at a cost of $300,000; the new High School, the Presbyterian Church and St. Patrick's Cathedral.	Among those wrecked were the Hall of justice, just completed at a cost of three hundred thousand dollars; the new High School, the Presbyterian Church and saint Patrick's Cathedral.	true	231.11	242.92	24.735682
5007_31609_000008_000002	Numbers of people were caught in the ruins and maimed or killed.	Numbers of people were caught in the ruins and maimed or killed.	true	243.35	247.66	23.578924
5007_31609_000008_000003	The death list appears to have been small, but the property damage was not less than $5,000,000.	The death list appears to have been small, but the property damage was not less than five million dollars.	true	247.85	254.35	22
5007_31609_000008_000004	The Agnew State Insane Asylum, in the vicinity of San Jose, was entirely destroyed, more than half the inmates being killed or injured.	The Agnew State Insane Asylum, in the vicinity of San Jose, was entirely destroyed, more than half the inmates being killed or injured.	true	254.63	265	21.493053
5007_31609_000009_000000	THE STANFORD UNIVERSITY.	THE STANFORD UNIVERSITY.	true	265.67	267.64	28.81474
5007_31609_000010_000000	The Leland Stanford, Jr., University, at Palo Alto (about thirty miles south of San Francisco), felt the full force of the earthquake and was badly wrecked.	The Leland Stanford junior, University, at Palo Alto (about thirty miles south of San Francisco), felt the full force of the earthquake and was badly wrecked.	true	268.46	279.7	25
5007_31609_000010_000001	Only two lives were lost as a result of the earthquake, one of a student, the other of a fireman, but eight students were injured more or less seriously.	Only two lives were lost as a result of the earthquake, one of a student, the other of a fireman, but eight students were injured more or less seriously.	true	279.95	291.04	24
5007_31609_000010_000002	The damage to the buildings is estimated by President Jordan to amount to about $4,000,000.	The damage to the buildings is estimated by President Jordan to amount to about four million dollars.	true	291.5	298.54	21
5007_31609_000011_000000	The memorial church, with its twelve marble figures of the apostles, each weighing two tons, was badly injured by the fall of its Gothic spire, which crashed through the roof and demolished much of the interior; the great entrance archway was split in twain and wrecked; so, too, were the library, the gymnasium and the power house.	The memorial church, with its twelve marble figures of the apostles, each weighing two tons, was badly injured by the fall of its Gothic spire, which crashed through the roof and demolished much of the interior; the great entrance archway was split in twain and wrecked; so, too, were the library, the gymnasium and the power house.	true	298.97	322.63	24.832777
5007_31609_000011_000001	A number of other buildings in the outer quadrangle and some of the small workshops were seriously damaged.	A number of other buildings in the outer quadrangle and some of the small workshops were seriously damaged.	true	323	329.71	21.701265
5007_31609_000012_000000	Encina Hall and the inner quadrangle were practically uninjured, and the bulk of the books, collections and apparatus escaped damage.	Encina Hall and the inner quadrangle were practically uninjured, and the bulk of the books, collections and apparatus escaped damage.	true	329.93	339.04	26.209208
