6458_232057_000000_000000	I--THE CURE FOR LOVE	I-THE CURE FOR LOVE	false	21.69	24.16	21.87817
6458_232057_000001_000000	The excellent Mr. Morris was an Englishman, and he lived in the days of Queen Victoria the Good.	The excellent mr Morris was an Englishman, and he lived in the days of Queen Victoria the Good.	true	24.71	29.17	20.899
6458_232057_000001_000001	He was a prosperous and very sensible man; he read the _Times_ and went to church, and as he grew towards middle age an expression of quiet contented contempt for all who were not as himself settled on his face.	He was a prosperous and very sensible man; he read the underscore Times underscore and went to church, and as he grew towards middle age an expression of quiet contented contempt for all who were not as himself settled on his face.	false	29.27	40.57	22.089327
6458_232057_000001_000002	He was one of those people who do everything that is right and proper and sensible with inevitable regularity.	He was one of those people who do everything that is right and proper and sensible with inevitable regularity.	true	41.06	46.48	21.888052
6458_232057_000001_000003	He always wore just the right and proper clothes, steering the narrow way between the smart and the shabby, always subscribed to the right charities, just the judicious compromise between ostentation and meanness, and never failed to have his hair cut to exactly the proper length.	He always wore just the right and proper clothes, steering the narrow way between the smart and the shabby, always subscribed to the right charities, just the judicious compromise between ostentation and meanness, and never failed to have his hair cut to exactly the proper length.	false	46.85	61.36	21.191307
6458_232057_000002_000000	Everything that it was right and proper for a man in his position to possess, he possessed; and everything that it was not right and proper for a man in his position to possess, he did not possess.	Everything that it was right and proper for a man in his position to possess, he possessed; and everything that it was not right and proper for a man in his position to possess, he did not possess.	true	61.55	71.14	21.675217
6458_232057_000003_000000	And among other right and proper possessions, this Mr. Morris had a wife and children.	And among other right and proper possessions, this mr Morris had a wife and children.	true	71.45	75.45	19
6458_232057_000003_000001	They were the right sort of wife, and the right sort and number of children, of course; nothing imaginative or highty-flighty about any of them, so far as Mr. Morris could see; they wore perfectly correct clothing, neither smart nor hygienic nor faddy in any way, but just sensible; and they lived in a nice sensible house in the later Victorian sham Queen Anne style of architecture, with sham half-timbering of chocolate-painted plaster in the gables, Lincrusta Walton sham carved oak panels, a terrace of terra cotta to imitate stone, and cathedral glass in the front door.	They were the right sort of wife, and the right sort and number of children, of course; nothing imaginative or highty flighty about any of them, so far as mr Morris could see; they wore perfectly correct clothing, neither smart nor hygienic nor faddy in any way, but just sensible; and they lived in a nice sensible house in the later Victorian sham Queen Anne style of architecture, with sham half timbering of chocolate painted plaster in the gables, Lincrusta Walton sham carved oak panels, a terrace of terra cotta to imitate stone, and cathedral glass in the front door.	false	75.45	107.32	21.811611
6458_232057_000003_000002	His boys went to good solid schools, and were put to respectable professions; his girls, in spite of a fantastic protest or so, were all married to suitable, steady, oldish young men with good prospects.	His boys went to good solid schools, and were put to respectable professions; his girls, in spite of a fantastic protest or so, were all married to suitable, steady, oldish young men with good prospects.	true	107.72	117.4	23
6458_232057_000003_000003	And when it was a fit and proper thing for him to do so, Mr. Morris died.	And when it was a fit and proper thing for him to do so, mr Morris died.	true	117.77	121.81	23.418697
6458_232057_000003_000004	His tomb was of marble, and, without any art nonsense or laudatory inscription, quietly imposing--such being the fashion of his time.	His tomb was of marble, and, without any art nonsense or laudatory inscription, quietly imposing-such being the fashion of his time.	true	122.33	130.39	21.758667
6458_232057_000004_000000	He underwent various changes according to the accepted custom in these cases, and long before this story begins his bones even had become dust, and were scattered to the four quarters of heaven.	He underwent various changes according to the accepted custom in these cases, and long before this story begins his bones even had become dust, and were scattered to the four quarters of heaven.	true	130.73	140.41	22
6458_232057_000004_000001	And his sons and his grandsons and his great-grandsons and his great-great-grandsons, they too were dust and ashes, and were scattered likewise.	And his sons and his grandsons and his great grandsons and his great great grandsons, they too were dust and ashes, and were scattered likewise.	true	140.51	147.91	19
6458_232057_000004_000002	It was a thing he could not have imagined, that a day would come when even his great-great-grandsons would be scattered to the four winds of heaven.	It was a thing he could not have imagined, that a day would come when even his great great grandsons would be scattered to the four winds of heaven.	false	148.25	154.54	19
6458_232057_000004_000003	If any one had suggested it to him he would have resented it.	If any one had suggested it to him he would have resented it.	true	154.94	157.93	19.115786
6458_232057_000004_000004	He was one of those worthy people who take no interest in the future of mankind at all.	He was one of those worthy people who take no interest in the future of mankind at all.	true	158.18	162.19	19.097626
6458_232057_000004_000005	He had grave doubts, indeed, if there was any future for mankind after he was dead.	He had grave doubts, indeed, if there was any future for mankind after he was dead.	true	162.53	167.38	22.907053
6458_232057_000005_000000	It seemed quite impossible and quite uninteresting to imagine anything happening after he was dead.	It seemed quite impossible and quite uninteresting to imagine anything happening after he was dead.	true	167.9	172.2	21
6458_232057_000005_000001	Yet the thing was so, and when even his great-great-grandson was dead and decayed and forgotten, when the sham half-timbered house had gone the way of all shams, and the _Times_ was extinct, and the silk hat a ridiculous antiquity, and the modestly imposing stone that had been sacred to Mr. Morris had been burnt to make lime for mortar, and all that Mr. Morris had found real and important was sere and dead, the world was still going on, and people were still going about it, just as heedless and impatient of the Future, or, indeed, of anything but their own selves and property, as Mr. Morris had been.	Yet the thing was so, and when even his great great grandson was dead and decayed and forgotten, when the sham half timbered house had gone the way of all shams, and the underscore Times underscore was extinct, and the silk hat a ridiculous antiquity, and the modestly imposing stone that had been sacred to mr Morris had been burnt to make lime for mortar, and all that mr Morris had found real and important was sere and dead, the world was still going on, and people were still going about it, just as heedless and impatient of the Future, or, indeed, of anything but their own selves and property, as mr Morris had been.	false	172.2	204.04	21.030836
6458_232057_000006_000000	And, strange to tell, and much as Mr. Morris would have been angered if any one had foreshadowed it to him, all over the world there were scattered a multitude of people, filled with the breath of life, in whose veins the blood of Mr. Morris flowed.	And, strange to tell, and much as mr Morris would have been angered if any one had foreshadowed it to him, all over the world there were scattered a multitude of people, filled with the breath of life, in whose veins the blood of mr Morris flowed.	true	204.38	216.88	22.013386
6458_232057_000006_000001	Just as some day the life which is gathered now in the reader of this very story may also be scattered far and wide about this world, and mingled with a thousand alien strains, beyond all thought and tracing.	Just as some day the life which is gathered now in the reader of this very story may also be scattered far and wide about this world, and mingled with a thousand alien strains, beyond all thought and tracing.	true	217.04	226.33	18
6458_232057_000007_000000	And among the descendants of this Mr. Morris was one almost as sensible and clear-headed as his ancestor.	And among the descendants of this mr Morris was one almost as sensible and clear headed as his ancestor.	true	226.94	231.76	18.20764
6458_232057_000007_000001	He had just the same stout, short frame as that ancient man of the nineteenth century, from whom his name of Morris--he spelt it Mwres--came; he had the same half-contemptuous expression of face.	He had just the same stout, short frame as that ancient man of the nineteenth century, from whom his name of Morris-he spelt it m w r e's-came; he had the same half contemptuous expression of face.	false	232.01	243.79	21.223013
6458_232057_000007_000002	He was a prosperous person, too, as times went, and he disliked the "new-fangled," and bothers about the future and the lower classes, just as much as the ancestral Morris had done.	He was a prosperous person, too, as times went, and he disliked the "new fangled," and bothers about the future and the lower classes, just as much as the ancestral Morris had done.	false	244.22	254.08	21.297981
6458_232057_000007_000003	He did not read the _Times_: indeed, he did not know there ever had been a _Times_--that institution had foundered somewhere in the intervening gulf of years; but the phonograph machine, that talked to him as he made his toilet of a morning, might have been the voice of a reincarnated Blowitz when it dealt with the world's affairs.	He did not read the underscore Times underscore: indeed, he did not know there ever had been a underscore Times underscore--that institution had foundered somewhere in the intervening gulf of years; but the phonograph machine, that talked to him as he made his toilet of a morning, might have been the voice of a reincarnated Blowitz when it dealt with the world's affairs.	false	254.42	268.9	19.645964
6458_232057_000007_000004	This phonographic machine was the size and shape of a Dutch clock, and down the front of it were electric barometric indicators, and an electric clock and calendar, and automatic engagement reminders, and where the clock would have been was the mouth of a trumpet.	This phonographic machine was the size and shape of a Dutch clock, and down the front of it were electric barometric indicators, and an electric clock and calendar, and automatic engagement reminders, and where the clock would have been was the mouth of a trumpet.	false	269.33	282.45	22.449873
6458_232057_000007_000005	When it had news the trumpet gobbled like a turkey, "Galloop, galloop," and then brayed out its message as, let us say, a trumpet might bray.	When it had news the trumpet gobbled like a turkey, "Galloop, galloop," and then brayed out its message as, let us say, a trumpet might bray.	false	282.45	290.23	21.023024
6458_232057_000007_000006	It would tell Mwres in full, rich, throaty tones about the overnight accidents to the omnibus flying-machines that plied around the world, the latest arrivals at the fashionable resorts in Tibet, and of all the great monopolist company meetings of the day before, while he was dressing.	It would tell m w r e's in full, rich, throaty tones about the overnight accidents to the omnibus flying machines that plied around the world, the latest arrivals at the fashionable resorts in Tibet, and of all the great monopolist company meetings of the day before, while he was dressing.	false	290.57	305.17	20.614208
6458_232057_000007_000007	If Mwres did not like hearing what it said, he had only to touch a stud, and it would choke a little and talk about something else.	If m w r e's did not like hearing what it said, he had only to touch a stud, and it would choke a little and talk about something else.	false	305.54	311.53	22.987778
6458_232057_000008_000000	Of course his toilet differed very much from that of his ancestor.	Of course his toilet differed very much from that of his ancestor.	false	311.66	314.8	21.222605
6458_232057_000008_000001	It is doubtful which would have been the more shocked and pained to find himself in the clothing of the other.	It is doubtful which would have been the more shocked and pained to find himself in the clothing of the other.	true	315.14	320.16	20
6458_232057_000008_000002	Mwres would certainly have sooner gone forth to the world stark naked than in the silk hat, frock coat, grey trousers and watch-chain that had filled Mr. Morris with sombre self-respect in the past.	m w r e's would certainly have sooner gone forth to the world stark naked than in the silk hat, frock coat, grey trousers and watch chain that had filled mr Morris with sombre self respect in the past.	false	320.16	330.85	21.786161
6458_232057_000008_000003	For Mwres there was no shaving to do: a skilful operator had long ago removed every hair-root from his face.	For m w r e's there was no shaving to do: a skilful operator had long ago removed every hair root from his face.	false	331.28	336.91	21.262762
6458_232057_000008_000004	His legs he encased in pleasant pink and amber garments of an air-tight material, which with the help of an ingenious little pump he distended so as to suggest enormous muscles.	His legs he encased in pleasant pink and amber garments of an air tight material, which with the help of an ingenious little pump he distended so as to suggest enormous muscles.	true	337.25	347.17	21.601204
6458_232057_000008_000005	Above this he also wore pneumatic garments beneath an amber silk tunic, so that he was clothed in air and admirably protected against sudden extremes of heat or cold.	Above this he also wore pneumatic garments beneath an amber silk tunic, so that he was clothed in air and admirably protected against sudden extremes of heat or cold.	true	347.6	355.9	19.321234
6458_232057_000008_000006	Over this he flung a scarlet cloak with its edge fantastically curved.	Over this he flung a scarlet cloak with its edge fantastically curved.	true	356	359.8	23.335564
6458_232057_000008_000007	On his head, which had been skilfully deprived of every scrap of hair, he adjusted a pleasant little cap of bright scarlet, held on by suction and inflated with hydrogen, and curiously like the comb of a cock.	On his head, which had been skilfully deprived of every scrap of hair, he adjusted a pleasant little cap of bright scarlet, held on by suction and inflated with hydrogen, and curiously like the comb of a cock.	true	360.11	370.48	23.684372
6458_232057_000008_000008	So his toilet was complete; and, conscious of being soberly and becomingly attired, he was ready to face his fellow-beings with a tranquil eye.	So his toilet was complete; and, conscious of being soberly and becomingly attired, he was ready to face his fellow beings with a tranquil eye.	true	370.49	378.49	21.40495
6458_232057_000009_000000	This Mwres--the civility of "Mr." had vanished ages ago--was one of the officials under the Wind Vane and Waterfall Trust, the great company that owned every wind wheel and waterfall in the world, and which pumped all the water and supplied all the electric energy that people in these latter days required.	This m w r e's-the civility of "mr" had vanished ages ago-was one of the officials under the Wind Vane and Waterfall Trust, the great company that owned every wind wheel and waterfall in the world, and which pumped all the water and supplied all the electric energy that people in these latter days required.	false	379.07	394.99	21.948364
6458_232057_000009_000001	He lived in a vast hotel near that part of London called Seventh Way, and had very large and comfortable apartments on the seventeenth floor.	He lived in a vast hotel near that part of London called Seventh Way, and had very large and comfortable apartments on the seventeenth floor.	true	395.09	401.71	20.129177
6458_232057_000009_000002	Households and family life had long since disappeared with the progressive refinement of manners; and indeed the steady rise in rents and land values, the disappearance of domestic servants, the elaboration of cookery, had rendered the separate domicile of Victorian times impossible, even had any one desired such a savage seclusion.	Households and family life had long since disappeared with the progressive refinement of manners; and indeed the steady rise in rents and land values, the disappearance of domestic servants, the elaboration of cookery, had rendered the separate domicile of Victorian times impossible, even had any one desired such a savage seclusion.	true	402.26	419.47	19.944994
6458_232057_000009_000003	When his toilet was completed he went towards one of the two doors of his apartment--there were doors at opposite ends, each marked with a huge arrow pointing one one way and one the other--touched a stud to open it, and emerged on a wide passage, the centre of which bore chairs and was moving at a steady pace to the left.	When his toilet was completed he went towards one of the two doors of his apartment-there were doors at opposite ends, each marked with a huge arrow pointing one one way and one the other-touched a stud to open it, and emerged on a wide passage, the centre of which bore chairs and was moving at a steady pace to the left.	true	419.63	435.1	20.921883
6458_232057_000009_000004	On some of these chairs were seated gaily-dressed men and women.	On some of these chairs were seated gaily dressed men and women.	true	435.17	437.95	19.71729
6458_232057_000009_000005	He nodded to an acquaintance--it was not in those days etiquette to talk before breakfast--and seated himself on one of these chairs, and in a few seconds he had been carried to the doors of a lift, by which he descended to the great and splendid hall in which his breakfast would be automatically served.	He nodded to an acquaintance-it was not in those days etiquette to talk before breakfast-and seated himself on one of these chairs, and in a few seconds he had been carried to the doors of a lift, by which he descended to the great and splendid hall in which his breakfast would be automatically served.	true	438.11	451.99	22.478512
6458_232057_000010_000000	It was a very different meal from a Victorian breakfast.	It was a very different meal from a Victorian breakfast.	true	452.36	455.35	21.134882
6458_232057_000010_000001	The rude masses of bread needing to be carved and smeared over with animal fat before they could be made palatable, the still recognisable fragments of recently killed animals, hideously charred and hacked, the eggs torn ruthlessly from beneath some protesting hen,--such things as these, though they constituted the ordinary fare of Victorian times, would have awakened only horror and disgust in the refined minds of the people of these latter days.	The rude masses of bread needing to be carved and smeared over with animal fat before they could be made palatable, the still recognisable fragments of recently killed animals, hideously charred and hacked, the eggs torn ruthlessly from beneath some protesting hen,--such things as these, though they constituted the ordinary fare of Victorian times, would have awakened only horror and disgust in the refined minds of the people of these latter days.	true	455.42	479.53	20.86421
6458_232057_000010_000002	Instead were pastes and cakes of agreeable and variegated design, without any suggestion in colour or form of the unfortunate animals from which their substance and juices were derived. They appeared on little dishes sliding out upon a rail from a little box at one side of the table.	Instead were pastes and cakes of agreeable and variegated design, without any suggestion in colour or form of the unfortunate animals from which their substance and juices were derived. They appeared on little dishes sliding out upon a rail from a little box at one side of the table.	true	480.2	495.13	21.484848
6458_232057_000010_000003	The surface of the table, to judge by touch and eye, would have appeared to a nineteenth-century person to be covered with fine white damask, but this was really an oxidised metallic surface, and could be cleaned instantly after a meal.	The surface of the table, to judge by touch and eye, would have appeared to a nineteenth century person to be covered with fine white damask, but this was really an oxidised metallic surface, and could be cleaned instantly after a meal.	true	495.2	507.25	22.359383
6458_232057_000010_000004	There were hundreds of such little tables in the hall, and at most of them were other latter-day citizens singly or in groups.	There were hundreds of such little tables in the hall, and at most of them were other latter day citizens singly or in groups.	true	507.26	513.07	16.990747
6458_232057_000010_000005	And as Mwres seated himself before his elegant repast, the invisible orchestra, which had been resting during an interval, resumed and filled the air with music.	And as m w r e's seated himself before his elegant repast, the invisible orchestra, which had been resting during an interval, resumed and filled the air with music.	false	513.26	520.81	18
6458_232057_000011_000000	But Mwres did not display any great interest either in his breakfast or the music; his eye wandered incessantly about the hall, as though he expected a belated guest.	But m w r e's did not display any great interest either in his breakfast or the music; his eye wandered incessantly about the hall, as though he expected a belated guest.	false	521.33	529.45	21.277308
6458_232057_000011_000001	At last he rose eagerly and waved his hand, and simultaneously across the hall appeared a tall dark figure in a costume of yellow and olive green.	At last he rose eagerly and waved his hand, and simultaneously across the hall appeared a tall dark figure in a costume of yellow and olive green.	false	529.61	537.28	20
6458_232057_000011_000002	As this person, walking amidst the tables with measured steps, drew near, the pallid earnestness of his face and the unusual intensity of his eyes became apparent.	As this person, walking amidst the tables with measured steps, drew near, the pallid earnestness of his face and the unusual intensity of his eyes became apparent.	true	537.77	546.39	21
6458_232057_000011_000003	Mwres reseated himself and pointed to a chair beside him.	m w r e's reseated himself and pointed to a chair beside him.	false	546.39	549.49	18.787636
6458_232057_000012_000000	"I feared you would never come," he said.	"I feared you would never come," he said.	true	549.98	552.07	20.98169
6458_232057_000012_000001	In spite of the intervening space of time, the English language was still almost exactly the same as it had been in England under Victoria the Good.	In spite of the intervening space of time, the English language was still almost exactly the same as it had been in England under Victoria the Good.	false	552.17	559	17
6458_232057_000012_000002	The invention of the phonograph and suchlike means of recording sound, and the gradual replacement of books by such contrivances, had not only saved the human eyesight from decay, but had also by the establishment of a sure standard arrested the process of change in accent that had hitherto been so inevitable.	The invention of the phonograph and suchlike means of recording sound, and the gradual replacement of books by such contrivances, had not only saved the human eyesight from decay, but had also by the establishment of a sure standard arrested the process of change in accent that had hitherto been so inevitable.	false	559.22	575.29	20.588305
6458_232057_000013_000000	"I was delayed by an interesting case," said the man in green and yellow.	"I was delayed by an interesting case," said the man in green and yellow.	false	575.57	578.83	17.903633
6458_232057_000013_000001	"A prominent politician--ahem!--suffering from overwork." He glanced at the breakfast and seated himself.	"A prominent politician-ahem!--suffering from overwork." He glanced at the breakfast and seated himself.	true	579.23	585.91	21.807877
6458_232057_000013_000002	"I have been awake for forty hours."	"I have been awake for forty hours."	true	586.37	588.45	23
6458_232057_000014_000000	"Eh dear!" said Mwres: "fancy that!	"Eh dear!" said m w r e's: "fancy that!	false	588.45	591.34	19.382221
6458_232057_000014_000001	You hypnotists have your work to do."	You hypnotists have your work to do."	true	591.38	593.14	22.796406
6458_232057_000015_000000	The hypnotist helped himself to some attractive amber-coloured jelly.	The hypnotist helped himself to some attractive amber coloured jelly.	true	594.14	597.52	24.918102
6458_232057_000015_000001	"I happen to be a good deal in request," he said modestly.	"I happen to be a good deal in request," he said modestly.	true	597.71	600.49	21.381699
6458_232057_000016_000000	"Heaven knows what we should do without you."	"Heaven knows what we should do without you."	false	601.1	604.14	18.712141
6458_232057_000017_000000	"Oh! we're not so indispensable as all that," said the hypnotist, ruminating the flavour of the jelly.	"Oh! we're not so indispensable as all that," said the hypnotist, ruminating the flavour of the jelly.	true	604.14	609.37	19.53932
6458_232057_000017_000001	"The world did very well without us for some thousands of years.	"The world did very well without us for some thousands of years.	true	609.77	612.97	21.609121
6458_232057_000017_000002	Two hundred years ago even--not one!	Two hundred years ago even-not one!	true	613.31	615.825	20.709698
6458_232057_000017_000003	In practice, that is.	In practice, that is.	true	615.825	616.99	27.014072
6458_232057_000017_000004	Physicians by the thousand, of course--frightfully clumsy brutes for the most part, and following one another like sheep--but doctors of the mind, except a few empirical flounderers there were none."	Physicians by the thousand, of course-frightfully clumsy brutes for the most part, and following one another like sheep-but doctors of the mind, except a few empirical flounderers there were none."	true	617.51	627.64	21.905699
6458_232057_000018_000000	He concentrated his mind on the jelly.	He concentrated his mind on the jelly.	true	628.25	630.1	18.418154
6458_232057_000019_000000	"But were people so sane--?" began Mwres.	"But were people so sane-?" began m w r e's.	false	630.98	634.14	22.995968
6458_232057_000020_000000	The hypnotist shook his head.	The hypnotist shook his head.	true	634.14	635.5	23.210691
6458_232057_000020_000001	"It didn't matter then if they were a bit silly or faddy.	"It didn't matter then if they were a bit silly or faddy.	true	635.9	639.13	19
6458_232057_000020_000002	Life was so easy-going then.	Life was so easy going then.	true	639.23	641.02	20.024986
6458_232057_000020_000003	No competition worth speaking of--no pressure.	No competition worth speaking of-no pressure.	true	641.21	644.05	23.631378
6458_232057_000020_000004	A human being had to be very lopsided before anything happened.	A human being had to be very lopsided before anything happened.	true	644.45	647.8	19.992855
6458_232057_000020_000005	Then, you know, they clapped 'em away in what they called a lunatic asylum."	Then, you know, they clapped 'em away in what they called a lunatic asylum."	true	648.17	652.3	22.162222
6458_232057_000021_000000	"I know," said Mwres.	"I know," said m w r e's.	false	653.3	654.54	20.06204
6458_232057_000021_000001	"In these confounded historical romances that every one is listening to, they always rescue a beautiful girl from an asylum or something of the sort.	"In these confounded historical romances that every one is listening to, they always rescue a beautiful girl from an asylum or something of the sort.	false	654.54	662.23	20.681921
6458_232057_000021_000002	I don't know if you attend to that rubbish."	I don't know if you attend to that rubbish."	true	662.66	664.48	21.993008
6458_232057_000022_000000	"I must confess I do," said the hypnotist.	"I must confess I do," said the hypnotist.	true	664.91	667.09	21.606844
6458_232057_000022_000001	"It carries one out of oneself to hear of those quaint, adventurous, half-civilised days of the nineteenth century, when men were stout and women simple.	"It carries one out of oneself to hear of those quaint, adventurous, half civilised days of the nineteenth century, when men were stout and women simple.	false	667.34	675.31	21
6458_232057_000022_000002	I like a good swaggering story before all things.	I like a good swaggering story before all things.	true	675.83	678.52	22.19026
