597_134789_000001_000000	CHAPTER II--A DOUBLE QUARTETTE	CHAPTER two-A DOUBLE QUARTETTE
597_134789_000003_000000	These young men were insignificant; every one has seen such faces; four specimens of humanity taken at random; neither good nor bad, neither wise nor ignorant, neither geniuses nor fools; handsome, with that charming April which is called twenty years.	These young men were insignificant; every one has seen such faces; four specimens of humanity taken at random; neither good nor bad, neither wise nor ignorant, neither geniuses nor fools; handsome, with that charming April which is called twenty years.
597_134789_000003_000001	They were four Oscars; for, at that epoch, Arthurs did not yet exist.	They were four Oscars; for, at that epoch, Arthurs did not yet exist.
597_134789_000003_000002	Burn for him the perfumes of Araby! exclaimed romance.	Burn for him the perfumes of Araby! exclaimed romance.
597_134789_000003_000003	Oscar advances.	Oscar advances.
597_134789_000003_000004	Oscar, I shall behold him! People had just emerged from Ossian; elegance was Scandinavian and Caledonian; the pure English style was only to prevail later, and the first of the Arthurs, Wellington, had but just won the battle of Waterloo.	Oscar, I shall behold him! People had just emerged from Ossian; elegance was Scandinavian and Caledonian; the pure English style was only to prevail later, and the first of the Arthurs, Wellington, had but just won the battle of Waterloo.
597_134789_000005_000000	Favourite, Dahlia, Zephine, and Fantine were four ravishing young women, perfumed and radiant, still a little like working-women, and not yet entirely divorced from their needles; somewhat disturbed by intrigues, but still retaining on their faces something of the serenity of toil, and in their souls that flower of honesty which survives the first fall in woman.	Favourite, Dahlia, Zephine, and Fantine were four ravishing young women, perfumed and radiant, still a little like working women, and not yet entirely divorced from their needles; somewhat disturbed by intrigues, but still retaining on their faces something of the serenity of toil, and in their souls that flower of honesty which survives the first fall in woman.
597_134789_000005_000002	Not to conceal anything, the three first were more experienced, more heedless, and more emancipated into the tumult of life than Fantine the Blonde, who was still in her first illusions.	Not to conceal anything, the three first were more experienced, more heedless, and more emancipated into the tumult of life than Fantine the Blonde, who was still in her first illusions.
597_134789_000006_000001	Poverty and coquetry are two fatal counsellors; one scolds and the other flatters, and the beautiful daughters of the people have both of them whispering in their ear, each on its own side.	Poverty and coquetry are two fatal counsellors; one scolds and the other flatters, and the beautiful daughters of the people have both of them whispering in their ear, each on its own side.
597_134789_000006_000002	These badly guarded souls listen.	These badly guarded souls listen.
597_134789_000006_000003	Hence the falls which they accomplish, and the stones which are thrown at them.	Hence the falls which they accomplish, and the stones which are thrown at them.
597_134789_000006_000004	They are overwhelmed with splendor of all that is immaculate and inaccessible.	They are overwhelmed with splendor of all that is immaculate and inaccessible.
597_134789_000007_000002	Her father was an old unmarried professor of mathematics, a brutal man and a braggart, who went out to give lessons in spite of his age.	Her father was an old unmarried professor of mathematics, a brutal man and a braggart, who went out to give lessons in spite of his age.
597_134789_000007_000003	This professor, when he was a young man, had one day seen a chambermaid's gown catch on a fender; he had fallen in love in consequence of this accident.	This professor, when he was a young man, had one day seen a chambermaid's gown catch on a fender; he had fallen in love in consequence of this accident.
597_134789_000007_000004	The result had been Favourite.	The result had been Favourite.
597_134789_000007_000005	She met her father from time to time, and he bowed to her.	She met her father from time to time, and he bowed to her.
597_134789_000007_000006	One morning an old woman with the air of a devotee, had entered her apartments, and had said to her, "You do not know me, Mamemoiselle?" "No."	One morning an old woman with the air of a devotee, had entered her apartments, and had said to her, "You do not know me, Mamemoiselle?" "no"
597_134789_000007_000007	"I am your mother." Then the old woman opened the sideboard, and ate and drank, had a mattress which she owned brought in, and installed herself.	"I am your mother." Then the old woman opened the sideboard, and ate and drank, had a mattress which she owned brought in, and installed herself.
597_134789_000007_000008	This cross and pious old mother never spoke to Favourite, remained hours without uttering a word, breakfasted, dined, and supped for four, and went down to the porter's quarters for company, where she spoke ill of her daughter.	This cross and pious old mother never spoke to Favourite, remained hours without uttering a word, breakfasted, dined, and supped for four, and went down to the porter's quarters for company, where she spoke ill of her daughter.
597_134789_000008_000001	How could she make such nails work?	How could she make such nails work?
597_134789_000008_000002	She who wishes to remain virtuous must not have pity on her hands. As for Zephine, she had conquered Fameuil by her roguish and caressing little way of saying "Yes, sir."	She who wishes to remain virtuous must not have pity on her hands. As for Zephine, she had conquered Fameuil by her roguish and caressing little way of saying "Yes, sir."
597_134789_000009_000000	The young men were comrades; the young girls were friends.	The young men were comrades; the young girls were friends.
597_134789_000009_000001	Such loves are always accompanied by such friendships.	Such loves are always accompanied by such friendships.
