511_131226_000000_000000	All would be well.	All would be well.	false	0	2.1	18.368855
511_131226_000001_000000	All would be heavenly--	All would be heavenly-	false	2.1	4.77	20.738773
511_131226_000002_000000	If the damned would only stay damned.	If the damned would only stay damned.	false	4.77	22.47	23.429033
511_131226_000003_000000	2	two	false	22.47	23.385	-20
511_131226_000004_000000	In the autumn of 1883, and for years afterward, occurred brilliant-colored sunsets, such as had never been seen before within the memory of all observers.	In the autumn of eighteen eighty three, and for years afterward, occurred brilliant colored sunsets, such as had never been seen before within the memory of all observers.	true	23.385	34.27	22.643126
511_131226_000004_000001	Also there were blue moons.	Also there were blue moons.	true	34.64	36.85	19.715118
511_131226_000005_000000	I think that one is likely to smile incredulously at the notion of blue moons.	I think that one is likely to smile incredulously at the notion of blue moons.	false	37.4	41.59	20.825241
511_131226_000005_000001	Nevertheless they were as common as were green suns in 1883.	Nevertheless they were as common as were green suns in eighteen eighty three.	true	41.69	46.9	21.086676
511_131226_000006_000000	Science had to account for these unconventionalities.	Science had to account for these unconventionalities.	true	47.3	50.86	23.773058
511_131226_000006_000001	Such publications as _Nature_ and _Knowledge_ were besieged with inquiries.	Such publications as underscore Nature underscore and underscore Knowledge underscore were besieged with inquiries.	false	51.02	55.33	21.038248
511_131226_000007_000000	I suppose, in Alaska and in the South Sea Islands, all the medicine men were similarly upon trial.	I suppose, in Alaska and in the South Sea Islands, all the medicine men were similarly upon trial.	true	55.85	62.02	21.334667
511_131226_000008_000000	Something had to be thought of.	Something had to be thought of.	true	62.6	65.2	25.320986
511_131226_000009_000000	Upon the 28th of August, 1883, the volcano of Krakatoa, of the Straits of Sunda, had blown up.	Upon the twenty eighth of August, eighteen eighty three, the volcano of Krakatoa, of the Straits of Sunda, had blown up.	true	65.63	73.54	26.8324
511_131226_000010_000000	Terrific.	Terrific.	true	74.33	75.49	22.058603
511_131226_000011_000000	We're told that the sound was heard 2,000 miles, and that 36,380 persons were killed.	We're told that the sound was heard two thousand miles, and that thirty six thousand three hundred eighty persons were killed.	true	75.71	82.51	22.576454
511_131226_000011_000001	Seems just a little unscientific, or impositive, to me: marvel to me we're not told 2,163 miles and 36,387 persons.	Seems just a little unscientific, or impositive, to me: marvel to me we're not told two thousand one hundred sixty three miles and thirty six thousand three hundred eighty seven persons.	false	82.88	95.56	21.519314
511_131226_000011_000002	The volume of smoke that went up must have been visible to other planets--or, tormented with our crawlings and scurryings, the earth complained to Mars; swore a vast black oath at us.	The volume of smoke that went up must have been visible to other planets-or, tormented with our crawlings and scurryings, the earth complained to Mars; swore a vast black oath at us.	true	95.78	108.88	23.381964
511_131226_000012_000000	In all text-books that mention this occurrence--no exception so far so I have read--it is said that the extraordinary atmospheric effects of 1883 were first noticed in the last of August or the first of September.	In all text books that mention this occurrence-no exception so far so I have read-it is said that the extraordinary atmospheric effects of eighteen eighty three were first noticed in the last of August or the first of September.	true	109.43	123.25	23.086857
511_131226_000013_000000	That makes a difficulty for us.	That makes a difficulty for us.	true	124.7	127.275	23.191004
511_131226_000014_000000	It is said that these phenomena were caused by particles of volcanic dust that were cast high in the air by Krakatoa.	It is said that these phenomena were caused by particles of volcanic dust that were cast high in the air by Krakatoa.	true	127.275	133.9	21.630394
511_131226_000015_000000	This is the explanation that was agreed upon in 1883--	This is the explanation that was agreed upon in eighteen eighty three--	true	134.12	137.86	17
511_131226_000016_000000	But for seven years the atmospheric phenomena continued--	But for seven years the atmospheric phenomena continued-	true	138.23	142.39	23.07595
511_131226_000017_000000	Except that, in the seven, there was a lapse of several years--and where was the volcanic dust all that time?	Except that, in the seven, there was a lapse of several years-and where was the volcanic dust all that time?	true	142.67	151.09	24.202114
511_131226_000018_000000	You'd think that such a question as that would make trouble?	You'd think that such a question as that would make trouble?	false	152	155.56	24.653156
