1603_140931_000000_000000	CHAPTER SEVEN.	CHAPTER SEVEN.	false	5.46	27.01	18.759708
1603_140931_000001_000000	Strange to say, the anger of the Raturans was not assuaged by the rebuff which they received at that time.	Strange to say, the anger of the Raturans was not assuaged by the rebuff which they received at that time.	true	28.34	34.35	21.099337
1603_140931_000001_000001	They took counsel again, and resolved to wait till the suspicions of the Mountain-men had been allayed, and then attack them when off their guard.	They took counsel again, and resolved to wait till the suspicions of the Mountain men had been allayed, and then attack them when off their guard.	false	34.35	42.52	20.97236
1603_140931_000002_000000	Meanwhile Zeppa, who did not at all concern himself with these matters, took it into his head one day that he would teach his little favourite, Lippy, to sing.	Meanwhile Zeppa, who did not at all concern himself with these matters, took it into his head one day that he would teach his little favourite, Lippy, to sing.	false	43.25	52.65	19.642345
1603_140931_000002_000001	Being a religious man he naturally selected hymns as the foundation of his teaching.	Being a religious man he naturally selected hymns as the foundation of his teaching.	false	52.65	56.95	18.683172
1603_140931_000002_000002	At first he found it rather up-hill work, for Lippy happened to be gifted with a strong sense of the ludicrous, so that when he took her on his knee--the day on which the idea occurred to him--opened his mouth, and gave forth the first notes of a hymn in a fine sonorous bass voice, the child gazed at him for a few moments in open-eyed wonder, and then burst into an uncontrollable fit of open-mouthed laughter.	At first he found it rather up hill work, for Lippy happened to be gifted with a strong sense of the ludicrous, so that when he took her on his knee-the day on which the idea occurred to him-opened his mouth, and gave forth the first notes of a hymn in a fine sonorous bass voice, the child gazed at him for a few moments in open eyed wonder, and then burst into an uncontrollable fit of open mouthed laughter.	false	57.86	81.37	19.971634
1603_140931_000003_000000	Poor Zeppa! till that day, since his mental break-down, the idea of singing had never once occurred to him, and this reception of his first attempt to teach disconcerted him.	Poor Zeppa! till that day, since his mental break down, the idea of singing had never once occurred to him, and this reception of his first attempt to teach disconcerted him.	true	82.07	92.74	20.947243
1603_140931_000003_000001	He stopped abruptly and gazed at the child with a perplexed expression.	He stopped abruptly and gazed at the child with a perplexed expression.	false	93.41	97.3	21.360626
1603_140931_000003_000002	This gaze was evidently regarded by Lippy as an additional touch of humour, for she went off into renewed explosions of delight and the lesson had to be given up for that time. Zeppa was gifted, however, with patient perseverance in a remarkable degree.	This gaze was evidently regarded by Lippy as an additional touch of humour, for she went off into renewed explosions of delight and the lesson had to be given up for that time. Zeppa was gifted, however, with patient perseverance in a remarkable degree.	false	97.94	111.88	20.623056
1603_140931_000003_000003	He renewed his efforts, but changed his plan.	He renewed his efforts, but changed his plan.	true	112.43	114.76	22.066725
1603_140931_000003_000004	From that time forward he took to humming hymns in a low, sweet voice, as if for his own amusement.	From that time forward he took to humming hymns in a low, sweet voice, as if for his own amusement.	true	115.43	121.06	19.519917
