176_122025_000000_000000	VI.	VI.	false	34.14	34.5	13.778715
176_122025_000000_000001	MR.	mr	true	34.5	34.83	33.447754
176_122025_000000_000002	TOAD	TOAD	true	34.83	35.65	20.919237
176_122025_000001_000000	It was a bright morning in the early part of summer; the river had resumed its wonted banks and its accustomed pace, and a hot sun seemed to be pulling everything green and bushy and spiky up out of the earth towards him, as if by strings.	It was a bright morning in the early part of summer; the river had resumed its wonted banks and its accustomed pace, and a hot sun seemed to be pulling everything green and bushy and spiky up out of the earth towards him, as if by strings.	true	36.08	50.29	22.914951
176_122025_000001_000001	The Mole and the Water Rat had been up since dawn, very busy on matters connected with boats and the opening of the boating season; painting and varnishing, mending paddles, repairing cushions, hunting for missing boat-hooks, and so on; and were finishing breakfast in their little parlour and eagerly discussing their plans for the day, when a heavy knock sounded at the door.	The Mole and the Water Rat had been up since dawn, very busy on matters connected with boats and the opening of the boating season; painting and varnishing, mending paddles, repairing cushions, hunting for missing boat hooks, and so on; and were finishing breakfast in their little parlour and eagerly discussing their plans for the day, when a heavy knock sounded at the door.	true	50.54	71.74	21.994541
176_122025_000002_000000	'Bother!' said the Rat, all over egg.	'Bother!' said the Rat, all over egg.	true	72.35	74.88	23.037058
176_122025_000002_000001	'See who it is, Mole, like a good chap, since you've finished.'	'See who it is, Mole, like a good chap, since you've finished.'	false	74.88	77.98	23.271963
176_122025_000003_000000	The Mole went to attend the summons, and the Rat heard him utter a cry of surprise.	The Mole went to attend the summons, and the Rat heard him utter a cry of surprise.	true	78.26	82.51	24.532393
176_122025_000003_000001	Then he flung the parlour door open, and announced with much importance, 'Mr.	Then he flung the parlour door open, and announced with much importance, 'mr	true	82.67	86.91	23.089794
176_122025_000003_000002	Badger!'	Badger!'	true	86.91	87.64	22.932962
176_122025_000004_000000	This was a wonderful thing, indeed, that the Badger should pay a formal call on them, or indeed on anybody.	This was a wonderful thing, indeed, that the Badger should pay a formal call on them, or indeed on anybody.	true	88.46	94.15	21.864426
176_122025_000004_000001	He generally had to be caught, if you wanted him badly, as he slipped quietly along a hedgerow of an early morning or a late evening, or else hunted up in his own house in the middle of the Wood, which was a serious undertaking.	He generally had to be caught, if you wanted him badly, as he slipped quietly along a hedgerow of an early morning or a late evening, or else hunted up in his own house in the middle of the Wood, which was a serious undertaking.	false	94.4	107.08	21.162582
176_122025_000005_000000	The Badger strode heavily into the room, and stood looking at the two animals with an expression full of seriousness.	The Badger strode heavily into the room, and stood looking at the two animals with an expression full of seriousness.	true	107.63	113.74	20.670126
176_122025_000005_000001	The Rat let his egg-spoon fall on the table-cloth, and sat open-mouthed.	The Rat let his egg spoon fall on the table cloth, and sat open mouthed.	false	113.93	118	24.895344
176_122025_000006_000000	'The hour has come!' said the Badger at last with great solemnity.	'The hour has come!' said the Badger at last with great solemnity.	true	118.52	123	21.245789
176_122025_000007_000000	'What hour?' asked the Rat uneasily, glancing at the clock on the mantelpiece.	'What hour?' asked the Rat uneasily, glancing at the clock on the mantelpiece.	false	123	127.93	24.54588
176_122025_000008_000000	'WHOSE hour, you should rather say,' replied the Badger.	'WHOSE hour, you should rather say,' replied the Badger.	true	128.24	132.3	18.720032
176_122025_000008_000001	'Why, Toad's hour!	'Why, Toad's hour!	true	132.3	134.41	23.556309
176_122025_000008_000002	The hour of Toad!	The hour of Toad!	true	134.42	136.305	25.63953
176_122025_000008_000003	I said I would take him in hand as soon as the winter was well over, and I'm going to take him in hand to-day!'	I said I would take him in hand as soon as the winter was well over, and I'm going to take him in hand to day!'	true	136.305	142.66	19.75084
176_122025_000009_000000	'Toad's hour, of course!' cried the Mole delightedly.	'Toad's hour, of course!' cried the Mole delightedly.	true	142.94	146.4	20.868565
176_122025_000009_000001	'Hooray!	'Hooray!	true	146.4	147.375	20.26538
176_122025_000009_000002	I remember now!	I remember now!	true	147.375	148.84	20.045794
176_122025_000009_000003	WE'LL teach him to be a sensible Toad!'	WE'LL teach him to be a sensible Toad!'	false	148.85	151.51	23.752708
176_122025_000010_000000	'This very morning,' continued the Badger, taking an arm-chair, 'as I learnt last night from a trustworthy source, another new and exceptionally powerful motor-car will arrive at Toad Hall on approval or return.	'This very morning,' continued the Badger, taking an arm chair, 'as I learnt last night from a trustworthy source, another new and exceptionally powerful motor car will arrive at Toad Hall on approval or return.	false	151.7	165.64	21.472332
176_122025_000010_000001	At this very moment, perhaps, Toad is busy arraying himself in those singularly hideous habiliments so dear to him, which transform him from a (comparatively) good-looking Toad into an Object which throws any decent-minded animal that comes across it into a violent fit.	At this very moment, perhaps, Toad is busy arraying himself in those singularly hideous habiliments so dear to him, which transform him from a (comparatively) good looking Toad into an Object which throws any decent minded animal that comes across it into a violent fit.	true	165.98	183.79	19.637892
176_122025_000010_000002	We must be up and doing, ere it is too late.	We must be up and doing, ere it is too late.	true	183.98	187	27.580746
176_122025_000010_000003	You two animals will accompany me instantly to Toad Hall, and the work of rescue shall be accomplished.'	You two animals will accompany me instantly to Toad Hall, and the work of rescue shall be accomplished.'	false	187.16	193.48	24.272211
176_122025_000011_000000	'Right you are!' cried the Rat, starting up.	'Right you are!' cried the Rat, starting up.	true	194.09	197.025	22.778051
176_122025_000011_000001	'We'll rescue the poor unhappy animal!	'We'll rescue the poor unhappy animal!	false	197.025	199.245	22
