176_122025_000000_000001	MR.	mr
176_122025_000000_000002	TOAD	TOAD
176_122025_000001_000000	It was a bright morning in the early part of summer; the river had resumed its wonted banks and its accustomed pace, and a hot sun seemed to be pulling everything green and bushy and spiky up out of the earth towards him, as if by strings.	It was a bright morning in the early part of summer; the river had resumed its wonted banks and its accustomed pace, and a hot sun seemed to be pulling everything green and bushy and spiky up out of the earth towards him, as if by strings.
176_122025_000001_000001	The Mole and the Water Rat had been up since dawn, very busy on matters connected with boats and the opening of the boating season; painting and varnishing, mending paddles, repairing cushions, hunting for missing boat-hooks, and so on; and were finishing breakfast in their little parlour and eagerly discussing their plans for the day, when a heavy knock sounded at the door.	The Mole and the Water Rat had been up since dawn, very busy on matters connected with boats and the opening of the boating season; painting and varnishing, mending paddles, repairing cushions, hunting for missing boat hooks, and so on; and were finishing breakfast in their little parlour and eagerly discussing their plans for the day, when a heavy knock sounded at the door.
176_122025_000002_000000	'Bother!' said the Rat, all over egg.	'Bother!' said the Rat, all over egg.
176_122025_000003_000000	The Mole went to attend the summons, and the Rat heard him utter a cry of surprise.	The Mole went to attend the summons, and the Rat heard him utter a cry of surprise.
176_122025_000003_000001	Then he flung the parlour door open, and announced with much importance, 'Mr.	Then he flung the parlour door open, and announced with much importance, 'mr
176_122025_000003_000002	Badger!'	Badger!'
176_122025_000004_000000	This was a wonderful thing, indeed, that the Badger should pay a formal call on them, or indeed on anybody.	This was a wonderful thing, indeed, that the Badger should pay a formal call on them, or indeed on anybody.
176_122025_000005_000000	The Badger strode heavily into the room, and stood looking at the two animals with an expression full of seriousness.	The Badger strode heavily into the room, and stood looking at the two animals with an expression full of seriousness.
176_122025_000006_000000	'The hour has come!' said the Badger at last with great solemnity.	'The hour has come!' said the Badger at last with great solemnity.
176_122025_000008_000001	'Why, Toad's hour!	'Why, Toad's hour!
176_122025_000008_000002	The hour of Toad!	The hour of Toad!
176_122025_000009_000000	'Toad's hour, of course!' cried the Mole delightedly.	'Toad's hour, of course!' cried the Mole delightedly.
176_122025_000009_000001	'Hooray!	'Hooray!
176_122025_000009_000002	I remember now!	I remember now!
176_122025_000010_000002	We must be up and doing, ere it is too late.	We must be up and doing, ere it is too late.
176_122025_000011_000000	'Right you are!' cried the Rat, starting up.	'Right you are!' cried the Rat, starting up.
176_122025_000011_000002	We'll convert him!	We'll convert him!
176_122025_000012_000000	They set off up the road on their mission of mercy, Badger leading the way.	They set off up the road on their mission of mercy, Badger leading the way.
176_122025_000012_000001	Animals when in company walk in a proper and sensible manner, in single file, instead of sprawling all across the road and being of no use or support to each other in case of sudden trouble or danger.	Animals when in company walk in a proper and sensible manner, in single file, instead of sprawling all across the road and being of no use or support to each other in case of sudden trouble or danger.
176_122025_000013_000000	They reached the carriage-drive of Toad Hall to find, as the Badger had anticipated, a shiny new motor-car, of great size, painted a bright red (Toad's favourite colour), standing in front of the house.	They reached the carriage drive of Toad Hall to find, as the Badger had anticipated, a shiny new motor car, of great size, painted a bright red (Toad's favourite colour), standing in front of the house.
176_122025_000013_000001	As they neared the door it was flung open, and Mr. Toad, arrayed in goggles, cap, gaiters, and enormous overcoat, came swaggering down the steps, drawing on his gauntleted gloves.	As they neared the door it was flung open, and mr Toad, arrayed in goggles, cap, gaiters, and enormous overcoat, came swaggering down the steps, drawing on his gauntleted gloves.
176_122025_000015_000000	His hearty accents faltered and fell away as he noticed the stern unbending look on the countenances of his silent friends, and his invitation remained unfinished.	His hearty accents faltered and fell away as he noticed the stern unbending look on the countenances of his silent friends, and his invitation remained unfinished.
176_122025_000016_000000	The Badger strode up the steps.	The Badger strode up the steps.
176_122025_000016_000001	'Take him inside,' he said sternly to his companions.	'Take him inside,' he said sternly to his companions.
