4331_57179_000001_000000	MISTLETOE.	MISTLETOE.
4331_57179_000002_000004	And he was handsome too, and good-humoured, though these qualities told less with her than the others.	And he was handsome too, and good humoured, though these qualities told less with her than the others.
4331_57179_000002_000005	And now she was to meet him in the house of her great relations,--in a position in which her rank and her fashion would seem to be equal to his own.	And now she was to meet him in the house of her great relations,--in a position in which her rank and her fashion would seem to be equal to his own.
4331_57179_000002_000006	And she would meet him with the remembrance fresh in his mind as in her own of those passages of love at Rufford.	And she would meet him with the remembrance fresh in his mind as in her own of those passages of love at Rufford.
4331_57179_000002_000007	It would be impossible that he should even seem to forget them.	It would be impossible that he should even seem to forget them.
4331_57179_000002_000008	The most that she could expect would be four or five days of his company, and she knew that she must be upon her mettle.	The most that she could expect would be four or five days of his company, and she knew that she must be upon her mettle.
4331_57179_000002_000009	She must do more now than she had ever attempted before.	She must do more now than she had ever attempted before.
4331_57179_000002_000010	She must scruple at nothing that might bind him.	She must scruple at nothing that might bind him.
4331_57179_000002_000011	She would be in the house of her uncle and that uncle a duke, and she thought that those facts might help to quell him.	She would be in the house of her uncle and that uncle a duke, and she thought that those facts might help to quell him.
4331_57179_000002_000013	She thought of it all, and made her plans carefully and even painfully.	She thought of it all, and made her plans carefully and even painfully.
4331_57179_000002_000014	She would be at any rate two days in the house before his arrival.	She would be at any rate two days in the house before his arrival.
4331_57179_000003_000000	She had stretched her means and her credit to the utmost in regard to her wardrobe, and was aware that she had never been so well equipped since those early days of her career in which her father and mother had thought that her beauty, assisted by a generous expenditure, would serve to dispose of her without delay.	She had stretched her means and her credit to the utmost in regard to her wardrobe, and was aware that she had never been so well equipped since those early days of her career in which her father and mother had thought that her beauty, assisted by a generous expenditure, would serve to dispose of her without delay.
4331_57179_000003_000001	A generous expenditure may be incurred once even by poor people, but cannot possibly be maintained over a dozen years.	A generous expenditure may be incurred once even by poor people, but cannot possibly be maintained over a dozen years.
4331_57179_000003_000002	Now she had taken the matter into her own hands and had done that which would be ruinous if not successful. She was venturing her all upon the die,--with the prospect of drowning herself on the way out to Patagonia should the chances of the game go against her.	Now she had taken the matter into her own hands and had done that which would be ruinous if not successful. She was venturing her all upon the die,--with the prospect of drowning herself on the way out to Patagonia should the chances of the game go against her.
4331_57179_000003_000003	She forgot nothing.	She forgot nothing.
4331_57179_000003_000004	She could hardly hope for more than one day's hunting and yet that had been provided for as though she were going to ride with the hounds through all the remainder of the season.	She could hardly hope for more than one day's hunting and yet that had been provided for as though she were going to ride with the hounds through all the remainder of the season.
4331_57179_000004_000000	When she reached Mistletoe there were people going and coming every day, so that an arrival was no event.	When she reached Mistletoe there were people going and coming every day, so that an arrival was no event.
4331_57179_000004_000002	Everybody knew that she was a Trefoil and her presence therefore raised no question.	Everybody knew that she was a Trefoil and her presence therefore raised no question.
4331_57179_000004_000003	The Duchess of Omnium was among the guests.	The Duchess of Omnium was among the guests.
4331_57179_000004_000004	The Duchess knew all about her and vouchsafed to her the smallest possible recognition.	The Duchess knew all about her and vouchsafed to her the smallest possible recognition.
4331_57179_000004_000005	Lady Chiltern had met her before, and as Lady Chiltern was always generous, she was gracious to Arabella. She was sorry to see Lady Drummond, because she connected Lady Drummond with the Foreign Office and feared that the conversation might be led to Patagonia and its new minister.	Lady Chiltern had met her before, and as Lady Chiltern was always generous, she was gracious to Arabella. She was sorry to see Lady Drummond, because she connected Lady Drummond with the Foreign Office and feared that the conversation might be led to Patagonia and its new minister.
4331_57179_000004_000007	The girl was his niece and the Duke had an idea that he should be kind to the family of which he was the head.	The girl was his niece and the Duke had an idea that he should be kind to the family of which he was the head.
