4331_57179_000000_000000	CHAPTER IX.	CHAPTER nine.	false	2.73	21.06	22.260986
4331_57179_000001_000000	MISTLETOE.	MISTLETOE.	true	21.06	22.09	22.929487
4331_57179_000002_000000	When Arabella Trefoil started from London for Mistletoe, with no companion but her own maid, she had given more serious consideration to her visit than she had probably ever paid to any matter up to that time.	When Arabella Trefoil started from London for Mistletoe, with no companion but her own maid, she had given more serious consideration to her visit than she had probably ever paid to any matter up to that time.	false	22.94	34.71	21.78106
4331_57179_000002_000001	She had often been much in earnest but never so much in earnest as now.	She had often been much in earnest but never so much in earnest as now.	false	34.71	39.73	22.613445
4331_57179_000002_000002	Those other men had perhaps been worthy,--worthy as far as her ideas went of worth,--but none of them so worthy as this man.	Those other men had perhaps been worthy,--worthy as far as her ideas went of worth,--but none of them so worthy as this man.	false	40.1	48.46	23.195148
4331_57179_000002_000003	Everything was there if she could only get it;--money, rank, fashion, and an appetite for pleasure.	Everything was there if she could only get it;--money, rank, fashion, and an appetite for pleasure.	false	48.98	55.54	23.552803
4331_57179_000002_000004	And he was handsome too, and good-humoured, though these qualities told less with her than the others.	And he was handsome too, and good humoured, though these qualities told less with her than the others.	true	55.91	61.21	23.316751
4331_57179_000002_000005	And now she was to meet him in the house of her great relations,--in a position in which her rank and her fashion would seem to be equal to his own.	And now she was to meet him in the house of her great relations,--in a position in which her rank and her fashion would seem to be equal to his own.	true	61.58	70	21.492176
4331_57179_000002_000006	And she would meet him with the remembrance fresh in his mind as in her own of those passages of love at Rufford.	And she would meet him with the remembrance fresh in his mind as in her own of those passages of love at Rufford.	true	70.16	76.48	21
4331_57179_000002_000007	It would be impossible that he should even seem to forget them.	It would be impossible that he should even seem to forget them.	true	76.52	79.78	22.592236
4331_57179_000002_000008	The most that she could expect would be four or five days of his company, and she knew that she must be upon her mettle.	The most that she could expect would be four or five days of his company, and she knew that she must be upon her mettle.	true	79.94	86.35	22.11559
4331_57179_000002_000009	She must do more now than she had ever attempted before.	She must do more now than she had ever attempted before.	true	86.6	90.1	22.398197
4331_57179_000002_000010	She must scruple at nothing that might bind him.	She must scruple at nothing that might bind him.	true	90.17	93.1	24.04047
4331_57179_000002_000011	She would be in the house of her uncle and that uncle a duke, and she thought that those facts might help to quell him.	She would be in the house of her uncle and that uncle a duke, and she thought that those facts might help to quell him.	true	93.41	99.87	24.22892
4331_57179_000002_000012	And she would be there without her mother, who was so often a heavy incubus on her shoulders.	And she would be there without her mother, who was so often a heavy incubus on her shoulders.	false	99.87	105.01	23.310934
4331_57179_000002_000013	She thought of it all, and made her plans carefully and even painfully.	She thought of it all, and made her plans carefully and even painfully.	true	105.11	109.21	24.52627
4331_57179_000002_000014	She would be at any rate two days in the house before his arrival.	She would be at any rate two days in the house before his arrival.	true	109.28	112.81	23.432167
4331_57179_000002_000015	During that time she would curry favour with her uncle by all her arts, and would if possible reconcile herself to her aunt.	During that time she would curry favour with her uncle by all her arts, and would if possible reconcile herself to her aunt.	false	113.27	120.99	23.571846
4331_57179_000002_000016	She thought once of taking her aunt into her full confidence and balanced the matter much in her mind. The Duchess, she knew, was afraid of her,--or rather afraid of the relationship, and would of course be pleased to have all fears set at rest by such an alliance.	She thought once of taking her aunt into her full confidence and balanced the matter much in her mind. The Duchess, she knew, was afraid of her,--or rather afraid of the relationship, and would of course be pleased to have all fears set at rest by such an alliance.	false	120.99	136	23.513155
4331_57179_000002_000017	But her aunt was a woman who had never suffered hardships, whose own marriage had been easily arranged, and whose two daughters had been pleasantly married before they were twenty years old.	But her aunt was a woman who had never suffered hardships, whose own marriage had been easily arranged, and whose two daughters had been pleasantly married before they were twenty years old.	false	136.43	145.69	22.39665
4331_57179_000002_000018	She had had no experience of feminine difficulties, and would have no mercy for such labours as those to which her less fortunate niece was driven.	She had had no experience of feminine difficulties, and would have no mercy for such labours as those to which her less fortunate niece was driven.	false	146.03	154.17	23.221022
4331_57179_000002_000019	It would have been a great thing to have the cordial co-operation of her aunt;--but she could not venture to ask for it.	It would have been a great thing to have the cordial co-operation of her aunt;--but she could not venture to ask for it.	false	154.17	160.15	24.001846
4331_57179_000003_000000	She had stretched her means and her credit to the utmost in regard to her wardrobe, and was aware that she had never been so well equipped since those early days of her career in which her father and mother had thought that her beauty, assisted by a generous expenditure, would serve to dispose of her without delay.	She had stretched her means and her credit to the utmost in regard to her wardrobe, and was aware that she had never been so well equipped since those early days of her career in which her father and mother had thought that her beauty, assisted by a generous expenditure, would serve to dispose of her without delay.	true	160.34	177.31	23.029015
4331_57179_000003_000001	A generous expenditure may be incurred once even by poor people, but cannot possibly be maintained over a dozen years.	A generous expenditure may be incurred once even by poor people, but cannot possibly be maintained over a dozen years.	true	177.38	184.87	21.852747
4331_57179_000003_000002	Now she had taken the matter into her own hands and had done that which would be ruinous if not successful. She was venturing her all upon the die,--with the prospect of drowning herself on the way out to Patagonia should the chances of the game go against her.	Now she had taken the matter into her own hands and had done that which would be ruinous if not successful. She was venturing her all upon the die,--with the prospect of drowning herself on the way out to Patagonia should the chances of the game go against her.	true	185.15	199.155	23.155487
4331_57179_000003_000003	She forgot nothing.	She forgot nothing.	true	199.155	200.415	25.768679
4331_57179_000003_000004	She could hardly hope for more than one day's hunting and yet that had been provided for as though she were going to ride with the hounds through all the remainder of the season.	She could hardly hope for more than one day's hunting and yet that had been provided for as though she were going to ride with the hounds through all the remainder of the season.	true	200.415	209.17	21.432962
4331_57179_000004_000000	When she reached Mistletoe there were people going and coming every day, so that an arrival was no event.	When she reached Mistletoe there were people going and coming every day, so that an arrival was no event.	true	209.24	215.325	22.767288
4331_57179_000004_000001	She was kissed by her uncle and welcomed with characteristic coldness by her aunt, then allowed to settle in among the other guests as though she had been there all the winter.	She was kissed by her uncle and welcomed with characteristic coldness by her aunt, then allowed to settle in among the other guests as though she had been there all the winter.	false	215.325	224.11	23.661139
4331_57179_000004_000002	Everybody knew that she was a Trefoil and her presence therefore raised no question.	Everybody knew that she was a Trefoil and her presence therefore raised no question.	true	224.18	229.12	23.134888
4331_57179_000004_000003	The Duchess of Omnium was among the guests.	The Duchess of Omnium was among the guests.	true	229.13	231.61	21.697842
4331_57179_000004_000004	The Duchess knew all about her and vouchsafed to her the smallest possible recognition.	The Duchess knew all about her and vouchsafed to her the smallest possible recognition.	true	231.74	236.5	23.167866
4331_57179_000004_000005	Lady Chiltern had met her before, and as Lady Chiltern was always generous, she was gracious to Arabella. She was sorry to see Lady Drummond, because she connected Lady Drummond with the Foreign Office and feared that the conversation might be led to Patagonia and its new minister.	Lady Chiltern had met her before, and as Lady Chiltern was always generous, she was gracious to Arabella. She was sorry to see Lady Drummond, because she connected Lady Drummond with the Foreign Office and feared that the conversation might be led to Patagonia and its new minister.	true	236.51	252.28	22.392588
4331_57179_000004_000006	She contrived to squeeze her uncle's hand and to utter a word of warm thanks,--which his grace did not perfectly understand.	She contrived to squeeze her uncle's hand and to utter a word of warm thanks,--which his grace did not perfectly understand.	false	252.71	259.305	23.227072
