112_123216_000002_000000	Chapter XXXVII	Chapter thirty seven
112_123216_000004_000000	"I wish I were dead, or that it were tomorrow night," groaned Phil.	"I wish I were dead, or that it were tomorrow night," groaned Phil.
112_123216_000005_000000	"If you live long enough both wishes will come true," said Anne calmly.	"If you live long enough both wishes will come true," said Anne calmly.
112_123216_000006_000000	"It's easy for you to be serene.	"It's easy for you to be serene.
112_123216_000006_000002	I'm not--and when I think of that horrible paper tomorrow I quail.	I'm not-and when I think of that horrible paper tomorrow I quail.
112_123216_000006_000003	If I should fail in it what would Jo say?"	If I should fail in it what would Jo say?"
112_123216_000007_000001	How did you get on in Greek today?"	How did you get on in Greek today?"
112_123216_000008_000000	"I don't know.	"I don't know.
112_123216_000008_000001	Perhaps it was a good paper and perhaps it was bad enough to make Homer turn over in his grave.	Perhaps it was a good paper and perhaps it was bad enough to make Homer turn over in his grave.
112_123216_000008_000002	I've studied and mulled over notebooks until I'm incapable of forming an opinion of anything.	I've studied and mulled over notebooks until I'm incapable of forming an opinion of anything.
112_123216_000008_000003	How thankful little Phil will be when all this examinating is over."	How thankful little Phil will be when all this examinating is over."
112_123216_000011_000000	"Words aren't made--they grow," said Anne.	"Words aren't made-they grow," said Anne.
112_123216_000015_000000	"You don't act as if you were by times," said Aunt Jamesina severely.	"You don't act as if you were by times," said Aunt Jamesina severely.
112_123216_000016_000000	"Oh, Aunt Jimsie, haven't we been pretty good girls, take us by and large, these three winters you've mothered us?" pleaded Phil.	"Oh, Aunt Jimsie, haven't we been pretty good girls, take us by and large, these three winters you've mothered us?" pleaded Phil.
112_123216_000018_000000	"But I mistrust you haven't any too much sense yet.	"But I mistrust you haven't any too much sense yet.
112_123216_000018_000001	It's not to be expected, of course.	It's not to be expected, of course.
112_123216_000021_000000	"Have you learned anything at Redmond except dead languages and geometry and such trash?" queried Aunt Jamesina.	"Have you learned anything at Redmond except dead languages and geometry and such trash?" queried Aunt Jamesina.
112_123216_000022_000000	"Oh, yes.	"Oh, yes.
112_123216_000023_000000	"We've learned the truth of what Professor Woodleigh told us last Philomathic," said Phil.	"We've learned the truth of what Professor Woodleigh told us last Philomathic," said Phil.
112_123216_000024_000001	When you've learned to laugh at the things that should be laughed at, and not to laugh at those that shouldn't, you've got wisdom and understanding."	When you've learned to laugh at the things that should be laughed at, and not to laugh at those that shouldn't, you've got wisdom and understanding."
112_123216_000026_000000	"I think," said Anne slowly, "that I really have learned to look upon each little hindrance as a jest and each great one as the foreshadowing of victory.	"I think," said Anne slowly, "that I really have learned to look upon each little hindrance as a jest and each great one as the foreshadowing of victory.
112_123216_000026_000001	Summing up, I think that is what Redmond has given me."	Summing up, I think that is what Redmond has given me."
