8057_284428_000000_000000	"Get off from me!	"Get off from me!	false	0	1.32	19.097164
8057_284428_000000_000001	Get off from my feet, I say!" cried an excited voice. "What in the Sky do you mean by sitting on my feet?	Get off from my feet, I say!" cried an excited voice. "What in the Sky do you mean by sitting on my feet?	false	1.32	10.2	19
8057_284428_000000_000002	Get off!	Get off!	false	10.2	10.98	12
8057_284428_000000_000003	Get off at once!"	Get off at once!"	false	10.98	12.51	18.534245
8057_284428_000001_000000	[Illustration]	[Illustration]	false	12.51	12.9	17
8057_284428_000002_000000	[Illustration]	[Illustration]	false	12.9	13.26	18.23129
8057_284428_000003_000000	THE BOOLOOROO OF THE BLUES	THE b o o l o o r o o OF THE BLUES	false	13.26	23.04	22
8057_284428_000004_000000	CHAPTER 5.	CHAPTER five.	false	23.04	23.13	5
8057_284428_000005_000000	Cap'n Bill suspected that these remarks were addressed to him, but he couldn't move just then because the seat was across him, and a boy and girl were sprawling on the seat.	Cap'n Bill suspected that these remarks were addressed to him, but he couldn't move just then because the seat was across him, and a boy and girl were sprawling on the seat.	true	23.13	32.325	14
8057_284428_000005_000001	As the Magic Umbrella was now as motionless as any ordinary umbrella might be, Button-Bright first released the catch and closed it up, after which he unhooked the crooked handle from the rope and rose to his feet.	As the Magic Umbrella was now as motionless as any ordinary umbrella might be, Button Bright first released the catch and closed it up, after which he unhooked the crooked handle from the rope and rose to his feet.	true	32.325	45.495	16
8057_284428_000005_000002	Trot had managed by this time to stand up and she pulled the board off from Cap'n Bill.	Trot had managed by this time to stand up and she pulled the board off from Cap'n Bill.	true	45.495	50.32	16
8057_284428_000005_000003	All this time the shrill, excited voice was loudly complaining because the sailor was on his feet, and Trot looked to see who was making the protest, while Cap'n Bill rolled over and got on his hands and knees so he could pull his meat leg and his wooden leg into an upright position, which wasn't a very easy thing to do.	All this time the shrill, excited voice was loudly complaining because the sailor was on his feet, and Trot looked to see who was making the protest, while Cap'n Bill rolled over and got on his hands and knees so he could pull his meat leg and his wooden leg into an upright position, which wasn't a very easy thing to do.	true	50.42	69.045	15
8057_284428_000006_000000	Button-Bright and Trot were staring with all their might at the queerest person they had ever seen.	Button Bright and Trot were staring with all their might at the queerest person they had ever seen.	true	69.045	74.89	19
8057_284428_000006_000001	They decided it must be a man, because he had two long legs, a body as round as a ball, a neck like an ostrich and a comical little head set on the top of it.	They decided it must be a man, because he had two long legs, a body as round as a ball, a neck like an ostrich and a comical little head set on the top of it.	true	75.08	85.245	16
8057_284428_000006_000002	But the most curious thing about him was his skin, which was of a lovely sky-blue tint.	But the most curious thing about him was his skin, which was of a lovely sky blue tint.	true	85.245	90.375	18
8057_284428_000006_000003	His eyes were also sky-blue, and his hair, which was trained straight up and ended in a curl at the top of his head, was likewise blue in color and matched his skin and his eyes.	His eyes were also sky blue, and his hair, which was trained straight up and ended in a curl at the top of his head, was likewise blue in color and matched his skin and his eyes.	true	90.375	101.355	17
8057_284428_000006_000004	He wore tight-fitting clothes made of sky-blue silk, with a broad blue ruffle around his long neck, and on his breast glittered a magnificent jewel in the form of a star, set with splendid blue stones.	He wore tight fitting clothes made of sky blue silk, with a broad blue ruffle around his long neck, and on his breast glittered a magnificent jewel in the form of a star, set with splendid blue stones.	true	101.355	113.655	13
8057_284428_000007_000000	If the blue man astonished the travelers they were no less surprised by his surroundings, for look where they might, everything they beheld was of the same blue color as the sky above.	If the blue man astonished the travelers they were no less surprised by his surroundings, for look where they might, everything they beheld was of the same blue color as the sky above.	true	113.655	124.06	17
8057_284428_000007_000001	They seemed to have landed in a large garden, surrounded by a high wall of blue stone.	They seemed to have landed in a large garden, surrounded by a high wall of blue stone.	true	124.19	129.345	12
8057_284428_000007_000002	The trees were all blue, the grass was blue, the flowers were blue and even the pebbles in the paths were blue.	The trees were all blue, the grass was blue, the flowers were blue and even the pebbles in the paths were blue.	true	129.345	136.87	18
8057_284428_000007_000003	There were many handsomely carved benches and seats of blue wood scattered about the garden, and near them stood a fountain, made of blue marble, which shot lovely sprays of blue water into the blue air.	There were many handsomely carved benches and seats of blue wood scattered about the garden, and near them stood a fountain, made of blue marble, which shot lovely sprays of blue water into the blue air.	true	136.97	148.78	16
8057_284428_000008_000000	But the angry inhabitant of this blue place would not permit them to look around them in peace, for as soon as Cap'n Bill rolled off his toes he began dancing around in an excited way and saying very disrespectful things of his visitors.	But the angry inhabitant of this blue place would not permit them to look around them in peace, for as soon as Cap'n Bill rolled off his toes he began dancing around in an excited way and saying very disrespectful things of his visitors.	true	148.82	163.185	16
8057_284428_000009_000000	"You brutes!	"You brutes!	true	163.185	164.295	24.40061
8057_284428_000009_000001	you apes! you miserable white-skinned creatures!	you apes! you miserable white skinned creatures!	true	164.295	167.19	18.428522
8057_284428_000009_000002	How dare you come into my garden and knock me on the head with that awful basket and then fall on my toes and cause me pain and suffering?	How dare you come into my garden and knock me on the head with that awful basket and then fall on my toes and cause me pain and suffering?	true	167.19	175.66	19
8057_284428_000009_000003	How dare you, I say?	How dare you, I say?	true	175.73	177.91	19
8057_284428_000009_000004	Don't you know you will be punished for your impudence?	Don't you know you will be punished for your impudence?	true	177.98	181.36	20
8057_284428_000009_000005	Don't you know the Boolooroo of the Blues will have revenge?	Don't you know the Boolooroo of the Blues will have revenge?	true	181.46	185.02	11
8057_284428_000009_000006	I can have you patched for this insult, and I will--just as sure as I'm the Royal Boolooroo of Sky Island!"	I can have you patched for this insult, and I will-just as sure as I'm the Royal Boolooroo of Sky Island!"	false	185.21	192.255	18
8057_284428_000010_000000	"Oh, is this Sky Island, then?" asked Trot.	"Oh, is this Sky Island, then?" asked Trot.	false	192.255	196.2	17.868618
8057_284428_000011_000000	"Of course it's Sky Island.	"Of course it's Sky Island.	true	196.2	198.39	22.179296
8057_284428_000011_000001	What else could it be?	What else could it be?	true	198.39	199.605	20.367075
8057_284428_000011_000002	And I'm its Ruler--its King--its sole Royal Potentate and Dictator.	And I'm its Ruler-its King-its sole Royal Potentate and Dictator.	true	199.605	205.51	17
8057_284428_000011_000003	Behold in the Personage you have injured the Mighty Quitey Righty Boolooroo of the Blues!" Here he strutted around in a very pompous manner and wagged his little head contemptuously at them.	Behold in the Personage you have injured the Mighty Quitey Righty Boolooroo of the Blues!" Here he strutted around in a very pompous manner and wagged his little head contemptuously at them.	true	205.67	219.045	18
8057_284428_000012_000000	"Glad to meet you, sir," said Cap'n Bill.	"Glad to meet you, sir," said Cap'n Bill.	true	219.045	221.43	26.501398
8057_284428_000012_000001	"I allus had a likin' for kings, bein' as they're summat unusual.	"I allus had a likin' for kings, bein' as they're summat unusual.	false	221.43	225.03	20.430471
8057_284428_000012_000002	Please 'scuse me for a-sittin' on your royal toes, not knowin' as your toes were there."	Please 'scuse me for a sittin' on your royal toes, not knowin' as your toes were there."	false	225.03	229.69	19.366186
8057_284428_000013_000000	"I won't excuse you!" roared the Boolooroo.	"I won't excuse you!" roared the Boolooroo.	true	229.88	233.38	19.350988
8057_284428_000013_000001	"But I'll punish you.	"But I'll punish you.	true	233.39	234.585	23.631487
8057_284428_000013_000002	You may depend upon that."	You may depend upon that."	true	234.585	236.47	18
8057_284428_000014_000000	"Seems to me," said Trot, "you're actin' rather imperlite to strangers. If anyone comes to our country to visit us, we always treat 'em decent."	"Seems to me," said Trot, "you're actin' rather imperlite to strangers. If anyone comes to our country to visit us, we always treat 'em decent."	true	236.81	246.27	20.861032
8057_284428_000015_000000	"_Your_ country!" exclaimed the Boolooroo, looking at them more carefully and seeming interested in their appearance.	"underscore Your underscore country!" exclaimed the Boolooroo, looking at them more carefully and seeming interested in their appearance.	false	246.27	253.575	21
8057_284428_000015_000001	"Where in the Sky did you come from, then, and where is your country located?"	"Where in the Sky did you come from, then, and where is your country located?"	true	253.575	258.46	21.53341
8057_284428_000016_000000	"We live on the Earth, when we're at home," replied the girl.	"We live on the Earth, when we're at home," replied the girl.	true	258.5	261.94	22.775896
8057_284428_000017_000000	"The Earth?	"The Earth?	true	262.25	263.28	21.466578
8057_284428_000017_000001	Nonsense!	Nonsense!	true	263.28	264.285	19
8057_284428_000017_000002	I've heard of the Earth, my child, but it isn't inhabited.	I've heard of the Earth, my child, but it isn't inhabited.	true	264.285	268.32	21.464396
8057_284428_000017_000003	No one can live there because it's just a round, cold, barren ball of mud and water," declared the Blueskin.	No one can live there because it's just a round, cold, barren ball of mud and water," declared the Blueskin.	true	268.32	275.445	17
8057_284428_000018_000000	"Oh, you're wrong about that," said Button-Bright.	"Oh, you're wrong about that," said Button Bright.	true	275.445	278.37	24.401682
8057_284428_000019_000000	"You surely are," added Cap'n Bill.	"You surely are," added Cap'n Bill.	true	278.37	280.33	20.727076
8057_284428_000020_000000	"Why, we live there ourselves," cried Trot.	"Why, we live there ourselves," cried Trot.	false	280.64	283.23	20.38166
8057_284428_000021_000000	"I don't believe it.	"I don't believe it.	true	283.23	284.2	24.010088
8057_284428_000021_000001	I believe you are living in Sky Island, where you have no right to be, with your horrid white skins.	I believe you are living in Sky Island, where you have no right to be, with your horrid white skins.	true	284.33	290.83	19
8057_284428_000021_000002	And you've intruded into the private garden of the palace of the Greatly Stately Irately Boolooroo, which is a criminal offense; and you've bumped my head with your basket and smashed my toes with your boards and bodies, which is a crime unparalleled in all the history of Sky Island!	And you've intruded into the private garden of the palace of the Greatly Stately Irately Boolooroo, which is a criminal offense; and you've bumped my head with your basket and smashed my toes with your boards and bodies, which is a crime unparalleled in all the history of Sky Island!	true	290.9	308.715	18
8057_284428_000021_000003	Aren't you sorry for yourselves?"	Aren't you sorry for yourselves?"	true	308.715	310.36	22.237013
8057_284428_000022_000000	"I'm sorry for you," replied Trot, "'cause you don't seem to know the proper way to treat visitors.	"I'm sorry for you," replied Trot, "'cause you don't seem to know the proper way to treat visitors.	true	310.4	316.03	19
8057_284428_000022_000001	But we won't stay long.	But we won't stay long.	true	316.31	318.04	17
8057_284428_000022_000002	We'll go home, pretty soon."	We'll go home, pretty soon."	true	318.11	319.75	24.406425
8057_284428_000023_000000	"Not until you have been punished!" exclaimed the Boolooroo, sternly. "You are my prisoners."	"Not until you have been punished!" exclaimed the Boolooroo, sternly. "You are my prisoners."	true	319.91	324.88	19.377651
8057_284428_000024_000000	"Beg parding, your Majesty," said Cap'n Bill, "but you're takin' a good deal for granted.	"Beg parding, your Majesty," said Cap'n Bill, "but you're takin' a good deal for granted.	true	325.01	329.4	19.195913
8057_284428_000024_000001	We've tried to be friendly an' peaceable, an' we've 'poligized for hurtin' you; but if that don't satisfy you, you'll have to make the most of it.	We've tried to be friendly an' peaceable, an' we've 'poligized for hurtin' you; but if that don't satisfy you, you'll have to make the most of it.	false	329.4	336.97	22.025915
8057_284428_000024_000002	You may be the Boolooroo of the Blues, but you ain't even a tin whistle to us, an' you can't skeer us for half a minute.	You may be the Boolooroo of the Blues, but you ain't even a tin whistle to us, an' you can't skeer us for half a minute.	true	337.04	342.765	19.016968
8057_284428_000024_000003	I'm an ol' man, myself, but if you don't behave I'll spank you like I would a baby, an' it won't be any trouble at all to do it, thank'e.	I'm an ol' man, myself, but if you don't behave I'll spank you like I would a baby, an' it won't be any trouble at all to do it, thank'e.	true	342.765	349.89	20.756418
8057_284428_000024_000004	As a matter o' fact, we've captured your whole bloomin' blue island, but we don't like the place very much, and I guess we'll give it back.	As a matter o' fact, we've captured your whole bloomin' blue island, but we don't like the place very much, and I guess we'll give it back.	false	349.89	356.71	21.577358
