5039_1188_000003_000000	Chapter Ten	Chapter Ten
5039_1188_000004_000000	Shaggy Man to the Rescue	Shaggy Man to the Rescue
5039_1188_000005_000000	They had not gone very far before Bungle, who had run on ahead, came bounding back to say that the road of yellow bricks was just before them.	They had not gone very far before Bungle, who had run on ahead, came bounding back to say that the road of yellow bricks was just before them.
5039_1188_000005_000001	At once they hurried forward to see what this famous road looked like.	At once they hurried forward to see what this famous road looked like.
5039_1188_000006_000000	It was a broad road, but not straight, for it wandered over hill and dale and picked out the easiest places to go.	It was a broad road, but not straight, for it wandered over hill and dale and picked out the easiest places to go.
5039_1188_000006_000001	All its length and breadth was paved with smooth bricks of a bright yellow color, so it was smooth and level except in a few places where the bricks had crumbled or been removed, leaving holes that might cause the unwary to stumble.	All its length and breadth was paved with smooth bricks of a bright yellow color, so it was smooth and level except in a few places where the bricks had crumbled or been removed, leaving holes that might cause the unwary to stumble.
5039_1188_000007_000000	"I wonder," said Ojo, looking up and down the road, "which way to go."	"I wonder," said Ojo, looking up and down the road, "which way to go."
5039_1188_000009_000000	"The Emerald City," he replied.	"The Emerald City," he replied.
5039_1188_000011_000000	"Have you ever been to the Emerald City?" asked Scraps.	"Have you ever been to the Emerald City?" asked Scraps.
5039_1188_000013_000000	"Are you afraid of men?" inquired the Patchwork Girl.	"Are you afraid of men?" inquired the Patchwork Girl.
5039_1188_000014_000000	"Me?	"Me?
5039_1188_000014_000001	With my heart-rending growl--my horrible, shudderful growl?	With my heart rending growl-my horrible, shudderful growl?
5039_1188_000014_000003	I am not afraid of anything," declared the Woozy.	I am not afraid of anything," declared the Woozy.
5039_1188_000015_000000	"I wish I could say the same," sighed Ojo.	"I wish I could say the same," sighed Ojo.
5039_1188_000017_000000	"If anything should fade the colors of my lovely patches it would break my heart," said the Patchwork Girl.	"If anything should fade the colors of my lovely patches it would break my heart," said the Patchwork Girl.
5039_1188_000018_000000	"I'm not sure you have a heart," Ojo reminded her.	"I'm not sure you have a heart," Ojo reminded her.
5039_1188_000019_000000	"Then it would break my cotton," persisted Scraps.	"Then it would break my cotton," persisted Scraps.
