6918_61317_000000_000000	CHAPTER III.	CHAPTER three.	false	0	0.21	-20
6918_61317_000001_000000	RIVAL PANTHEONS AND REPRESENTATIVE DEITIES	RIVAL PANTHEONS AND REPRESENTATIVE DEITIES	false	0.21	0.78	42.56984
6918_61317_000002_000000	Why Different Gods were Supreme at Different Centres--Theories regarding Origin of Life--Vital Principle in Water--Creative Tears of Weeping Deities--Significance of widespread Spitting Customs--Divine Water in Blood and Divine Blood in Water--Liver as the Seat of Life--Inspiration derived by Drinking Mead, Blood, &c.--Life Principle in Breath--Babylonian Ghosts as "Evil Wind Gusts"--Fire Deities--Fire and Water in Magical Ceremonies--Moon Gods of Ur and Harran--Moon Goddess and Babylonian "Jack and Jill"--Antiquity of Sun Worship--Tammuz and Ishtar--Solar Gods of War, Pestilence, and Death--Shamash as the "Great Judge"--His Mitra Name--Aryan Mitra or Mithra and linking Babylonian Deities--Varuna and Shamash Hymns compared--The Female Origin of Life--Goddesses of Maternity--The Babylonian Thor--Deities of Good and Evil.	Why Different Gods were Supreme at Different Centres-Theories regarding Origin of Life-Vital Principle in Water-Creative Tears of Weeping Deities-Significance of widespread Spitting Customs-Divine Water in Blood and Divine Blood in Water-Liver as the Seat of Life-Inspiration derived by Drinking Mead, Blood, and c.--Life Principle in Breath-Babylonian Ghosts as "Evil Wind Gusts"--Fire Deities-Fire and Water in Magical Ceremonies-Moon Gods of Ur and Harran-Moon Goddess and Babylonian "Jack and Jill"--Antiquity of Sun Worship-Tammuz and Ishtar-Solar Gods of War, Pestilence, and Death-Shamash as the "Great Judge"--His Mitra Name-Aryan Mitra or Mithra and linking Babylonian Deities-Varuna and Shamash Hymns compared-The Female Origin of Life-Goddesses of Maternity-The Babylonian Thor-Deities of Good and Evil.	false	0.78	27.12	22.510443
6918_61317_000003_000000	In dealing with the city cults of Sumer and Akkad, consideration must be given to the problems involved by the rival mythological systems. Pantheons not only varied in detail, but were presided over by different supreme gods.	In dealing with the city cults of Sumer and Akkad, consideration must be given to the problems involved by the rival mythological systems. Pantheons not only varied in detail, but were presided over by different supreme gods.	true	27.12	41.35	20.059536
6918_61317_000003_000001	One city's chief deity might be regarded as a secondary deity at another centre.	One city's chief deity might be regarded as a secondary deity at another centre.	true	41.6	46.63	22.062357
6918_61317_000003_000002	Although Ea, for instance, was given first place at Eridu, and was so pronouncedly Sumerian in character, the moon god Nannar remained supreme at Ur, while the sun god, whose Semitic name was Shamash, presided at Larsa and Sippar. Other deities were similarly exalted in other states.	Although Ea, for instance, was given first place at Eridu, and was so pronouncedly Sumerian in character, the moon god Nannar remained supreme at Ur, while the sun god, whose Semitic name was Shamash, presided at Larsa and Sippar. Other deities were similarly exalted in other states.	false	47	65.92	20.844564
6918_61317_000004_000000	As has been indicated, a mythological system must have been strongly influenced by city politics.	As has been indicated, a mythological system must have been strongly influenced by city politics.	true	67.1	73.12	21.602205
6918_61317_000004_000001	To hold a community in sway, it was necessary to recognize officially the various gods worshipped by different sections, so as to secure the constant allegiance of all classes to their rulers.	To hold a community in sway, it was necessary to recognize officially the various gods worshipped by different sections, so as to secure the constant allegiance of all classes to their rulers.	true	73.34	84.85	19
6918_61317_000004_000002	Alien deities were therefore associated with local and tribal deities, those of the nomads with those of the agriculturists, those of the unlettered folks with those of the learned people.	Alien deities were therefore associated with local and tribal deities, those of the nomads with those of the agriculturists, those of the unlettered folks with those of the learned people.	false	85.4	95.59	20.833172
6918_61317_000004_000003	Reference has been made to the introduction of strange deities by conquerors.	Reference has been made to the introduction of strange deities by conquerors.	true	96.23	100.42	21
6918_61317_000004_000004	But these were not always imposed upon a community by violent means.	But these were not always imposed upon a community by violent means.	true	100.88	104.98	20.279253
6918_61317_000004_000005	Indications are not awanting that the worshippers of alien gods were sometimes welcomed and encouraged to settle in certain states.	Indications are not awanting that the worshippers of alien gods were sometimes welcomed and encouraged to settle in certain states.	false	105.35	112.66	18
6918_61317_000004_000006	When they came as military allies to assist a city folk against a fierce enemy, they were naturally much admired and praised, honoured by the women and the bards, and rewarded by the rulers.	When they came as military allies to assist a city folk against a fierce enemy, they were naturally much admired and praised, honoured by the women and the bards, and rewarded by the rulers.	true	113.09	125.2	21.35453
6918_61317_000005_000000	In the epic of Gilgamesh, the Babylonian Hercules, we meet with Ea-bani, a Goliath of the wilds, who is entreated to come to the aid of the besieged city of Erech when it seemed that its deities were unable to help the people against their enemies.	In the epic of Gilgamesh, the Babylonian Hercules, we meet with Ea bani, a Goliath of the wilds, who is entreated to come to the aid of the besieged city of Erech when it seemed that its deities were unable to help the people against their enemies.	false	126.35	142.8	24.23387
6918_61317_000006_000000	The gods of walled-round Erech To flies had turned and buzzed in the streets; The winged bulls of walled-round Erech Were turned to mice and departed through the holes.	The gods of walled round Erech To flies had turned and buzzed in the streets; The winged bulls of walled round Erech Were turned to mice and departed through the holes.	false	142.8	155.94	21.232773
6918_61317_000007_000000	Ea-bani was attracted to Erech by the gift of a fair woman for wife. The poet who lauded him no doubt mirrored public opinion.	Ea bani was attracted to Erech by the gift of a fair woman for wife. The poet who lauded him no doubt mirrored public opinion.	true	155.94	163.45	20.342491
6918_61317_000007_000001	We can see the slim, shaven Sumerians gazing with wonder and admiration on their rough heroic ally.	We can see the slim, shaven Sumerians gazing with wonder and admiration on their rough heroic ally.	false	163.76	172.08	21.891558
6918_61317_000008_000000	All his body was covered with hair, His locks were like a woman's, Thick as corn grew his abundant hair. He was a stranger to the people and in that land. Clad in a garment like Gira, the god, He had eaten grass with the gazelles, He had drunk water with savage beasts. His delight was to be among water dwellers.	All his body was covered with hair, His locks were like a woman's, Thick as corn grew his abundant hair. He was a stranger to the people and in that land. Clad in a garment like Gira, the god, He had eaten grass with the gazelles, He had drunk water with savage beasts. His delight was to be among water dwellers.	false	172.08	192.42	22.179193
6918_61317_000009_000000	Like the giant Alban, the eponymous ancestor of a people who invaded prehistoric Britain, Ea-bani appears to have represented in Babylonian folk legends a certain type of foreign settlers in the land.	Like the giant Alban, the eponymous ancestor of a people who invaded prehistoric Britain, Ea bani appears to have represented in Babylonian folk legends a certain type of foreign settlers in the land.	true	192.42	203.86	20
6918_61317_000009_000001	No doubt the city dwellers, who were impressed by the prowess of the hairy and powerful warriors, were also ready to acknowledge the greatness of their war gods, and to admit them into the pantheon.	No doubt the city dwellers, who were impressed by the prowess of the hairy and powerful warriors, were also ready to acknowledge the greatness of their war gods, and to admit them into the pantheon.	true	204.2	214.54	19
6918_61317_000009_000002	The fusion of beliefs which followed must have stimulated thought and been productive of speculative ideas.	The fusion of beliefs which followed must have stimulated thought and been productive of speculative ideas.	false	215.39	222.21	21.662954
6918_61317_000009_000003	"Nowhere", remarks Professor Jastrow, "does a high form of culture arise without the commingling of diverse ethnic elements."	"Nowhere", remarks Professor Jastrow, "does a high form of culture arise without the commingling of diverse ethnic elements."	false	222.21	232.89	19.840563
6918_61317_000010_000000	We must also take into account the influence exercised by leaders of thought like En-we-dur-an-ki, the famous high priest of Sippar, whose piety did much to increase the reputation of the cult of Shamesh, the sun god.	We must also take into account the influence exercised by leaders of thought like En we dur an ki, the famous high priest of Sippar, whose piety did much to increase the reputation of the cult of Shamesh, the sun god.	false	232.89	245.68	21
6918_61317_000010_000001	The teachings and example of Buddha, for instance, revolutionized Brahmanic religion in India.	The teachings and example of Buddha, for instance, revolutionized Brahmanic religion in India.	true	246.02	251.89	22
6918_61317_000011_000000	A mythology was an attempt to solve the riddle of the Universe, and to adjust the relations of mankind with the various forces represented by the deities.	A mythology was an attempt to solve the riddle of the Universe, and to adjust the relations of mankind with the various forces represented by the deities.	true	253.01	261.49	18
6918_61317_000011_000001	The priests systematized existing folk beliefs and established an official religion.	The priests systematized existing folk beliefs and established an official religion.	true	262.25	267.73	24.0373
6918_61317_000011_000002	To secure the prosperity of the State, it was considered necessary to render homage unto whom homage was due at various seasons and under various circumstances.	To secure the prosperity of the State, it was considered necessary to render homage unto whom homage was due at various seasons and under various circumstances.	true	268.52	276.94	19
6918_61317_000012_000000	The religious attitude of a particular community, therefore, must have been largely dependent on its needs and experiences.	The religious attitude of a particular community, therefore, must have been largely dependent on its needs and experiences.	true	278.18	285.4	21
6918_61317_000012_000001	The food supply was a first consideration.	The food supply was a first consideration.	true	285.65	288.28	22.209389
6918_61317_000012_000002	At Eridu, as we have seen, it was assured by devotion to Ea and obedience to his commands as an instructor. Elsewhere it might happen, however, that Ea's gifts were restricted or withheld by an obstructing force--the raging storm god, or the parching, pestilence-bringing deity of the sun.	At Eridu, as we have seen, it was assured by devotion to Ea and obedience to his commands as an instructor. Elsewhere it might happen, however, that Ea's gifts were restricted or withheld by an obstructing force-the raging storm god, or the parching, pestilence bringing deity of the sun	true	288.47	307.09	20.861235
6918_61317_000012_000003	It was necessary, therefore, for the people to win the favour of the god or goddess who seemed most powerful, and was accordingly considered to be the greatest in a particular district.	It was necessary, therefore, for the people to win the favour of the god or goddess who seemed most powerful, and was accordingly considered to be the greatest in a particular district.	true	307.55	317.14	21.55769
