5333_5083_000001_000000	It was on such a day, and such an occasion, that my timorous acquaintance and I were about to grace the board of the ruddy-faced host of the Black Bear, in the town of Darlington, and bishopric of Durham, when our landlord informed us, with a sort of apologetic tone, that there was a Scotch gentleman to dine with us.	It was on such a day, and such an occasion, that my timorous acquaintance and I were about to grace the board of the ruddy faced host of the Black Bear, in the town of Darlington, and bishopric of Durham, when our landlord informed us, with a sort of apologetic tone, that there was a Scotch gentleman to dine with us.
5333_5083_000002_000000	"A gentleman!--what sort of a gentleman?" said my companion somewhat hastily--his mind, I suppose, running on gentlemen of the pad, as they were then termed.	"A gentleman!--what sort of a gentleman?" said my companion somewhat hastily-his mind, I suppose, running on gentlemen of the pad, as they were then termed.
5333_5083_000004_000001	"I respect the Scotch, sir; I love and honour the nation for their sense of morality.	"I respect the Scotch, sir; I love and honour the nation for their sense of morality.
5333_5083_000004_000002	Men talk of their filth and their poverty: but commend me to sterling honesty, though clad in rags, as the poet saith.	Men talk of their filth and their poverty: but commend me to sterling honesty, though clad in rags, as the poet saith.
5333_5083_000008_000001	But thou kens I'm an outspoken Yorkshire tyke.	But thou kens I'm an outspoken Yorkshire tyke.
5333_5083_000011_000000	So saying, he eagerly whetted his knife, assumed his seat of empire at the head of the board, and loaded the plates of his sundry guests with his good cheer.	So saying, he eagerly whetted his knife, assumed his seat of empire at the head of the board, and loaded the plates of his sundry guests with his good cheer.
5333_5083_000012_000000	This was the first time I had heard the Scottish accent, or, indeed, that I had familiarly met with an individual of the ancient nation by whom it was spoken.	This was the first time I had heard the Scottish accent, or, indeed, that I had familiarly met with an individual of the ancient nation by whom it was spoken.
5333_5083_000012_000001	Yet, from an early period, they had occupied and interested my imagination.	Yet, from an early period, they had occupied and interested my imagination.
5333_5083_000012_000003	The quarrel betwixt him and his relatives was such, that he scarcely ever mentioned the race from which he sprung, and held as the most contemptible species of vanity, the weakness which is commonly termed family pride.	The quarrel betwixt him and his relatives was such, that he scarcely ever mentioned the race from which he sprung, and held as the most contemptible species of vanity, the weakness which is commonly termed family pride.
5333_5083_000012_000004	His ambition was only to be distinguished as William Osbaldistone, the first, at least one of the first, merchants on Change; and to have proved him the lineal representative of William the Conqueror would have far less flattered his vanity than the hum and bustle which his approach was wont to produce among the bulls, bears, and brokers of Stock-alley.	His ambition was only to be distinguished as William Osbaldistone, the first, at least one of the first, merchants on Change; and to have proved him the lineal representative of William the Conqueror would have far less flattered his vanity than the hum and bustle which his approach was wont to produce among the bulls, bears, and brokers of Stock alley.
5333_5083_000012_000006	But his designs, as will happen occasionally to the wisest, were, in some degree at least, counteracted by a being whom his pride would never have supposed of importance adequate to influence them in any way.	But his designs, as will happen occasionally to the wisest, were, in some degree at least, counteracted by a being whom his pride would never have supposed of importance adequate to influence them in any way.
5333_5083_000012_000007	His nurse, an old Northumbrian woman, attached to him from his infancy, was the only person connected with his native province for whom he retained any regard; and when fortune dawned upon him, one of the first uses which he made of her favours, was to give Mabel Rickets a place of residence within his household.	His nurse, an old Northumbrian woman, attached to him from his infancy, was the only person connected with his native province for whom he retained any regard; and when fortune dawned upon him, one of the first uses which he made of her favours, was to give Mabel Rickets a place of residence within his household.
5333_5083_000012_000009	Interdicted by her master from speaking to him on the subject of the heaths, glades, and dales of her beloved Northumberland, she poured herself forth to my infant ear in descriptions of the scenes of her youth, and long narratives of the events which tradition declared to have passed amongst them.	Interdicted by her master from speaking to him on the subject of the heaths, glades, and dales of her beloved Northumberland, she poured herself forth to my infant ear in descriptions of the scenes of her youth, and long narratives of the events which tradition declared to have passed amongst them.
5333_5083_000012_000011	D.--	D.--
5333_5083_000013_000000	Oh, the oak, the ash, and the bonny ivy tree, They flourish best at home in the North Countrie!	Oh, the oak, the ash, and the bonny ivy tree, They flourish best at home in the North Countrie!
5333_5083_000014_000000	Now, in the legends of Mabel, the Scottish nation was ever freshly remembered, with all the embittered declamation of which the narrator was capable.	Now, in the legends of Mabel, the Scottish nation was ever freshly remembered, with all the embittered declamation of which the narrator was capable.
5333_5083_000014_000001	The inhabitants of the opposite frontier served in her narratives to fill up the parts which ogres and giants with seven-leagued boots occupy in the ordinary nursery tales.	The inhabitants of the opposite frontier served in her narratives to fill up the parts which ogres and giants with seven leagued boots occupy in the ordinary nursery tales.
5333_5083_000014_000002	And how could it be otherwise?	And how could it be otherwise?
5333_5083_000014_000004	Was it not Wat the Devil, who drove all the year-old hogs off the braes of Lanthorn-side, in the very recent days of my grandfather's father?	Was it not Wat the Devil, who drove all the year old hogs off the braes of Lanthorn side, in the very recent days of my grandfather's father?
5333_5083_000014_000005	And had we not many a trophy, but, according to old Mabel's version of history, far more honourably gained, to mark our revenge of these wrongs?	And had we not many a trophy, but, according to old Mabel's version of history, far more honourably gained, to mark our revenge of these wrongs?
5333_5083_000014_000008	All our family renown was acquired--all our family misfortunes were occasioned--by the northern wars.	All our family renown was acquired-all our family misfortunes were occasioned-by the northern wars.
5333_5083_000015_000000	Warmed by such tales, I looked upon the Scottish people during my childhood, as a race hostile by nature to the more southern inhabitants of this realm; and this view of the matter was not much corrected by the language which my father sometimes held with respect to them.	Warmed by such tales, I looked upon the Scottish people during my childhood, as a race hostile by nature to the more southern inhabitants of this realm; and this view of the matter was not much corrected by the language which my father sometimes held with respect to them.
5333_5083_000015_000001	He had engaged in some large speculations concerning oak-woods, the property of Highland proprietors, and alleged, that he found them much more ready to make bargains, and extort earnest of the purchase-money, than punctual in complying on their side with the terms of the engagements.	He had engaged in some large speculations concerning oak woods, the property of Highland proprietors, and alleged, that he found them much more ready to make bargains, and extort earnest of the purchase money, than punctual in complying on their side with the terms of the engagements.
5333_5083_000015_000002	The Scottish mercantile men, whom he was under the necessity of employing as a sort of middle-men on these occasions, were also suspected by my father of having secured, by one means or other, more than their own share of the profit which ought to have accrued.	The Scottish mercantile men, whom he was under the necessity of employing as a sort of middle men on these occasions, were also suspected by my father of having secured, by one means or other, more than their own share of the profit which ought to have accrued.
5333_5083_000015_000004	In justification, or apology, for those who entertained such prejudices, I must remark, that the Scotch of that period were guilty of similar injustice to the English, whom they branded universally as a race of purse-proud arrogant epicures.	In justification, or apology, for those who entertained such prejudices, I must remark, that the Scotch of that period were guilty of similar injustice to the English, whom they branded universally as a race of purse proud arrogant epicures.
5333_5083_000015_000005	Such seeds of national dislike remained between the two countries, the natural consequences of their existence as separate and rival states.	Such seeds of national dislike remained between the two countries, the natural consequences of their existence as separate and rival states.
