4425_14497_000000_000000	'I said she was not immoral.	'I said she was not immoral.	false	0	1.98	25.03429
4425_14497_000000_000001	I was wrong.	I was wrong.	false	1.98	2.97	24
4425_14497_000000_000002	She said she could cook.	She said she could cook.	false	2.97	4.62	17.653683
4425_14497_000000_000003	That showed premeditated sin.	That showed premeditated sin.	false	4.62	5.94	24.347631
4425_14497_000000_000004	Oh, Binkie, if you are a man you will go to perdition; but if you are a woman, and say that you can cook, you will go to a much worse place.'	Oh, Binkie, if you are a man you will go to perdition; but if you are a woman, and say that you can cook, you will go to a much worse place.'	false	5.94	21.555	23.935513
4425_14497_000001_000000	CHAPTER X	CHAPTER ten	true	21.555	22.89	23.766483
4425_14497_000002_000000	What's you that follows at my side?-- The foe that ye must fight, my lord.-- That hirples swift as I can ride?-- The shadow of the night, my lord.-- Then wheel my horse against the foe!-- He's down and overpast, my lord.	What's you that follows at my side?-- The foe that ye must fight, my lord.-- That hirples swift as I can ride?-- The shadow of the night, my lord.-- Then wheel my horse against the foe!-- He's down and overpast, my lord.	false	22.89	38.4	21.974049
4425_14497_000003_000000	Ye war against the sunset glow; The darkness gathers fast, my lord.	Ye war against the sunset glow; The darkness gathers fast, my lord.	false	38.4	44.11	21.71916
4425_14497_000004_000000	--The Fight of Heriot's Ford. 'THIS is a cheerful life,' said Dick, some days later.	--The Fight of Heriot's Ford. 'THIS is a cheerful life,' said Dick, some days later.	true	44.39	50.47	20.708822
4425_14497_000004_000001	'Torp's away; Bessie hates me; I can't get at the notion of the Melancolia; Maisie's letters are scrappy; and I believe I have indigestion.	'Torp's away; Bessie hates me; I can't get at the notion of the Melancolia; Maisie's letters are scrappy; and I believe I have indigestion.	true	50.57	60.49	24.779203
4425_14497_000004_000002	What give a man pains across the head and spots before his eyes, Binkie?	What give a man pains across the head and spots before his eyes, Binkie?	true	60.71	65.05	25.991095
4425_14497_000004_000003	Shall us take some liver pills?'	Shall us take some liver pills?'	true	65.36	67.93	25.6056
4425_14497_000005_000000	Dick had just gone through a lively scene with Bessie.	Dick had just gone through a lively scene with Bessie.	false	68.06	70.92	29.387575
4425_14497_000005_000001	She had for the fiftieth time reproached him for sending Torpenhow away.	She had for the fiftieth time reproached him for sending Torpenhow away.	false	70.92	76.09	22.920095
