4425_14497_000001_000000	CHAPTER X	CHAPTER ten
4425_14497_000004_000000	--The Fight of Heriot's Ford. 'THIS is a cheerful life,' said Dick, some days later.	--The Fight of Heriot's Ford. 'THIS is a cheerful life,' said Dick, some days later.
4425_14497_000004_000001	'Torp's away; Bessie hates me; I can't get at the notion of the Melancolia; Maisie's letters are scrappy; and I believe I have indigestion.	'Torp's away; Bessie hates me; I can't get at the notion of the Melancolia; Maisie's letters are scrappy; and I believe I have indigestion.
4425_14497_000004_000002	What give a man pains across the head and spots before his eyes, Binkie?	What give a man pains across the head and spots before his eyes, Binkie?
4425_14497_000004_000003	Shall us take some liver pills?'	Shall us take some liver pills?'
4425_14497_000005_000002	She explained her enduring hatred for Dick, and made it clear to him that she only sat for the sake of his money.	She explained her enduring hatred for Dick, and made it clear to him that she only sat for the sake of his money.
4425_14497_000005_000003	'And Mr. Torpenhow's ten times a better man than you,' she concluded.	'And mr Torpenhow's ten times a better man than you,' she concluded.
4425_14497_000006_000001	That's why he went away.	That's why he went away.
4425_14497_000007_000001	'To me!	'To me!
4425_14497_000007_000002	I'd like to catch you!	I'd like to catch you!
4425_14497_000009_000000	Dick smiled wearily.	Dick smiled wearily.
4425_14497_000009_000001	It is not pleasant to live in the company of a notion that will not work out, a fox-terrier that cannot talk, and a woman who talks too much.	It is not pleasant to live in the company of a notion that will not work out, a fox terrier that cannot talk, and a woman who talks too much.
4425_14497_000009_000002	He would have answered, but at that moment there unrolled itself from one corner of the studio a veil, as it were, of the flimsiest gauze.	He would have answered, but at that moment there unrolled itself from one corner of the studio a veil, as it were, of the flimsiest gauze.
4425_14497_000009_000003	He rubbed his eyes, but the gray haze would not go.	He rubbed his eyes, but the gray haze would not go.
4425_14497_000010_000001	Binkie, we will go to a medicine-man. We can't have our eyes interfered with, for by these we get our bread; also mutton-chop bones for little dogs.'	Binkie, we will go to a medicine man. We can't have our eyes interfered with, for by these we get our bread; also mutton chop bones for little dogs.'
4425_14497_000011_000000	The doctor was an affable local practitioner with white hair, and he said nothing till Dick began to describe the gray film in the studio.	The doctor was an affable local practitioner with white hair, and he said nothing till Dick began to describe the gray film in the studio.
4425_14497_000012_000000	'We all want a little patching and repairing from time to time,' he chirped.	'We all want a little patching and repairing from time to time,' he chirped.
4425_14497_000012_000001	'Like a ship, my dear sir,--exactly like a ship.	'Like a ship, my dear sir,--exactly like a ship.
4425_14497_000012_000004	A little patching and repairing from time to time is all we want.	A little patching and repairing from time to time is all we want.
4425_14497_000012_000005	An oculist, by all means.'	An oculist, by all means.'
4425_14497_000013_000000	Dick sought an oculist,--the best in London.	Dick sought an oculist,--the best in London.
4425_14497_000014_000000	'I've neglected the warnings of my lord the stomach too long.	'I've neglected the warnings of my lord the stomach too long.
4425_14497_000014_000001	Hence these spots before the eyes, Binkie.	Hence these spots before the eyes, Binkie.
4425_14497_000014_000002	I can see as well as I ever could.'	I can see as well as I ever could.'
4425_14497_000015_000000	As he entered the dark hall that led to the consulting-room a man cannoned against him.	As he entered the dark hall that led to the consulting room a man cannoned against him.
4425_14497_000015_000001	Dick saw the face as it hurried out into the street.	Dick saw the face as it hurried out into the street.
4425_14497_000016_000000	'That's the writer-type.	'That's the writer type.
4425_14497_000016_000001	He has the same modelling of the forehead as Torp.	He has the same modelling of the forehead as Torp.
4425_14497_000016_000002	He looks very sick.	He looks very sick.
4425_14497_000016_000003	Probably heard something he didn't like.'	Probably heard something he didn't like.'
4425_14497_000017_000000	Even as he thought, a great fear came upon Dick, a fear that made him hold his breath as he walked into the oculist's waiting room, with the heavy carved furniture, the dark-green paper, and the sober-hued prints on the wall.	Even as he thought, a great fear came upon Dick, a fear that made him hold his breath as he walked into the oculist's waiting room, with the heavy carved furniture, the dark green paper, and the sober hued prints on the wall.
4425_14497_000017_000001	He recognised a reproduction of one of his own sketches.	He recognised a reproduction of one of his own sketches.
4425_14497_000018_000000	Many people were waiting their turn before him.	Many people were waiting their turn before him.
4425_14497_000018_000001	His eye was caught by a flaming red-and-gold Christmas-carol book.	His eye was caught by a flaming red and gold Christmas carol book.
4425_14497_000018_000002	Little children came to that eye-doctor, and they needed large-type amusement.	Little children came to that eye doctor, and they needed large type amusement.
4425_14497_000019_000000	'That's idolatrous bad Art,' he said, drawing the book towards himself.	'That's idolatrous bad Art,' he said, drawing the book towards himself.
4425_14497_000021_000000	The next good joy that Mary had, It was the joy of three, To see her good Son Jesus Christ Making the blind to see; Making the blind to see, good Lord, And happy we may be.	The next good joy that Mary had, It was the joy of three, To see her good Son Jesus Christ Making the blind to see; Making the blind to see, good Lord, And happy we may be.
4425_14497_000022_000000	Praise Father, Son, and Holy Ghost To all eternity! Dick read and re-read the verse till his turn came, and the doctor was bending above him seated in an arm-chair.	Praise Father, Son, and Holy Ghost To all eternity! Dick read and re read the verse till his turn came, and the doctor was bending above him seated in an arm chair.
4425_14497_000022_000002	The doctor's hand touched the scar of the sword-cut on Dick's head, and Dick explained briefly how he had come by it.	The doctor's hand touched the scar of the sword cut on Dick's head, and Dick explained briefly how he had come by it.
4425_14497_000022_000003	When the flame was removed, Dick saw the doctor's face, and the fear came upon him again.	When the flame was removed, Dick saw the doctor's face, and the fear came upon him again.
4425_14497_000022_000004	The doctor wrapped himself in a mist of words.	The doctor wrapped himself in a mist of words.
4425_14497_000023_000000	'Verdict?' he said faintly.	'Verdict?' he said faintly.
4425_14497_000023_000002	What do you make of it?'	What do you make of it?'
4425_14497_000024_000000	Again the whirl of words, but this time they conveyed a meaning.	Again the whirl of words, but this time they conveyed a meaning.
4425_14497_000025_000000	'Can you give me anything to drink?'	'Can you give me anything to drink?'
4425_14497_000026_000000	Many sentences were pronounced in that darkened room, and the prisoners often needed cheering.	Many sentences were pronounced in that darkened room, and the prisoners often needed cheering.
4425_14497_000026_000001	Dick found a glass of liqueur brandy in his hand.	Dick found a glass of liqueur brandy in his hand.
4425_14497_000027_000000	'As far as I can gather,' he said, coughing above the spirit, 'you call it decay of the optic nerve, or something, and therefore hopeless.	'As far as I can gather,' he said, coughing above the spirit, 'you call it decay of the optic nerve, or something, and therefore hopeless.
4425_14497_000027_000001	What is my time-limit, avoiding all strain and worry?'	What is my time limit, avoiding all strain and worry?'
4425_14497_000028_000000	'Perhaps one year.'	'Perhaps one year.'
4425_14497_000029_000001	And if I don't take care of myself?'	And if I don't take care of myself?'
4425_14497_000030_000000	'I really could not say.	'I really could not say.
4425_14497_000030_000001	One cannot ascertain the exact amount of injury inflicted by the sword-cut.	One cannot ascertain the exact amount of injury inflicted by the sword cut.
4425_14497_000030_000002	The scar is an old one, and--exposure to the strong light of the desert, did you say?--with excessive application to fine work?	The scar is an old one, and-exposure to the strong light of the desert, did you say?--with excessive application to fine work?
4425_14497_000030_000003	I really could not say?'	I really could not say?'
4425_14497_000031_000000	'I beg your pardon, but it has come without any warning.	'I beg your pardon, but it has come without any warning.
4425_14497_000031_000001	If you will let me, I'll sit here for a minute, and then I'll go.	If you will let me, I'll sit here for a minute, and then I'll go.
4425_14497_000034_000000	'We've got it very badly, little dog!	'We've got it very badly, little dog!
4425_14497_000034_000001	Just as badly as we can get it. We'll go to the Park to think it out.'	Just as badly as we can get it. We'll go to the Park to think it out.'
4425_14497_000035_000000	They headed for a certain tree that Dick knew well, and they sat down to thin, because his legs were trembling under him and there was cold fear at the pit of his stomach.	They headed for a certain tree that Dick knew well, and they sat down to thin, because his legs were trembling under him and there was cold fear at the pit of his stomach.
4425_14497_000036_000000	'How could it have come without any warning?	'How could it have come without any warning?
4425_14497_000036_000002	It's the living death, Binkie.	It's the living death, Binkie.
4425_14497_000036_000004	'Binkie, we must think.	'Binkie, we must think.
4425_14497_000036_000005	Let's see how it feels to be blind.' Dick shut his eyes, and flaming commas and Catherine-wheels floated inside the lids.	Let's see how it feels to be blind.' Dick shut his eyes, and flaming commas and Catherine wheels floated inside the lids.
4425_14497_000036_000006	Yet when he looked across the Park the scope of his vision was not contracted.	Yet when he looked across the Park the scope of his vision was not contracted.
4425_14497_000036_000007	He could see perfectly, until a procession of slow-wheeling fireworks defiled across his eyeballs.	He could see perfectly, until a procession of slow wheeling fireworks defiled across his eyeballs.
4425_14497_000037_000000	'Little dorglums, we aren't at all well.	'Little dorglums, we aren't at all well.
4425_14497_000037_000001	Let's go home.	Let's go home.
4425_14497_000037_000002	If only Torp were back, now!'	If only Torp were back, now!'
4425_14497_000038_000001	His letters were brief and full of mystery.	His letters were brief and full of mystery.
4425_14497_000039_000001	He argued, in the loneliness of his studio, henceforward to be decorated with a film of gray gauze in one corner, that, if his fate were blindness, all the Torpenhows in the world could not save him.	He argued, in the loneliness of his studio, henceforward to be decorated with a film of gray gauze in one corner, that, if his fate were blindness, all the Torpenhows in the world could not save him.
4425_14497_000039_000002	'I can't call him off his trip to sit down and sympathise with me.	'I can't call him off his trip to sit down and sympathise with me.
4425_14497_000039_000003	I must pull through this business alone,' he said.	I must pull through this business alone,' he said.
4425_14497_000039_000004	He was lying on the sofa, eating his moustache and wondering what the darkness of the night would be like.	He was lying on the sofa, eating his moustache and wondering what the darkness of the night would be like.
4425_14497_000039_000006	Looking down, he saw that his life-blood was going from him.	Looking down, he saw that his life blood was going from him.
4425_14497_000039_000007	The stupid bewilderment on his face was so intensely comic that both Dick and Torpenhow, still panting and unstrung from a fight for life, had roared with laughter, in which the man seemed as if he would join, but, as his lips parted in a sheepish grin, the agony of death came upon him, and he pitched grunting at their feet.	The stupid bewilderment on his face was so intensely comic that both Dick and Torpenhow, still panting and unstrung from a fight for life, had roared with laughter, in which the man seemed as if he would join, but, as his lips parted in a sheepish grin, the agony of death came upon him, and he pitched grunting at their feet.
4425_14497_000039_000008	Dick laughed again, remembering the horror.	Dick laughed again, remembering the horror.
4425_14497_000039_000009	It seemed so exactly like his own case.	It seemed so exactly like his own case.
4425_14497_000040_000000	'But I have a little more time allowed me,' he said.	'But I have a little more time allowed me,' he said.
4425_14497_000040_000001	He paced up and down the room, quietly at first, but afterwards with the hurried feet of fear.	He paced up and down the room, quietly at first, but afterwards with the hurried feet of fear.
4425_14497_000040_000002	It was as though a black shadow stood at his elbow and urged him to go forward; and there were only weaving circles and floating pin-dots before his eyes.	It was as though a black shadow stood at his elbow and urged him to go forward; and there were only weaving circles and floating pin dots before his eyes.
4425_14497_000041_000000	'We need to be calm, Binkie; we must be calm.' He talked aloud for the sake of distraction.	'We need to be calm, Binkie; we must be calm.' He talked aloud for the sake of distraction.
4425_14497_000041_000003	We must do something.	We must do something.
4425_14497_000041_000004	Our time is short.	Our time is short.
4425_14497_000041_000005	I shouldn't have believed that this morning; but now things are different.	I shouldn't have believed that this morning; but now things are different.
