7139_75360_000000_000000	CHAPTER VI	CHAPTER six	false	1.5	16.95	22.086739
7139_75360_000001_000000	FREE SOCIETY	FREE SOCIETY	false	16.95	19.44	22.17565
7139_75360_000002_000000	[Sidenote: Primacy of nature over spirit.]	[Sidenote: Primacy of nature over spirit.]	true	19.44	22.99	23.449234
7139_75360_000003_000000	Natural society unites beings in time and space; it fixes affection on those creatures on which we depend and to which our action must be adapted.	Natural society unites beings in time and space; it fixes affection on those creatures on which we depend and to which our action must be adapted.	false	23.9	34.54	22.535244
7139_75360_000003_000001	Natural society begins at home and radiates over the world, as more and more things become tributary to our personal being.	Natural society begins at home and radiates over the world, as more and more things become tributary to our personal being.	true	35.09	44.38	20.90043
7139_75360_000003_000002	In marriage and the family, in industry, government, and war, attention is riveted on temporal existences, on the fortunes of particular bodies, natural or corporate.	In marriage and the family, in industry, government, and war, attention is riveted on temporal existences, on the fortunes of particular bodies, natural or corporate.	true	45.23	59.53	22.822893
7139_75360_000003_000003	There is then a primacy of nature over spirit in social life; and this primacy, in a certain sense, endures to the end, since all spirit must be the spirit of something, and reason could not exist or be conceived at all unless a material organism, personal or social, lay beneath to give thought an occasion and a point of view, and to give preference a direction.	There is then a primacy of nature over spirit in social life; and this primacy, in a certain sense, endures to the end, since all spirit must be the spirit of something, and reason could not exist or be conceived at all unless a material organism, personal or social, lay beneath to give thought an occasion and a point of view, and to give preference a direction.	false	61.22	86.74	22.393494
7139_75360_000003_000004	Things could not be near or far, worse or better, unless a definite life were taken as a standard, a life lodged somewhere in space and time.	Things could not be near or far, worse or better, unless a definite life were taken as a standard, a life lodged somewhere in space and time.	true	88.31	99.55	24.441751
7139_75360_000003_000005	Reason is a principle of order appearing in a subject-matter which in its subsistence and quantity must be an irrational datum.	Reason is a principle of order appearing in a subject matter which in its subsistence and quantity must be an irrational datum.	true	100.91	109.12	23.416136
7139_75360_000003_000006	Reason expresses purpose, purpose expresses impulse, and impulse expresses a natural body with self-equilibrating powers.	Reason expresses purpose, purpose expresses impulse, and impulse expresses a natural body with self equilibrating powers.	true	109.85	119.92	23.886265
7139_75360_000004_000000	At the same time, natural growths may be called achievements only because, when formed, they support a joyful and liberal experience. Nature's works first acquire a meaning in the commentaries they provoke; mechanical processes have interesting climaxes only from the point of view of the life that expresses them, in which their ebb and flow grows impassioned and vehement.	At the same time, natural growths may be called achievements only because, when formed, they support a joyful and liberal experience. Nature's works first acquire a meaning in the commentaries they provoke; mechanical processes have interesting climaxes only from the point of view of the life that expresses them, in which their ebb and flow grows impassioned and vehement.	true	121.22	145.48	23.61448
