1958_144503_000003_000001	Mr. MICAWBER'S TRANSACTIONS	mr MICAWBER'S TRANSACTIONS
1958_144503_000004_000004	As it was, an interval occurred before I fully knew my own distress; an interval, in which I even supposed that its sharpest pangs were past; and when my mind could soothe itself by resting on all that was most innocent and beautiful, in the tender story that was closed for ever.	As it was, an interval occurred before I fully knew my own distress; an interval, in which I even supposed that its sharpest pangs were past; and when my mind could soothe itself by resting on all that was most innocent and beautiful, in the tender story that was closed for ever.
1958_144503_000008_000000	I was to go abroad.	I was to go abroad.
1958_144503_000013_000000	'Madam, you do us a great deal of honour,' he rejoined.	'Madam, you do us a great deal of honour,' he rejoined.
1958_144503_000015_000000	'Madam,' he replied, 'Mrs.	'Madam,' he replied, 'mrs
1958_144503_000020_000001	'Mrs.	'mrs
1958_144503_000024_000000	'No doubt.	'No doubt.
1958_144503_000027_000000	'Mr.	'mr
1958_144503_000031_000002	If so, that is their misfortune.	If so, that is their misfortune.
1958_144503_000032_000001	All I would say is, that I can go abroad without your family coming forward to favour me,--in short, with a parting Shove of their cold shoulders; and that, upon the whole, I would rather leave England with such impetus as I possess, than derive any acceleration of it from that quarter.	All I would say is, that I can go abroad without your family coming forward to favour me,--in short, with a parting Shove of their cold shoulders; and that, upon the whole, I would rather leave England with such impetus as I possess, than derive any acceleration of it from that quarter.
1958_144503_000032_000002	At the same time, my dear, if they should condescend to reply to your communications--which our joint experience renders most improbable--far be it from me to be a barrier to your wishes.'	At the same time, my dear, if they should condescend to reply to your communications-which our joint experience renders most improbable-far be it from me to be a barrier to your wishes.'
1958_144503_000034_000000	'My dear Copperfield,' said Traddles, leaning back in his chair when they were gone, and looking at me with an affection that made his eyes red, and his hair all kinds of shapes, 'I don't make any excuse for troubling you with business, because I know you are deeply interested in it, and it may divert your thoughts.	'My dear Copperfield,' said Traddles, leaning back in his chair when they were gone, and looking at me with an affection that made his eyes red, and his hair all kinds of shapes, 'I don't make any excuse for troubling you with business, because I know you are deeply interested in it, and it may divert your thoughts.
1958_144503_000035_000000	'I am quite myself,' said I, after a pause.	'I am quite myself,' said I, after a pause.
1958_144503_000037_000000	'But even that is not all,' said I. 'During the last fortnight, some new trouble has vexed her; and she has been in and out of London every day. Several times she has gone out early, and been absent until evening. Last night, Traddles, with this journey before her, it was almost midnight before she came home.	'But even that is not all,' said i 'During the last fortnight, some new trouble has vexed her; and she has been in and out of London every day. Several times she has gone out early, and been absent until evening. Last night, Traddles, with this journey before her, it was almost midnight before she came home.
1958_144503_000040_000000	'I must do Mr. Micawber the justice to say,' Traddles began, 'that although he would appear not to have worked to any good account for himself, he is a most untiring man when he works for other people.	'I must do mr Micawber the justice to say,' Traddles began, 'that although he would appear not to have worked to any good account for himself, he is a most untiring man when he works for other people.
1958_144503_000040_000001	I never saw such a fellow.	I never saw such a fellow.
1958_144503_000040_000002	If he always goes on in the same way, he must be, virtually, about two hundred years old, at present.	If he always goes on in the same way, he must be, virtually, about two hundred years old, at present.
1958_144503_000040_000003	The heat into which he has been continually putting himself; and the distracted and impetuous manner in which he has been diving, day and night, among papers and books; to say nothing of the immense number of letters he has written me between this house and Mr. Wickfield's, and often across the table when he has been sitting opposite, and might much more easily have spoken; is quite extraordinary.'	The heat into which he has been continually putting himself; and the distracted and impetuous manner in which he has been diving, day and night, among papers and books; to say nothing of the immense number of letters he has written me between this house and mr Wickfield's, and often across the table when he has been sitting opposite, and might much more easily have spoken; is quite extraordinary.'
1958_144503_000043_000001	Trot, you know it.'	Trot, you know it.'
1958_144503_000044_000000	'I am happy to say, Miss Wickfield,' pursued Traddles, at once with great delicacy and with great earnestness, 'that in your absence Mr. Wickfield has considerably improved.	'I am happy to say, Miss Wickfield,' pursued Traddles, at once with great delicacy and with great earnestness, 'that in your absence mr Wickfield has considerably improved.
1958_144503_000044_000002	At times, even his impaired power of concentrating his memory and attention on particular points of business, has recovered itself very much; and he has been able to assist us in making some things clear, that we should have found very difficult indeed, if not hopeless, without him.	At times, even his impaired power of concentrating his memory and attention on particular points of business, has recovered itself very much; and he has been able to assist us in making some things clear, that we should have found very difficult indeed, if not hopeless, without him.
1958_144503_000050_000001	Dear Mr. Traddles and dear Trotwood, papa once free with honour, what could I wish for!	Dear mr Traddles and dear Trotwood, papa once free with honour, what could I wish for!
1958_144503_000052_000003	So many people know me here, and think kindly of me, that I am certain.	So many people know me here, and think kindly of me, that I am certain.
1958_144503_000054_000000	'Next, Miss Trotwood,' said Traddles, 'that property of yours.'	'Next, Miss Trotwood,' said Traddles, 'that property of yours.'
1958_144503_000055_000001	'All I have got to say about it is, that if it's gone, I can bear it; and if it's not gone, I shall be glad to get it back.'	'All I have got to say about it is, that if it's gone, I can bear it; and if it's not gone, I shall be glad to get it back.'
1958_144503_000060_000000	'Five thousand pounds,' said Traddles.	'Five thousand pounds,' said Traddles.
1958_144503_000061_000002	One, I paid for your articles, Trot, my dear; and the other two I have by me. When I lost the rest, I thought it wise to say nothing about that sum, but to keep it secretly for a rainy day.	One, I paid for your articles, Trot, my dear; and the other two I have by me. When I lost the rest, I thought it wise to say nothing about that sum, but to keep it secretly for a rainy day.
1958_144503_000064_000000	'Don't congratulate me, anybody!' exclaimed my aunt.	'Don't congratulate me, anybody!' exclaimed my aunt.
1958_144503_000067_000000	'And indeed,' said Traddles, 'it was sold, by virtue of the power of management he held from you; but I needn't say by whom sold, or on whose actual signature.	'And indeed,' said Traddles, 'it was sold, by virtue of the power of management he held from you; but I needn't say by whom sold, or on whose actual signature.
1958_144503_000067_000001	It was afterwards pretended to Mr. Wickfield, by that rascal,--and proved, too, by figures,--that he had possessed himself of the money (on general instructions, he said) to keep other deficiencies and difficulties from the light.	It was afterwards pretended to mr Wickfield, by that rascal,--and proved, too, by figures,--that he had possessed himself of the money (on general instructions, he said) to keep other deficiencies and difficulties from the light.
1958_144503_000067_000002	Mr. Wickfield, being so weak and helpless in his hands as to pay you, afterwards, several sums of interest on a pretended principal which he knew did not exist, made himself, unhappily, a party to the fraud.'	mr Wickfield, being so weak and helpless in his hands as to pay you, afterwards, several sums of interest on a pretended principal which he knew did not exist, made himself, unhappily, a party to the fraud.'
1958_144503_000068_000001	Upon which I paid him a visit early one morning, called for a candle, burnt the letter, and told him if he ever could right me and himself, to do it; and if he couldn't, to keep his own counsel for his daughter's sake.---If anybody speaks to me, I'll leave the house!'	Upon which I paid him a visit early one morning, called for a candle, burnt the letter, and told him if he ever could right me and himself, to do it; and if he couldn't, to keep his own counsel for his daughter's sake.---If anybody speaks to me, I'll leave the house!'
1958_144503_000071_000000	'Why, the fact is,' returned Traddles, 'Mr.	'Why, the fact is,' returned Traddles, 'mr
1958_144503_000071_000001	Micawber had so completely hemmed him in, and was always ready with so many new points if an old one failed, that he could not escape from us.	Micawber had so completely hemmed him in, and was always ready with so many new points if an old one failed, that he could not escape from us.
1958_144503_000071_000003	He said so to me, plainly.	He said so to me, plainly.
1958_144503_000072_000000	'Ha!' said my aunt, knitting her brows thoughtfully, and glancing at Agnes. 'And what's become of him?'	'Ha!' said my aunt, knitting her brows thoughtfully, and glancing at Agnes. 'And what's become of him?'
1958_144503_000073_000000	'I don't know.	'I don't know.
1958_144503_000073_000003	He seemed to consider himself hardly less indebted to me, than to Mr. Micawber; which I consider (as I told him) quite a compliment.'	He seemed to consider himself hardly less indebted to me, than to mr Micawber; which I consider (as I told him) quite a compliment.'
1958_144503_000075_000003	He is such an incarnate hypocrite, that whatever object he pursues, he must pursue crookedly.	He is such an incarnate hypocrite, that whatever object he pursues, he must pursue crookedly.
1958_144503_000075_000005	Always creeping along the ground to some small end or other, he will always magnify every object in the way; and consequently will hate and suspect everybody that comes, in the most innocent manner, between him and it.	Always creeping along the ground to some small end or other, he will always magnify every object in the way; and consequently will hate and suspect everybody that comes, in the most innocent manner, between him and it.
1958_144503_000077_000000	'Really I don't know about that,' observed Traddles thoughtfully.	'Really I don't know about that,' observed Traddles thoughtfully.
1958_144503_000083_000000	'Well!	'Well!
1958_144503_000084_000000	'Yes, but I don't know when they may be proceeded on, or where they are,' rejoined Traddles, opening his eyes; 'and I anticipate, that, between this time and his departure, Mr. Micawber will be constantly arrested, or taken in execution.'	'Yes, but I don't know when they may be proceeded on, or where they are,' rejoined Traddles, opening his eyes; 'and I anticipate, that, between this time and his departure, mr Micawber will be constantly arrested, or taken in execution.'
1958_144503_000085_000001	'What's the amount altogether?'	'What's the amount altogether?'
1958_144503_000086_000000	'Why, Mr. Micawber has entered the transactions--he calls them transactions--with great form, in a book,' rejoined Traddles, smiling; 'and he makes the amount a hundred and three pounds, five.'	'Why, mr Micawber has entered the transactions-he calls them transactions-with great form, in a book,' rejoined Traddles, smiling; 'and he makes the amount a hundred and three pounds, five.'
1958_144503_000087_000002	What should it be?	What should it be?
1958_144503_000087_000003	Five hundred pounds?'	Five hundred pounds?'
1958_144503_000088_000001	We both recommended a small sum in money, and the payment, without stipulation to Mr. Micawber, of the Uriah claims as they came in.	We both recommended a small sum in money, and the payment, without stipulation to mr Micawber, of the Uriah claims as they came in.
1958_144503_000088_000003	To this, I added the suggestion, that I should give some explanation of his character and history to Mr. Peggotty, who I knew could be relied on; and that to Mr. Peggotty should be quietly entrusted the discretion of advancing another hundred.	To this, I added the suggestion, that I should give some explanation of his character and history to mr Peggotty, who I knew could be relied on; and that to mr Peggotty should be quietly entrusted the discretion of advancing another hundred.
1958_144503_000094_000000	'There was--pardon me--really such a person, and at all in his power?' hinted Traddles.	'There was-pardon me-really such a person, and at all in his power?' hinted Traddles.
1958_144503_000097_000001	'You are quite right,' she said.	'You are quite right,' she said.
1958_144503_000099_000004	And don't any of you speak to me!' With that she smoothed her dress, and sat, with her upright carriage, looking at the door.	And don't any of you speak to me!' With that she smoothed her dress, and sat, with her upright carriage, looking at the door.
1958_144503_000101_000002	We, being quite prepared for this event, which was of course a proceeding of Uriah Heep's, soon paid the money; and in five minutes more Mr. Micawber was seated at the table, filling up the stamps with an expression of perfect joy, which only that congenial employment, or the making of punch, could impart in full completeness to his shining face.	We, being quite prepared for this event, which was of course a proceeding of Uriah Heep's, soon paid the money; and in five minutes more mr Micawber was seated at the table, filling up the stamps with an expression of perfect joy, which only that congenial employment, or the making of punch, could impart in full completeness to his shining face.
1958_144503_000101_000003	To see him at work on the stamps, with the relish of an artist, touching them like pictures, looking at them sideways, taking weighty notes of dates and amounts in his pocket-book, and contemplating them when finished, with a high sense of their precious value, was a sight indeed.	To see him at work on the stamps, with the relish of an artist, touching them like pictures, looking at them sideways, taking weighty notes of dates and amounts in his pocket book, and contemplating them when finished, with a high sense of their precious value, was a sight indeed.
1958_144503_000104_000002	We passed the night at the old house, which, freed from the presence of the Heeps, seemed purged of a disease; and I lay in my old room, like a shipwrecked wanderer come home.	We passed the night at the old house, which, freed from the presence of the Heeps, seemed purged of a disease; and I lay in my old room, like a shipwrecked wanderer come home.
1958_144503_000114_000000	'You understand it now, Trot,' said my aunt.	'You understand it now, Trot,' said my aunt.
1958_144503_000115_000000	'Did he die in the hospital?'	'Did he die in the hospital?'
