8718_295197_000000_000000	MISS KATY-DID AND MISS CRICKET	MISS KATY DID AND MISS CRICKET
8718_295197_000001_000000	Miss Katy-did sat on the branch of a flowering azalea, in her best suit of fine green and silver, with wings of point-lace from Mother Nature's finest web.	Miss Katy did sat on the branch of a flowering azalea, in her best suit of fine green and silver, with wings of point lace from Mother Nature's finest web.
8718_295197_000002_000000	Miss Katy was in the very highest possible spirits, because her gallant cousin, Colonel Katy-did, had looked in to make her a morning visit.	Miss Katy was in the very highest possible spirits, because her gallant cousin, Colonel Katy did, had looked in to make her a morning visit.
8718_295197_000002_000001	It was a fine morning, too, which goes for as much among the Katy-dids as among men and women.	It was a fine morning, too, which goes for as much among the Katy dids as among men and women.
8718_295197_000002_000002	It was, in fact, a morning that Miss Katy thought must have been made on purpose for her to enjoy herself in.	It was, in fact, a morning that Miss Katy thought must have been made on purpose for her to enjoy herself in.
8718_295197_000003_000000	"Certainly I am a pretty creature," she said to herself; and when the gallant colonel said something about being dazzled by her beauty, she only tossed her head and took it as quite a matter of course.	"Certainly I am a pretty creature," she said to herself; and when the gallant colonel said something about being dazzled by her beauty, she only tossed her head and took it as quite a matter of course.
8718_295197_000004_000000	"The fact is, my dear colonel," she said, "I am thinking of giving a party, and you must help me to make out the lists."	"The fact is, my dear colonel," she said, "I am thinking of giving a party, and you must help me to make out the lists."
8718_295197_000005_000000	"My dear, you make me the happiest of Katy-dids."	"My dear, you make me the happiest of Katy dids."
8718_295197_000006_000000	"Now," said Miss Katy-did, drawing an azalea-leaf towards her, "let us see--whom shall we have?	"Now," said Miss Katy did, drawing an azalea leaf towards her, "let us see-whom shall we have?
8718_295197_000006_000001	The Fireflies, of course; everybody wants them, they are so brilliant,--a little unsteady, to be sure, but quite in the higher circles."	The Fireflies, of course; everybody wants them, they are so brilliant,--a little unsteady, to be sure, but quite in the higher circles."
8718_295197_000007_000000	"Yes, we must have the Fireflies," echoed the colonel.	"Yes, we must have the Fireflies," echoed the colonel.
8718_295197_000008_000000	"Well, then, and the Butterflies and the Moths.	"Well, then, and the Butterflies and the Moths.
8718_295197_000008_000001	Now, there's a trouble.	Now, there's a trouble.
8718_295197_000008_000002	There's such an everlasting tribe of those Moths; and if you invite dull people they're always sure all to come, every one of them.	There's such an everlasting tribe of those Moths; and if you invite dull people they're always sure all to come, every one of them.
8718_295197_000008_000003	Still, if you have the Butterflies, you can't leave out the Moths."	Still, if you have the Butterflies, you can't leave out the Moths."
8718_295197_000009_000000	"Old Mrs. Moth has been laid up lately with a gastric fever, and that may keep two or three of the Misses Moth at home," said the colonel.	"Old mrs Moth has been laid up lately with a gastric fever, and that may keep two or three of the Misses Moth at home," said the colonel.
8718_295197_000010_000000	"Whatever could give the old lady such a turn?" said Miss Katy.	"Whatever could give the old lady such a turn?" said Miss Katy.
8718_295197_000010_000001	"I thought she never was sick."	"I thought she never was sick."
8718_295197_000011_000000	"I suspect it's high living.	"I suspect it's high living.
8718_295197_000011_000001	I understand she and her family ate up a whole ermine cape last month, and it disagreed with them."	I understand she and her family ate up a whole ermine cape last month, and it disagreed with them."
8718_295197_000012_000000	"For my part, I can't conceive how the Moths can live as they do," said Miss Katy, with a face of disgust.	"For my part, I can't conceive how the Moths can live as they do," said Miss Katy, with a face of disgust.
8718_295197_000012_000001	"Why, I could no more eat worsted and fur, as they do--"	"Why, I could no more eat worsted and fur, as they do-"
8718_295197_000013_000000	"That is quite evident from the fairy-like delicacy of your appearance," said the colonel.	"That is quite evident from the fairy like delicacy of your appearance," said the colonel.
8718_295197_000013_000001	"One can see that nothing so gross or material has ever entered into your system."	"One can see that nothing so gross or material has ever entered into your system."
8718_295197_000014_000000	"I'm sure," said Miss Katy, "mamma says she don't know what does keep me alive; half a dewdrop and a little bit of the nicest part of a rose-leaf, I assure you, often last me for a day.	"I'm sure," said Miss Katy, "mamma says she don't know what does keep me alive; half a dewdrop and a little bit of the nicest part of a rose leaf, I assure you, often last me for a day.
8718_295197_000014_000001	But we are forgetting our list.	But we are forgetting our list.
8718_295197_000014_000002	Let's see--the Fireflies, Butterflies, Moths. The Bees must come, I suppose."	Let's see-the Fireflies, Butterflies, Moths. The Bees must come, I suppose."
8718_295197_000015_000000	"The Bees are a worthy family," said the colonel.	"The Bees are a worthy family," said the colonel.
8718_295197_000016_000000	"Worthy enough, but dreadfully humdrum," said Miss Katy.	"Worthy enough, but dreadfully humdrum," said Miss Katy.
8718_295197_000017_000000	"Well, then, there are the Bumble-Bees."	"Well, then, there are the Bumble Bees."
8718_295197_000018_000000	"Oh, I dote on them!	"Oh, I dote on them!
8718_295197_000018_000001	General Bumble is one of the most dashing, brilliant fellows of the day."	General Bumble is one of the most dashing, brilliant fellows of the day."
8718_295197_000019_000000	"I think he is shockingly corpulent," said Colonel Katy-did, not at all pleased to hear him praised; "don't you?"	"I think he is shockingly corpulent," said Colonel Katy did, not at all pleased to hear him praised; "don't you?"
8718_295197_000020_000000	"I don't know but he IS a little stout," said Miss Katy; "but so distinguished and elegant in his manners--something quite martial and breezy about him."	"I don't know but he IS a little stout," said Miss Katy; "but so distinguished and elegant in his manners-something quite martial and breezy about him."
8718_295197_000021_000000	"Well, if you invite the Bumble-Bees, you must have the Hornets."	"Well, if you invite the Bumble Bees, you must have the Hornets."
8718_295197_000022_000000	"Those spiteful Hornets!	"Those spiteful Hornets!
8718_295197_000022_000001	I detest them!"	I detest them!"
8718_295197_000023_000000	"Nevertheless, dear Miss Katy, one does not like to offend the Hornets."	"Nevertheless, dear Miss Katy, one does not like to offend the Hornets."
8718_295197_000024_000000	"No, one can't.	"No, one can't.
8718_295197_000024_000001	There are those five Misses Hornet--dreadful old maids!--as full of spite as they can live.	There are those five Misses Hornet-dreadful old maids!--as full of spite as they can live.
8718_295197_000024_000002	You may be sure they will every one come, and be looking about to make spiteful remarks.	You may be sure they will every one come, and be looking about to make spiteful remarks.
8718_295197_000024_000003	Put down the Hornets, though."	Put down the Hornets, though."
8718_295197_000025_000000	"How about the Mosquitoes!" said the colonel.	"How about the Mosquitoes!" said the colonel.
8718_295197_000026_000000	"Those horrid Mosquitoes--they are dreadfully plebeian!	"Those horrid Mosquitoes-they are dreadfully plebeian!
8718_295197_000027_000000	"Well dear Miss Katy," said the colonel, "if you ask my candid opinion as a friend, I should say not.	"Well dear Miss Katy," said the colonel, "if you ask my candid opinion as a friend, I should say not.
8718_295197_000027_000001	There's young Mosquito, who graduated last year, has gone into literature, and is connected with some of our leading papers, and they say he carries the sharpest pen of all the writers.	There's young Mosquito, who graduated last year, has gone into literature, and is connected with some of our leading papers, and they say he carries the sharpest pen of all the writers.
8718_295197_000027_000002	It won't do to offend him."	It won't do to offend him."
8718_295197_000029_000000	"It is a pity," said the colonel; "but one must pay one's tax to society."	"It is a pity," said the colonel; "but one must pay one's tax to society."
