3448_5416_000001_000000	CHAPTER XI.	CHAPTER eleven.
3448_5416_000002_000000	THE HUES OF LOVE.	THE HUES OF LOVE.
3448_5416_000003_000000	CAPTAIN BRAMBLE did not long remain contented on board his ship.	CAPTAIN BRAMBLE did not long remain contented on board his ship.
3448_5416_000003_000002	He felt that he had been overreached by Captain Ratlin, and also that he had good grounds of suspecting his successful rival of being either directly or indirectly engaged in the illegal trade of the coast, and, determined, if possible, to discover his secret, he again became a frequent visitor of Don Leonardo's house, where he was sure to meet him constantly.	He felt that he had been overreached by Captain Ratlin, and also that he had good grounds of suspecting his successful rival of being either directly or indirectly engaged in the illegal trade of the coast, and, determined, if possible, to discover his secret, he again became a frequent visitor of Don Leonardo's house, where he was sure to meet him constantly.
3448_5416_000004_000001	We refer to Captain Bramble and Maud the Quadroon.	We refer to Captain Bramble and Maud the Quadroon.
3448_5416_000004_000002	Both now hated Captain Ratlin, and would gladly have been revenged in any way for the gratification of their feelings upon her whom he so fondly loved. With this similarity of sentiment it was not singular that they should ere long discover themselves and feelings to each other.	Both now hated Captain Ratlin, and would gladly have been revenged in any way for the gratification of their feelings upon her whom he so fondly loved. With this similarity of sentiment it was not singular that they should ere long discover themselves and feelings to each other.
3448_5416_000004_000003	Indeed Maud, who had been a secret witness of the deed, already realized that Captain Bramble was the enemy of him whom she had once loved, and whom she now so bitterly despised.	Indeed Maud, who had been a secret witness of the deed, already realized that Captain Bramble was the enemy of him whom she had once loved, and whom she now so bitterly despised.
3448_5416_000007_000000	"Have I anything to gain by a lie?" responded Maud, with a curling lip.	"Have I anything to gain by a lie?" responded Maud, with a curling lip.
3448_5416_000008_000000	"No, I presume not," he answered.	"No, I presume not," he answered.
3448_5416_000008_000001	"I merely ask from ordinary precaution.	"I merely ask from ordinary precaution.
3448_5416_000008_000002	But what do you propose to reveal to me?	But what do you propose to reveal to me?
3448_5416_000008_000003	Something touching this Captain Ratlin?"	Something touching this Captain Ratlin?"
3448_5416_000009_000001	"It is of him I would speak.	"It is of him I would speak.
3448_5416_000009_000002	You are an English officer, agent of your government, and sent here to suppress this vile traffic?"	You are an English officer, agent of your government, and sent here to suppress this vile traffic?"
3448_5416_000010_000000	"True."	"True."
3448_5416_000011_000000	"And have you suspected nothing since your vessel has been here?"	"And have you suspected nothing since your vessel has been here?"
3448_5416_000012_000000	"I suspect that this Captain Ratlin is in some way connected with the trade."	"I suspect that this Captain Ratlin is in some way connected with the trade."
3448_5416_000013_000000	"He is, and but now awaits the gathering of a cargo in my father's barracoons, to sail with them to the West Indies.	"He is, and but now awaits the gathering of a cargo in my father's barracoons, to sail with them to the West Indies.
3448_5416_000013_000001	It is not his first voyage, either."	It is not his first voyage, either."
3448_5416_000014_000000	"But where is his vessel?	"But where is his vessel?
3448_5416_000014_000001	he cannot go to sea without one," said the Englishman.	he cannot go to sea without one," said the Englishman.
3448_5416_000015_000000	"That is what I would reveal to you.	"That is what I would reveal to you.
3448_5416_000015_000001	I will discover to you his ship if you swear to arrest him, seize the vessel, and if possible hang him!"	I will discover to you his ship if you swear to arrest him, seize the vessel, and if possible hang him!"
3448_5416_000017_000000	"I have reason to be," answered Maud, calming her feelings by an effort.	"I have reason to be," answered Maud, calming her feelings by an effort.
3448_5416_000019_000000	"Yes, he loves the white woman whom he brought to my father's house."	"Yes, he loves the white woman whom he brought to my father's house."
3448_5416_000020_000000	"Thus far, at all events, my good girl, we have mutual cause for hate, and we will work heartily together.	"Thus far, at all events, my good girl, we have mutual cause for hate, and we will work heartily together.
3448_5416_000021_000000	"I do."	"I do."
3448_5416_000022_000000	"Is it far from here?"	"Is it far from here?"
3448_5416_000023_000000	"Less than a league."	"Less than a league."
3448_5416_000024_000000	"Indeed!	"Indeed!
3448_5416_000024_000001	These fellows are cunning," mused the officer.	These fellows are cunning," mused the officer.
3448_5416_000024_000002	"When will you guide me and a party of my people thither?"	"When will you guide me and a party of my people thither?"
3448_5416_000025_000000	"To-night."	"To night."
3448_5416_000026_000001	I will be prepared.	I will be prepared.
3448_5416_000026_000002	Where shall we meet?"	Where shall we meet?"
3448_5416_000027_000000	"At the end of the cape, where you and he met a few days since."	"At the end of the cape, where you and he met a few days since."
3448_5416_000028_000001	"How knew you of that?"	"How knew you of that?"
3448_5416_000029_000000	"I saw it."	"I saw it."
3448_5416_000030_000000	"The duel?"	"The duel?"
3448_5416_000031_000000	"Yes."	"Yes."
3448_5416_000032_000000	"It is strange.	"It is strange.
3448_5416_000033_000000	"He has moved in no direction since this woman has been here that I have not followed.	"He has moved in no direction since this woman has been here that I have not followed.
3448_5416_000033_000001	There I hoped to see him fall; but he was strangely preserved."	There I hoped to see him fall; but he was strangely preserved."
