4837_302000_000002_000000	Mrs. McLane had called on Mrs. Talbot.	mrs McLane had called on mrs Talbot.
4837_302000_000002_000001	That was known to all San Francisco, for her carriage had stood in front of the Occidental Hotel for an hour.	That was known to all San Francisco, for her carriage had stood in front of the Occidental Hotel for an hour.
4837_302000_000002_000003	No one wasted time on a second effort to gossip with their leader; it was known that just so often Mrs. McLane drew down the blinds, informed her household that she was not to be disturbed, disposed herself on the sofa with her back to the room and indulged in the luxury of blues for three days.	No one wasted time on a second effort to gossip with their leader; it was known that just so often mrs McLane drew down the blinds, informed her household that she was not to be disturbed, disposed herself on the sofa with her back to the room and indulged in the luxury of blues for three days.
4837_302000_000002_000004	She took no nourishment but milk and broth and spoke to no one.	She took no nourishment but milk and broth and spoke to no one.
4837_302000_000002_000005	Today this would be a rest cure and was equally beneficial.	Today this would be a rest cure and was equally beneficial.
4837_302000_000002_000006	When the attack was over Mrs. McLane would arise with a clear complexion, serene nerves, and renewed strength for social duties.	When the attack was over mrs McLane would arise with a clear complexion, serene nerves, and renewed strength for social duties.
4837_302000_000002_000007	Her friends knew that her retirement on this occasion was timed to finish on the morning of her reception and had not the least misgiving that her doors would still be closed.	Her friends knew that her retirement on this occasion was timed to finish on the morning of her reception and had not the least misgiving that her doors would still be closed.
4837_302000_000003_000001	A magnificent crystal chandelier depended from the high and lightly frescoed ceiling and there were side brackets beside the doors and the low mantel piece.	A magnificent crystal chandelier depended from the high and lightly frescoed ceiling and there were side brackets beside the doors and the low mantel piece.
4837_302000_000004_000000	The rooms filled early.	The rooms filled early.
4837_302000_000004_000001	Mrs. McLane stood before the north windows receiving her friends with her usual brilliant smile, her manner of high dignity and sweet cordiality.	mrs McLane stood before the north windows receiving her friends with her usual brilliant smile, her manner of high dignity and sweet cordiality.
4837_302000_000004_000003	She wore her prematurely white hair in a tall pompadour, and this with the rich velvets she affected, ample and long, made her look like a French marquise of the eighteenth century, stepped down from the canvas.	She wore her prematurely white hair in a tall pompadour, and this with the rich velvets she affected, ample and long, made her look like a French marquise of the eighteenth century, stepped down from the canvas.
4837_302000_000004_000004	The effect was by no means accidental.	The effect was by no means accidental.
4837_302000_000004_000005	Mrs. McLane's grandmother had been French and she resembled her.	mrs McLane's grandmother had been French and she resembled her.
4837_302000_000006_000000	Unlike as a reception of that day was in background and costumes from the refinements of modern art and taste, it possessed one contrast that was wholly to its advantage.	Unlike as a reception of that day was in background and costumes from the refinements of modern art and taste, it possessed one contrast that was wholly to its advantage.
4837_302000_000006_000001	Its men were gentlemen and the sons and grandsons of gentlemen.	Its men were gentlemen and the sons and grandsons of gentlemen.
4837_302000_000007_000001	If they took up less room than the women they certainly were more decorative.	If they took up less room than the women they certainly were more decorative.
4837_302000_000008_000000	Dr. Talbot and his wife had not arrived.	dr Talbot and his wife had not arrived.
4837_302000_000008_000001	To all eager questions Mrs. McLane merely replied that "they" would "be here." She had the dramatic instinct of the true leader and had commanded the doctor not to bring his bride before four o'clock.	To all eager questions mrs McLane merely replied that "they" would "be here." She had the dramatic instinct of the true leader and had commanded the doctor not to bring his bride before four o'clock.
4837_302000_000008_000002	The reception began at three.	The reception began at three.
4837_302000_000008_000003	They should have an entrance.	They should have an entrance.
4837_302000_000008_000004	But Mrs. Abbott, a lady of three chins and an eagle eye, who had clung for twenty-five years to black satin and bugles, was too persistent to be denied.	But mrs Abbott, a lady of three chins and an eagle eye, who had clung for twenty five years to black satin and bugles, was too persistent to be denied.
4837_302000_000008_000005	She extracted the information that the Bostonian had sent her own furniture by a previous steamer and that her drawing room was graceful, French, and exquisite.	She extracted the information that the Bostonian had sent her own furniture by a previous steamer and that her drawing room was graceful, French, and exquisite.
4837_302000_000009_000000	At ten minutes after the hour the buzz and chatter stopped abruptly and every face was turned, every neck craned toward the door.	At ten minutes after the hour the buzz and chatter stopped abruptly and every face was turned, every neck craned toward the door.
4837_302000_000009_000001	The colored butler had announced with a grand flourish:	The colored butler had announced with a grand flourish:
4837_302000_000010_000000	"Dr. and Mrs. Talbot."	"dr and mrs Talbot."
4837_302000_000011_000000	The doctor looked as rubicund, as jovial, as cynical as ever.	The doctor looked as rubicund, as jovial, as cynical as ever.
4837_302000_000011_000001	But few cast him more than a passing glance.	But few cast him more than a passing glance.
4837_302000_000011_000002	Then they gave an audible gasp, induced by an ingenuous compound of amazement, disappointment, and admiration.	Then they gave an audible gasp, induced by an ingenuous compound of amazement, disappointment, and admiration.
4837_302000_000011_000003	They had been prepared to forgive, to endure, to make every allowance.	They had been prepared to forgive, to endure, to make every allowance.
4837_302000_000011_000004	The poor thing could no more help being plain and dowdy than born in Boston, and as their leader had satisfied herself that she "would do," they would never let her know how deeply they deplored her disabilities.	The poor thing could no more help being plain and dowdy than born in Boston, and as their leader had satisfied herself that she "would do," they would never let her know how deeply they deplored her disabilities.
4837_302000_000012_000001	Mrs. Talbot was unquestionably a product of the best society.	mrs Talbot was unquestionably a product of the best society.
4837_302000_000012_000002	The South could have done no better.	The South could have done no better.
4837_302000_000012_000003	She was tall and supple and self-possessed.	She was tall and supple and self possessed.
4837_302000_000012_000004	She was exquisitely dressed in dark blue velvet with a high collar of point lace tapering almost to her bust, and revealing a long white throat clasped at the base by a string of pearls.	She was exquisitely dressed in dark blue velvet with a high collar of point lace tapering almost to her bust, and revealing a long white throat clasped at the base by a string of pearls.
4837_302000_000012_000005	On her head, as proudly poised as Mrs. McLane's, was a blue velvet hat, higher in the crown than the prevailing fashion, rolled up on one side and trimmed only with a drooping gray feather.	On her head, as proudly poised as mrs McLane's, was a blue velvet hat, higher in the crown than the prevailing fashion, rolled up on one side and trimmed only with a drooping gray feather.
4837_302000_000012_000006	And her figure, her face, her profile!	And her figure, her face, her profile!
4837_302000_000012_000009	Her skin was as white as the San Francisco fogs, her lips were scarlet, her cheeks pink, her hair and eyes a bright golden brown.	Her skin was as white as the San Francisco fogs, her lips were scarlet, her cheeks pink, her hair and eyes a bright golden brown.
4837_302000_000012_000010	Her features were delicate and regular, the mouth not too small, curved and sensitive; her refinement was almost excessive.	Her features were delicate and regular, the mouth not too small, curved and sensitive; her refinement was almost excessive.
4837_302000_000012_000012	As she moved forward and stood in front of Mrs. McLane, or acknowledged introductions to those that stood near, the women gave another gasp, this time of consternation.	As she moved forward and stood in front of mrs McLane, or acknowledged introductions to those that stood near, the women gave another gasp, this time of consternation.
4837_302000_000012_000015	Or was this lovely creature of surpassing elegance, a law unto herself?	Or was this lovely creature of surpassing elegance, a law unto herself?
4837_302000_000013_000000	Her skirt was full but straight and did not disguise the lines of her graceful figure; above her small waist it fitted as closely as a riding habit.	Her skirt was full but straight and did not disguise the lines of her graceful figure; above her small waist it fitted as closely as a riding habit.
4837_302000_000013_000002	Mrs. Abbott, who was given to primitive sounds, snorted.	mrs Abbott, who was given to primitive sounds, snorted.
4837_302000_000013_000005	Mrs. Ballinger, who had been the belle of Richmond and was still adjudged the handsomest woman in San Francisco, lifted the eyebrows to which sonnets had been written with an air of haughty resignation; but made up her mind to abate her scorn of the North and order her gowns from New York hereafter.	mrs Ballinger, who had been the belle of Richmond and was still adjudged the handsomest woman in San Francisco, lifted the eyebrows to which sonnets had been written with an air of haughty resignation; but made up her mind to abate her scorn of the North and order her gowns from New York hereafter.
4837_302000_000015_000000	They all met her in the course of the afternoon.	They all met her in the course of the afternoon.
4837_302000_000015_000001	She was sweet and gracious, but although there was not a hint of embarrassment she made no attempt to shine, and they liked her the better for that.	She was sweet and gracious, but although there was not a hint of embarrassment she made no attempt to shine, and they liked her the better for that.
4837_302000_000015_000002	The young men soon discovered they could make no impression on this lovely importation, for her eyes strayed constantly to her husband; until he disappeared in search of cronies, whiskey, and a cigar: then she looked depressed for a moment, but gave a still closer attention to the women about her.	The young men soon discovered they could make no impression on this lovely importation, for her eyes strayed constantly to her husband; until he disappeared in search of cronies, whiskey, and a cigar: then she looked depressed for a moment, but gave a still closer attention to the women about her.
4837_302000_000016_000000	In love with her husband but a woman-of-the-world.	In love with her husband but a woman of the world.
4837_302000_000016_000001	Manners as fine as Mrs. McLane's, but too aloof and sensitive to care for leadership.	Manners as fine as mrs McLane's, but too aloof and sensitive to care for leadership.
4837_302000_000016_000002	She had made the grand tour in Europe, they discovered, and enjoyed a season in Washington.	She had made the grand tour in Europe, they discovered, and enjoyed a season in Washington.
4837_302000_000016_000003	She should continue to live at the Occidental Hotel as her husband would be out so much at night and she was rather timid.	She should continue to live at the Occidental Hotel as her husband would be out so much at night and she was rather timid.
4837_302000_000016_000004	And she was bright, unaffected, responsive.	And she was bright, unaffected, responsive.
4837_302000_000016_000007	The girls drew little unconscious sighs of relief.	The girls drew little unconscious sighs of relief.
4837_302000_000016_000009	Mrs. Abbott succumbed.	mrs Abbott succumbed.
4837_302000_000016_000010	In short they all took her to their hearts.	In short they all took her to their hearts.
